EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Blocked3s,BlockedArc3,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,Fg2aBlocked,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefTwoPtRebounds,OffRebounds,LostBallSteals,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,SelfOReb,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Offensive Fouls,BlockedCorner3,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3FGM,Fg3aBlocked,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,SecondChanceTurnovers,Charge Fouls Drawn,Technical Free Throw Trips,Travels,BlockedLongMidRange,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,3SecondViolations,DefensiveGoaltends,OffensiveGoaltends,team_id,year,season,team_vs
1627936-1628398-1629659-202693-2544,1610612747,"Alex Caruso, Kyle Kuzma, Talen Horton-Tucker, Markieff Morris, LeBron James","Caruso, Kuzma, Horton-Tucker, Morris, James",1627936-1628398-1629659-202693-2544,LAL,104.0,1,2.0,2.0,4.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,110.76923076923076,15.25,10.75,15.25,9.25,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6188833333333333,5.25,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1627936-1628398-200765-201980-202693,1610612747,"Alex Caruso, Kyle Kuzma, Rajon Rondo, Danny Green, Markieff Morris","Caruso, Kuzma, Rondo, Green, Morris",1627936-1628398-200765-201980-202693,LAL,44.0,1,1.0,-4.0,1.0,2.0,3.0,,,,,1.0,,,1.0,,4.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,98.18181818181819,32.0,6.0,32.0,6.0,,,,,,,,,1.0,1.0,0.5073,,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1627936-1628398-200765-201980-203076,1610612747,"Alex Caruso, Kyle Kuzma, Rajon Rondo, Danny Green, Anthony Davis","Caruso, Kuzma, Rondo, Green, Davis",1627936-1628398-200765-201980-203076,LAL,242.0,2,4.0,1.0,9.0,8.0,17.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,13.0,12.0,2.0,2.0,1.0,4.0,1.0,,11.0,2.0,,2.0,2.0,,,,,3.0,1.0,3.0,1.0,1.0,1.0,2.0,13.0,0.5,0.5,0.6666666666666666,1.0833333333333333,1.0833333333333333,0.5,,,0.6666666666666666,0.5,1.0,101.15702479338843,13.88888888888889,14.625,13.88888888888889,13.375,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.8333333333333334,0.5458666666666666,5.266666666666667,24.8,4.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,5.0,2.0,9.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.5,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.48796666666666666,0.38461538461538464,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1627936-1628398-200765-202693-203076,1610612747,"Alex Caruso, Kyle Kuzma, Rajon Rondo, Markieff Morris, Anthony Davis","Caruso, Kuzma, Rondo, Morris, Davis",1627936-1628398-200765-202693-203076,LAL,818.0,6,14.0,8.0,27.0,26.0,53.0,4.0,5.0,,5.0,4.0,8.0,16.0,9.0,34.0,26.0,10.0,4.0,5.0,7.0,2.0,,16.0,4.0,,8.0,13.0,5.0,3.0,,,3.0,3.0,4.0,11.0,2.0,1.0,2.0,25.0,0.625,0.7142857142857143,0.5,0.44,0.5483870967741935,0.36,,,1.0,1.0,1.0,93.30073349633253,16.296296296296298,14.538461538461538,14.814814814814815,14.538461538461538,0.2,0.8,0.8,0.5,0.2,,,,0.16,0.56,0.503136,9.6625,24.48888888888889,15.0,4.0,1.0,5.0,1.0,,,2.0,5.0,10.0,1.0,2.0,20.0,6.0,6.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,,,,2.0,20.0,15.0,1.0,0.2222222222222222,0.5,0.2222222222222222,0.5,0.5416666666666666,0.625,1.0,0.2,0.2,0.2,1.0,0.25,0.25,1.0,0.3333333333333333,,,0.25,0.49895,0.5882352941176471,0.5555555555555556,14.0,5.0,1.0,1.0,3.0,4.0,6.0,1.0,2.0,12.0,1.0,2.0,7.0,9.0,7.0,2.0,1.0,3.0,3.0,1.0,1.0,4.0,5.0,2.0,1.0,1.0,14.0,1.0,4.0,1.0,2.0,1.0,2.0,0.5,0.5,0.9,0.0625,0.2,1.0,1.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.24,0.6666666666666666,0.6666666666666666,0.75,0.5,1.0,0.75,0.16666666666666666,0.5,0.4507,0.1724137931034483,0.21052631578947367,0.1,0.2647058823529412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1627936-1628398-200765-202693-2544,1610612747,"Alex Caruso, Kyle Kuzma, Rajon Rondo, Markieff Morris, LeBron James","Caruso, Kuzma, Rondo, Morris, James",1627936-1628398-200765-202693-2544,LAL,3497.0,17,58.0,18.0,114.0,110.0,224.0,25.0,31.0,3.0,9.0,27.0,30.0,47.0,41.0,146.0,128.0,34.0,27.0,17.0,36.0,14.0,3.0,91.0,15.0,2.0,39.0,45.0,13.0,11.0,10.0,6.0,19.0,6.0,20.0,26.0,5.0,4.0,6.0,139.0,0.5666666666666667,0.6071428571428571,0.6382978723404256,0.6988636363636364,0.7373737373737373,0.4659090909090909,0.5263157894736842,1.0,0.75,0.7872340425531915,0.8461538461538461,92.23906205318845,14.62280701754386,16.636363636363637,14.421052631578947,16.245454545454546,0.3522727272727273,0.8064516129032258,0.8064516129032258,0.56,0.10227272727272728,0.3333333333333333,0.42857142857142855,1.0,0.3068181818181818,0.8181818181818182,0.5392178160919541,5.05531914893617,25.356097560975613,17.0,1.0,10.0,14.0,11.0,1.0,6.0,21.0,1.0,1.0,6.0,11.0,25.0,26.0,57.0,11.0,19.0,10.0,9.0,1.0,9.0,1.0,1.0,1.0,1.0,,1.0,25.0,17.0,0.9047619047619048,0.5121951219512195,0.5454545454545454,0.5121951219512195,1.0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.1590909090909091,0.7142857142857143,0.7142857142857143,0.9,0.4074074074074074,0.4074074074074074,0.9090909090909091,0.08333333333333333,0.5,0.16666666666666666,0.4074074074074074,0.5376136363636363,0.17123287671232876,0.14912280701754385,9.0,5.0,2.0,4.0,1.0,2.0,7.0,5.0,5.0,23.0,2.0,4.0,,7.0,5.0,4.0,2.0,,1.0,5.0,,22.0,6.0,2.0,2.0,2.0,29.0,5.0,14.0,2.0,,1.0,,0.5,0.5833333333333334,0.5833333333333334,0.0425531914893617,0.2222222222222222,,0.8148148148148148,0.29411764705882354,0.05263157894736842,0.16666666666666666,0.16666666666666666,0.06666666666666667,,0.6666666666666666,0.9,0.5714285714285714,0.07954545454545454,0.2857142857142857,0.2857142857142857,,0.6666666666666666,0.5,1.0,0.4166666666666667,1.0,0.5652916666666666,0.16161616161616163,0.25,0.046511627906976744,0.04794520547945205,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.4,1.0,0.029411764705882353,0.16666666666666666,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1627936-1628398-200765-203076-203484,1610612747,"Alex Caruso, Kyle Kuzma, Rajon Rondo, Anthony Davis, Kentavious Caldwell-Pope","Caruso, Kuzma, Rondo, Davis, Caldwell-Pope",1627936-1628398-200765-203076-203484,LAL,2776.0,15,46.0,-3.0,95.0,94.0,189.0,22.0,30.0,9.0,17.0,14.0,36.0,59.0,23.0,106.0,109.0,54.0,14.0,27.0,32.0,19.0,4.0,69.0,21.0,3.0,33.0,40.0,6.0,5.0,3.0,2.0,12.0,13.0,21.0,16.0,3.0,3.0,3.0,95.0,0.75,0.75,0.6101694915254238,0.5304878048780488,0.5760869565217391,0.2804878048780488,0.25,1.0,1.0,0.8333333333333334,1.0,98.04034582132564,14.368421052631579,15.01063829787234,13.947368421052632,14.808510638297872,0.36585365853658536,0.7333333333333333,0.8148148148148148,0.8636363636363636,0.2073170731707317,0.5294117647058824,0.6,0.4444444444444444,0.17073170731707318,0.6463414634146342,0.5207091463414634,7.479661016949152,24.721739130434784,34.0,13.0,2.0,9.0,3.0,2.0,6.0,5.0,11.0,21.0,3.0,9.0,35.0,18.0,15.0,3.0,5.0,3.0,2.0,2.0,9.0,5.0,1.0,,,,2.0,35.0,34.0,1.0,0.21739130434782608,0.3333333333333333,0.21739130434782608,0.5238095238095238,0.5166666666666667,0.5645161290322581,0.6666666666666666,0.10975609756097561,0.2222222222222222,0.2222222222222222,1.0,0.21428571428571427,0.23076923076923078,1.0,0.43333333333333335,0.2,0.3333333333333333,0.21428571428571427,0.5754066666666666,0.330188679245283,0.35789473684210527,32.0,7.0,2.0,2.0,8.0,5.0,12.0,1.0,3.0,19.0,3.0,4.0,2.0,11.0,4.0,,5.0,4.0,3.0,4.0,,9.0,7.0,1.0,1.0,1.0,22.0,2.0,11.0,,1.0,,1.0,0.75,0.75,0.7857142857142857,0.0847457627118644,0.11764705882352941,,0.6,0.18181818181818182,0.17647058823529413,0.1794871794871795,0.25,0.3,,0.6666666666666666,0.3333333333333333,1.0,0.14634146341463414,0.4166666666666667,0.4166666666666667,0.8,0.3333333333333333,1.0,0.6153846153846154,0.1,0.3333333333333333,0.3970125,0.12087912087912088,0.16176470588235295,,0.10377358490566038,,,2.0,1.0,2.0,,,1.0,1.0,,2.0,,,3.0,0.5,0.125,0.16666666666666666,0.6666666666666666,,,,0.3333333333333333,1.0,1.0,0.043478260869565216,0.1,0.07142857142857142,1.0,0.5,1.0,,,,,,,,,,,,1610612747,2020,2019-20,False
1627936-1628398-200765-203076-2544,1610612747,"Alex Caruso, Kyle Kuzma, Rajon Rondo, Anthony Davis, LeBron James","Caruso, Kuzma, Rondo, Davis, James",1627936-1628398-200765-203076-2544,LAL,2441.0,15,41.0,3.0,87.0,89.0,176.0,20.0,23.0,2.0,6.0,20.0,25.0,35.0,27.0,102.0,99.0,38.0,18.0,19.0,28.0,15.0,2.0,65.0,8.0,1.0,21.0,28.0,12.0,6.0,6.0,3.0,18.0,9.0,20.0,21.0,5.0,4.0,5.0,100.0,0.76,0.76,0.7142857142857143,0.6209677419354839,0.6710526315789473,0.43548387096774194,0.3333333333333333,0.5,0.8,0.7407407407407407,0.875,103.8263006964359,13.022988505747126,14.696629213483146,12.701149425287356,14.247191011235955,0.3709677419354839,0.8695652173913043,0.9523809523809523,0.75,0.0967741935483871,0.3333333333333333,0.3333333333333333,1.0,0.3225806451612903,0.8064516129032258,0.533185,5.711428571428572,27.52592592592593,48.0,9.0,3.0,7.0,6.0,4.0,12.0,9.0,10.0,17.0,7.0,17.0,52.0,12.0,27.0,6.0,9.0,6.0,3.0,4.0,12.0,10.0,2.0,2.0,,,2.0,52.0,48.0,1.0,0.3333333333333333,0.4117647058823529,0.36,0.5882352941176471,0.6029411764705882,0.6341463414634146,0.4,0.11290322580645161,0.42857142857142855,0.42857142857142855,1.0,0.3,0.3,1.0,0.2647058823529412,0.35294117647058826,0.3333333333333333,0.3333333333333333,0.4891140625,0.5098039215686274,0.5517241379310345,42.0,7.0,,,8.0,3.0,6.0,3.0,5.0,25.0,,1.0,2.0,2.0,11.0,,2.0,2.0,4.0,3.0,,12.0,7.0,6.0,1.0,1.0,30.0,1.0,10.0,1.0,4.0,1.0,4.0,,,0.25,0.05714285714285714,,,0.7058823529411765,0.3,0.26666666666666666,0.28,1.0,0.18181818181818182,0.5,0.3333333333333333,0.8333333333333334,0.5,0.0967741935483871,0.5,0.5,0.6666666666666666,,,0.8888888888888888,0.14705882352941177,0.6,0.19695,0.1527777777777778,0.22727272727272727,0.03571428571428571,0.0196078431372549,,,2.0,,2.0,,,4.0,3.0,1.0,1.0,,,3.0,,,,1.0,,,,0.6666666666666666,,,,0.08695652173913043,,,,,2.0,3.0,3.0,,,,,,,,,1610612747,2020,2019-20,False
1627936-1628398-201580-202693-2544,1610612747,"Alex Caruso, Kyle Kuzma, JaVale McGee, Markieff Morris, LeBron James","Caruso, Kuzma, McGee, Morris, James",1627936-1628398-201580-202693-2544,LAL,447.0,2,7.0,1.0,13.0,13.0,26.0,2.0,4.0,1.0,2.0,5.0,3.0,7.0,6.0,15.0,14.0,2.0,5.0,1.0,4.0,1.0,,11.0,4.0,,6.0,9.0,1.0,1.0,1.0,1.0,3.0,,4.0,3.0,2.0,1.0,2.0,15.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.5769230769230769,0.5769230769230769,0.46153846153846156,0.3333333333333333,,1.0,0.75,1.0,83.75838926174497,17.23076923076923,17.153846153846153,15.384615384615385,16.076923076923077,0.3076923076923077,0.5,1.0,0.5,0.15384615384615385,0.5,0.5,,0.38461538461538464,0.7692307692307693,0.55515,4.071428571428571,25.083333333333332,,,1.0,1.0,2.0,,,3.0,,,,,,4.0,9.0,2.0,3.0,2.0,1.0,1.0,2.0,,,1.0,,,1.0,,,1.0,0.5,,0.5,,,,0.5,0.07692307692307693,1.0,1.0,1.0,0.4,0.4,1.0,,,,0.4,,,,,3.0,,1.0,,,1.0,,,,,1.0,,,,,2.0,,1.0,2.0,,2.0,3.0,,2.0,,,,,,,1.0,,,,,0.2857142857142857,,,0.5,0.5,0.3333333333333333,0.42857142857142855,0.5,0.3333333333333333,,,0.6666666666666666,1.0,0.07692307692307693,,,,0.3333333333333333,,,,,0.5329166666666666,,,,,,,2.0,,2.0,,1.0,,,,1.0,,,,,1.0,,,0.2,,,0.6666666666666666,,,,0.5,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1627936-1628398-201580-2544-2747,1610612747,"Alex Caruso, Kyle Kuzma, JaVale McGee, LeBron James, JR Smith","Caruso, Kuzma, McGee, James, Smith",1627936-1628398-201580-2544-2747,LAL,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2020,2019-20,False
1627936-1628398-201980-202693-2544,1610612747,"Alex Caruso, Kyle Kuzma, Danny Green, Markieff Morris, LeBron James","Caruso, Kuzma, Green, Morris, James",1627936-1628398-201980-202693-2544,LAL,1265.0,12,21.0,-2.0,40.0,39.0,79.0,12.0,16.0,,4.0,8.0,12.0,20.0,16.0,45.0,47.0,14.0,8.0,7.0,11.0,7.0,,26.0,7.0,1.0,14.0,21.0,3.0,3.0,3.0,2.0,7.0,9.0,14.0,12.0,,,,38.0,0.5833333333333334,0.6363636363636364,0.6,0.5416666666666666,0.5625,0.4444444444444444,0.42857142857142855,1.0,0.7777777777777778,0.6842105263157895,0.8571428571428571,89.92885375494072,15.775,16.256410256410255,14.925,15.76923076923077,0.4444444444444444,0.75,0.75,0.5833333333333334,0.1111111111111111,,,,0.2222222222222222,0.8888888888888888,0.5558472222222223,2.88,24.89375,,,2.0,8.0,3.0,,,5.0,,,,,,10.0,12.0,3.0,4.0,2.0,2.0,1.0,4.0,,2.0,,,,,,,0.8,0.3125,,0.3125,,,,,0.2222222222222222,0.25,0.25,1.0,0.375,0.375,0.6666666666666666,,,,0.375,,,,,6.0,2.0,3.0,,,,,,6.0,2.0,3.0,,7.0,,2.0,2.0,,3.0,1.0,3.0,6.0,7.0,,,,12.0,4.0,8.0,,,,,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.1,0.5,0.75,0.6,0.125,0.2727272727272727,0.21052631578947367,,0.4,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.5,,,,,0.5,0.6666666666666666,,,,0.553075,0.2,0.3333333333333333,,0.15555555555555556,,1.0,2.0,1.0,3.0,3.0,1.0,,1.0,,,,,,0.3333333333333333,0.25,,1.0,0.058823529411764705,0.16666666666666666,,0.3333333333333333,1.0,,,,,0.5,0.5,1.0,,1.0,,,,,,,,,,1610612747,2020,2019-20,False
