EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,LongMidRangeAssists,SecondChanceTurnovers,PenaltyFg3Pct,AtRimPctBlocked,OffAtRimReboundPct,DefCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceFtPoints,SelfOReb,2pt And 1 Free Throw Trips,SelfORebPct,ShootingFouls,Loose Ball Fouls,Blocked2s,BlockedShortMidRange,Blocks,BlockingFouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceCorner3FGA,PtsUnassisted3s,FTDefRebounds,Travels,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedAtRim,RecoveredBlocks,DefensiveGoaltends,DefFTReboundPct,BlocksRecoveredPct,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,3SecondViolations,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,HeaveAttempts,FTOffRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,OffensiveGoaltends,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Corner3PctBlocked,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Clear Path Fouls,HeaveMakes,team_id,year,season,team_vs
101133-101139-101145-1626167-201588,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, Myles Turner, George Hill","Mahinmi, Miles, Ellis, Turner, Hill",101133-101139-101145-1626167-201588,IND,1143.0,6,19.0,21.0,39.0,36.0,11.0,7.0,5.0,75.0,6.0,7.0,2.0,2.0,2.0,2.0,4.0,8.0,1.0,6.0,1.0,2.0,3.0,9.0,1.0,2.0,2.0,11.0,21.0,4.0,11.0,14.0,48.0,27.0,2.0,3.0,1.0,2.0,7.0,3.0,6.0,2.0,4.0,10.0,4.0,18.0,12.0,4.0,9.0,3.0,1.0,1.0,2.0,4.0,6.0,3.0,1.0,1.0,1.0,16.0,4.0,2.0,2.0,12.0,14.0,6.0,20.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,11.0,1.0,1.0,16.0,8.0,41.0,10.0,11.0,1.0,0.18181818181818182,0.2222222222222222,1.0,0.36363636363636365,0.5,0.36363636363636365,0.5238095238095238,0.6666666666666666,0.5,0.53125,0.7,0.375,0.6,0.7,0.5,0.34375,0.09090909090909091,0.047619047619047616,0.125,0.1111111111111111,0.5,1.0,0.2,1.0,0.5714285714285714,1.0,0.35294117647058826,0.25,0.2,0.5,1.0,1.0,1.0,1.0,1.0,94.48818897637796,14.461538461538462,16.083333333333332,13.846153846153847,16.083333333333332,0.21875,0.8571428571428571,0.8571428571428571,0.16666666666666666,0.25,0.5,0.5714285714285714,0.25,0.1875,0.16666666666666666,0.16666666666666666,0.0625,0.5,0.5,1.0,0.28125,0.3333333333333333,0.375,1.0,0.4,1.0,0.4,0.5,1.0,0.25,1.0,0.25,0.5625,0.3333333333333333,0.4834822580645161,0.3965,0.4315428571428571,0.2,0.27586206896551724,0.14583333333333334,0.20833333333333334,8.79047619047619,25.69090909090909,0.28205128205128205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-101145-1626167-202331,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, Myles Turner, Paul George","Mahinmi, Miles, Ellis, Turner, George",101133-101139-101145-1626167-202331,IND,381.0,4,6.0,,8.0,11.0,4.0,,2.0,19.0,1.0,5.0,1.0,1.0,,3.0,,,2.0,3.0,,1.0,1.0,2.0,,,1.0,3.0,8.0,1.0,3.0,,9.0,9.0,1.0,2.0,,,2.0,,4.0,2.0,,3.0,4.0,2.0,3.0,,2.0,1.0,3.0,,2.0,1.0,3.0,1.0,,1.0,,7.0,,3.0,2.0,2.0,4.0,3.0,7.0,1.0,1.0,,,,,1.0,,1.0,1.0,,1.0,,,,,7.0,3.0,4.0,,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,,0.3333333333333333,0.375,0.5,,0.4090909090909091,0.5,0.25,0.4090909090909091,0.5,0.25,0.2727272727272727,,0.375,,,,0.5,0.75,0.6666666666666666,,0.5714285714285714,0.5,,,,,,1.0,,0.5,71.81102362204724,23.25,17.727272727272727,22.5,14.636363636363637,0.45454545454545453,0.2,0.5,1.0,,,,,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.09090909090909091,,,,0.18181818181818182,0.5,0.5,1.0,0.5,1.0,,,,0.5,,0.16666666666666666,0.7272727272727273,0.5,0.5651954545454546,0.65445,0.5469916666666667,,,0.2222222222222222,0.3333333333333333,6.3875,25.433333333333334,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.6,0.75,1.0,0.5,1.0,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-101145-1626167-203922,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, Myles Turner, Glenn Robinson III","Mahinmi, Miles, Ellis, Turner, Robinson III",101133-101139-101145-1626167-203922,IND,110.0,1,2.0,7.0,4.0,3.0,,,1.0,7.0,1.0,2.0,1.0,2.0,,,,,,,,,2.0,3.0,,,,1.0,2.0,2.0,3.0,1.0,9.0,2.0,1.0,2.0,,,3.0,,,,,,2.0,,6.0,,3.0,2.0,,,1.0,2.0,3.0,2.0,,1.0,,8.0,1.0,1.0,,2.0,2.0,2.0,4.0,,,,1.0,,,,1.0,1.0,,,1.0,,,1.0,1.0,6.0,,,,1.0,1.0,1.0,0.6666666666666666,,0.6666666666666666,0.5,0.5,,0.8,0.5,,0.9,0.75,,0.6,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,91.63636363636364,17.75,13.0,15.25,13.0,0.4,0.5,0.5,1.0,,,,,,,,,,,,0.6,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,,,,,,,1.0,0.6666666666666666,0.62507,0.7209,,0.2,0.5,0.3333333333333333,,0.55,26.3,,,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-101145-1626202-202730,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, Joe Young, Lavoy Allen","Mahinmi, Miles, Ellis, Young, Allen",101133-101139-101145-1626202-202730,IND,116.0,1,2.0,-2.0,4.0,3.0,,2.0,2.0,7.0,1.0,2.0,,,,,,,,,,,,1.0,,,,1.0,2.0,,1.0,,2.0,4.0,,,,,,,,,,,2.0,,,,1.0,,,,1.0,,1.0,,,1.0,,2.0,,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,3.0,,,,,,2.0,,,1.0,1.0,1.0,,,,,0.5,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,,1.0,,1.0,,,,0.5,,,,,,,,,86.89655172413794,11.5,23.333333333333332,10.75,20.0,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,1.0,,0.6633833333333333,,,,,,,0.55,26.4,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-101145-201155-201978,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, Rodney Stuckey, Chase Budinger","Mahinmi, Miles, Ellis, Stuckey, Budinger",101133-101139-101145-201155-201978,IND,185.0,2,3.0,-7.0,7.0,6.0,4.0,,,13.0,,2.0,,,,2.0,,1.0,2.0,3.0,,,,,,,,2.0,6.0,,,2.0,6.0,13.0,,,,,,,3.0,,2.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,,6.0,2.0,4.0,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,0.42857142857142855,,0.25,,,,,,,,,,,,,,,,,,,,,101.18918918918918,17.857142857142858,10.0,17.857142857142858,10.0,0.3333333333333333,,,,0.16666666666666666,,,,0.5,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,0.6666666666666666,,,0.3333333333333333,,0.4375166666666667,,0.4814,,,,0.3333333333333333,12.183333333333332,,0.5714285714285714,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-101145-201155-202331,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, Rodney Stuckey, Paul George","Mahinmi, Miles, Ellis, Stuckey, George",101133-101139-101145-201155-202331,IND,1938.0,16,32.0,10.0,67.0,66.0,31.0,25.0,9.0,133.0,15.0,19.0,4.0,4.0,5.0,7.0,4.0,10.0,5.0,17.0,,3.0,5.0,15.0,,1.0,11.0,24.0,46.0,5.0,18.0,8.0,71.0,61.0,5.0,7.0,,2.0,10.0,8.0,15.0,14.0,6.0,37.0,20.0,28.0,12.0,4.0,15.0,5.0,5.0,,10.0,4.0,14.0,4.0,,7.0,,32.0,2.0,5.0,13.0,15.0,30.0,7.0,37.0,1.0,,1.0,5.0,1.0,3.0,2.0,2.0,7.0,4.0,11.0,11.0,1.0,1.0,10.0,5.0,61.0,37.0,31.0,2.0,0.4166666666666667,0.45454545454545453,0.8,0.2777777777777778,,0.2777777777777778,0.5217391304347826,0.7142857142857143,0.5333333333333333,0.4921875,0.5555555555555556,0.5344827586206896,0.5220588235294118,0.5555555555555556,0.578125,0.28125,,0.10869565217391304,0.1,,0.7142857142857143,0.8823529411764706,0.22727272727272727,1.0,0.16666666666666666,0.9333333333333333,0.20588235294117646,0.5,0.08333333333333333,0.2222222222222222,,1.0,1.0,0.7142857142857143,1.0,98.82352941176471,15.432835820895523,13.696969696969697,14.26865671641791,13.090909090909092,0.296875,0.7894736842105263,1.0,0.4666666666666667,0.15625,0.4,0.4444444444444444,,0.265625,0.29411764705882354,0.29411764705882354,0.046875,,,,0.234375,0.3333333333333333,0.3333333333333333,0.8,0.4444444444444444,1.0,0.1111111111111111,,,0.2413793103448276,0.7142857142857143,0.3793103448275862,0.578125,0.3333333333333333,0.49956904761904763,0.5184,0.5135500000000001,0.08823529411764706,0.1,0.14084507042253522,0.5211267605633803,8.984782608695653,25.316666666666666,0.4626865671641791,3.0,5.0,5.0,3.0,1.0,0.35714285714285715,0.21052631578947367,0.25,1.0,0.6,0.25,0.10344827586206896,0.45454545454545453,,1.0,1.0,0.034482758620689655,3.0,1.0,1.0,,1.0,1.0,,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-101145-201155-202730,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, Rodney Stuckey, Lavoy Allen","Mahinmi, Miles, Ellis, Stuckey, Allen",101133-101139-101145-201155-202730,IND,62.0,1,1.0,-2.0,2.0,2.0,,2.0,,4.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9032258064516,18.5,12.5,18.5,12.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5356,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-101145-201155-203524,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, Rodney Stuckey, Solomon Hill","Mahinmi, Miles, Ellis, Stuckey, Hill",101133-101139-101145-201155-203524,IND,75.0,2,1.0,5.0,4.0,2.0,4.0,,,6.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,3.0,1.0,1.0,,5.0,,,,,,,1.0,3.0,1.0,,5.0,2.0,,3.0,,,,,,1.0,1.0,2.0,,1.0,1.0,,5.0,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,5.0,5.0,4.0,,1.0,1.0,1.0,1.0,,1.0,0.3333333333333333,,0.3333333333333333,0.625,,0.625,0.625,,0.625,0.25,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,115.2,11.75,14.0,11.75,14.0,0.25,1.0,1.0,1.0,0.25,,,,0.25,,,0.25,1.0,1.0,1.0,,,,,,,,,,0.25,1.0,,0.5,,0.533675,,0.533675,,,,1.0,11.333333333333334,23.2,1.0,1.0,,1.0,,,1.0,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-101145-201588-201978,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, George Hill, Chase Budinger","Mahinmi, Miles, Ellis, Hill, Budinger",101133-101139-101145-201588-201978,IND,1.0,1,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2016,2015-16,True
101133-101139-101145-201588-202331,1610612754,"Ian Mahinmi, CJ Miles, Monta Ellis, George Hill, Paul George","Mahinmi, Miles, Ellis, Hill, George",101133-101139-101145-201588-202331,IND,19144.0,47,319.0,58.0,670.0,669.0,99.0,108.0,86.0,1339.0,123.0,194.0,27.0,47.0,19.0,31.0,38.0,96.0,44.0,112.0,27.0,55.0,46.0,115.0,5.0,11.0,20.0,205.0,402.0,73.0,170.0,114.0,743.0,685.0,33.0,65.0,9.0,17.0,103.0,26.0,49.0,27.0,32.0,117.0,192.0,218.0,177.0,32.0,113.0,46.0,24.0,3.0,96.0,59.0,155.0,34.0,25.0,64.0,12.0,369.0,29.0,68.0,113.0,131.0,262.0,100.0,362.0,61.0,38.0,23.0,76.0,12.0,51.0,55.0,25.0,131.0,20.0,130.0,136.0,2.0,8.0,147.0,63.0,640.0,115.0,98.0,9.0,0.4682926829268293,0.5079365079365079,0.8082191780821918,0.4294117647058823,0.5294117647058824,0.43452380952380953,0.5099502487562189,0.5076923076923077,0.5306122448979592,0.5498251748251748,0.5670731707317073,0.5592105263157895,0.5815047021943573,0.5852272727272727,0.6223404255319149,0.2972027972027972,0.01764705882352941,0.05970149253731343,0.0625,0.017391304347826087,0.5801526717557252,0.7751479289940828,0.34517766497461927,0.8828125,0.30851063829787234,0.8215488215488216,0.3333333333333333,0.3103448275862069,0.27941176470588236,0.2727272727272727,0.39285714285714285,0.6923076923076923,0.75,0.875,0.8673469387755102,100.71876305892185,14.707462686567164,13.886397608370702,13.968656716417911,13.378176382660687,0.33916083916083917,0.634020618556701,0.6910112359550562,0.5203252032520326,0.16783216783216784,0.3958333333333333,0.4222222222222222,0.3157894736842105,0.1958041958041958,0.39285714285714285,0.4,0.09615384615384616,0.4909090909090909,0.5,0.9259259259259259,0.20104895104895104,0.4,0.40707964601769914,0.7391304347826086,0.573170731707317,0.574468085106383,0.13414634146341464,0.45454545454545453,0.8,0.40789473684210525,0.6129032258064516,0.2631578947368421,0.6363636363636364,0.40707964601769914,0.5270027192982456,0.54519921875,0.5209853333333334,0.10272873194221509,0.13938053097345132,0.1386271870794078,0.15746971736204576,7.685820895522388,25.408235294117645,0.14776119402985075,7.0,8.0,11.0,20.0,10.0,0.4074074074074074,0.08247422680412371,0.43661971830985913,0.9333333333333333,0.45454545454545453,0.14814814814814814,0.09210526315789473,0.4,10.0,14.0,13.0,0.05303030303030303,58.0,7.0,31.0,7.0,32.0,7.0,15.0,12.0,6.0,42.0,18.0,7.0,8.0,,1.0,22.0,20.0,,0.9473684210526315,0.625,0.07317073170731707,0.005847953216374269,2.0,3.0,0.42857142857142855,4.0,2.0,3.0,9.0,2.0,9.0,9.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,0.017857142857142856,0.01818181818181818,0.1875,0.6666666666666666,0.5,,,,1610612754,2016,2015-16,True
