EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceArc3FGA,FG2M,FtPoints,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Travels,Blocked3s,BlockedCorner3,OffCorner3ReboundPct,DefCorner3ReboundPct,Corner3FGM,PenaltyCorner3FGM,SecondChanceFtPoints,Fg2aBlocked,Corner3Assists,FTOffRebounds,BadPassTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,3SecondViolations,FG2APctBlocked,AtRimPctBlocked,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,PenaltyFtPoints,FTDefRebounds,SelfOReb,LostBallSteals,SecondChanceTurnovers,Offensive Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,BlockedShortMidRange,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,DefFTReboundPct,SelfORebPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Charge Fouls Drawn,BlockedLongMidRange,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,OffensiveGoaltends,Charge Fouls,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,BlockingFouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,BlockedArc3,Corner3PctBlocked,team_id,year,season,team_vs
1626171-1626245-201166-202710-203200,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, Jimmy Butler, Justin Holiday","Portis, Felicio, Brooks, Butler, Holiday",1626171-1626245-201166-202710-203200,CHI,331.0,1,6.0,-13.0,11.0,10.0,9.0,5.0,1.0,21.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,5.0,6.0,19.0,1.0,1.0,2.0,5.0,6.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,9.0,1.0,1.0,0.5,0.4,0.4,0.4,0.42857142857142855,0.5,0.375,0.42857142857142855,0.7142857142857143,0.5,0.5,0.5,1.0,0.6666666666666666,0.2,1.0,1.0,1.0,91.3595166163142,1.0,17.818181818181817,13.5,16.818181818181817,13.5,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.46025,0.47694166666666665,1.0,15.65,24.3,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201166-202710-203926,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, Jimmy Butler, Doug McDermott","Portis, Felicio, Brooks, Butler, McDermott",1626171-1626245-201166-202710-203926,CHI,601.0,2,10.0,-2.0,20.0,17.0,4.0,3.0,3.0,37.0,4.0,5.0,,,2.0,5.0,,2.0,16.0,2.0,5.0,24.0,26.0,3.0,4.0,,2.0,4.0,6.0,,5.0,2.0,2.0,6.0,2.0,14.0,3.0,2.0,2.0,4.0,4.0,8.0,,1.0,,,1.0,,3.0,4.0,2.0,,4.0,,,,,,18.0,4.0,4.0,,,1.0,0.4,,0.4,0.47619047619047616,0.3333333333333333,0.5217391304347826,0.3333333333333333,0.23809523809523808,,0.6666666666666666,0.375,1.0,0.8,0.36363636363636365,0.3333333333333333,,1.0,88.6522462562396,,14.7,18.058823529411764,14.1,17.470588235294116,0.19047619047619047,0.23809523809523808,,0.23809523809523808,0.4,0.4,1.0,,0.3333333333333333,,0.5714285714285714,0.4,0.47182380952380953,0.4760416666666667,0.16666666666666666,8.725,25.419999999999998,0.2,5.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,7.0,4.0,3.0,1.0,6.0,2.0,8.0,6.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5714285714285714,0.8,0.4375,1.0,0.5,0.75,0.75,0.3333333333333333,1.0,0.25,0.3333333333333333,0.5,1.0,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.4,0.25,0.25,1.0,0.2,0.2,1.0,0.5,1.0,0.25,0.3333333333333333,0.5,0.6533333333333333,0.08695652173913043,0.1111111111111111,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201166-202734-203926,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, E'Twaun Moore, Doug McDermott","Portis, Felicio, Brooks, Moore, McDermott",1626171-1626245-201166-202734-203926,CHI,224.0,2,4.0,-4.0,7.0,6.0,5.0,4.0,,13.0,2.0,,1.0,,,,,,4.0,,1.0,6.0,10.0,,2.0,,,4.0,,,,,,2.0,,4.0,,1.0,,1.0,1.0,2.0,2.0,1.0,,2.0,3.0,3.0,1.0,1.0,1.0,,,,,,1.0,1.0,6.0,4.0,5.0,,,,,,,0.6,1.0,0.6,1.0,0.2,0.6666666666666666,,,1.0,1.0,0.5,,,,83.57142857142857,1.0,16.571428571428573,18.0,16.571428571428573,18.0,0.4,,0.2,,,,,,,,0.6,,0.48186999999999997,0.40635,0.6666666666666666,5.125,23.1,0.7142857142857143,2.0,2.0,,,1.0,1.0,1.0,,,3.0,,,,,2.0,4.0,2.0,,2.0,1.0,1.0,,1.0,,,,,0.6666666666666666,0.6666666666666666,0.75,,1.0,,,1.0,,,,,,0.4,1.0,1.0,0.5,0.5,0.5,1.0,,,,,,,0.5,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201166-203200-203926,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, Justin Holiday, Doug McDermott","Portis, Felicio, Brooks, Holiday, McDermott",1626171-1626245-201166-203200-203926,CHI,1276.0,6,21.0,-9.0,37.0,41.0,4.0,7.0,6.0,78.0,2.0,11.0,3.0,1.0,2.0,5.0,,1.0,27.0,3.0,8.0,40.0,49.0,5.0,2.0,1.0,2.0,5.0,9.0,,5.0,2.0,3.0,10.0,2.0,23.0,4.0,5.0,8.0,13.0,6.0,19.0,4.0,1.0,,2.0,5.0,,4.0,8.0,11.0,,8.0,,1.0,1.0,1.0,,33.0,5.0,4.0,1.0,,1.0,0.375,0.5,0.375,0.5,0.625,0.5263157894736842,0.625,0.22857142857142856,0.8,0.38095238095238093,0.2857142857142857,0.7142857142857143,0.4642857142857143,0.2631578947368421,,0.2222222222222222,0.6,88.02507836990596,,16.243243243243242,16.463414634146343,15.621621621621621,14.75609756097561,0.05714285714285714,0.3142857142857143,0.08571428571428572,0.14285714285714285,0.4,0.4,1.0,0.25,0.25,,0.6285714285714286,0.4,0.5153271428571428,0.4924,0.125,8.948148148148148,24.7,0.10810810810810811,10.0,14.0,2.0,4.0,1.0,1.0,,3.0,,13.0,5.0,3.0,,7.0,1.0,14.0,12.0,2.0,7.0,5.0,,2.0,1.0,1.0,1.0,,5.0,0.5384615384615384,0.5833333333333334,0.48148148148148145,0.6,0.5,0.6,0.5833333333333334,0.2,,0.5,,0.3333333333333333,0.5555555555555556,0.4,0.7142857142857143,0.8333333333333334,0.5,,,,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.8,0.5,,0.25,1.0,0.62924,0.13157894736842105,0.16666666666666666,0.175,,,,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.07407407407407407,0.14285714285714285,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201166-203503-203926,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, Tony Snell, Doug McDermott","Portis, Felicio, Brooks, Snell, McDermott",1626171-1626245-201166-203503-203926,CHI,1302.0,6,22.0,6.0,45.0,42.0,24.0,17.0,6.0,87.0,8.0,7.0,2.0,,2.0,7.0,1.0,5.0,25.0,3.0,9.0,43.0,37.0,3.0,11.0,1.0,5.0,19.0,9.0,,7.0,2.0,3.0,6.0,2.0,15.0,4.0,7.0,11.0,19.0,4.0,23.0,1.0,5.0,1.0,,6.0,3.0,2.0,9.0,10.0,2.0,20.0,4.0,2.0,1.0,2.0,2.0,41.0,19.0,24.0,1.0,4.0,1.0,0.3333333333333333,0.2,0.3333333333333333,0.4264705882352941,0.28125,0.4883720930232558,0.391304347826087,0.2647058823529412,0.16666666666666666,0.7333333333333333,0.2857142857142857,0.7777777777777778,0.75,0.2,0.5,0.6666666666666666,0.875,96.22119815668204,1.0,14.444444444444445,15.523809523809524,13.622222222222222,14.785714285714286,0.23529411764705882,0.20588235294117646,0.058823529411764705,0.20588235294117646,0.2857142857142857,0.2857142857142857,1.0,,0.3125,0.2,0.5588235294117647,0.2857142857142857,0.48206911764705884,0.4716375,0.4418604651162791,8.596,24.88888888888889,0.5333333333333333,7.0,10.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,10.0,14.0,1.0,1.0,2.0,3.0,6.0,14.0,,3.0,2.0,1.0,,,5.0,3.0,,6.0,0.3,0.3,0.4,0.3333333333333333,0.2727272727272727,0.25,0.25,,,0.2,,0.8888888888888888,0.3333333333333333,0.29411764705882354,0.7,0.7777777777777778,0.2857142857142857,0.25,0.2857142857142857,0.5,0.14285714285714285,0.14285714285714285,,0.5,0.5,0.25,0.25,0.75,0.5022666666666666,0.15384615384615385,0.2,0.046511627906976744,,,,,,1.0,,,2.0,1.0,,1.0,,,1.0,,0.08,0.1,,0.5,0.5,1.0,,,10.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.125,1.0,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201166-203503-2399,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, Tony Snell, Mike Dunleavy","Portis, Felicio, Brooks, Snell, Dunleavy",1626171-1626245-201166-203503-2399,CHI,70.0,1,1.0,-1.0,2.0,2.0,2.0,,,4.0,,1.0,,,,,,,1.0,,,3.0,4.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,2.0,1.0,,,,,3.0,3.0,2.0,,1.0,,,,,1.0,1.0,0.75,0.75,,,,,,,,,,,82.28571428571428,,11.5,23.5,11.5,17.5,,1.0,,,,,,,,,,,0.429,0.429,1.0,19.0,,1.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201166-203926-2399,1610612741,"Bobby Portis, Cristiano Felicio, Aaron Brooks, Doug McDermott, Mike Dunleavy","Portis, Felicio, Brooks, McDermott, Dunleavy",1626171-1626245-201166-203926-2399,CHI,328.0,2,5.0,-2.0,10.0,10.0,,,1.0,20.0,1.0,2.0,,,,,,,8.0,,,10.0,12.0,1.0,,,,,,,,,,2.0,,4.0,,2.0,1.0,3.0,,3.0,,1.0,,,1.0,,1.0,2.0,3.0,,3.0,,,,,,10.0,,,,,,,,,0.5,,0.5555555555555556,,,,0.3333333333333333,,1.0,0.6,,,,1.0,87.80487804878048,,15.2,17.6,14.3,17.3,0.125,0.25,,,,,,,,,0.625,,0.52625,,,6.2625,,,3.0,5.0,,,,,1.0,,,4.0,2.0,,,,,4.0,4.0,,2.0,1.0,1.0,,,1.0,1.0,,2.0,0.5,0.5,0.5,,,,,,,,,0.5,,0.625,0.6,0.75,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,0.3835,0.2222222222222222,0.2222222222222222,,,,,,,,,,1.0,,,,,,1.0,,0.125,0.2,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201565-202710-203200,1610612741,"Bobby Portis, Cristiano Felicio, Derrick Rose, Jimmy Butler, Justin Holiday","Portis, Felicio, Rose, Butler, Holiday",1626171-1626245-201565-202710-203200,CHI,267.0,1,4.0,5.0,8.0,7.0,,,1.0,15.0,,1.0,,,2.0,5.0,,,1.0,2.0,5.0,9.0,4.0,,,,,,6.0,,5.0,2.0,2.0,3.0,2.0,8.0,,2.0,1.0,3.0,1.0,4.0,2.0,,,1.0,2.0,,,,2.0,,2.0,,,,,,9.0,,,,,1.0,0.4,,0.4,0.6666666666666666,,0.6428571428571429,,0.8333333333333334,1.0,1.0,,0.6666666666666666,0.75,0.3333333333333333,,,0.6666666666666666,80.89887640449437,,15.25,20.714285714285715,14.5,19.0,,0.16666666666666666,,0.8333333333333334,0.4,0.4,1.0,,,,0.8333333333333334,0.4,0.47376666666666667,,,16.1,25.74,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,2.0,,,1.0,,,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,0.3333333333333333,,,0.3333333333333333,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,,0.14285714285714285,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201565-202710-203926,1610612741,"Bobby Portis, Cristiano Felicio, Derrick Rose, Jimmy Butler, Doug McDermott","Portis, Felicio, Rose, Butler, McDermott",1626171-1626245-201565-202710-203926,CHI,218.0,2,4.0,,8.0,7.0,4.0,,1.0,15.0,2.0,1.0,1.0,1.0,,,,,6.0,,1.0,8.0,8.0,2.0,2.0,,1.0,4.0,,,,,,1.0,,2.0,2.0,,3.0,3.0,2.0,5.0,1.0,,,1.0,1.0,,,1.0,2.0,,4.0,,1.0,1.0,1.0,1.0,6.0,4.0,4.0,,,,,,,0.2857142857142857,0.3333333333333333,0.4444444444444444,0.5,0.14285714285714285,1.0,0.75,0.5,,0.75,0.4,1.0,1.0,,99.08256880733946,1.0,14.75,14.285714285714286,13.5,14.142857142857142,0.2857142857142857,0.14285714285714285,0.14285714285714285,,,,,0.3333333333333333,,,0.5714285714285714,,0.4854,0.49033333333333334,0.5,7.866666666666667,23.5,0.5,1.0,3.0,1.0,1.0,,1.0,,1.0,,2.0,4.0,1.0,,2.0,1.0,2.0,2.0,2.0,1.0,,,1.0,,,,,2.0,0.5,1.0,0.3333333333333333,0.5,0.5,0.5,0.5,,,,,0.5,1.0,0.42857142857142855,0.3333333333333333,0.5,,,,,1.0,1.0,1.0,0.5,1.0,,0.3333333333333333,,0.4201,0.2222222222222222,0.25,0.25,,,,,,,,,1.0,,,,,,,,0.16666666666666666,0.3333333333333333,,,,,,,2.0,,2.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
1626171-1626245-201565-202710-2399,1610612741,"Bobby Portis, Cristiano Felicio, Derrick Rose, Jimmy Butler, Mike Dunleavy","Portis, Felicio, Rose, Butler, Dunleavy",1626171-1626245-201565-202710-2399,CHI,239.0,2,4.0,5.0,8.0,8.0,2.0,,1.0,16.0,1.0,1.0,1.0,,2.0,3.0,,,3.0,3.0,4.0,11.0,6.0,,1.0,,,,9.0,,3.0,2.0,3.0,4.0,2.0,11.0,1.0,2.0,2.0,4.0,1.0,5.0,,2.0,,,2.0,1.0,,,2.0,1.0,,,,,,,8.0,,2.0,,,1.0,0.75,,0.75,0.7857142857142857,,0.7857142857142857,,0.5714285714285714,,1.0,0.5,1.0,1.0,0.3333333333333333,,,1.0,96.40167364016736,,15.25,14.625,14.875,14.625,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,,,,0.7142857142857143,0.6666666666666666,0.5717142857142857,0.2791,,10.4,24.6,0.25,1.0,1.0,,,,,,,1.0,1.0,,,1.0,3.0,,2.0,,,1.0,1.0,,,,,,,,1.0,1.0,0.3333333333333333,,,1.5,1.5,,,1.0,,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,,,,,,,,,1.0,,,0.61935,,,0.2727272727272727,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612741,2016,2015-16,True
