EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FTDefRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,Minutes,PlusMinus,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PtsUnassisted2s,2pt And 1 Free Throw Trips,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,Fg2aBlocked,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedAtRim,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,NonShootingFoulsDrawn,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,PenaltyFG3M,Corner3Assists,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Charge Fouls Drawn,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,PenaltyArc3FGM,PenaltyArc3Accuracy,PtsUnassisted3s,Travels,LostBallOutOfBoundsTurnovers,BlockingFouls,BlockedLongMidRange,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,Offensive Fouls,Offensive Fouls Drawn,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedCorner3,Fg3aBlocked,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,SelfOReb,Loose Ball Fouls,SelfORebPct,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,OffensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls,3SecondViolations,Defensive 3 Seconds Violations,DefensiveGoaltends,HeaveAttempts,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,Corner3PctBlocked,Clear Path Fouls,HeaveMakes,team_id,year,season,team_vs
1626153-1626181-200768-202687-2449,1610612761,"Delon Wright, Norman Powell, Kyle Lowry, Bismack Biyombo, Luis Scola","Wright, Powell, Lowry, Biyombo, Scola",1626153-1626181-200768-202687-2449,TOR,6.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,480.0,5.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626153-1626181-201574-202687-203082,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Bismack Biyombo, Terrence Ross","Wright, Powell, Thompson, Biyombo, Ross",1626153-1626181-201574-202687-203082,TOR,204.0,2,6.0,6.0,3.0,,12.0,,2.0,2.0,3.0,,84.70588235294117,18.666666666666668,15.333333333333334,18.666666666666668,15.333333333333334,0.5,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,7.0,6.0,1.0,1.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.5833333333333334,0.8333333333333334,0.25,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,0.25,1.0,1.0,0.5,0.490475,0.7156,0.3333333333333333,0.4,0.7142857142857143,11.200000000000001,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626153-1626181-201574-202709-203082,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Cory Joseph, Terrence Ross","Wright, Powell, Thompson, Joseph, Ross",1626153-1626181-201574-202709-203082,TOR,34.0,1,2.0,1.0,1.0,1.0,3.0,,,,1.0,,127.05882352941177,8.0,18.0,8.0,18.0,0.5,1.0,2.0,,,,,,,,1.0,,,1.0,1.0,4.0,2.0,,,1.0,1.0,,1.0,,1.0,,,3.0,,,,,,,,,,2.0,,2.0,1.0,,,,,4.0,1.0,,,,,1.5,,1.0,0.5,1.0,,,,,,,,,,,,,,,1.0,,,1.0,0.5391,,0.5,1.0,0.25,,24.4,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626153-1626181-201574-203082-203512,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Terrence Ross, Lucas Nogueira","Wright, Powell, Thompson, Ross, Nogueira",1626153-1626181-201574-203082-203512,TOR,75.0,1,4.0,3.0,,,7.0,,1.0,1.0,,,134.4,4.0,19.666666666666668,4.0,19.666666666666668,,1.0,3.0,3.0,3.0,,,,,,,3.0,3.0,,1.0,7.0,4.0,,,,,2.0,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,,7.0,,0.3333333333333333,0.3333333333333333,1.0,,1.0,,1.1666666666666667,,,1.0,1.0,,1.0,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,1.0,0.5821666666666666,,0.3333333333333333,0.3333333333333333,,2.3333333333333335,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626153-1626181-201574-203512-203998,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Lucas Nogueira, Bruno Caboclo","Wright, Powell, Thompson, Nogueira, Caboclo",1626153-1626181-201574-203512-203998,TOR,910.0,1,30.0,29.0,,,59.0,1.0,14.0,18.0,,1.0,93.36263736263737,14.2,16.689655172413794,13.8,15.758620689655173,,15.0,4.0,10.0,18.0,,,4.0,1.0,3.0,4.0,12.0,25.0,5.0,4.0,28.0,24.0,,,,,16.0,4.0,8.0,8.0,7.0,,16.0,8.0,4.0,2.0,1.0,1.0,3.0,,1.0,4.0,3.0,,5.0,1.0,2.0,1.0,2.0,1.0,22.0,,0.6666666666666666,0.7272727272727273,0.48,,0.4,,0.43548387096774194,,0.16666666666666666,0.7272727272727273,0.6842105263157895,0.3333333333333333,1.0,0.5,0.6,0.5555555555555556,0.625,0.7,0.13333333333333333,0.1,0.3333333333333333,0.3333333333333333,,0.13333333333333333,,,0.7666666666666667,0.5362633333333334,,0.06451612903225806,0.04,,4.868,25.48,,,,,,,,,,,,,,8.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,6.0,2.0,3.0,1.0,1.0,3.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.12,0.1111111111111111,0.25,0.6666666666666666,0.23076923076923078,0.625,0.2,0.2222222222222222,0.25,0.3333333333333333,0.25,0.8,0.6666666666666666,0.5,0.25,0.3333333333333333,1.0,0.03333333333333333,0.5,1.0,0.5,0.4536,0.16666666666666666,0.21428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626153-1626181-201949-202335-203512,1610612761,"Delon Wright, Norman Powell, James Johnson, Patrick Patterson, Lucas Nogueira","Wright, Powell, Johnson, Patterson, Nogueira",1626153-1626181-201949-202335-203512,TOR,181.0,1,6.0,7.0,,2.0,13.0,1.0,2.0,2.0,,1.0,103.42541436464089,14.666666666666666,13.285714285714286,14.666666666666666,13.285714285714286,,3.0,-3.0,1.0,3.0,,,,,,1.0,1.0,3.0,1.0,2.0,4.0,7.0,,,,,2.0,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,,1.0,,2.0,4.0,2.0,,2.0,,,,,,4.0,,1.0,1.0,0.3333333333333333,,0.25,,0.4,,0.25,,1.0,,,,0.75,0.3333333333333333,0.5,1.0,,,,,,0.25,,,1.0,0.5249125,,,,,1.8,25.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626153-1626181-201949-202685-202709,1610612761,"Delon Wright, Norman Powell, James Johnson, Jonas Valanciunas, Cory Joseph","Wright, Powell, Johnson, Valanciunas, Joseph",1626153-1626181-201949-202685-202709,TOR,132.0,1,4.0,5.0,,5.0,9.0,1.0,3.0,3.0,,1.0,98.18181818181817,13.5,15.6,13.5,15.6,,2.0,-2.0,1.0,1.0,,,,,2.0,,1.0,3.0,1.0,,2.0,4.0,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,2.0,,,,0.3333333333333333,,0.25,,0.25,,0.25,1.0,1.0,,,1.0,0.25,1.0,1.0,,,0.5,,,,,,,0.5,0.4647625,,,,,11.299999999999999,22.2,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626153-1626181-201960-202687-203082,1610612761,"Delon Wright, Norman Powell, DeMarre Carroll, Bismack Biyombo, Terrence Ross","Wright, Powell, Carroll, Biyombo, Ross",1626153-1626181-201960-202687-203082,TOR,180.0,1,5.0,6.0,,,11.0,,,,,,88.0,15.4,17.166666666666668,15.4,17.166666666666668,,3.0,-5.0,1.0,1.0,,,1.0,,,,2.0,2.0,2.0,,4.0,9.0,,,,,4.0,,2.0,2.0,1.0,,4.0,,2.0,1.0,,,1.0,,,,,,,,,,,,4.0,,1.0,1.0,1.0,,0.5,,0.5,,0.5,,,,,,0.25,1.0,1.0,1.0,0.25,,,,,,,,0.75,0.5769625,,,,,2.1,23.55,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626153-1626181-201960-203512-2449,1610612761,"Delon Wright, Norman Powell, DeMarre Carroll, Lucas Nogueira, Luis Scola","Wright, Powell, Carroll, Nogueira, Scola",1626153-1626181-201960-203512-2449,TOR,100.0,1,4.0,4.0,2.0,,8.0,,1.0,1.0,2.0,,115.19999999999999,8.0,17.0,8.0,17.0,0.5,2.0,-4.0,,,,,1.0,,1.0,1.0,,2.0,1.0,1.0,1.0,5.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,1.0,,,,,,,,0.125,,0.3333333333333333,,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,,0.3333333333333333,0.3673666666666667,0.36995,0.25,0.3333333333333333,,12.55,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626153-1626181-202335-202685-202709,1610612761,"Delon Wright, Norman Powell, Patrick Patterson, Jonas Valanciunas, Cory Joseph","Wright, Powell, Patterson, Valanciunas, Joseph",1626153-1626181-202335-202685-202709,TOR,389.0,1,12.0,12.0,8.0,5.0,24.0,,3.0,5.0,8.0,,88.84318766066838,17.25,15.166666666666666,15.583333333333334,15.166666666666666,0.6666666666666666,6.0,-2.0,1.0,2.0,1.0,2.0,,1.0,5.0,1.0,2.0,7.0,3.0,3.0,10.0,12.0,2.0,5.0,1.0,8.0,,1.0,,1.0,,,3.0,3.0,3.0,2.0,,,3.0,2.0,,3.0,1.0,,3.0,1.0,1.0,,1.0,1.0,8.0,8.0,,,0.2857142857142857,0.4,0.35,0.5,0.4090909090909091,0.5,0.3,1.0,0.75,1.0,,1.0,0.2,0.5,0.5,,,0.5,0.2,0.2,,0.1,0.2857142857142857,0.5,0.5,0.469395,0.47950714285714285,0.09090909090909091,0.125,0.8,12.185714285714285,24.03333333333333,,1.0,3.0,,1.0,,1.0,0.3333333333333333,0.3333333333333333,,,,,4.0,,2.0,,,,2.0,,,2.0,,,,1.0,1.0,,2.0,1.0,3.0,2.0,1.0,1.0,,1.0,,,1.0,,,,1.0,0.2,,0.5,0.2857142857142857,,,,1.0,,,,,,0.2,,,,,,0.2,,,2.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,0.5,0.5,1.0,0.2857142857142857,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
