EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,FG2A,SecondChanceFG2A,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,LongMidRangeFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,Minutes,PlusMinus,DefPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Arc3FGM,Arc3FGA,FG2M,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyDefPoss,FTDefRebounds,DefFTReboundPct,FoulsDrawn,OffTwoPtRebounds,OffRebounds,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,Fouls,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefCorner3ReboundPct,PenaltyArc3FGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG3A,HeaveAttempts,Fg2aBlocked,ShortMidRangeAssists,DefTwoPtRebounds,Steals,BadPassSteals,LostBallSteals,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,FtPoints,BlockingFoulsDrawn,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyAtRimFrequency,PenaltyPointsPct,DefAtRimReboundPct,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyAtRimFGM,PenaltyAtRimAccuracy,Corner3FGA,Fg3aBlocked,SelfOReb,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,BlockedAtRim,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SelfORebPct,Corner3Frequency,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,OffThreePtRebounds,StepOutOfBoundsTurnovers,Offensive Fouls,BlockedLongMidRange,Defensive 3 Seconds Violations,PenaltyFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,Loose Ball Fouls Drawn,DefensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,team_id,year,season,team_vs
1626185-1713-202362-204098-2216,1610612763,"Jarell Martin, Vince Carter, Lance Stephenson, Xavier Munford, Zach Randolph","Martin, Carter, Stephenson, Munford, Randolph",1626185-1713-202362-204098-2216,MEM,10.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,144.0,10.0,1.0,0.3898,0.3898,0.3898,17.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,False
1626185-1713-202362-204098-2754,1610612763,"Jarell Martin, Vince Carter, Lance Stephenson, Xavier Munford, Tony Allen","Martin, Carter, Stephenson, Munford, Allen",1626185-1713-202362-204098-2754,MEM,210.0,1,8.0,,,14.0,2.0,5.0,,,,96.0,15.75,0.3333333333333333,0.4965,,,10.66,,4.0,4.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,13.0,9.0,4.0,6.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,13.0,0.4,0.4,1.0,1.0,1.0,1.0,1.0833333333333333,1.0833333333333333,0.16666666666666666,1.0,1.0,0.6666666666666666,1.0,14.0,15.75,11.0,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,1.0,0.5,1.0,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,False
1626185-1713-203210-204098-2440,1610612763,"Jarell Martin, Vince Carter, JaMychal Green, Xavier Munford, Matt Barnes","Martin, Carter, Green, Munford, Barnes",1626185-1713-203210-204098-2440,MEM,3.0,1,,,,1.0,,,,,,480.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,False
1626185-1713-204098-2365-2440,1610612763,"Jarell Martin, Vince Carter, Xavier Munford, Chris Andersen, Matt Barnes","Martin, Carter, Munford, Andersen, Barnes",1626185-1713-204098-2365-2440,MEM,66.0,1,1.0,,,3.0,,1.0,,,,65.45454545454545,30.0,,0.4089,,,10.0,,1.0,-4.0,2.0,,,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,30.0,18.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,False
1626185-200770-2216-2440-2754,1610612763,"Jarell Martin, Jordan Farmar, Zach Randolph, Matt Barnes, Tony Allen","Martin, Farmar, Randolph, Barnes, Allen",1626185-200770-2216-2440-2754,MEM,44.0,1,1.0,,1.0,2.0,,1.0,,,,65.45454545454545,25.0,,0.6041,,,1.1,,1.0,-1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,19.0,22.0,19.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,False
1626185-202362-203210-204098-2754,1610612763,"Jarell Martin, Lance Stephenson, JaMychal Green, Xavier Munford, Tony Allen","Martin, Stephenson, Green, Munford, Allen",1626185-202362-203210-204098-2754,MEM,417.0,2,14.0,,1.0,27.0,4.0,13.0,1.0,,,93.23741007194245,13.142857142857142,0.2857142857142857,0.5580384615384616,0.381,,7.707692307692308,,7.0,-1.0,13.0,4.0,5.0,1.0,4.0,1.0,,1.0,6.0,,1.0,12.0,13.0,10.0,2.0,,,,5.0,,5.0,,4.0,,10.0,2.0,4.0,5.0,1.0,,1.0,10.0,0.8333333333333334,0.8333333333333334,,,,0.46153846153846156,0.42857142857142855,0.4,0.07142857142857142,1.0,1.0,0.5714285714285714,1.0,17.923076923076923,12.714285714285714,16.076923076923077,0.35714285714285715,0.8,1.0,1.0,0.2857142857142857,0.25,0.5,0.25,0.25,,0.07142857142857142,,,,0.42857142857142855,,48.7,1.0,,,2.0,1.0,1.0,1.0,,1.0,5.0,0.14285714285714285,0.14285714285714285,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23076923076923078,0.2,0.5,0.4,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.06666666666666667,0.07142857142857142,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,False
1626185-202362-204098-2216-2754,1610612763,"Jarell Martin, Lance Stephenson, Xavier Munford, Zach Randolph, Tony Allen","Martin, Stephenson, Munford, Randolph, Allen",1626185-202362-204098-2216-2754,MEM,178.0,2,8.0,,1.0,12.0,3.0,8.0,2.0,,,97.07865168539325,19.375,0.3333333333333333,0.46205,0.54765,,9.05,,3.0,-2.0,4.0,1.0,4.0,1.0,1.0,,,1.0,2.0,,1.0,4.0,6.0,2.0,2.0,,1.0,,1.0,,1.0,,,,2.0,,,3.0,2.0,,2.0,2.0,0.5,1.0,,,,0.25,0.2222222222222222,0.2222222222222222,0.1111111111111111,1.0,,,,5.75,18.625,5.75,0.4444444444444444,0.25,0.5,,0.1111111111111111,1.0,1.0,,,,0.1111111111111111,,,,0.5555555555555556,,24.8,4.0,,,1.0,3.0,3.0,2.0,,,1.0,0.5,0.42857142857142855,0.6666666666666666,,,1.0,2.0,,,2.0,1.0,,1.0,,1.0,,,,,,,,0.5,0.5,0.5,0.25,0.5,,,,,,,1.0,,,,0.5,1.0,2.0,2.0,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,False
1626185-202362-204098-2365-2440,1610612763,"Jarell Martin, Lance Stephenson, Xavier Munford, Chris Andersen, Matt Barnes","Martin, Stephenson, Munford, Andersen, Barnes",1626185-202362-204098-2365-2440,MEM,53.0,1,2.0,,,3.0,,1.0,,,,81.50943396226415,18.0,,0.6816,,,0.2,,1.0,3.0,1.0,1.0,1.0,,,,,,1.0,,,3.0,,2.0,,,,,1.0,,1.0,,1.0,,2.0,,1.0,1.0,,,,3.0,1.0,1.0,,,,1.0,1.0,0.75,,,,1.0,,17.0,18.0,17.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,0.5,0.5,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,False
1626185-202362-2216-2440-2754,1610612763,"Jarell Martin, Lance Stephenson, Zach Randolph, Matt Barnes, Tony Allen","Martin, Stephenson, Randolph, Barnes, Allen",1626185-202362-2216-2440-2754,MEM,101.0,1,4.0,,,6.0,1.0,3.0,,,,85.54455445544555,15.75,0.25,0.4492,,,12.433333333333332,,2.0,1.0,2.0,,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,5.0,4.0,,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,,,3.0,,,,,,,5.0,,,1.0,1.0,1.0,0.3333333333333333,0.625,0.625,0.25,,,,,19.0,15.75,19.0,,,,,0.5,0.5,0.5,,,,0.25,1.0,1.0,1.0,0.25,1.0,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,False
1626185-203210-204098-2440-2754,1610612763,"Jarell Martin, JaMychal Green, Xavier Munford, Matt Barnes, Tony Allen","Martin, Green, Munford, Barnes, Allen",1626185-203210-204098-2440-2754,MEM,178.0,1,7.0,4.0,,14.0,2.0,3.0,,2.0,4.0,113.25842696629213,9.142857142857142,0.5,0.510375,,0.53635,12.6,0.5714285714285714,3.0,1.0,7.0,,1.0,,,2.0,,1.0,2.0,,1.0,8.0,7.0,2.0,2.0,,1.0,,1.0,,1.0,,,1.0,2.0,,1.0,1.0,,,1.0,8.0,0.5,0.5,,,,0.6666666666666666,0.5,0.6666666666666666,0.25,,,1.0,,16.285714285714285,9.142857142857142,16.285714285714285,0.25,,,,,,,1.0,1.0,0.5,0.25,,,,0.5,,24.8,6.0,,,2.0,,,,,2.0,5.0,,,,,,,,,,,,1.0,2.0,1.0,1.0,,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,0.3333333333333333,0.4,,,,,,,,4.0,,1.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,0.5,0.5,0.6666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2016,2015-16,False
