EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsUnassisted2s,NonHeaveArc3FGA,Steals,BadPassSteals,ShootingFouls,Fouls,Loose Ball Fouls,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,FtPoints,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,DefLongMidRangeReboundPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,Fg2aBlocked,AtRimAssists,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,NonShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyOffPoss,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LongMidRangeFGM,Corner3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3A,PtsAssisted3s,ThreePtAssists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,BadPassTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Frequency,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Charge Fouls Drawn,SelfORebPct,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,OffArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyDefPoss,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,PenaltyArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,FTDefRebounds,DefFTReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,Fg3aBlocked,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,3SecondViolations,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,DefensiveGoaltends,Technical Free Throw Trips,SecondChanceArc3FGM,BlockingFouls,SecondChanceArc3Accuracy,BlockingFoulsDrawn,SecondChanceArc3PctAssisted,NonShootingPenaltyNonTakeFouls,LostBallOutOfBoundsTurnovers,HeaveAttempts,FTOffRebounds,OffFTReboundPct,Charge Fouls,SecondChanceAtRimPctAssisted,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
1495-1626246-201980-202695-2225,1610612759,"Tim Duncan, Boban Marjanovic, Danny Green, Kawhi Leonard, Tony Parker","Duncan, Marjanovic, Green, Leonard, Parker",1495-1626246-201980-202695-2225,SAS,169.0,1,3.0,-6.0,5.0,5.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.3333333333333333,0.2,0.2,0.4,85.20710059171597,16.0,17.8,16.0,13.4,0.2,0.4,0.5,0.5,0.2,0.2,0.6,0.46134000000000003,6.633333333333333,23.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-1626246-201980-2225-2755,1610612759,"Tim Duncan, Boban Marjanovic, Danny Green, Tony Parker, Kevin Martin","Duncan, Marjanovic, Green, Parker, Martin",1495-1626246-201980-2225-2755,SAS,60.0,1,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,,,1.0,2.0,,4.0,,,,,,,,,2.0,0.5,0.5,0.6666666666666666,,72.0,14.0,32.0,13.5,32.0,0.5,0.5,1.0,1.0,,,0.5,0.50925,6.25,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-1889-1938-200746-202695,1610612759,"Tim Duncan, Andre Miller, Manu Ginobili, LaMarcus Aldridge, Kawhi Leonard","Duncan, Miller, Ginobili, Aldridge, Leonard",1495-1889-1938-200746-202695,SAS,29.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,49.6551724137931,,16.0,,16.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-1889-200746-201980-202695,1610612759,"Tim Duncan, Andre Miller, LaMarcus Aldridge, Danny Green, Kawhi Leonard","Duncan, Miller, Aldridge, Green, Leonard",1495-1889-200746-201980-202695,SAS,142.0,1,2.0,-2.0,5.0,6.0,11.0,3.0,,1.0,,,2.0,5.0,,5.0,7.0,2.0,,2.0,,1.0,1.0,,3.0,0.4,0.4,0.4166666666666667,,111.54929577464789,10.0,15.333333333333334,9.8,13.333333333333334,0.6,0.2,,,,,0.6,0.47796000000000005,6.88,,1.0,1.0,,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,0.5,1.0,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,,0.5,,,,0.4,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.5,0.2,1.0,1.0,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-1938-200746-201980-2225,1610612759,"Tim Duncan, Manu Ginobili, LaMarcus Aldridge, Danny Green, Tony Parker","Duncan, Ginobili, Aldridge, Green, Parker",1495-1938-200746-201980-2225,SAS,143.0,1,2.0,-1.0,4.0,4.0,8.0,,3.0,3.0,,,3.0,3.0,,8.0,9.0,6.0,,,,,1.0,1.0,8.0,1.0,1.0,1.0,,80.55944055944056,23.5,12.25,23.5,10.5,,1.0,1.0,1.0,,,,0.39749999999999996,8.633333333333333,,,2.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,3.0,3.0,2.0,8.0,8.0,4.0,1.0,1.0,1.0,1.0,0.39749999999999996,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-1938-200746-201988-202695,1610612759,"Tim Duncan, Manu Ginobili, LaMarcus Aldridge, Patty Mills, Kawhi Leonard","Duncan, Ginobili, Aldridge, Mills, Leonard",1495-1938-200746-201988-202695,SAS,5.0,1,,3.0,1.0,,1.0,,,,,,,,,3.0,,,,,,,,,3.0,,,1.5,,288.0,5.0,,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,3.0,3.0,1.0,,,,1.5,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-1938-200746-202695-2225,1610612759,"Tim Duncan, Manu Ginobili, LaMarcus Aldridge, Kawhi Leonard, Tony Parker","Duncan, Ginobili, Aldridge, Leonard, Parker",1495-1938-200746-202695-2225,SAS,948.0,6,16.0,-4.0,27.0,33.0,60.0,7.0,5.0,10.0,3.0,1.0,12.0,19.0,4.0,30.0,34.0,14.0,1.0,1.0,,3.0,6.0,1.0,30.0,0.631578947368421,0.5869565217391305,0.625,0.17391304347826086,91.13924050632912,16.074074074074073,15.575757575757576,16.037037037037038,15.333333333333334,0.30434782608695654,0.43478260869565216,0.5,0.5,0.13043478260869565,0.043478260869565216,0.4782608695652174,0.5195173913043478,6.978947368421053,24.05,1.0,3.0,,,10.0,5.0,6.0,1.0,13.0,,8.0,15.0,1.0,16.0,5.0,3.0,2.0,0.4166666666666667,0.4166666666666667,,0.6666666666666666,,0.7894736842105263,0.1,,0.5,0.2,0.08333333333333333,0.1,,1.0,5.0,,1.0,2.0,,1.0,,,3.0,1.0,4.0,1.0,4.0,,,,,,1.0,,0.7142857142857143,0.7142857142857143,0.6,0.08695652173913043,1.0,,,4.0,,2.0,,,,4.0,,,,,0.4152,,0.14814814814814814,,,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,5.0,5.0,5.0,3.0,1.0,1.0,0.25,0.25,1.0,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,0.6,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-1938-201980-2561-2755,1610612759,"Tim Duncan, Manu Ginobili, Danny Green, David West, Kevin Martin","Duncan, Ginobili, Green, West, Martin",1495-1938-201980-2561-2755,SAS,88.0,1,1.0,-2.0,3.0,4.0,7.0,2.0,,,,,,2.0,,,2.0,,,,,,1.0,,,,,,,114.54545454545455,16.333333333333332,9.75,15.666666666666666,9.75,1.0,,,,,,1.0,0.60205,1.15,,1.0,,,,,,,,,1.0,1.0,2.0,1.0,3.0,1.0,,,,,,1.0,0.5,1.0,0.5,0.5,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,2.0,,,,,,0.5,,,,,,1.0,,0.5551,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-1938-201988-202695-2561,1610612759,"Tim Duncan, Manu Ginobili, Patty Mills, Kawhi Leonard, David West","Duncan, Ginobili, Mills, Leonard, West",1495-1938-201988-202695-2561,SAS,80.0,1,1.0,3.0,2.0,2.0,4.0,,,,,2.0,,1.0,2.0,3.0,,,2.0,,,,,,3.0,,0.5,0.5,0.6666666666666666,72.0,16.5,23.5,12.5,23.5,,,,,,0.6666666666666666,0.6666666666666666,0.5330666666666667,15.5,24.05,1.0,,,,,,1.0,,3.0,,2.0,2.0,1.0,3.0,,,,,,,1.0,,1.0,0.5,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,0.5,0.5,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-1938-201988-202695-2564,1610612759,"Tim Duncan, Manu Ginobili, Patty Mills, Kawhi Leonard, Boris Diaw","Duncan, Ginobili, Mills, Leonard, Diaw",1495-1938-201988-202695-2564,SAS,104.0,1,2.0,3.0,3.0,3.0,6.0,1.0,,1.0,,1.0,,3.0,1.0,3.0,,,1.0,,,,1.0,,3.0,,0.375,0.375,0.25,83.07692307692308,24.333333333333332,10.333333333333334,24.333333333333332,10.333333333333334,0.25,0.25,,,,0.25,0.5,0.4349625,6.933333333333334,24.7,,,,,,,1.0,,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,1.0,0.3333333333333333,1.0,0.3333333333333333,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,0.25,,,,1.0,,,,3.0,3.0,1.0,,,1.5,1.5,0.34005,1.0,0.3333333333333333,,,,,1.0,1.0,1.0,3.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-1938-201988-203937-2561,1610612759,"Tim Duncan, Manu Ginobili, Patty Mills, Kyle Anderson, David West","Duncan, Ginobili, Mills, Anderson, West",1495-1938-201988-203937-2561,SAS,67.0,1,1.0,,2.0,2.0,4.0,,,1.0,,,1.0,2.0,,2.0,2.0,,,1.0,1.0,,1.0,,2.0,0.5,0.5,0.5,,85.97014925373134,14.5,19.0,14.5,18.5,,0.5,,,,,,0.388,13.4,,,,,,2.0,1.0,1.0,,2.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-1938-201988-203937-2564,1610612759,"Tim Duncan, Manu Ginobili, Patty Mills, Kyle Anderson, Boris Diaw","Duncan, Ginobili, Mills, Anderson, Diaw",1495-1938-201988-203937-2564,SAS,295.0,2,5.0,-2.0,11.0,12.0,23.0,,,2.0,1.0,,,3.0,1.0,9.0,11.0,,,,,3.0,3.0,,7.0,,0.375,0.5625,0.25,112.27118644067797,17.0,9.0,15.636363636363637,9.0,,0.5,,,0.25,,0.25,0.4471625,12.566666666666668,23.2,1.0,6.0,2.0,2.0,,,1.0,,3.0,1.0,3.0,5.0,1.0,6.0,7.0,8.0,3.0,,,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,,1.0,,0.42857142857142855,0.5,0.2222222222222222,1.0,,,,1.0,,,,2.0,,,4.0,2.0,4.0,1.0,,,0.6666666666666666,,1.0,1.0,,,,0.25,,,,6.0,,,4.0,7.0,7.0,6.0,1.0,,1.5,0.875,0.63585,0.7777777777777778,0.5454545454545454,,,,1.0,,1.0,1.0,3.0,1.0,1.0,,,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,4.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-1938-202695-2225-2561,1610612759,"Tim Duncan, Manu Ginobili, Kawhi Leonard, Tony Parker, David West","Duncan, Ginobili, Leonard, Parker, West",1495-1938-202695-2225-2561,SAS,16.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,90.0,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-200746-201980-201988-202695,1610612759,"Tim Duncan, LaMarcus Aldridge, Danny Green, Patty Mills, Kawhi Leonard","Duncan, Aldridge, Green, Mills, Leonard",1495-200746-201980-201988-202695,SAS,498.0,3,8.0,,16.0,16.0,32.0,4.0,1.0,3.0,,5.0,3.0,11.0,5.0,12.0,12.0,4.0,5.0,2.0,1.0,1.0,1.0,,12.0,0.2727272727272727,0.375,0.375,0.3125,92.5301204819277,17.3125,13.8125,15.9375,12.4375,0.25,0.1875,0.3333333333333333,0.3333333333333333,,0.3125,0.5625,0.5093875,8.945454545454545,25.76,2.0,,,,2.0,1.0,3.0,,8.0,2.0,3.0,8.0,3.0,11.0,3.0,,,0.3333333333333333,0.3333333333333333,,0.6,0.25,0.7777777777777778,0.2727272727272727,,0.5,,,,,1.0,2.0,,1.0,4.0,,2.0,,,1.0,1.0,3.0,1.0,3.0,,,,,,1.0,0.25,0.5,0.5,0.5,0.25,0.5,,0.46235,,,,,,,,,,,,,,,,,,,,2.0,,6.0,2.0,,,1.0,4.0,2.0,,,,,,,,1.0,0.4,0.4,1.0,0.3333333333333333,,0.5,1.0,1.0,,,,,,,,,,,,,,2.0,2.0,2.0,0.3333333333333333,0.4,0.4,1.0,0.4,2.0,,,,,0.5,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-200746-201980-202695-2225,1610612759,"Tim Duncan, LaMarcus Aldridge, Danny Green, Kawhi Leonard, Tony Parker","Duncan, Aldridge, Green, Leonard, Parker",1495-200746-201980-202695-2225,SAS,7481.0,15,125.0,33.0,232.0,236.0,468.0,72.0,17.0,50.0,13.0,22.0,88.0,181.0,35.0,249.0,216.0,102.0,22.0,27.0,20.0,22.0,39.0,3.0,230.0,0.4861878453038674,0.5185185185185185,0.5413043478260869,0.16203703703703703,90.0842133404625,16.55603448275862,15.423728813559322,16.025862068965516,14.690677966101696,0.3333333333333333,0.23148148148148148,0.34,0.37777777777777777,0.06018518518518518,0.10185185185185185,0.49537037037037035,0.5028569444444444,8.789502762430939,24.414285714285715,21.0,25.0,4.0,19.0,74.0,37.0,50.0,3.0,113.0,17.0,67.0,97.0,22.0,119.0,34.0,33.0,17.0,0.42045454545454547,0.45121951219512196,0.4523809523809524,0.6836734693877551,0.1827956989247312,0.7185185185185186,0.2,0.3448275862068966,0.5555555555555556,0.17647058823529413,0.07456140350877193,0.08808290155440414,0.07630522088353414,0.7857142857142857,43.0,6.0,11.0,59.0,6.0,16.0,12.0,16.0,19.0,7.0,14.0,3.0,25.0,2.0,0.375,0.39473684210526316,0.08839779005524862,0.125,0.56,0.0967741935483871,0.5972222222222222,0.6825396825396826,0.4418604651162791,0.27314814814814814,0.5789473684210527,0.5454545454545454,0.50888125,14.0,3.0,9.0,3.0,12.0,10.0,13.0,1.0,0.3333333333333333,0.32142857142857145,0.375,0.4339214285714285,0.04819277108433735,0.0603448275862069,,,28.0,7.0,5.0,16.0,5.0,39.0,13.0,6.0,15.0,5.0,30.0,11.0,,5.0,26.0,19.0,27.0,20.0,2.0,0.8125,0.45714285714285713,0.45714285714285713,0.8108108108108109,0.29411764705882354,0.16666666666666666,0.8,0.8181818181818182,0.8,0.7407407407407407,0.4745762711864407,0.49122807017543857,0.5357142857142857,0.5384615384615384,0.5384615384615384,0.8571428571428571,0.35714285714285715,2.0,1.0,11.0,,0.021505376344086023,9.0,9.0,7.0,0.36363636363636365,0.4090909090909091,0.42857142857142855,0.7777777777777778,0.4090909090909091,3.0,1.0,1.0,0.2,0.1,0.12121212121212122,0.2,,,,,,,1.0,2.0,1.0,2.0,1.0,1.0,3.0,9.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,0.3333333333333333,0.02857142857142857,0.03389830508474576,0.045454545454545456,0.10526315789473684,0.5,1.0,0.05263157894736842,0.14285714285714285,0.5,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
1495-200746-201980-203937-2225,1610612759,"Tim Duncan, LaMarcus Aldridge, Danny Green, Kyle Anderson, Tony Parker","Duncan, Aldridge, Green, Anderson, Parker",1495-200746-201980-203937-2225,SAS,33.0,1,1.0,-2.0,1.0,2.0,3.0,,,1.0,,,,1.0,,,2.0,,,,,1.0,1.0,,,,,,,130.9090909090909,15.0,9.0,15.0,9.0,,1.0,,,,,,0.4004,9.4,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,False
