EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Arc3FGA,FG3A,NonHeaveArc3FGA,BadPassTurnovers,FG3APct,DefShortMidRangeReboundPct,Arc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Steals,LostBallSteals,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,LongMidRangeAssists,DefLongMidRangeReboundPct,LongMidRangePctAssisted,PenaltyDefPoss,FTDefRebounds,DefFTReboundPct,AtRimAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Charge Fouls,2pt And 1 Free Throw Trips,AtRimPctAssisted,ShortMidRangePctBlocked,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,Corner3Assists,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,OffThreePtRebounds,BadPassSteals,SecondChanceTurnovers,PenaltyTurnovers,BlockingFouls,Loose Ball Fouls,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,PenaltyFtPoints,HeaveAttempts,FTOffRebounds,LostBallOutOfBoundsTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,OffFTReboundPct,SecondChanceCorner3FGA,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SelfOReb,Offensive Fouls Drawn,SelfORebPct,Travels,Charge Fouls Drawn,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,OffLongMidRangeReboundPct,team_id,year,season,team_vs
1626169-201229-202694-202704-203083,1610612765,"Stanley Johnson, Anthony Tolliver, Marcus Morris, Reggie Jackson, Andre Drummond","Johnson, Tolliver, Morris, Jackson, Drummond",1626169-201229-202694-202704-203083,DET,115.0,1,2.0,1.0,4.0,3.0,1.0,7,1.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.375,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,87.65217391304347,1.0,16.5,16.333333333333332,16.25,16.333333333333332,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3792333333333333,0.25,0.25,0.3333333333333333,7.466666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
1626169-201229-202694-203083-2581,1610612765,"Stanley Johnson, Anthony Tolliver, Marcus Morris, Andre Drummond, Steve Blake","Johnson, Tolliver, Morris, Drummond, Blake",1626169-201229-202694-203083-2581,DET,197.0,1,3.0,-4.0,6.0,6.0,,12,1.0,3.0,1.0,3.0,1.0,3.0,7.0,,,2.0,1.0,1.0,1.0,2.0,,1.0,2.0,3.0,,3.0,1.0,,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.25,0.3,,1.0,1.0,,1.0,1.0,,,1.0,1.0,87.71573604060914,1.0,18.166666666666668,14.666666666666666,18.166666666666668,14.666666666666666,0.75,0.3333333333333333,0.3333333333333333,1.0,0.432,0.2,0.25,,8.933333333333334,1.0,1.0,1.0,1.0,0.25,1.0,0.25,0.25,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
1626169-201229-202699-202704-203083,1610612765,"Stanley Johnson, Anthony Tolliver, Tobias Harris, Reggie Jackson, Andre Drummond","Johnson, Tolliver, Harris, Jackson, Drummond",1626169-201229-202699-202704-203083,DET,129.0,1,2.0,5.0,4.0,4.0,1.0,8,,,2.0,3.0,,7.0,2.0,,2.0,,,1.0,,3.0,1.0,2.0,,2.0,1.0,3.0,,,,,,1.0,,,,,,,5.0,,,0.6666666666666666,0.7,0.7,1.0,,,1.0,1.0,1.0,0.5,,,1.0,89.30232558139535,,14.25,18.0,14.0,18.0,,,,,0.54527,,,0.2857142857142857,6.466666666666666,2.0,2.0,2.0,,0.4,,0.4,0.8,25.75,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.3333333333333333,0.5,1.0,0.4,0.5,1.0,0.2,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.6285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
1626169-201229-202699-203083-2581,1610612765,"Stanley Johnson, Anthony Tolliver, Tobias Harris, Andre Drummond, Steve Blake","Johnson, Tolliver, Harris, Drummond, Blake",1626169-201229-202699-203083-2581,DET,45.0,1,1.0,-3.0,,1.0,,1,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,32.0,,,30.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
1626169-201229-202699-203382-2581,1610612765,"Stanley Johnson, Anthony Tolliver, Tobias Harris, Aron Baynes, Steve Blake","Johnson, Tolliver, Harris, Baynes, Blake",1626169-201229-202699-203382-2581,DET,144.0,1,2.0,-2.0,4.0,4.0,,8,,,1.0,2.0,2.0,4.0,6.0,,,2.0,1.0,1.0,,2.0,,,2.0,2.0,,2.0,1.0,,1.0,,1.0,1.0,2.0,1.0,,,,,4.0,1.0,1.0,0.5,0.5,0.6666666666666666,,1.0,1.0,,,1.0,,,,,80.0,,18.25,17.75,18.25,17.75,,,,,0.44985,0.3333333333333333,0.3333333333333333,,9.2,,,,1.0,,,,0.5,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
1626169-201229-202699-203484-2581,1610612765,"Stanley Johnson, Anthony Tolliver, Tobias Harris, Kentavious Caldwell-Pope, Steve Blake","Johnson, Tolliver, Harris, Caldwell-Pope, Blake",1626169-201229-202699-203484-2581,DET,29.0,1,,2.0,1.0,1.0,,2,,,1.0,1.0,,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,,0.5,,,0.5,,,1.0,,99.3103448275862,,22.0,7.0,22.0,6.0,,,,,0.3565,,,,18.1,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
1626169-201229-202704-203382-203484,1610612765,"Stanley Johnson, Anthony Tolliver, Reggie Jackson, Aron Baynes, Kentavious Caldwell-Pope","Johnson, Tolliver, Jackson, Baynes, Caldwell-Pope",1626169-201229-202704-203382-203484,DET,64.0,1,1.0,,2.0,2.0,,4,,,1.0,1.0,,2.0,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,2.0,,,1.0,0.5,0.5,,,,,,,,,,,90.0,,21.0,11.0,21.0,11.0,,,,,0.3555,,,,18.0,1.0,1.0,1.0,,0.5,,0.5,0.5,26.4,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
1626169-201229-203382-203484-2581,1610612765,"Stanley Johnson, Anthony Tolliver, Aron Baynes, Kentavious Caldwell-Pope, Steve Blake","Johnson, Tolliver, Baynes, Caldwell-Pope, Blake",1626169-201229-203382-203484-2581,DET,238.0,2,4.0,-5.0,7.0,7.0,,14,,1.0,2.0,4.0,1.0,5.0,10.0,,,4.0,2.0,2.0,,4.0,,1.0,2.0,3.0,,3.0,,,2.0,1.0,2.0,2.0,1.0,1.0,,,,,5.0,1.0,1.0,0.5,0.4,0.5,,,1.0,,1.0,1.0,,,,1.0,84.70588235294117,,15.142857142857142,18.857142857142858,15.142857142857142,18.857142857142858,0.2,,,,0.51271,0.2,0.25,,5.825,1.0,1.0,1.0,,0.2,,0.2,0.6,25.1,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.4,1.0,1.0,0.2,,,,,,,,,,,1.0,,,,,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
1626169-201229-203382-203493-2581,1610612765,"Stanley Johnson, Anthony Tolliver, Aron Baynes, Reggie Bullock, Steve Blake","Johnson, Tolliver, Baynes, Bullock, Blake",1626169-201229-203382-203493-2581,DET,215.0,1,4.0,-9.0,6.0,7.0,,13,,2.0,1.0,4.0,,2.0,11.0,,,2.0,1.0,1.0,,2.0,,1.0,1.0,2.0,,2.0,1.0,,1.0,,,1.0,,,,,,,2.0,1.0,1.0,0.25,0.2,0.2,,1.0,1.0,,1.0,1.0,,,,1.0,87.06976744186046,,20.333333333333332,13.285714285714286,20.333333333333332,13.285714285714286,0.4,,,,0.49684999999999996,,,,8.625,1.0,1.0,1.0,1.0,0.2,1.0,0.2,0.4,25.6,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,0.25,,,0.2,1.0,1.0,0.2,,,,,,,,,,,,,,,,1.0,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
1626169-202694-202699-202704-203484,1610612765,"Stanley Johnson, Marcus Morris, Tobias Harris, Reggie Jackson, Kentavious Caldwell-Pope","Johnson, Morris, Harris, Jackson, Caldwell-Pope",1626169-202694-202699-202704-203484,DET,605.0,4,10.0,8.0,13.0,13.0,,26,3.0,3.0,6.0,7.0,,24.0,16.0,,,6.0,3.0,6.0,2.0,15.0,,1.0,3.0,4.0,,4.0,,,,,2.0,1.0,,,,,,,24.0,0.5,0.5,0.8571428571428571,0.9230769230769231,0.9230769230769231,,,0.6,,0.3333333333333333,0.5,,,,,61.88429752066115,,14.923076923076923,31.615384615384617,14.923076923076923,24.76923076923077,0.23076923076923078,1.0,1.0,0.6666666666666666,0.5148846153846154,,,,7.128571428571428,5.0,6.0,5.0,,0.46153846153846156,1.0,0.38461538461538464,0.6923076923076923,25.416666666666668,3.0,3.0,,,,1.0,3.0,4.0,,,6.0,9.0,,3.0,,3.0,2.0,2.0,2.0,0.75,0.6666666666666666,0.6666666666666666,,,,,,0.23076923076923078,1.0,1.0,0.07692307692307693,,,0.6,0.6,0.6666666666666666,,,0.6,,,,,6.0,,,1.0,,,,,0.3333333333333333,,12.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,6.0,4.0,6.0,22.0,3.0,1.0,22.0,12.0,1.0,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,1.0,0.07692307692307693,1.0,1.0,1.0,0.25,1.0,0.08333333333333333,1.0,0.4166666666666667,0.6,0.5241916666666667,0.9166666666666666,0.9230769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,False
