EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,BlockingFouls,Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,SecondChanceFG2A,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyPointsPct,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyTurnovers,Charge Fouls Drawn,Blocked3s,BlockedArc3,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceFtPoints,OffArc3ReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Charge Fouls,Offensive Fouls,OffLongMidRangeReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsPutbacks,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,3SecondViolations,LongMidRangePctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,ThreePtShootingFoulsDrawn,DefensiveGoaltends,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
1626181-200768-201574-202709-203082,1610612761,"Norman Powell, Kyle Lowry, Jason Thompson, Cory Joseph, Terrence Ross","Powell, Lowry, Thompson, Joseph, Ross",1626181-200768-201574-202709-203082,TOR,76.0,1,1.0,-2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,0.5,75.78947368421053,13.0,25.0,13.0,17.5,1.0,0.378,0.378,20.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626181-200768-201942-201960-202335,1610612761,"Norman Powell, Kyle Lowry, DeMar DeRozan, DeMarre Carroll, Patrick Patterson","Powell, Lowry, DeRozan, Carroll, Patterson",1626181-200768-201942-201960-202335,TOR,115.0,1,2.0,1.0,4.0,4.0,,4.0,8.0,1.0,2.0,7.0,,,,1.0,1.0,1.0,,,,,,,100.17391304347825,17.25,11.5,16.5,11.5,0.25,0.5760875,,9.85,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,8.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.875,1.5,1.0,1.5,0.5,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.25,0.5,0.375,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626181-200768-201942-201960-202685,1610612761,"Norman Powell, Kyle Lowry, DeMar DeRozan, DeMarre Carroll, Jonas Valanciunas","Powell, Lowry, DeRozan, Carroll, Valanciunas",1626181-200768-201942-201960-202685,TOR,2135.0,5,36.0,4.0,67.0,64.0,13.0,10.0,131.0,11.0,47.0,69.0,11.0,9.0,23.0,26.0,18.0,12.0,1.0,13.0,1.0,0.9,0.6111111111111112,0.8888888888888888,88.3559718969555,15.537313432835822,17.09375,15.35820895522388,15.640625,0.21568627450980393,0.49007254901960784,0.40620000000000006,7.859574468085106,0.19402985074626866,4.0,10.0,16.0,5.0,2.0,2.0,2.0,,,27.0,3.0,4.0,10.0,73.0,,,,12.0,42.0,3.0,2.0,2.0,6.0,1.0,7.0,,4.0,15.0,,3.0,1.0,5.0,14.0,5.0,,11.0,2.0,6.0,73.0,1.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.75,,0.75,0.574468085106383,0.6176470588235294,,0.6517857142857143,,0.0784313725490196,,0.14285714285714285,,0.3137254901960784,0.625,0.6666666666666666,0.4,0.45454545454545453,0.45454545454545453,0.0392156862745098,0.0392156862745098,1.0,1.0,,,,,0.39215686274509803,1.0,0.10909090909090909,0.11764705882352941,,24.6,1.0,2.0,2.0,12.0,20.0,1.0,2.0,7.0,4.0,18.0,6.0,3.0,1.0,1.0,1.0,3.0,13.0,1.0,1.0,5.0,3.0,2.0,9.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,3.0,5.0,2.0,1.0,2.0,5.0,2.0,18.0,0.6363636363636364,0.6363636363636364,0.6923076923076923,0.06382978723404255,0.0625,0.1,0.6428571428571429,0.5,0.5,0.15,0.16666666666666666,0.25,0.3333333333333333,0.5384615384615384,0.5714285714285714,1.0,0.05555555555555555,0.4,0.39215686274509803,0.6,0.6666666666666666,0.08333333333333333,0.2,0.5,0.5,1.0,0.5,0.18181818181818182,1.0,0.4641,0.2465753424657534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626181-200768-201942-201960-202687,1610612761,"Norman Powell, Kyle Lowry, DeMar DeRozan, DeMarre Carroll, Bismack Biyombo","Powell, Lowry, DeRozan, Carroll, Biyombo",1626181-200768-201942-201960-202687,TOR,443.0,3,7.0,8.0,14.0,14.0,4.0,4.0,28.0,2.0,10.0,12.0,2.0,4.0,7.0,8.0,3.0,4.0,,4.0,,0.8,0.5833333333333334,0.75,91.0158013544018,12.928571428571429,18.714285714285715,12.571428571428571,17.142857142857142,0.16666666666666666,0.4827958333333333,0.4473125,7.69,0.2857142857142857,1.0,3.0,4.0,2.0,1.0,1.0,1.0,,,7.0,1.0,2.0,3.0,20.0,,,2.0,4.0,10.0,,1.0,1.0,2.0,,2.0,,1.0,4.0,,1.0,,,1.0,1.0,,2.0,,2.0,18.0,1.0,0.2857142857142857,0.2857142857142857,,0.5,,0.5,0.7,0.7083333333333334,1.0,0.7142857142857143,1.0,0.16666666666666666,,0.25,,0.3333333333333333,0.75,0.75,0.3333333333333333,1.0,1.0,0.08333333333333333,0.08333333333333333,1.0,1.0,,,,,0.5,1.0,0.14285714285714285,0.16666666666666666,0.1,23.75,,,,2.0,4.0,,1.0,1.0,,5.0,3.0,2.0,,,1.0,1.0,3.0,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,2.0,1.0,5.0,0.5,0.625,0.625,0.2,,0.5,1.0,,0.42857142857142855,0.3333333333333333,,0.5,1.0,0.25,0.5,1.0,,0.5,0.3333333333333333,0.5,1.0,,0.5,,,,,,,0.3876,0.25,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626181-200768-201942-201960-202709,1610612761,"Norman Powell, Kyle Lowry, DeMar DeRozan, DeMarre Carroll, Cory Joseph","Powell, Lowry, DeRozan, Carroll, Joseph",1626181-200768-201942-201960-202709,TOR,65.0,2,1.0,8.0,6.0,3.0,4.0,3.0,9.0,,4.0,1.0,3.0,,2.0,2.0,1.0,,,4.0,,,1.0,,199.3846153846154,6.666666666666667,8.333333333333334,6.666666666666667,8.333333333333334,,0.5957250000000001,0.6155875,1.2,0.6666666666666666,,3.0,4.0,,,1.0,2.0,,,3.0,1.0,2.0,,9.0,,,,6.0,,3.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,9.0,,,,,,,,1.0,,,9.0,,1.0,1.0,1.0,0.5,,0.5,0.75,0.75,,0.75,,0.3333333333333333,,,,0.6666666666666666,0.75,0.75,1.0,,,,0.3333333333333333,0.5,0.5,1.0,,,,1.0,0.5,,,,27.1,,3.0,3.0,,,,,3.0,,6.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.75,0.75,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,0.75,1.0,,0.6666666666666666,,,1.0,,,1.0,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626181-200768-201942-202335-202685,1610612761,"Norman Powell, Kyle Lowry, DeMar DeRozan, Patrick Patterson, Jonas Valanciunas","Powell, Lowry, DeRozan, Patterson, Valanciunas",1626181-200768-201942-202335-202685,TOR,517.0,4,9.0,-1.0,18.0,18.0,13.0,11.0,36.0,5.0,12.0,16.0,8.0,2.0,7.0,8.0,2.0,3.0,,13.0,,0.6666666666666666,0.6666666666666666,1.0,100.27079303675048,13.222222222222221,15.5,12.5,14.277777777777779,0.3125,0.496775,0.44520909090909094,9.475,0.7222222222222222,2.0,3.0,5.0,3.0,3.0,,1.0,,,6.0,,4.0,3.0,15.0,,,3.0,8.0,4.0,,1.0,,4.0,,4.0,,3.0,8.0,1.0,1.0,,,1.0,2.0,,2.0,1.0,2.0,12.0,,0.6666666666666666,0.6666666666666666,,,,,0.5,0.375,1.0,0.4411764705882353,1.5,0.25,0.3333333333333333,0.1111111111111111,,0.3125,0.6,0.75,1.0,0.6,0.6,0.1875,0.0625,,,,,,,0.5625,,0.11764705882352941,0.15384615384615385,0.2,24.5,1.0,,2.0,,2.0,,1.0,2.0,2.0,6.0,,1.0,,,1.0,,4.0,1.0,,3.0,3.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,6.0,0.25,0.18181818181818182,0.25,0.08333333333333333,0.2,,1.0,1.0,0.6666666666666666,,,,0.5,,1.0,0.5,,1.0,0.125,,,,0.3333333333333333,,,,1.0,0.18181818181818182,,,0.4,3.0,,,1.0,,3.0,1.0,,,,,1.0,0.2727272727272727,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626181-200768-201942-202335-202687,1610612761,"Norman Powell, Kyle Lowry, DeMar DeRozan, Patrick Patterson, Bismack Biyombo","Powell, Lowry, DeRozan, Patterson, Biyombo",1626181-200768-201942-202335-202687,TOR,30.0,1,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,48.0,17.0,,17.0,,,0.5379,0.5379,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626181-200768-201942-202685-202709,1610612761,"Norman Powell, Kyle Lowry, DeMar DeRozan, Jonas Valanciunas, Cory Joseph","Powell, Lowry, DeRozan, Valanciunas, Joseph",1626181-200768-201942-202685-202709,TOR,108.0,1,2.0,2.0,2.0,3.0,2.0,,5.0,,2.0,2.0,2.0,1.0,1.0,1.0,,,,2.0,,1.0,1.0,1.0,66.66666666666667,15.5,25.666666666666668,15.5,25.666666666666668,,0.49555,0.49555,7.4,1.0,,1.0,1.0,,,,,,,2.0,,,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,1.0,,1.0,,,,,,0.5,1.0,1.0,,,,,,,,,,,,0.5,,,,,,,1.0,1.0,1.0,1.0,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,0.5,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626181-200768-201942-202685-203082,1610612761,"Norman Powell, Kyle Lowry, DeMar DeRozan, Jonas Valanciunas, Terrence Ross","Powell, Lowry, DeRozan, Valanciunas, Ross",1626181-200768-201942-202685-203082,TOR,186.0,1,3.0,1.0,5.0,6.0,,,11.0,1.0,4.0,6.0,,,1.0,1.0,1.0,,,,,,1.0,,85.16129032258064,20.8,13.666666666666666,20.8,13.666666666666666,0.2,0.44259000000000004,,7.95,,,1.0,2.0,1.0,,1.0,1.0,,,2.0,1.0,1.0,,7.0,,,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,,,,,,,,,,,7.0,,0.5,0.5,1.0,1.0,,1.0,0.5,0.7,,0.7,,0.2,,,,0.4,0.5,0.5,1.0,1.0,1.0,,0.2,1.0,1.0,1.0,,,,0.6,1.0,,,,26.8,,,,,1.0,,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
1626181-200768-201942-202685-2449,1610612761,"Norman Powell, Kyle Lowry, DeMar DeRozan, Jonas Valanciunas, Luis Scola","Powell, Lowry, DeRozan, Valanciunas, Scola",1626181-200768-201942-202685-2449,TOR,1025.0,2,17.0,-5.0,35.0,35.0,2.0,12.0,70.0,10.0,24.0,31.0,1.0,3.0,16.0,20.0,11.0,10.0,,2.0,,0.75,0.7647058823529411,1.0,98.34146341463415,14.085714285714285,15.2,13.085714285714285,14.685714285714285,0.35714285714285715,0.4936607142857143,0.5247,9.341666666666667,0.05714285714285714,2.0,4.0,11.0,3.0,1.0,1.0,3.0,,,7.0,2.0,4.0,6.0,26.0,,,2.0,8.0,6.0,6.0,3.0,1.0,4.0,2.0,6.0,1.0,2.0,14.0,1.0,4.0,1.0,5.0,7.0,7.0,2.0,10.0,,5.0,24.0,,0.5714285714285714,0.5714285714285714,1.0,0.5,,0.5,0.2916666666666667,0.35714285714285715,,0.3939393939393939,0.25,0.14285714285714285,0.5,0.21052631578947367,,0.39285714285714285,0.36363636363636365,0.4,0.5,0.3,0.3,0.03571428571428571,0.10714285714285714,0.3333333333333333,0.3333333333333333,1.0,,,,0.5357142857142857,0.3333333333333333,0.15151515151515152,0.1724137931034483,0.07692307692307693,24.15,1.0,,1.0,,3.0,1.0,2.0,,2.0,2.0,,2.0,1.0,,2.0,3.0,10.0,3.0,,3.0,2.0,1.0,2.0,2.0,,1.0,,1.0,,,1.0,5.0,1.0,1.0,3.0,5.0,5.0,2.0,,,0.5,0.08333333333333333,0.09090909090909091,0.3333333333333333,0.2857142857142857,0.75,0.7692307692307693,0.17647058823529413,0.14285714285714285,0.3333333333333333,0.75,0.8,0.75,0.5,,1.0,0.10714285714285714,,,,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,,0.4345,0.07692307692307693,,,,,,,,2.0,,,,,,,,,2.0,0.5,,,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,True
