EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShootingFouls,LongMidRangeFGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG3A,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APct,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,SecondChancePointsPct,Avg3ptShotDistance,PtsUnassisted2s,Steals,BadPassSteals,DefThreePtRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefCorner3ReboundPct,AtRimFGM,Corner3FGA,AtRimAssists,StepOutOfBoundsTurnovers,Loose Ball Fouls,Technical Free Throw Trips,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,ShortMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PtsPutbacks,ShortMidRangeAssists,FTOffRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,BlockingFouls,Charge Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3FGM,PtsUnassisted3s,BlockedLongMidRange,PenaltyArc3Accuracy,BlockingFoulsDrawn,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,LongMidRangePctBlocked,Fg3aBlocked,OffensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,HeaveAttempts,BlockedShortMidRange,DefensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,BlockedCorner3,Arc3PctBlocked,3pt And 1 Free Throw Trips,HeaveMakes,team_id,year,season,team_vs
101107-1626151-201150-202391-202689,1610612766,"Marvin Williams, Aaron Harrison, Spencer Hawes, Jeremy Lin, Kemba Walker","Williams, Harrison, Hawes, Lin, Walker",101107-1626151-201150-202391-202689,CHA,132.0,1,2.0,-2.0,5.0,6.0,5.0,6.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,0.25,0.25,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,119.99999999999999,12.8,11.333333333333334,12.0,11.333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.40609999999999996,0.5227,0.40609999999999996,0.25,0.25,1.0,8.566666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,True
101107-1626151-201150-202391-203148,1610612766,"Marvin Williams, Aaron Harrison, Spencer Hawes, Jeremy Lin, Brian Roberts","Williams, Harrison, Hawes, Lin, Roberts",101107-1626151-201150-202391-203148,CHA,32.0,1,1.0,-2.0,,1.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,45.0,,20.0,,20.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,True
101107-1626151-201150-202689-203148,1610612766,"Marvin Williams, Aaron Harrison, Spencer Hawes, Kemba Walker, Brian Roberts","Williams, Harrison, Hawes, Walker, Roberts",101107-1626151-201150-202689-203148,CHA,27.0,1,,2.0,1.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,2.0,,1.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,2.0,1.0,0.5,0.5,,,,1.0,,,,53.33333333333333,26.0,,22.0,,,,0.5,,,0.5,0.32235,,0.32235,,,1.0,18.5,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,True
101107-1626163-201150-201584-202689,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Courtney Lee, Kemba Walker","Williams, Kaminsky, Hawes, Lee, Walker",101107-1626163-201150-201584-202689,CHA,43.0,1,1.0,2.0,1.0,1.0,,,,2.0,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,66.97674418604652,21.0,22.0,21.0,22.0,,,1.0,,,,0.3961,,,,,,18.1,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,True
101107-1626163-201150-201587-202391,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Nicolas Batum, Jeremy Lin","Williams, Kaminsky, Hawes, Batum, Lin",101107-1626163-201150-201587-202391,CHA,150.0,1,2.0,1.0,6.0,6.0,6.0,6.0,,12.0,1.0,,1.0,,1.0,2.0,4.0,4.0,3.0,,2.0,4.0,4.0,,,3.0,,3.0,,,1.0,1.0,1.0,,3.0,6.0,2.0,4.0,4.0,6.0,0.4,0.4,,,0.3333333333333333,,,,,115.2,12.0,13.0,12.0,11.666666666666666,0.5,,0.5,,0.5,0.5,0.4105,,0.4105,0.5,0.5,1.0,9.05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,True
101107-1626163-201150-201587-202689,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Nicolas Batum, Kemba Walker","Williams, Kaminsky, Hawes, Batum, Walker",101107-1626163-201150-201587-202689,CHA,444.0,5,7.0,5.0,15.0,14.0,2.0,2.0,,29.0,5.0,,1.0,,3.0,8.0,4.0,14.0,9.0,,1.0,2.0,2.0,,6.0,7.0,,7.0,1.0,,1.0,,2.0,,2.0,5.0,2.0,14.0,2.0,2.0,0.5,0.5,1.0,,0.875,,,1.0,1.0,94.05405405405405,14.466666666666667,16.214285714285715,14.466666666666667,16.214285714285715,0.4166666666666667,,0.25,,1.0,0.75,0.5832,,0.5048,0.14285714285714285,0.2,0.14285714285714285,6.9625,0.13333333333333333,1.0,1.0,3.0,,5.0,4.0,,,,,10.0,3.0,5.0,5.0,1.0,10.0,,1.0,1.0,0.625,,,0.4166666666666667,,,,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,1.0,0.25,,,24.575,,3.0,3.0,1.0,,,,,1.0,,,,0.5,,4.0,1.0,4.0,1.0,1.0,1.0,1.0,0.5,0.8,0.8,1.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,True
101107-1626163-201150-201587-203148,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Nicolas Batum, Brian Roberts","Williams, Kaminsky, Hawes, Batum, Roberts",101107-1626163-201150-201587-203148,CHA,129.0,2,2.0,-8.0,5.0,5.0,,,,10.0,1.0,,,1.0,2.0,4.0,,2.0,10.0,,,,,,,,,,,,,,1.0,,,,,2.0,,,0.2,,,,,,,,,111.62790697674419,13.2,12.6,13.2,12.2,0.2,0.2,0.4,,,0.4,0.45918000000000003,,,,,,11.3,,,1.0,1.0,,1.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,0.25,,,0.2,,,,0.2,,,0.5,0.5,1.0,0.2,,,25.3,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,True
101107-1626163-201150-202391-202689,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Jeremy Lin, Kemba Walker","Williams, Kaminsky, Hawes, Lin, Walker",101107-1626163-201150-202391-202689,CHA,971.0,7,16.0,3.0,31.0,29.0,3.0,16.0,3.0,60.0,8.0,2.0,1.0,4.0,4.0,16.0,2.0,33.0,30.0,3.0,1.0,,3.0,4.0,10.0,12.0,4.0,16.0,2.0,1.0,7.0,,5.0,,5.0,2.0,1.0,33.0,3.0,3.0,0.5892857142857143,0.5,0.8333333333333334,0.36363636363636365,0.8,0.26666666666666666,0.3333333333333333,1.0,0.8,88.98043254376931,15.903225806451612,16.482758620689655,14.935483870967742,15.310344827586206,0.2962962962962963,0.14814814814814814,0.14814814814814814,0.6666666666666666,0.3333333333333333,0.7037037037037037,0.5203574074074074,0.4449666666666667,0.6479,0.03571428571428571,0.058823529411764705,0.09090909090909091,8.11875,0.0967741935483871,3.0,1.0,4.0,1.0,5.0,11.0,,,,2.0,8.0,4.0,4.0,11.0,1.0,29.0,,0.8,0.8,0.3125,,,0.5740740740740741,,0.5,,0.4074074074074074,,,0.25,0.25,1.0,0.14814814814814814,0.3333333333333333,,23.954545454545453,2.0,1.0,1.0,2.0,,5.0,2.0,,1.0,,0.7142857142857143,,0.6666666666666666,,3.0,7.0,3.0,,1.0,,0.5,0.6666666666666666,0.375,0.5,1.0,0.25925925925925924,1.0,6.0,1.0,1.0,1.0,7.0,1.0,21.0,1.0,2.0,7.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.6363636363636364,0.5,0.6363636363636364,0.125,0.25,0.6,0.07692307692307693,0.25,0.25,0.8571428571428571,0.8571428571428571,1.0,0.25,0.25,1.0,0.3333333333333333,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,True
101107-1626163-201150-202391-203087,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Jeremy Lin, Jeremy Lamb","Williams, Kaminsky, Hawes, Lin, Lamb",101107-1626163-201150-202391-203087,CHA,5406.0,19,90.0,-51.0,163.0,172.0,3.0,12.0,21.0,335.0,57.0,16.0,3.0,37.0,39.0,133.0,15.0,155.0,206.0,21.0,4.0,1.0,3.0,24.0,38.0,58.0,30.0,88.0,8.0,,18.0,1.0,40.0,1.0,27.0,22.0,13.0,134.0,3.0,3.0,0.4403409090909091,0.25,0.7169811320754716,0.3076923076923077,0.6708860759493671,0.28431372549019607,0.21739130434782608,0.6956521739130435,0.6666666666666666,89.23418423973364,16.570552147239265,15.726744186046512,15.766871165644172,14.94767441860465,0.3413173652694611,0.2215568862275449,0.23353293413173654,0.6666666666666666,0.6,0.5449101796407185,0.4959353293413174,0.5544631578947369,0.51949,0.07386363636363637,0.09154929577464789,0.01935483870967742,8.401503759398498,0.018404907975460124,22.0,16.0,21.0,1.0,55.0,34.0,7.0,21.0,1.0,1.0,74.0,21.0,37.0,47.0,13.0,104.0,5.0,0.6727272727272727,0.74,0.41353383458646614,0.3333333333333333,0.25,0.41916167664670656,0.4166666666666667,0.2,0.42,0.20359281437125748,0.20833333333333334,0.26666666666666666,0.41025641025641024,0.41025641025641024,0.8125,0.12574850299401197,0.2,0.13548387096774195,24.576470588235296,36.0,13.0,9.0,15.0,5.0,10.0,6.0,,1.0,,0.5555555555555556,0.8333333333333334,0.5769230769230769,0.6666666666666666,21.0,13.0,13.0,,,,0.8,0.5652173913043478,0.3684210526315789,0.45652173913043476,0.6190476190476191,0.07784431137724551,18.0,4.0,,,6.0,10.0,,30.0,6.0,17.0,10.0,6.0,4.0,8.0,2.0,4.0,2.0,3.0,1.0,,1.0,0.29411764705882354,,0.29411764705882354,0.12781954887218044,0.19298245614035087,0.3055555555555556,0.09411764705882353,0.4864864864864865,0.5806451612903226,0.3076923076923077,0.3076923076923077,1.0,0.2857142857142857,0.2857142857142857,1.0,,,0.2857142857142857,5.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,10.0,11.0,1.0,4.0,1.0,3.0,1.0,2.0,4.0,6.0,6.0,6.0,4.0,1.0,0.6666666666666666,0.16216216216216217,0.25,0.42105263157894735,0.1111111111111111,0.6666666666666666,0.6111111111111112,0.3125,0.08333333333333333,1.0,1.0,0.041666666666666664,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,True
101107-1626163-201150-202391-203148,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Jeremy Lin, Brian Roberts","Williams, Kaminsky, Hawes, Lin, Roberts",101107-1626163-201150-202391-203148,CHA,252.0,2,4.0,5.0,7.0,6.0,,,1.0,13.0,1.0,,,2.0,2.0,5.0,,10.0,5.0,1.0,,,,1.0,1.0,3.0,1.0,4.0,,,,,3.0,,1.0,,,8.0,,,0.625,,1.0,0.3333333333333333,1.0,0.25,0.5,,,74.28571428571428,21.285714285714285,17.166666666666668,18.857142857142858,17.166666666666668,0.125,0.25,0.25,,,0.5,0.41904375,0.3615,,,,,12.76,,1.0,,2.0,,2.0,3.0,1.0,2.0,,,,2.0,,2.0,,6.0,,,,0.4,1.0,,0.625,1.0,,1.0,0.375,,,,,,0.25,,0.2,24.066666666666666,4.0,1.0,1.0,2.0,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,0.125,1.0,1.0,,,1.0,2.0,,6.0,1.0,,2.0,1.0,1.0,,,,,,,,1.0,0.6666666666666666,,0.6666666666666666,,,,,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,True
