EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,OpponentPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,Points,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallTurnovers,ShootingFouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyOffPossPct,DeadBallTurnovers,Offensive Fouls Drawn,3SecondViolations,PenaltyCorner3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyPoints,PtsPutbacks,AtRimAssists,BlockedLongMidRange,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,OffArc3ReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyPointsPct,BadPassOutOfBoundsTurnovers,PenaltyAtRimFGA,PenaltyFG2A,LongMidRangeAssists,SecondChanceTurnovers,PenaltyTurnovers,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimFGM,PenaltyFG2M,LostBallSteals,StepOutOfBoundsTurnovers,BlockingFouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,PenaltyFg2Pct,PenaltyAtRimAccuracy,PenaltyFtPoints,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,SecondChanceFtPoints,Offensive Fouls,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,Charge Fouls,PenaltyArc3FGM,PenaltyArc3Accuracy,Blocked3s,BlockedArc3,BlockingFoulsDrawn,Travels,DefensiveGoaltends,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,Corner3PctBlocked,SecondChanceCorner3FGM,FTOffRebounds,3pt And 1 Free Throw Trips,OffensiveGoaltends,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,BlockedCorner3,team_id,year,season,team_vs
101109-101111-101114-101135-202083,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, David Lee, Wesley Matthews","Felton, Villanueva, Williams, Lee, Matthews",101109-101111-101114-101135-202083,DAL,34.0,1,1.0,-4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,169.41176470588235,12.5,4.5,12.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-101114-1626147-203939,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Justin Anderson, Dwight Powell","Felton, Villanueva, Williams, Anderson, Powell",101109-101111-101114-1626147-203939,DAL,80.0,1,1.0,1.0,2.0,2.0,4.0,2.0,,,,,72.0,22.0,18.0,22.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.75,0.75,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.407075,4.0,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-101114-1626147-2585,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Justin Anderson, Zaza Pachulia","Felton, Villanueva, Williams, Anderson, Pachulia",101109-101111-101114-1626147-2585,DAL,714.0,2,12.0,,22.0,25.0,47.0,27.0,4.0,3.0,4.0,1.0,94.78991596638654,18.0,12.72,16.0,12.08,4.0,2.0,4.0,11.0,4.0,9.0,27.0,12.0,4.0,2.0,4.0,5.0,2.0,14.0,4.0,10.0,14.0,5.0,20.0,1.0,0.4444444444444444,0.4444444444444444,0.6,0.5909090909090909,0.45,1.0,0.8888888888888888,1.0,0.2,0.2,0.5,0.5,1.0,0.7,0.5,0.5397425,5.763636363636364,24.055555555555557,1.0,2.0,4.0,3.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,1.0,2.0,7.0,1.0,2.0,10.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.5,0.5454545454545454,1.0,0.875,0.875,0.09090909090909091,0.25,1.0,0.6,0.8,0.2,0.4,0.5,0.5,1.0,0.3333333333333333,1.0,0.75,1.0,0.2222222222222222,1.0,0.25,0.6,0.6,0.5,0.6666666666666666,0.5,0.1,0.5,0.5,0.25,0.4,0.4,1.0,0.25,1.0,0.25,0.25,1.0,1.0,1.0,0.5151833333333333,0.5496,0.09090909090909091,0.15384615384615385,0.25925925925925924,0.045454545454545456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-101114-1626257-202083,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Salah Mejri, Wesley Matthews","Felton, Villanueva, Williams, Mejri, Matthews",101109-101111-101114-1626257-202083,DAL,244.0,2,4.0,3.0,6.0,7.0,13.0,8.0,,,1.0,,76.72131147540983,18.5,19.0,18.5,18.0,,3.0,3.0,1.0,3.0,3.0,11.0,9.0,3.0,3.0,3.0,3.0,3.0,9.0,2.0,3.0,3.0,,11.0,1.0,1.0,1.0,1.375,1.1,0.75,0.6666666666666666,0.75,,,0.75,1.0,1.0,1.0,0.75,1.0,0.5303875,19.4,24.400000000000002,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,4.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,0.6666666666666666,1.0,,,,,,,,,,0.25,1.0,1.0,,,,,,,,,,,,,,0.2,0.5,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-101114-1717-200826,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Dirk Nowitzki, J.J. Barea","Felton, Villanueva, Williams, Nowitzki, Barea",101109-101111-101114-1717-200826,DAL,66.0,1,1.0,-3.0,3.0,4.0,7.0,5.0,,,,,152.72727272727272,10.333333333333334,8.75,10.333333333333334,8.75,,,1.0,2.0,,1.0,2.0,,1.0,,,,,,,,,1.0,2.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,,1.0,,0.6957666666666666,0.5,25.5,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-101114-1717-202083,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Dirk Nowitzki, Wesley Matthews","Felton, Villanueva, Williams, Nowitzki, Matthews",101109-101111-101114-1717-202083,DAL,327.0,8,5.0,5.0,13.0,11.0,24.0,14.0,,,,,105.6880733944954,14.0,13.181818181818182,13.153846153846153,12.909090909090908,,1.0,5.0,8.0,3.0,10.0,19.0,9.0,5.0,1.0,3.0,4.0,1.0,11.0,1.0,3.0,8.0,5.0,15.0,1.0,0.3,0.3,0.5277777777777778,0.5277777777777778,0.5555555555555556,1.0,1.0,,,0.2777777777777778,0.2,0.2,1.0,0.9444444444444444,0.2,0.5311333333333333,3.625,24.029999999999998,2.0,6.0,2.0,5.0,7.0,2.0,3.0,,,1.0,2.0,5.0,1.0,1.0,,1.0,5.0,,2.0,3.0,,2.0,4.0,2.0,2.0,8.0,1.0,1.0,2.0,,3.0,2.0,,2.0,5.0,,,,,2.0,,,,,,,2.0,,2.0,1.0,2.0,0.2,0.3333333333333333,,0.625,0.6666666666666666,0.4,0.4,0.125,,0.6666666666666666,0.6666666666666666,,0.42857142857142855,0.5,0.5,,1.0,0.6666666666666666,,,,,0.5,0.3888888888888889,0.7142857142857143,0.8333333333333334,,,,0.05555555555555555,,,0.2777777777777778,0.4,0.4,1.0,0.6,0.6666666666666666,0.2,0.2,,,0.5,0.58275,0.339975,,,0.21052631578947367,0.15384615384615385,,,,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,0.5,0.75,0.75,0.14285714285714285,0.25,1.0,0.2,1.0,0.5,0.15789473684210525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-101114-1717-202718,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Dirk Nowitzki, Chandler Parsons","Felton, Villanueva, Williams, Nowitzki, Parsons",101109-101111-101114-1717-202718,DAL,32.0,1,1.0,-3.0,1.0,1.0,2.0,3.0,,,1.0,,90.0,12.0,20.0,12.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-101114-1717-2734,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Dirk Nowitzki, Devin Harris","Felton, Villanueva, Williams, Nowitzki, Harris",101109-101111-101114-1717-2734,DAL,408.0,3,7.0,-3.0,11.0,12.0,23.0,12.0,1.0,1.0,2.0,0.5,81.17647058823529,15.818181818181818,19.5,13.909090909090908,17.5,1.0,1.0,2.0,8.0,1.0,2.0,9.0,3.0,2.0,1.0,1.0,3.0,1.0,7.0,2.0,5.0,7.0,1.0,7.0,1.0,0.5,0.5,0.45,0.4090909090909091,0.2,0.4,0.5555555555555556,1.0,0.1,0.2,0.5,0.5,1.0,0.8,0.5,0.4583777777777778,5.7125,25.15,2.0,2.0,2.0,2.0,6.0,,,,1.0,1.0,,,,,,,3.0,,1.0,1.0,,,2.0,,4.0,2.0,3.0,2.0,,,,2.0,3.0,,2.0,,,,,,1.0,,,2.0,,1.0,1.0,1.0,1.0,,2.0,0.6666666666666666,0.6666666666666666,,0.375,1.0,1.0,1.0,0.375,,,0.4,0.75,,0.3333333333333333,0.5,,,,,0.6666666666666666,1.0,,,0.6,0.3333333333333333,0.6666666666666666,,,,0.1,1.0,1.0,,,,,,,,,,,,0.3469,0.3428,0.09090909090909091,0.1111111111111111,0.2222222222222222,0.18181818181818182,1.0,,,,,,,,1.0,,,,,,,,0.5,,0.3333333333333333,0.5,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-101114-200826-203939,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, J.J. Barea, Dwight Powell","Felton, Villanueva, Williams, Barea, Powell",101109-101111-101114-200826-203939,DAL,546.0,3,9.0,-7.0,23.0,22.0,45.0,26.0,3.0,3.0,5.0,0.6,118.68131868131869,13.478260869565217,10.727272727272727,13.217391304347826,10.727272727272727,8.0,,3.0,15.0,,3.0,19.0,,3.0,,,2.0,,4.0,2.0,5.0,6.0,5.0,19.0,,,,0.3888888888888889,0.475,0.16666666666666666,0.6666666666666666,0.8333333333333334,,0.4444444444444444,0.16666666666666666,,,,0.3888888888888889,,0.4858722222222222,8.4,25.366666666666664,9.0,14.0,1.0,3.0,4.0,,,4.0,,3.0,,,,,,,7.0,5.0,,1.0,,,,2.0,4.0,10.0,,2.0,,,,1.0,3.0,,1.0,1.0,1.0,,,1.0,5.0,,,5.0,,2.0,,,,,9.0,0.2857142857142857,0.2857142857142857,,0.4666666666666667,,,,,,,0.125,1.0,,0.09090909090909091,1.0,,,,0.5,1.0,,0.09090909090909091,,0.2222222222222222,0.75,0.75,0.5,0.5,,0.16666666666666666,,,,,,,,,,,,,,0.4211,0.543075,0.10526315789473684,0.125,,0.391304347826087,2.0,2.0,,,2.0,,4.0,,2.0,,,4.0,2.0,,0.3333333333333333,0.3333333333333333,,,1.0,0.6666666666666666,,0.3333333333333333,0.21052631578947367,1.0,2.0,4.0,,,3.0,,0.3333333333333333,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-101114-200826-2585,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, J.J. Barea, Zaza Pachulia","Felton, Villanueva, Williams, Barea, Pachulia",101109-101111-101114-200826-2585,DAL,77.0,2,1.0,2.0,2.0,1.0,3.0,,,,,,56.1038961038961,20.0,37.0,15.0,32.0,2.0,,,2.0,,1.0,2.0,,,,,,,,,,1.0,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,0.6666666666666666,,,,,0.3333333333333333,,0.4532333333333334,10.0,23.2,,1.0,1.0,,,,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,,2.0,,,2.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,0.5,0.5,,1.0,,,0.5,,1.0,,,,,,,,,,,0.5,1.0,,,,,0.3333333333333333,,,,,,,,,,,0.3761,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
