EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,FG2A,FtPoints,Points,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG3M,FG3A,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,Steals,LostBallSteals,DeadBallTurnovers,Travels,Technical Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,FG3APct,DefTwoPtReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Avg3ptShotDistance,ShortMidRangeFGM,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,AtRimAssists,ShortMidRangeAssists,BadPassSteals,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefShortMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceOffPoss,SecondChanceFG2A,Arc3Assists,OffThreePtRebounds,OffRebounds,ShortMidRangePctBlocked,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,Arc3PctAssisted,ShootingFouls,SecondChanceAtRimFGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,OffTwoPtRebounds,SelfOReb,Loose Ball Fouls Drawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyAtRimFGM,OffLongMidRangeReboundPct,PenaltyAtRimAccuracy,StepOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,LostBallTurnovers,Charge Fouls,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceTurnovers,3SecondViolations,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,2pt And 1 Free Throw Trips,OffAtRimReboundPct,BadPassOutOfBoundsTurnovers,NonShootingFoulsDrawn,SecondChanceFtPoints,HeaveAttempts,Offensive Fouls,BlockingFoulsDrawn,SecondChanceAtRimPctAssisted,BlockingFouls,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,BlockedLongMidRange,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,DefensiveGoaltends,BlockedCorner3,3pt And 1 Free Throw Trips,OffensiveGoaltends,team_id,year,season,team_vs
101135-101161-1626154-1626179-203935,1610612738,"David Lee, Amir Johnson, RJ Hunter, Terry Rozier, Marcus Smart","Lee, Johnson, Hunter, Rozier, Smart",101135-101161-1626154-1626179-203935,BOS,100.0,1,2.0,2.0,4.0,3.0,4.0,3.0,7.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,100.8,16.25,11.666666666666666,16.25,11.333333333333334,0.5,0.5,0.5,0.5,0.4597,0.4597,0.3333333333333333,0.3333333333333333,1.0,5.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101135-101161-1626154-202323-203109,1610612738,"David Lee, Amir Johnson, RJ Hunter, Evan Turner, Jae Crowder","Lee, Johnson, Hunter, Turner, Crowder",101135-101161-1626154-202323-203109,BOS,227.0,2,4.0,-2.0,8.0,7.0,,,15.0,1.0,,,2.0,2.0,9.0,,,,,,,1.0,1.0,1.0,1.0,4.0,,,,2.0,3.0,1.0,9.0,,,,0.8,,,,0.25,,,0.5,,,95.15418502202644,15.375,14.857142857142858,15.375,12.0,0.25,,,0.75,0.4761,,0.2,0.3333333333333333,,11.85,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,11.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.875,0.5,0.5,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101135-101161-1626154-202738-203109,1610612738,"David Lee, Amir Johnson, RJ Hunter, Isaiah Thomas, Jae Crowder","Lee, Johnson, Hunter, Thomas, Crowder",101135-101161-1626154-202738-203109,BOS,12.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101135-101161-1626179-201973-202323,1610612738,"David Lee, Amir Johnson, Terry Rozier, Jonas Jerebko, Evan Turner","Lee, Johnson, Rozier, Jerebko, Turner",101135-101161-1626179-201973-202323,BOS,101.0,1,2.0,10.0,5.0,4.0,,,9.0,1.0,,1.0,3.0,1.0,10.0,,,,,,,1.0,1.0,,,,,,,2.0,2.0,1.0,10.0,,,,1.0,,,,,,,0.5,,,128.31683168316832,8.6,14.5,8.6,14.0,0.25,0.25,,0.5,0.56525,,0.2,0.25,,11.933333333333332,,1.0,1.0,1.0,,,1.0,3.0,1.0,1.0,,4.0,2.0,,1.0,2.0,,2.0,,,4.0,1.0,2.0,1.0,,,,0.6666666666666666,0.6666666666666666,,1.0,1.0,1.0,1.125,0.25,0.5,,1.0,1.0,0.25,1.0,1.0,,,,,,0.25,27.7,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101135-101161-202323-202340-203109,1610612738,"David Lee, Amir Johnson, Evan Turner, Avery Bradley, Jae Crowder","Lee, Johnson, Turner, Bradley, Crowder",101135-101161-202323-202340-203109,BOS,12.0,1,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101135-101161-202323-202340-203923,1610612738,"David Lee, Amir Johnson, Evan Turner, Avery Bradley, James Young","Lee, Johnson, Turner, Bradley, Young",101135-101161-202323-202340-203923,BOS,229.0,2,4.0,8.0,9.0,9.0,,,18.0,3.0,,1.0,7.0,,13.0,,,,1.0,2.0,,5.0,6.0,,,,,,,,,,13.0,,,,0.65,,0.14285714285714285,,,,0.6666666666666666,0.8333333333333334,1.0,0.5,113.18777292576418,12.777777777777779,12.666666666666666,12.11111111111111,11.666666666666666,0.3,0.1,,0.6,0.574975,,,,,9.214285714285714,,3.0,2.0,3.0,,,3.0,5.0,1.0,3.0,5.0,6.0,4.0,3.0,3.0,3.0,1.0,4.0,,1.0,9.0,3.0,1.0,,,,,0.6,0.6,1.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.65,0.3,1.0,1.0,1.0,1.0,0.3,0.6666666666666666,0.6666666666666666,0.5,,,,,0.3,25.266666666666666,,1.0,,1.0,2.0,,1.0,,,,,,,,,0.6666666666666666,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101135-101161-202323-202340-203935,1610612738,"David Lee, Amir Johnson, Evan Turner, Avery Bradley, Marcus Smart","Lee, Johnson, Turner, Bradley, Smart",101135-101161-202323-202340-203935,BOS,47.0,1,1.0,-2.0,1.0,2.0,,,3.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,91.91489361702128,19.0,14.0,19.0,14.0,,,,1.0,0.55035,,,,,,,,,,,,1.0,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101135-101161-202323-202738-203109,1610612738,"David Lee, Amir Johnson, Evan Turner, Isaiah Thomas, Jae Crowder","Lee, Johnson, Turner, Thomas, Crowder",101135-101161-202323-202738-203109,BOS,246.0,2,4.0,1.0,11.0,9.0,8.0,8.0,20.0,1.0,,2.0,7.0,4.0,9.0,4.0,4.0,9.0,,2.0,,3.0,5.0,1.0,1.0,1.0,,3.0,1.0,3.0,4.0,2.0,9.0,9.0,8.0,2.0,0.375,0.5625,,,1.0,,1.0,1.0,1.0,1.0,117.07317073170732,14.727272727272727,9.333333333333334,13.818181818181818,9.333333333333334,0.1,0.2,,0.4,0.46027500000000005,0.4514666666666667,0.16666666666666666,0.2222222222222222,1.0,13.414285714285715,0.7272727272727273,,1.0,4.0,,2.0,1.0,1.0,1.0,3.0,8.0,2.0,,3.0,1.0,1.0,1.0,2.0,,1.0,5.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.25,0.3,1.0,,,,0.4,0.25,0.25,1.0,0.2,,,,0.1,24.333333333333332,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,0.5,0.25,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.25,0.4166666666666667,0.16666666666666666,0.5,0.5,1.0,0.125,0.5,0.16666666666666666,0.16666666666666666,1.0,0.4556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101135-101161-202323-202738-203935,1610612738,"David Lee, Amir Johnson, Evan Turner, Isaiah Thomas, Marcus Smart","Lee, Johnson, Turner, Thomas, Smart",101135-101161-202323-202738-203935,BOS,191.0,1,3.0,4.0,5.0,5.0,2.0,,10.0,3.0,2.0,,5.0,,8.0,3.0,,4.0,,1.0,,3.0,4.0,1.0,1.0,1.0,,,,2.0,2.0,1.0,8.0,4.0,2.0,,0.6666666666666666,0.5,,,1.0,,1.0,1.0,1.0,,75.39267015706807,23.0,15.2,19.6,15.2,0.6,,0.6666666666666666,0.6,0.5506599999999999,0.5437,0.16666666666666666,0.16666666666666666,0.5,8.34,0.4,3.0,1.0,2.0,,,,4.0,,,4.0,6.0,2.0,,,3.0,,3.0,,1.0,6.0,2.0,,,,,,0.75,0.75,,,,0.8,0.8,,1.0,,1.0,1.0,0.4,0.5,0.5,1.0,,,,,,,,,,,2.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,1.0,,,1.0,,,,,,,,2.0,,,1.0,,1.0,,0.6666666666666666,0.6666666666666666,1.0,,,1.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
101135-101161-202323-203109-203935,1610612738,"David Lee, Amir Johnson, Evan Turner, Jae Crowder, Marcus Smart","Lee, Johnson, Turner, Crowder, Smart",101135-101161-202323-203109-203935,BOS,15.0,1,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,96.0,14.0,,14.0,,,,,,0.2931,0.2931,,,,20.7,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2016,2015-16,True
