EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,PlusMinus,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG2M,FG2A,FG3M,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Corner3FGM,SecondChanceArc3FGA,Fg2aBlocked,Corner3Assists,BadPassSteals,BlockingFouls,FG2APctBlocked,AtRimPctBlocked,OffLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceTurnovers,HeaveAttempts,SecondChanceArc3FGM,SecondChanceFG3M,ShortMidRangeAssists,Offensive Fouls,Loose Ball Fouls Drawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,ShortMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceFtPoints,Travels,SecondChanceCorner3FGM,PenaltyCorner3FGM,3SecondViolations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,DefensiveGoaltends,BlockingFoulsDrawn,StepOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Charge Fouls,BlockedLongMidRange,Fg3aBlocked,Charge Fouls Drawn,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
1626192-203081-203148-203459-203468,1610612757,"Pat Connaughton, Damian Lillard, Brian Roberts, Allen Crabbe, CJ McCollum","Connaughton, Lillard, Roberts, Crabbe, McCollum",1626192-203081-203148-203459-203468,POR,15.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,15.0,15.0,1.0,1.0,1.0,0.2682,0.2682,25.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,False
201945-202329-202334-203081-203459,1610612757,"Gerald Henderson, Al-Farouq Aminu, Ed Davis, Damian Lillard, Allen Crabbe","Henderson, Aminu, Davis, Lillard, Crabbe",201945-202329-202334-203081-203459,POR,1360.0,8,45.0,26.0,89,13.0,9.0,16.0,11.0,13.0,26.0,0.34782608695652173,94.23529411764706,17.68888888888889,16.22222222222222,0.2826086956521739,0.375,0.6739130434782609,0.4768173913043478,0.4541395833333333,25.6,0.5777777777777777,23.0,-14.0,44.0,20.0,6.0,8.0,15.0,2.0,6.0,3.0,6.0,1.0,6.0,2.0,9.0,3.0,1.0,2.0,3.0,2.0,11.0,30.0,3.0,7.0,38.0,52.0,2.0,9.0,1.0,4.0,3.0,13.0,2.0,7.0,19.0,8.0,14.0,3.0,6.0,4.0,3.0,4.0,1.0,5.0,1.0,3.0,1.0,11.0,3.0,8.0,5.0,9.0,1.0,15.0,11.0,26.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,6.0,3.0,1.0,6.0,1.0,8.0,1.0,9.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,34.0,19.0,2.0,1.0,0.36363636363636365,0.4444444444444444,0.3333333333333333,0.1875,0.18181818181818182,0.1875,0.36666666666666664,0.2222222222222222,0.23076923076923078,0.33695652173913043,0.2,0.25,0.38,0.2,0.3392857142857143,0.5,1.0,0.8181818181818182,0.42105263157894735,0.625,0.2727272727272727,0.7368421052631579,0.36666666666666664,0.8571428571428571,0.4,0.125,0.6666666666666666,0.8,0.75,1.0,0.5714285714285714,1.0,0.06666666666666667,0.5,12.818181818181818,12.5,0.32608695652173914,0.5333333333333333,0.5333333333333333,0.375,0.13043478260869565,0.16666666666666666,0.16666666666666666,0.1956521739130435,0.2222222222222222,0.2222222222222222,0.5,0.06521739130434782,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.6,0.3333333333333333,0.1,0.25,0.5,0.08333333333333333,0.2222222222222222,0.23076923076923078,0.48272777777777776,0.08163265306122448,0.12121212121212122,0.10526315789473684,0.5,8.266666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,False
201945-202329-202334-203081-203468,1610612757,"Gerald Henderson, Al-Farouq Aminu, Ed Davis, Damian Lillard, CJ McCollum","Henderson, Aminu, Davis, Lillard, McCollum",201945-202329-202334-203081-203468,POR,817.0,4,25.0,2.0,51,5.0,2.0,9.0,2.0,5.0,2.0,0.36,89.88984088127295,16.52,15.52,0.2,0.5,0.72,0.4947458333333334,0.5037,24.155555555555555,0.08,14.0,,26.0,,2.0,6.0,9.0,,1.0,1.0,2.0,,1.0,2.0,6.0,4.0,1.0,,1.0,1.0,8.0,16.0,4.0,2.0,30.0,30.0,,1.0,2.0,,1.0,2.0,1.0,,5.0,8.0,8.0,12.0,,,1.0,4.0,4.0,8.0,1.0,3.0,1.0,20.0,1.0,2.0,1.0,9.0,1.0,11.0,3.0,14.0,,1.0,,1.0,,,,,1.0,1.0,,2.0,6.0,,3.0,,4.0,,2.0,,1.0,1.0,,1.0,1.0,30.0,5.0,,,0.5,0.5,1.0,0.4444444444444444,0.5,0.4444444444444444,0.5,,0.5,0.56,,0.625,0.5555555555555556,,0.5,1.0,1.0,0.8181818181818182,0.25,1.0,0.2,0.8333333333333334,0.23076923076923078,0.3333333333333333,,0.25,,1.0,1.0,0.5,1.0,,,1.0,15.538461538461538,14.692307692307692,0.36,0.6666666666666666,0.8571428571428571,0.5,0.04,,,0.24,0.3333333333333333,0.3333333333333333,0.5,0.16,0.2,0.2,1.0,0.3333333333333333,,0.3333333333333333,0.5,0.5,,0.5,0.2,0.5505,0.07407407407407407,0.1111111111111111,,0.16666666666666666,8.5,3.0,1.0,2.0,3.0,1.0,1.0,0.125,0.2222222222222222,0.25,0.75,0.75,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,False
201945-202329-202334-203081-2549,1610612757,"Gerald Henderson, Al-Farouq Aminu, Ed Davis, Damian Lillard, Chris Kaman","Henderson, Aminu, Davis, Lillard, Kaman",201945-202329-202334-203081-2549,POR,91.0,1,3.0,,5,1.0,,1.0,,1.0,,0.3333333333333333,79.12087912087912,15.333333333333334,12.0,0.3333333333333333,,0.3333333333333333,0.46026666666666666,,25.9,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,1.0,2.0,,,,,,1.0,2.0,,,2.0,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,,1.0,2.0,1.0,1.0,,1.0,,1.0,2.0,3.0,1.0,1.0,,2.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,0.5,,,0.3333333333333333,,,0.3333333333333333,,,1.0,,0.5,1.0,,1.0,0.5,1.0,,,1.0,,,1.0,,,,0.5,,22.5,17.0,,,,,,,,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,17.65,,,,,1.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,False
201945-202329-202334-203090-203468,1610612757,"Gerald Henderson, Al-Farouq Aminu, Ed Davis, Maurice Harkless, CJ McCollum","Henderson, Aminu, Davis, Harkless, McCollum",201945-202329-202334-203090-203468,POR,55.0,1,2.0,,3,,,,,,,,78.54545454545455,18.5,18.5,,,,0.3651,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,18.0,18.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,8.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,False
201945-202329-202334-203148-203459,1610612757,"Gerald Henderson, Al-Farouq Aminu, Ed Davis, Brian Roberts, Allen Crabbe","Henderson, Aminu, Davis, Roberts, Crabbe",201945-202329-202334-203148-203459,POR,29.0,2,1.0,1.0,3,1.0,1.0,1.0,1.0,,1.0,1.0,148.9655172413793,4.0,4.0,1.0,1.0,1.0,,,56.3,1.0,,-3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,False
201945-202329-202334-203459-203468,1610612757,"Gerald Henderson, Al-Farouq Aminu, Ed Davis, Allen Crabbe, CJ McCollum","Henderson, Aminu, Davis, Crabbe, McCollum",201945-202329-202334-203459-203468,POR,1665.0,11,52.0,,107,11.0,,14.0,,11.0,,0.2916666666666667,92.54054054054055,16.346153846153847,16.076923076923077,0.22916666666666666,,0.5625,0.46224456521739127,,25.62857142857143,,28.0,,55.0,2.0,4.0,10.0,13.0,1.0,1.0,,,2.0,6.0,5.0,15.0,3.0,,,5.0,,17.0,34.0,6.0,6.0,58.0,58.0,1.0,1.0,2.0,5.0,,,,,,12.0,22.0,18.0,,2.0,5.0,6.0,6.0,12.0,5.0,4.0,,30.0,1.0,4.0,7.0,14.0,1.0,22.0,5.0,27.0,,4.0,2.0,4.0,,2.0,2.0,,2.0,6.0,,8.0,13.0,,14.0,2.0,7.0,1.0,4.0,,2.0,1.0,1.0,2.0,1.0,53.0,,,,0.35294117647058826,0.375,1.0,0.42857142857142855,,0.42857142857142855,0.5,1.0,,0.5416666666666666,0.8333333333333334,,0.5686274509803921,0.8333333333333334,,0.6666666666666666,0.5,0.7368421052631579,0.23529411764705882,1.0,0.125,0.8076923076923077,0.2,1.0,0.25,0.16666666666666666,,0.6,0.8333333333333334,0.75,1.0,1.0,,0.5,14.818181818181818,14.363636363636363,0.2708333333333333,0.7692307692307693,0.8333333333333334,0.4,0.125,0.3333333333333333,0.4,0.3125,0.3333333333333333,0.3333333333333333,,0.0625,0.45454545454545453,0.45454545454545453,1.0,0.3333333333333333,1.0,,,,,,0.45454545454545453,0.5257666666666666,0.0784313725490196,0.10810810810810811,0.08620689655172414,,10.005882352941176,1.0,2.0,2.0,1.0,2.0,,0.058823529411764705,0.07692307692307693,,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,,1.0,1.0,2.0,2.0,2.0,0.5,0.16666666666666666,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,False
201945-202329-202334-203459-203486,1610612757,"Gerald Henderson, Al-Farouq Aminu, Ed Davis, Allen Crabbe, Mason Plumlee","Henderson, Aminu, Davis, Crabbe, Plumlee",201945-202329-202334-203459-203486,POR,,1,,,1,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,False
201945-202329-202334-203459-2549,1610612757,"Gerald Henderson, Al-Farouq Aminu, Ed Davis, Allen Crabbe, Chris Kaman","Henderson, Aminu, Davis, Crabbe, Kaman",201945-202329-202334-203459-2549,POR,3.0,1,1.0,1.0,1,,,,,,1.0,,480.0,1.0,1.0,,,,,,,1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,False
201945-202329-203081-203090-203468,1610612757,"Gerald Henderson, Al-Farouq Aminu, Damian Lillard, Maurice Harkless, CJ McCollum","Henderson, Aminu, Lillard, Harkless, McCollum",201945-202329-203081-203090-203468,POR,132.0,2,5.0,1.0,11,3.0,1.0,3.0,1.0,3.0,1.0,0.75,119.99999999999999,12.0,11.6,0.75,1.0,0.75,0.4752875,0.4893,25.233333333333334,0.2,2.0,-4.0,6.0,6.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,2.0,2.0,6.0,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,2.0,1.0,3.0,,,,,,,1.0,,,1.0,,1.0,1.0,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.2,1.0,,,,1.0,1.0,1.0,,1.0,0.25,,,,,,,1.0,,1.0,,,12.0,12.0,,,,,,,,0.25,,,,,,,,,,,,,,,,,0.2,0.5,1.0,,20.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2016,2015-16,False
