EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,ShootingFouls,Fouls,Steals,LostBallSteals,LostBallTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,PenaltyDefPoss,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceFtPoints,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,FG2APctBlocked,AtRimPctBlocked,OffShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyPointsPct,Charge Fouls,DefLongMidRangeReboundPct,PenaltyOffPoss,PenaltyArc3FGA,PenaltyFG3A,HeaveAttempts,PenaltyTurnovers,BlockedShortMidRange,PenaltyOffPossExcludingTakeFouls,PenaltyArc3Frequency,PenaltyOffPossPct,SelfOReb,SelfORebPct,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,FTDefRebounds,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,PenaltyAtRimFrequency,PenaltyShotQualityAvg,PenaltyAtRimFGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,Fg3aBlocked,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockingFoulsDrawn,BlockingFouls,PenaltyArc3FGM,PenaltyFG3M,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyArc3Accuracy,Travels,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,Charge Fouls Drawn,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1495-1626246-201980-202695-2225,1610612759,"Tim Duncan, Boban Marjanovic, Danny Green, Kawhi Leonard, Tony Parker","Duncan, Marjanovic, Green, Leonard, Parker",1495-1626246-201980-202695-2225,SAS,169.0,1,3.0,6.0,5.0,5.0,2.0,10.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,8.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,0.6666666666666666,0.6666666666666666,0.6,1.0,0.6,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,85.20710059171597,17.8,16.0,13.4,16.0,0.6,0.6666666666666666,0.6666666666666666,1.0,0.4,0.5,0.5,0.5,1.0,1.0,0.6,0.5075999999999999,0.55055,0.16666666666666666,0.16666666666666666,0.5,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1626246-201980-2225-2755,1610612759,"Tim Duncan, Boban Marjanovic, Danny Green, Tony Parker, Kevin Martin","Duncan, Marjanovic, Green, Parker, Martin",1495-1626246-201980-2225-2755,SAS,60.0,1,1.0,-4.0,1.0,2.0,,3.0,,1.0,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,32.0,14.0,32.0,13.5,1.0,,,,,,,,,,1.0,0.4229,,,,,2.6,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1889-1938-200746-202695,1610612759,"Tim Duncan, Andre Miller, Manu Ginobili, LaMarcus Aldridge, Kawhi Leonard","Duncan, Miller, Ginobili, Aldridge, Leonard",1495-1889-1938-200746-202695,SAS,29.0,1,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6551724137931,16.0,,16.0,,,,,,1.0,,,,,,,0.3796,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1889-200746-201980-202695,1610612759,"Tim Duncan, Andre Miller, LaMarcus Aldridge, Danny Green, Kawhi Leonard","Duncan, Miller, Aldridge, Green, Leonard",1495-1889-200746-201980-202695,SAS,142.0,1,2.0,2.0,6.0,5.0,1.0,11.0,3.0,5.0,1.0,1.0,,,3.0,5.0,1.0,7.0,5.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,,2.0,2.0,1.0,3.0,2.0,,2.0,1.0,,1.0,1.0,5.0,0.6666666666666666,0.6666666666666666,0.6,1.0,0.6,1.0,0.7,1.0,1.0,0.6666666666666666,0.5,,0.6666666666666666,0.5,0.5,,1.0,1.0,,,111.54929577464789,15.333333333333334,10.0,13.333333333333334,9.8,1.0,0.6,0.6,0.6666666666666666,,,,1.0,1.0,,1.0,0.6582399999999999,0.8763,0.2,0.2,0.2857142857142857,1.52,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1938-200746-201980-2225,1610612759,"Tim Duncan, Manu Ginobili, LaMarcus Aldridge, Danny Green, Tony Parker","Duncan, Ginobili, Aldridge, Green, Parker",1495-1938-200746-201980-2225,SAS,143.0,1,2.0,1.0,4.0,4.0,1.0,8.0,3.0,3.0,1.0,1.0,,1.0,3.0,4.0,,9.0,8.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,7.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,7.0,0.6666666666666666,0.6666666666666666,0.75,1.0,0.9,1.0,0.9,1.0,,,1.0,,,1.0,,1.0,,,,,80.55944055944056,12.25,23.5,10.5,23.5,0.6,1.0,1.0,0.6666666666666666,0.2,,,1.0,1.0,1.0,0.8,0.6515799999999999,0.9131,,,0.2222222222222222,5.55,,1.0,,,,,,,,,,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0,1.0,1.0,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1938-200746-201988-202695,1610612759,"Tim Duncan, Manu Ginobili, LaMarcus Aldridge, Patty Mills, Kawhi Leonard","Duncan, Ginobili, Aldridge, Mills, Leonard",1495-1938-200746-201988-202695,SAS,5.0,1,,-3.0,,1.0,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1938-200746-202695-2225,1610612759,"Tim Duncan, Manu Ginobili, LaMarcus Aldridge, Kawhi Leonard, Tony Parker","Duncan, Ginobili, Aldridge, Leonard, Parker",1495-1938-200746-202695-2225,SAS,948.0,6,16.0,4.0,33.0,27.0,4.0,60.0,4.0,10.0,3.0,3.0,1.0,4.0,8.0,20.0,6.0,34.0,30.0,3.0,3.0,8.0,6.0,10.0,3.0,6.0,1.0,15.0,4.0,2.0,7.0,9.0,4.0,13.0,1.0,,3.0,6.0,1.0,7.0,3.0,26.0,0.375,0.5,0.4,1.0,0.45161290322580644,1.0,0.4852941176470588,1.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.9,0.21052631578947367,0.5,,1.0,1.0,1.0,0.5,91.13924050632912,15.575757575757576,16.074074074074073,15.333333333333334,16.037037037037038,0.3225806451612903,0.4,0.8,0.25,0.12903225806451613,0.25,0.25,1.0,1.0,,0.6774193548387096,0.5326096774193548,0.6267333333333334,0.08823529411764706,0.13043478260869565,0.23529411764705882,7.025,2.0,5.0,4.0,1.0,1.0,,,,,,,4.0,1.0,6.0,4.0,11.0,9.0,6.0,1.0,3.0,1.0,,0.75,0.36363636363636365,0.36363636363636365,0.3548387096774194,0.1935483870967742,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,24.072727272727274,3.0,6.0,3.0,5.0,2.0,1.0,1.0,3.0,4.0,5.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.25,0.5,0.3333333333333333,0.1935483870967742,0.5,0.5,0.3333333333333333,1.0,0.16129032258064516,0.6,0.6,0.6666666666666666,0.029411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1938-201980-2561-2755,1610612759,"Tim Duncan, Manu Ginobili, Danny Green, David West, Kevin Martin","Duncan, Ginobili, Green, West, Martin",1495-1938-201980-2561-2755,SAS,88.0,1,1.0,2.0,4.0,3.0,,7.0,,1.0,,,1.0,1.0,1.0,2.0,,2.0,,,,,2.0,,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,,2.0,1.0,1.0,0.5,,0.3333333333333333,,0.3333333333333333,,,0.5,,,0.5,,,,0.5,,,,114.54545454545455,9.75,16.333333333333332,9.75,15.666666666666666,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,,,,0.6666666666666666,0.5126499999999999,,,,,10.3,,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,25.5,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1938-201988-202695-2561,1610612759,"Tim Duncan, Manu Ginobili, Patty Mills, Kawhi Leonard, David West","Duncan, Ginobili, Mills, Leonard, West",1495-1938-201988-202695-2561,SAS,80.0,1,1.0,-3.0,2.0,2.0,,4.0,,1.0,,,,,,2.0,,,3.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,0.5,,,,,,,,72.0,23.5,16.5,23.5,12.5,0.5,,,,,,,,,,0.5,0.5711,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,0.5,1.0,,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1938-201988-202695-2564,1610612759,"Tim Duncan, Manu Ginobili, Patty Mills, Kawhi Leonard, Boris Diaw","Duncan, Ginobili, Mills, Leonard, Diaw",1495-1938-201988-202695-2564,SAS,104.0,1,2.0,-3.0,3.0,3.0,,6.0,,1.0,,,,,,1.0,,,3.0,,,,,,,,,,,,2.0,2.0,,2.0,,,2.0,1.0,,,,,,,,,,,,,,0.6666666666666666,,,0.6666666666666666,,,,1.0,,,,83.07692307692308,10.333333333333334,24.333333333333332,10.333333333333334,24.333333333333332,0.5,,,,,,,,,,1.0,0.4852,,,,,2.1,,2.0,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,0.5,0.5,,,,,59.8,,,,,,,,,,1.0,,,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
