EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,Technical Free Throw Trips,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,SecondChanceOffPoss,AtRimFGM,PenaltyAtRimFGM,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,FG2M,SecondChanceFG3A,PenaltyFG2M,PtsUnassisted2s,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,SecondChanceTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,LongMidRangeFGM,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted3s,TwoPtAssists,LongMidRangeAssists,DefThreePtRebounds,Loose Ball Fouls Drawn,Defensive 3 Seconds Violations,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceTsPct,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,AtRimAssists,ShortMidRangeAssists,SecondChanceFg2Pct,SecondChanceEfgPct,OffLongMidRangeReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Corner3FGM,Corner3Assists,LostBallSteals,Travels,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Fg2aBlocked,FTOffRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,BlockingFouls,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Fg3aBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,ShortMidRangePctBlocked,HeaveAttempts,HeaveMakes,BlockedArc3,OffensiveGoaltends,Corner3PctBlocked,3SecondViolations,Clear Path Fouls,team_id,year,season,team_vs
101107-1626151-201150-202391-202689,1610612766,"Marvin Williams, Aaron Harrison, Spencer Hawes, Jeremy Lin, Kemba Walker","Williams, Harrison, Hawes, Lin, Walker",101107-1626151-201150-202391-202689,CHA,132.0,1,2.0,2.0,6.0,5.0,6.0,5.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,119.99999999999999,11.333333333333334,12.8,11.333333333333334,12.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5754,0.5754,1.0,8.85,25.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,False
101107-1626151-201150-202391-203148,1610612766,"Marvin Williams, Aaron Harrison, Spencer Hawes, Jeremy Lin, Brian Roberts","Williams, Harrison, Hawes, Lin, Roberts",101107-1626151-201150-202391-203148,CHA,32.0,1,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,2.0,,,,,,,,,1.0,,,,,,,45.0,20.0,,20.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,False
101107-1626151-201150-202689-203148,1610612766,"Marvin Williams, Aaron Harrison, Spencer Hawes, Kemba Walker, Brian Roberts","Williams, Harrison, Hawes, Walker, Roberts",101107-1626151-201150-202689-203148,CHA,27.0,1,,-2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.33333333333333,,26.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,False
101107-1626163-201150-201584-202689,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Courtney Lee, Kemba Walker","Williams, Kaminsky, Hawes, Lee, Walker",101107-1626163-201150-201584-202689,CHA,43.0,1,1.0,-2.0,1.0,1.0,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,66.97674418604652,22.0,21.0,22.0,21.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,False
101107-1626163-201150-201587-202391,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Nicolas Batum, Jeremy Lin","Williams, Kaminsky, Hawes, Batum, Lin",101107-1626163-201150-201587-202391,CHA,150.0,1,2.0,-1.0,6.0,6.0,6.0,6.0,12.0,1.0,1.0,,,1.0,,1.0,2.0,,2.0,1.0,3.0,4.0,2.0,,2.0,1.0,3.0,,1.0,,,,,,1.0,2.0,4.0,,2.0,2.0,2.0,2.0,3.0,1.0,,2.0,,3.0,3.0,6.0,,,,,0.25,0.25,0.3,0.3,0.5,1.0,1.0,,,115.2,13.0,12.0,11.666666666666666,12.0,0.25,,0.25,,,,0.25,0.25,,0.75,,0.57065,0.57065,1.0,3.55,25.35,1.0,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.25,0.25,1.0,1.0,0.25,0.6411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,False
101107-1626163-201150-201587-202689,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Nicolas Batum, Kemba Walker","Williams, Kaminsky, Hawes, Batum, Walker",101107-1626163-201150-201587-202689,CHA,444.0,5,7.0,-5.0,14.0,15.0,2.0,2.0,29.0,2.0,,3.0,1.0,3.0,,1.0,8.0,1.0,3.0,2.0,9.0,14.0,1.0,,1.0,1.0,3.0,,3.0,1.0,,1.0,,2.0,3.0,7.0,8.0,,,3.0,1.0,2.0,2.0,2.0,,4.0,,8.0,3.0,2.0,,0.3333333333333333,,0.3333333333333333,0.3181818181818182,0.5,0.34615384615384615,0.5,0.2727272727272727,1.0,1.0,1.0,,94.05405405405405,16.214285714285715,14.466666666666667,16.214285714285715,14.466666666666667,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.3333333333333333,,,0.5,,0.45454545454545453,0.3333333333333333,0.45950454545454544,0.47065,0.3333333333333333,10.7,25.03333333333333,0.14285714285714285,1.0,0.08333333333333333,0.1111111111111111,3.0,3.0,1.0,,1.0,,3.0,,,,2.0,,1.0,2.0,1.0,,,1.0,,,,,1.0,,1.0,0.25,1.0,,,0.5,0.125,,0.5,1.0,,0.5,0.5,0.2727272727272727,,,,,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,False
101107-1626163-201150-201587-203148,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Nicolas Batum, Brian Roberts","Williams, Kaminsky, Hawes, Batum, Roberts",101107-1626163-201150-201587-203148,CHA,129.0,2,2.0,8.0,5.0,5.0,,,10.0,3.0,,1.0,,,,,6.0,,,,10.0,2.0,,,,,,,,,,3.0,,6.0,3.0,4.0,5.0,,,,,,,1.0,,,,8.0,,,,,,,0.8333333333333334,,0.8333333333333334,,,1.0,1.0,1.0,1.0,111.62790697674419,12.6,13.2,12.2,13.2,0.5,0.16666666666666666,,,,,,,,0.5,,0.4613,,,6.683333333333334,,,,,,,,,1.0,3.0,,2.0,,,,5.0,,,4.0,,1.0,,1.0,,,,,,,,0.8333333333333334,,,1.0,,1.0,,,1.0,,1.0,1.0,0.3333333333333333,,,,,0.4866,,,2.0,6.0,,3.0,,1.0,1.0,,0.6,0.75,1.0,1.0,1.0,,,,,0.2,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,False
101107-1626163-201150-202391-202689,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Jeremy Lin, Kemba Walker","Williams, Kaminsky, Hawes, Lin, Walker",101107-1626163-201150-202391-202689,CHA,971.0,7,16.0,-3.0,29.0,31.0,16.0,3.0,60.0,9.0,3.0,7.0,1.0,4.0,,1.0,21.0,2.0,5.0,8.0,30.0,33.0,15.0,,1.0,3.0,13.0,6.0,4.0,1.0,2.0,6.0,1.0,14.0,7.0,11.0,14.0,,2.0,3.0,1.0,1.0,5.0,5.0,,8.0,1.0,26.0,13.0,16.0,1.0,0.4,,0.4,0.4230769230769231,0.3125,0.5,0.38235294117647056,0.19230769230769232,0.6363636363636364,0.7333333333333333,0.4,1.0,88.98043254376931,16.482758620689655,15.903225806451612,15.310344827586206,14.935483870967742,0.34615384615384615,0.2692307692307692,0.15384615384615385,0.25,0.25,1.0,0.1875,0.0625,,0.5384615384615384,0.25,0.4928192307692308,0.454190625,0.43333333333333335,8.514285714285714,24.32,0.5517241379310345,3.0,0.10714285714285714,0.13043478260869565,1.0,1.0,0.3333333333333333,2.0,4.0,1.0,5.0,1.0,,,8.0,,5.0,8.0,1.0,2.0,,3.0,1.0,5.0,2.0,,1.0,,1.0,0.38095238095238093,0.3333333333333333,,0.16666666666666666,0.3333333333333333,0.2,0.5,0.3333333333333333,0.6666666666666666,0.06666666666666667,0.4444444444444444,0.4444444444444444,0.19230769230769232,0.038461538461538464,,0.3333333333333333,,0.39245,2.0,,4.0,8.0,,4.0,1.0,4.0,1.0,,0.5,0.5,0.6666666666666666,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.5,0.13333333333333333,1.0,1.0,2.0,2.0,3.0,,2.0,1.0,0.6666666666666666,0.6666666666666666,0.2,0.5,0.4,0.4,0.5,0.3333333333333333,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,False
101107-1626163-201150-202391-203087,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Jeremy Lin, Jeremy Lamb","Williams, Kaminsky, Hawes, Lin, Lamb",101107-1626163-201150-202391-203087,CHA,5406.0,19,90.0,51.0,172.0,163.0,12.0,3.0,335.0,58.0,2.0,30.0,14.0,39.0,,4.0,112.0,19.0,47.0,31.0,206.0,155.0,5.0,,4.0,10.0,16.0,54.0,39.0,14.0,18.0,52.0,13.0,122.0,54.0,76.0,103.0,3.0,12.0,25.0,2.0,13.0,27.0,40.0,1.0,40.0,,173.0,16.0,12.0,0.9473684210526315,0.40425531914893614,,0.40425531914893614,0.550314465408805,0.3333333333333333,0.5852272727272727,0.6153846153846154,0.29559748427672955,0.6923076923076923,0.7156862745098039,0.6944444444444444,0.5789473684210527,89.23418423973364,15.726744186046512,16.570552147239265,14.94767441860465,15.766871165644172,0.36477987421383645,0.18867924528301888,0.24528301886792453,0.358974358974359,0.358974358974359,0.9285714285714286,0.2222222222222222,0.4444444444444444,,0.660377358490566,0.358974358974359,0.5085168789808917,0.5159222222222222,0.07766990291262135,7.605357142857143,25.368085106382978,0.06976744186046512,22.0,0.12571428571428572,0.171875,13.0,9.0,0.52,20.0,35.0,2.0,24.0,8.0,2.0,,59.0,6.0,3.0,50.0,11.0,15.0,3.0,27.0,7.0,10.0,6.0,1.0,1.0,,1.0,0.5267857142857143,0.6,0.75,0.2830188679245283,0.4230769230769231,0.3291139240506329,0.2,0.43478260869565216,0.782608695652174,0.0958904109589041,0.603448275862069,0.6730769230769231,0.1509433962264151,0.050314465408805034,0.09523809523809523,1.0,,0.532425,15.0,8.0,33.0,68.0,3.0,34.0,12.0,19.0,,,0.576271186440678,0.6538461538461539,0.66,0.7916666666666666,0.7333333333333333,0.8888888888888888,0.5,0.5,0.8,0.16019417475728157,8.0,13.0,9.0,8.0,15.0,14.0,18.0,4.0,0.5333333333333333,0.5952380952380952,0.3333333333333333,0.5142857142857142,0.375,0.375,0.4444444444444444,0.6190476190476191,0.6153846153846154,5.0,5.0,4.0,2.0,3.0,1.0,6.0,17.0,11.0,17.0,0.625,0.625,1.0,1.0,2.0,4.0,3.0,6.0,1.0,1.0,4.0,2.0,1.0,3.0,6.0,10.0,1.0,0.5,0.05357142857142857,0.10344827586206896,0.16666666666666666,0.30434782608695654,0.3333333333333333,0.5882352941176471,0.125,0.5,1.0,0.19047619047619047,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,False
101107-1626163-201150-202391-203148,1610612766,"Marvin Williams, Frank Kaminsky, Spencer Hawes, Jeremy Lin, Brian Roberts","Williams, Kaminsky, Hawes, Lin, Roberts",101107-1626163-201150-202391-203148,CHA,252.0,2,4.0,-5.0,6.0,7.0,,,13.0,,,1.0,,2.0,,,2.0,,2.0,3.0,5.0,10.0,,,,,,,2.0,,,,,,2.0,3.0,3.0,,,1.0,,,2.0,2.0,,3.0,1.0,5.0,,,,,,,0.25,,0.4,,0.5,0.6666666666666666,0.75,,1.0,74.28571428571428,17.166666666666668,21.285714285714285,17.166666666666668,18.857142857142858,,0.25,0.5,,,,,,,0.5,,0.4691125,,,11.3,24.7,,1.0,0.2,0.3333333333333333,1.0,1.0,1.0,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,0.5,,,,,,,,0.5,,,,0.25,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2016,2015-16,False
