EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,FG2A,FtPoints,Points,SecondChanceFG2A,PenaltyFG2A,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Loose Ball Fouls,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFouls,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,AtRimFGM,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FG2M,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,FTDefRebounds,BadPassTurnovers,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyPointsPct,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,SelfOReb,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChancePointsPct,HeaveAttempts,Charge Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyFG3M,2pt And 1 Free Throw Trips,PenaltyFg3Pct,OffArc3ReboundPct,PenaltyArc3Accuracy,ShortMidRangeAssists,LongMidRangePctBlocked,ShortMidRangePctAssisted,LostBallSteals,Blocked2s,BlockedAtRim,Blocks,ShortMidRangePctBlocked,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFtPoints,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,PenaltyAtRimFGM,Defensive 3 Seconds Violations,PenaltyAtRimAccuracy,Technical Free Throw Trips,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Travels,FTOffRebounds,Charge Fouls Drawn,OffFTReboundPct,BlockingFouls,team_id,year,season,team_vs
101109-101111-101114-1717-202083,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Dirk Nowitzki, Wesley Matthews","Felton, Villanueva, Williams, Nowitzki, Matthews",101109-101111-101114-1717-202083,DAL,32.0,1,1.0,-2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,180.0,7.5,8.5,7.5,8.5,1.0,1.0,1.0,0.53235,0.53235,25.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101111-101114-202083-2585,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Wesley Matthews, Zaza Pachulia","Felton, Villanueva, Williams, Matthews, Pachulia",101109-101111-101114-202083-2585,DAL,150.0,1,2.0,-3.0,5.0,6.0,2.0,1.0,11.0,,,,5.0,,,,1.0,,,3.0,,1.0,,2.0,,105.6,13.8,13.5,13.6,10.666666666666666,,,0.5,0.4585,0.4135,,0.4,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.2,1.0,0.3333333333333333,0.25,1.0,0.6,0.25,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.6286,0.2,0.2,5.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101114-1626147-202083-2734,1610612742,"Raymond Felton, Deron Williams, Justin Anderson, Wesley Matthews, Devin Harris","Felton, Williams, Anderson, Matthews, Harris",101109-101114-1626147-202083-2734,DAL,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101114-1626257-1717-202083,1610612742,"Raymond Felton, Deron Williams, Salah Mejri, Dirk Nowitzki, Wesley Matthews","Felton, Williams, Mejri, Nowitzki, Matthews",101109-101114-1626257-1717-202083,DAL,426.0,3,7.0,-2.0,12.0,12.0,2.0,7.0,24.0,1.0,,2.0,13.0,,1.0,,2.0,,,2.0,,3.0,,2.0,0.25,81.12676056338029,19.416666666666668,16.083333333333332,19.416666666666668,15.75,0.125,,0.375,0.40390625,0.256,24.15,0.16666666666666666,,1.0,,,1.0,6.0,3.0,11.0,,1.0,,4.0,1.0,6.0,,6.0,1.0,1.0,2.0,,1.0,,4.0,2.0,11.0,1.0,0.55,1.0,0.25,,0.8,0.5555555555555556,,,1.0,1.0,,0.125,0.125,,,,0.2,0.25,12.666666666666666,1.0,1.0,2.0,4.0,1.0,4.0,1.0,2.0,4.0,6.0,2.0,3.0,3.0,1.0,2.0,6.0,1.0,2.0,4.0,0.75,0.75,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.125,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101114-1717-202083-2585,1610612742,"Raymond Felton, Deron Williams, Dirk Nowitzki, Wesley Matthews, Zaza Pachulia","Felton, Williams, Nowitzki, Matthews, Pachulia",101109-101114-1717-202083-2585,DAL,639.0,4,11.0,-10.0,19.0,19.0,,,38.0,3.0,,3.0,22.0,,3.0,4.0,5.0,,2.0,4.0,,2.0,,,0.1875,85.63380281690141,18.526315789473685,15.105263157894736,17.63157894736842,13.947368421052632,0.1875,,0.5,0.485975,,24.566666666666666,,2.0,5.0,,,4.0,13.0,,12.0,,,2.0,3.0,4.0,8.0,2.0,10.0,1.0,1.0,1.0,,1.0,,,,12.0,,0.375,0.2,0.6666666666666666,0.2,0.5,0.5833333333333334,0.18181818181818182,0.3333333333333333,,0.4,1.0,0.3125,0.25,,,0.5592,,,8.253846153846153,2.0,1.0,,4.0,,3.0,,,,,6.0,,1.0,,,3.0,1.0,1.0,,,,0.23076923076923078,,0.375,,,1.0,0.4,0.5,,0.25,0.25,0.25,,,,,,2.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.07692307692307693,0.2,0.25,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101114-202083-203939-2585,1610612742,"Raymond Felton, Deron Williams, Wesley Matthews, Dwight Powell, Zaza Pachulia","Felton, Williams, Matthews, Powell, Pachulia",101109-101114-202083-203939-2585,DAL,587.0,2,10.0,-2.0,20.0,19.0,7.0,3.0,39.0,5.0,1.0,7.0,19.0,1.0,5.0,,2.0,1.0,1.0,3.0,,,,7.0,0.30434782608695654,95.67291311754686,18.8,11.105263157894736,17.05,10.578947368421053,0.21739130434782608,0.125,0.6956521739130435,0.5024369565217391,0.4701125,24.157142857142855,0.35,5.0,9.0,3.0,3.0,1.0,16.0,,17.0,4.0,7.0,4.0,1.0,4.0,6.0,5.0,11.0,1.0,1.0,2.0,1.0,1.0,,,,12.0,,0.3695652173913043,1.0,0.8,0.3333333333333333,1.0,0.8333333333333334,0.3125,,0.5,,1.0,0.391304347826087,0.043478260869565216,0.6,0.375,0.5060625,,,8.68125,2.0,1.0,1.0,6.0,2.0,4.0,1.0,,2.0,2.0,6.0,1.0,2.0,1.0,,5.0,1.0,1.0,2.0,0.25,0.3333333333333333,0.25,0.14285714285714285,0.3695652173913043,0.125,0.125,1.0,0.2222222222222222,0.3333333333333333,0.5,1.0,1.0,0.2608695652173913,0.16666666666666666,0.16666666666666666,,0.08695652173913043,0.11764705882352941,3.0,1.0,3.0,1.0,3.0,6.0,3.0,3.0,1.0,1.0,,,,,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.1875,0.3333333333333333,0.4,1.0,1.0,0.6,0.6,0.3333333333333333,0.2,0.6,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,0.25,0.5,0.5,0.25,0.2857142857142857,0.5,0.07692307692307693,0.3333333333333333,1.0,1.0,0.29411764705882354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101135-1626147-1626257-202083,1610612742,"Raymond Felton, David Lee, Justin Anderson, Salah Mejri, Wesley Matthews","Felton, Lee, Anderson, Mejri, Matthews",101109-101135-1626147-1626257-202083,DAL,133.0,1,2.0,2.0,4.0,4.0,,,8.0,1.0,,1.0,2.0,,1.0,,,,,2.0,,,,,0.2,86.61654135338345,19.75,13.5,18.75,13.5,0.2,,0.6,0.52229,,23.9,,1.0,2.0,1.0,,,4.0,,4.0,1.0,,1.0,2.0,,3.0,1.0,4.0,,,,,1.0,,,,4.0,,0.4,,,0.5,1.0,1.0,0.3333333333333333,,,1.0,,0.4,,1.0,,0.4037,,,10.4,1.0,,1.0,2.0,,2.0,,,,4.0,,2.0,2.0,1.0,1.0,4.0,1.0,,,1.0,1.0,0.5,,0.4,,,1.0,0.5,0.5,1.0,,,0.4,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101135-1626147-1626257-2734,1610612742,"Raymond Felton, David Lee, Justin Anderson, Salah Mejri, Devin Harris","Felton, Lee, Anderson, Mejri, Harris",101109-101135-1626147-1626257-2734,DAL,146.0,1,2.0,1.0,5.0,5.0,,3.0,10.0,1.0,,1.0,5.0,,1.0,,,,1.0,3.0,,1.0,,,0.25,98.63013698630138,15.4,13.8,15.4,13.2,0.25,,0.5,0.522225,,24.1,,,1.0,,,1.0,3.0,1.0,6.0,,,,,,,,,,,,,,,2.0,1.0,6.0,1.0,0.6,,,,,,,,,,,0.25,0.25,,,,0.2,0.25,9.0,1.0,,,1.0,,1.0,,,,2.0,,1.0,2.0,1.0,,5.0,,,,1.0,1.0,0.3333333333333333,,0.625,,,,1.0,1.0,1.0,,,0.25,,,,,,1.0,,1.0,,3.0,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101135-1626147-1717-200826,1610612742,"Raymond Felton, David Lee, Justin Anderson, Dirk Nowitzki, J.J. Barea","Felton, Lee, Anderson, Nowitzki, Barea",101109-101135-1626147-1717-200826,DAL,42.0,1,1.0,-5.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,,,,,,1.0,,,,1.0,0.5,102.85714285714286,17.0,12.5,17.0,12.5,0.5,0.5,0.5,0.3799,0.3799,54.9,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
101109-101135-1626147-2585-2734,1610612742,"Raymond Felton, David Lee, Justin Anderson, Zaza Pachulia, Devin Harris","Felton, Lee, Anderson, Pachulia, Harris",101109-101135-1626147-2585-2734,DAL,52.0,1,1.0,-2.0,1.0,1.0,,,2.0,,,,2.0,,,1.0,1.0,,,1.0,,,,,,55.38461538461538,32.0,20.0,32.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,False
