EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Arc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,Charge Fouls Drawn,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceFtPoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,PenaltyPointsPct,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,FTDefRebounds,DefFTReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,PtsUnassisted3s,Corner3Assists,DefThreePtRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyFG3M,HeaveAttempts,RecoveredBlocks,3SecondViolations,PenaltyFg3Pct,BlocksRecoveredPct,PenaltyArc3Accuracy,BlockedAtRim,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockingFouls,Blocked3s,BlockedArc3,BlockedLongMidRange,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Fg3aBlocked,StepOutOfBoundsTurnovers,OffensiveGoaltends,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveMakes,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
101141-1626169-1626199-201943-203083,1610612765,"Ersan Ilyasova, Stanley Johnson, Darrun Hilliard, Brandon Jennings, Andre Drummond","Ilyasova, Johnson, Hilliard, Jennings, Drummond",101141-1626169-1626199-201943-203083,DET,186.0,1,3.0,1.0,6.0,6.0,12.0,1.0,2.0,3.0,3.0,1.0,4.0,6.0,1.0,9.0,8.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,0.25,0.25,0.6666666666666666,0.6666666666666666,0.75,1.0,1.0,1.0,92.90322580645162,14.5,16.5,14.5,16.5,0.3333333333333333,0.5,0.5,0.5,1.0,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.49345,0.16666666666666666,0.16666666666666666,6.433333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-1626199-202704-203083,1610612765,"Ersan Ilyasova, Stanley Johnson, Darrun Hilliard, Reggie Jackson, Andre Drummond","Ilyasova, Johnson, Hilliard, Jackson, Drummond",101141-1626169-1626199-202704-203083,DET,143.0,2,2.0,6.0,7.0,4.0,11.0,2.0,2.0,,2.0,4.0,3.0,8.0,,6.0,,4.0,2.0,2.0,2.0,,4.0,2.0,2.0,4.0,,,1.0,,,,2.0,0.6666666666666666,1.0,0.375,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,110.76923076923077,14.285714285714286,10.75,13.714285714285714,10.75,0.2222222222222222,1.0,1.0,0.2222222222222222,,,,0.4444444444444444,0.3333333333333333,0.47255555555555556,,,11.7125,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.1111111111111111,0.125,0.5,0.4,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.25,0.25,1.0,0.1111111111111111,1.0,1.0,0.5,0.5,0.6457,0.51095,0.6666666666666666,24.3,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-1626199-203382-203915,1610612765,"Ersan Ilyasova, Stanley Johnson, Darrun Hilliard, Aron Baynes, Spencer Dinwiddie","Ilyasova, Johnson, Hilliard, Baynes, Dinwiddie",101141-1626169-1626199-203382-203915,DET,83.0,1,1.0,1.0,3.0,4.0,7.0,1.0,2.0,,,,1.0,2.0,,5.0,4.0,2.0,,1.0,2.0,,5.0,1.0,1.0,1.0,1.0,2.0,,,,,5.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.5,0.5,,121.44578313253012,8.333333333333334,14.5,8.333333333333334,14.0,0.6666666666666666,0.5,0.5,,,,,,1.0,0.62725,,,1.4,,,,,,1.0,,1.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,0.3333333333333333,,,,,,,1.0,1.0,,,,0.3333333333333333,,,,,,,,25.1,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-201202-202704-203484,1610612765,"Ersan Ilyasova, Stanley Johnson, Joel Anthony, Reggie Jackson, Kentavious Caldwell-Pope","Ilyasova, Johnson, Anthony, Jackson, Caldwell-Pope",101141-1626169-201202-202704-203484,DET,194.0,1,3.0,-1.0,5.0,5.0,10.0,,,2.0,2.0,1.0,2.0,3.0,3.0,7.0,8.0,,4.0,,,,,1.0,1.0,3.0,,,2.0,4.0,,1.0,6.0,,,0.6666666666666666,0.5,0.5833333333333334,0.5,0.5,,74.22680412371133,18.8,20.0,16.2,18.2,,,,0.5,1.0,1.0,,0.25,0.25,0.4299375,0.2,0.25,12.666666666666666,5.0,1.0,,,,1.0,1.0,1.0,,,1.0,3.0,1.0,,1.0,,,,1.0,2.0,,,,5.0,,,0.5,0.25,,,1.0,1.0,,1.0,,,,,,0.25,,,,0.25,,0.4299375,0.14285714285714285,24.2,1.0,,,,,,,,,,,,,,1.0,2.0,3.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,7.0,1.0,0.6666666666666666,0.5,0.5833333333333334,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-201202-203484-2581,1610612765,"Ersan Ilyasova, Stanley Johnson, Joel Anthony, Kentavious Caldwell-Pope, Steve Blake","Ilyasova, Johnson, Anthony, Caldwell-Pope, Blake",101141-1626169-201202-203484-2581,DET,30.0,1,,3.0,2.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,2.0,4.0,1.0,,2.0,,,,,,1.0,1.0,,1.0,1.0,2.0,,1.0,4.0,,,1.0,1.0,1.0,,,,144.0,12.5,5.0,12.5,5.0,1.0,1.0,1.0,,,,,,1.0,0.7694,0.5,0.5,0.1,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.7694,,,1.0,,,,,,,,,,,,,,,1.0,2.0,4.0,,,,,,,,4.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-201943-202694-203083,1610612765,"Ersan Ilyasova, Stanley Johnson, Brandon Jennings, Marcus Morris, Andre Drummond","Ilyasova, Johnson, Jennings, Morris, Drummond",101141-1626169-201943-202694-203083,DET,1319.0,6,22.0,8.0,43.0,41.0,84.0,6.0,13.0,4.0,9.0,8.0,18.0,30.0,8.0,53.0,45.0,20.0,16.0,10.0,12.0,3.0,26.0,4.0,10.0,15.0,2.0,9.0,9.0,11.0,,4.0,44.0,0.5555555555555556,0.625,0.6,0.625,0.6463414634146342,0.36363636363636365,0.5,,91.70583775587566,14.976744186046512,16.463414634146343,14.837209302325581,15.317073170731707,0.3611111111111111,0.46153846153846156,0.5454545454545454,0.25,0.4444444444444444,0.5,0.75,0.2222222222222222,0.5277777777777778,0.5145,0.12195121951219512,0.11764705882352941,7.496666666666667,11.0,5.0,1.0,1.0,8.0,3.0,,6.0,3.0,3.0,9.0,10.0,1.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,,11.0,1.0,1.0,0.9,0.16666666666666666,0.1,0.1111111111111111,0.4166666666666667,0.3333333333333333,0.4,,0.42857142857142855,0.5,1.0,1.0,0.5,0.08333333333333333,0.3333333333333333,1.0,,,0.49393333333333334,0.5470318181818182,0.16981132075471697,25.05,0.2558139534883721,1.0,3.0,6.0,1.0,2.0,1.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,3.0,6.0,1.0,13.0,,1.0,5.0,7.0,,1.0,,13.0,,0.6,0.5454545454545454,0.5416666666666666,,,1.0,0.24528301886792453,10.0,3.0,7.0,1.0,0.5,0.6363636363636364,0.42857142857142855,2.0,3.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.15384615384615385,0.2857142857142857,0.7142857142857143,0.42857142857142855,1.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.09090909090909091,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-201943-202694-203382,1610612765,"Ersan Ilyasova, Stanley Johnson, Brandon Jennings, Marcus Morris, Aron Baynes","Ilyasova, Johnson, Jennings, Morris, Baynes",101141-1626169-201943-202694-203382,DET,672.0,6,11.0,-3.0,23.0,25.0,48.0,3.0,4.0,2.0,5.0,2.0,7.0,11.0,3.0,23.0,26.0,2.0,12.0,1.0,3.0,1.0,8.0,7.0,11.0,11.0,4.0,8.0,5.0,6.0,,3.0,23.0,0.14285714285714285,0.14285714285714285,0.6363636363636364,0.5882352941176471,0.575,1.0,1.0,,102.85714285714286,14.782608695652174,13.28,14.782608695652174,13.28,0.23529411764705882,0.75,0.75,0.29411764705882354,0.4,0.4,0.5,0.11764705882352941,0.5882352941176471,0.533175,0.15,0.21428571428571427,7.8,7.0,,,,2.0,6.0,2.0,6.0,,,,4.0,2.0,,5.0,,,,,,1.0,,,7.0,,,,0.35294117647058826,,,,,,,1.0,,1.0,1.0,,0.35294117647058826,,,,0.3333333333333333,,0.6466700000000001,,29.21666666666667,0.30434782608695654,2.0,2.0,6.0,2.0,2.0,2.0,1.0,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,1.0,0.4,,3.0,2.0,11.0,,,1.0,4.0,,,,11.0,,0.75,0.75,0.6875,,,1.0,0.4782608695652174,12.0,2.0,3.0,2.0,1.0,0.5,0.6666666666666666,,,,,,2.0,,1.0,3.0,3.0,,,,,,,,1.0,1.0,1.0,,,0.75,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-201943-203083-203484,1610612765,"Ersan Ilyasova, Stanley Johnson, Brandon Jennings, Andre Drummond, Kentavious Caldwell-Pope","Ilyasova, Johnson, Jennings, Drummond, Caldwell-Pope",101141-1626169-201943-203083-203484,DET,1372.0,8,23.0,8.0,45.0,45.0,90.0,10.0,17.0,4.0,10.0,7.0,15.0,34.0,3.0,45.0,37.0,14.0,16.0,7.0,9.0,2.0,20.0,10.0,16.0,23.0,3.0,5.0,7.0,4.0,,2.0,35.0,0.4666666666666667,0.5833333333333334,0.4411764705882353,0.4883720930232558,0.5,0.625,0.625,0.625,94.46064139941691,13.8,16.68888888888889,13.28888888888889,15.466666666666667,0.3953488372093023,0.5882352941176471,0.625,0.23255813953488372,0.4,0.4,0.5,0.16279069767441862,0.6046511627906976,0.5154558139534884,0.044444444444444446,0.05555555555555555,6.8999999999999995,17.0,7.0,5.0,6.0,1.0,5.0,3.0,9.0,5.0,6.0,10.0,12.0,5.0,6.0,5.0,1.0,4.0,1.0,6.0,7.0,4.0,3.0,,17.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.20930232558139536,0.029411764705882353,,0.3157894736842105,0.2916666666666667,0.3333333333333333,0.3333333333333333,,0.4,0.14285714285714285,0.14285714285714285,1.0,0.11627906976744186,1.0,0.8333333333333334,0.2,0.17647058823529413,0.66386,0.5360029411764706,0.2222222222222222,24.844444444444445,0.37777777777777777,3.0,4.0,6.0,3.0,2.0,1.0,0.5,0.4444444444444444,0.4444444444444444,0.6,0.6,0.3333333333333333,0.6,,6.0,,18.0,1.0,2.0,3.0,7.0,1.0,3.0,,18.0,,0.5,0.5294117647058824,0.5294117647058824,0.2,,0.7142857142857143,0.4,12.0,4.0,6.0,1.0,1.0,0.35294117647058826,0.6666666666666666,1.0,4.0,2.0,6.0,1.0,5.0,1.0,1.0,4.0,3.0,1.0,1.0,,,,2.0,,4.0,1.0,4.0,,0.058823529411764705,0.5714285714285714,0.625,0.2857142857142857,0.5714285714285714,1.0,0.043478260869565216,0.09302325581395349,0.25,0.25,1.0,0.11764705882352941,,2.0,2.0,,1.0,,0.4,0.25,0.6666666666666666,3.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-201943-203382-203484,1610612765,"Ersan Ilyasova, Stanley Johnson, Brandon Jennings, Aron Baynes, Kentavious Caldwell-Pope","Ilyasova, Johnson, Jennings, Baynes, Caldwell-Pope",101141-1626169-201943-203382-203484,DET,1010.0,7,17.0,18.0,40.0,36.0,76.0,6.0,11.0,2.0,9.0,1.0,9.0,21.0,14.0,50.0,32.0,8.0,10.0,4.0,10.0,,26.0,10.0,13.0,18.0,5.0,12.0,10.0,20.0,1.0,6.0,41.0,0.4444444444444444,0.5714285714285714,0.42857142857142855,0.5625,0.5975609756097561,0.6666666666666666,0.631578947368421,0.875,108.35643564356437,12.85,13.777777777777779,11.675,13.13888888888889,0.34375,0.5454545454545454,0.6,0.28125,0.2222222222222222,0.2222222222222222,,0.03125,0.6875,0.5061109375,0.16216216216216217,0.23076923076923078,4.880952380952381,33.0,6.0,2.0,2.0,1.0,10.0,8.0,11.0,3.0,3.0,9.0,16.0,8.0,4.0,10.0,1.0,3.0,1.0,4.0,5.0,4.0,1.0,,33.0,1.0,0.9,0.9,0.34375,0.047619047619047616,,0.3333333333333333,0.29411764705882354,0.42857142857142855,,0.6666666666666666,0.5,1.0,1.0,1.0,0.3125,0.4,1.0,,0.3333333333333333,0.5440125,0.5036604166666666,0.18,25.627272727272725,0.825,6.0,6.0,18.0,6.0,6.0,6.0,1.0,0.5454545454545454,0.5454545454545454,0.6,0.6,1.0,0.6,,7.0,12.0,44.0,1.0,,1.0,3.0,1.0,3.0,4.0,44.0,4.0,0.4375,0.6666666666666666,0.671875,0.2,,0.25,0.88,18.0,5.0,7.0,1.0,1.0,0.2916666666666667,0.7142857142857143,,1.0,,,,2.0,2.0,3.0,2.0,2.0,,,,2.0,,,,2.0,,2.0,3.0,0.09090909090909091,0.6666666666666666,0.5,0.2,0.6666666666666666,,0.125,0.03125,,,,,,6.0,6.0,,2.0,,0.75,1.0,0.75,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.4,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
101141-1626169-201975-203083-2581,1610612765,"Ersan Ilyasova, Stanley Johnson, Jodie Meeks, Andre Drummond, Steve Blake","Ilyasova, Johnson, Meeks, Drummond, Blake",101141-1626169-201975-203083-2581,DET,142.0,1,2.0,3.0,4.0,5.0,9.0,2.0,2.0,,,1.0,3.0,3.0,,6.0,3.0,2.0,4.0,1.0,1.0,,2.0,1.0,2.0,2.0,,1.0,1.0,,,,6.0,0.3333333333333333,0.3333333333333333,1.0,0.75,0.75,0.5,0.5,1.0,91.26760563380282,11.0,19.6,11.0,16.8,0.5,1.0,1.0,,,,,0.25,0.75,0.612575,,,6.066666666666666,,,,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,0.25,,,,,,,,0.5,1.0,1.0,,0.25,,,,,,,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,0.5,,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2016,2015-16,True
