EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGA,PtsAssisted2s,TwoPtAssists,ShortMidRangeAssists,Assisted2sPct,NonPutbacksAssisted2sPct,ShortMidRangePctAssisted,LongMidRangeFrequency,FTDefRebounds,DefFTReboundPct,LongMidRangeFGM,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,3SecondViolations,LiveBallTurnoverPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,OffTwoPtRebounds,SecondChanceFg2Pct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,AtRimAssists,2pt And 1 Free Throw Trips,Technical Free Throw Trips,AtRimPctAssisted,BadPassTurnovers,BlockedLongMidRange,DefShortMidRangeReboundPct,LongMidRangeAssists,LongMidRangePctAssisted,OffAtRimReboundPct,DefArc3ReboundPct,SecondChanceAtRimPctAssisted,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Travels,SecondChanceTurnovers,Offensive Fouls,BlockedShortMidRange,PenaltyArc3FGA,PenaltyFG3A,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,PenaltyArc3Frequency,PenaltyCorner3FGA,PenaltyFtPoints,HeaveAttempts,Fg3aBlocked,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,PenaltyCorner3Frequency,SelfOReb,SelfORebPct,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,FTOffRebounds,BlockingFouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Blocked3s,BlockedCorner3,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyFg3Pct,LongMidRangePctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,Arc3PctBlocked,Charge Fouls,StepOutOfBoundsTurnovers,BlockedArc3,3pt And 1 Free Throw Trips,Clear Path Fouls,OffensiveGoaltends,team_id,year,season,team_vs
1495-1626246-201980-202695-2225,1610612759,"Tim Duncan, Boban Marjanovic, Danny Green, Kawhi Leonard, Tony Parker","Duncan, Marjanovic, Green, Leonard, Parker",1495-1626246-201980-202695-2225,SAS,319.0,2,5.0,-1.0,8.0,9.0,1.0,17.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,8.0,9.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.5,1.5,0.5,1.5,0.42857142857142855,0.5,0.6666666666666666,0.75,0.5,0.5,0.6666666666666666,0.25,1.0,1.0,1.0,1.0,76.7398119122257,1.0,17.875,19.555555555555557,16.875,16.88888888888889,0.42857142857142855,0.3333333333333333,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,1.0,0.8571428571428571,0.5,0.47379999999999994,0.125,0.2,0.375,2.8499999999999996,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1626246-201988-203937-2755,1610612759,"Tim Duncan, Boban Marjanovic, Patty Mills, Kyle Anderson, Kevin Martin","Duncan, Marjanovic, Mills, Anderson, Martin",1495-1626246-201988-203937-2755,SAS,86.0,1,1.0,-3.0,2.0,3.0,,5.0,,,1.0,1.0,,,,,,1.0,2.0,,,,2.0,5.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,0.5,0.5,,0.5,,,,,,,,,,,,,,83.72093023255813,,21.0,14.666666666666666,21.0,13.666666666666666,,,,0.5,1.0,1.0,,,,,,,,,,,0.39185,,,,11.3,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1626246-202695-203937-2225,1610612759,"Tim Duncan, Boban Marjanovic, Kawhi Leonard, Kyle Anderson, Tony Parker","Duncan, Marjanovic, Leonard, Anderson, Parker",1495-1626246-202695-203937-2225,SAS,69.0,1,1.0,-3.0,2.0,2.0,,4.0,,,,,,,1.0,,,,,,1.0,,,3.0,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,83.47826086956522,,12.5,22.0,12.5,21.5,,,,,,,,1.0,,,,,,,1.0,,0.5058,,,,,25.8,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1626246-203613-203937-2225,1610612759,"Tim Duncan, Boban Marjanovic, Jonathon Simmons, Kyle Anderson, Tony Parker","Duncan, Marjanovic, Simmons, Anderson, Parker",1495-1626246-203613-203937-2225,SAS,170.0,1,3.0,,5.0,5.0,,10.0,,,,,,,,,,1.0,2.0,,,2.0,4.0,4.0,,,,2.0,,,,,,,,,,,2.0,2.0,,2.0,1.0,,,1.0,2.0,,,1.0,2.0,1.0,,,,,4.0,,,,,0.5,0.5,,0.6666666666666666,,,,,1.0,,,1.0,,,1.0,1.0,,84.70588235294117,,19.0,15.0,19.0,15.0,,,,,,,,,,,,,,,,,0.37685,0.3333333333333333,0.3333333333333333,,18.0,,2.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1889-1938-200746-203613,1610612759,"Tim Duncan, Andre Miller, Manu Ginobili, LaMarcus Aldridge, Jonathon Simmons","Duncan, Miller, Ginobili, Aldridge, Simmons",1495-1889-1938-200746-203613,SAS,127.0,1,2.0,2.0,3.0,4.0,1.0,7.0,1.0,1.0,,1.0,,,,,,3.0,4.0,,,,6.0,4.0,,,2.0,6.0,,,,,,,,,,1.0,1.0,2.0,1.0,3.0,,,,,,1.0,1.0,,,,,,,,4.0,,,,,0.75,0.75,1.0,0.75,1.0,,,,0.5,1.0,,0.6666666666666666,1.0,,1.0,,1.0,79.37007874015748,,11.0,23.5,11.0,21.0,0.25,1.0,1.0,0.25,,,,,,,,,,,0.25,,0.45545,,,0.3333333333333333,11.45,,2.0,,,,,,,0.5,,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1889-1938-203613-2561,1610612759,"Tim Duncan, Andre Miller, Manu Ginobili, Jonathon Simmons, David West","Duncan, Miller, Ginobili, Simmons, West",1495-1889-1938-203613-2561,SAS,43.0,1,1.0,2.0,2.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,,,,4.0,2.0,,,,2.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,100.46511627906976,,9.5,24.0,9.5,24.0,0.5,1.0,1.0,0.5,1.0,1.0,,,,,,,,,0.5,,0.33555,,,,7.55,,,2.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,0.5,1.0,0.33555,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1889-1938-2561-2755,1610612759,"Tim Duncan, Andre Miller, Manu Ginobili, David West, Kevin Martin","Duncan, Miller, Ginobili, West, Martin",1495-1889-1938-2561-2755,SAS,161.0,1,3.0,5.0,4.0,3.0,,7.0,1.0,1.0,1.0,1.0,,,,,,4.0,4.0,,,1.0,9.0,4.0,,,,4.0,,,,,,2.0,,4.0,,,,,,,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,,,,,9.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,62.60869565217392,,15.5,33.0,15.5,26.333333333333332,0.25,1.0,1.0,0.25,1.0,1.0,,,,,,,,,0.25,,0.458725,0.25,0.25,,10.475,,2.0,4.0,2.0,1.0,0.5,0.5,1.0,0.5,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1889-201988-203613-203937,1610612759,"Tim Duncan, Andre Miller, Patty Mills, Jonathon Simmons, Kyle Anderson","Duncan, Miller, Mills, Simmons, Anderson",1495-1889-201988-203613-203937,SAS,155.0,1,3.0,2.0,6.0,5.0,,11.0,2.0,2.0,1.0,1.0,,,,,,4.0,4.0,,,,8.0,6.0,,,,4.0,,,,,,2.0,,4.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,,2.0,1.0,2.0,,8.0,,,,,1.0,1.0,,1.0,,,,,0.25,,,0.25,,,,,,102.19354838709677,,11.0,17.8,11.0,17.2,0.5,1.0,1.0,0.25,1.0,1.0,,,,,,,,,0.5,,0.564025,,,,6.375,,1.0,4.0,2.0,,0.5,0.5,,0.25,,,1.0,1.0,1.0,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1889-203613-203937-2561,1610612759,"Tim Duncan, Andre Miller, Jonathon Simmons, Kyle Anderson, David West","Duncan, Miller, Simmons, Anderson, West",1495-1889-203613-203937-2561,SAS,757.0,2,13.0,3.0,25.0,25.0,2.0,50.0,2.0,6.0,4.0,7.0,,,5.0,,,10.0,19.0,,5.0,3.0,23.0,20.0,,,2.0,10.0,,5.0,,1.0,,5.0,,10.0,1.0,1.0,11.0,12.0,2.0,14.0,3.0,,,,1.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,21.0,,,,,0.5263157894736842,0.4166666666666667,0.5,0.4423076923076923,0.5,0.20833333333333334,0.05263157894736842,0.16666666666666666,0.8461538461538461,1.0,0.2,0.8571428571428571,0.14285714285714285,0.2,0.8333333333333334,1.0,1.0,95.112285336856,1.0,14.24,16.04,13.8,15.84,0.25,0.3333333333333333,0.4,0.2916666666666667,0.5714285714285714,0.5714285714285714,,0.20833333333333334,,,,,,,0.4583333333333333,,0.4688833333333333,0.11538461538461539,0.14285714285714285,0.08695652173913043,9.084210526315792,25.380000000000003,6.0,10.0,5.0,1.0,0.5,0.5,0.25,0.25,,,4.0,3.0,1.0,1.0,,1.0,0.6666666666666666,0.6666666666666666,,1.0,1.0,2.0,,1.0,0.5,0.1111111111111111,0.3333333333333333,0.5,,0.6859,,7.0,,,,,,,,,,,,,,,,,1.0,,,,,0.5,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
1495-1889-203613-2561-2755,1610612759,"Tim Duncan, Andre Miller, Jonathon Simmons, David West, Kevin Martin","Duncan, Miller, Simmons, West, Martin",1495-1889-203613-2561-2755,SAS,250.0,3,4.0,2.0,8.0,7.0,2.0,15.0,1.0,3.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,7.0,5.0,1.0,1.0,5.0,,3.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,,1.0,3.0,4.0,2.0,6.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,2.0,1.0,0.25,1.0,0.25,0.25,0.3125,1.25,0.3888888888888889,1.25,0.5,0.25,0.3333333333333333,0.75,1.0,,0.8,0.3333333333333333,,1.0,1.0,,86.39999999999999,,14.25,19.428571428571427,12.375,19.0,0.375,0.3333333333333333,0.5,0.125,,,0.125,0.375,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,0.875,0.3333333333333333,0.477175,0.1111111111111111,0.2,0.7142857142857143,2.825,24.775,,2.0,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,2.0,1.0,0.6666666666666666,,0.5,1.0,0.476475,,7.0,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2016,2015-16,True
