EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyArc3FGA,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Fouls,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyPointsPct,SecondChanceFG2M,SecondChancePoints,ShortMidRangeAssists,ShootingFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctAssisted,SecondChancePointsPct,Corner3FGA,HeaveAttempts,DefTwoPtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Charge Fouls,Offensive Fouls,FoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,SecondChanceAtRimFGM,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,FtPoints,SecondChanceFG3A,PtsPutbacks,Corner3Assists,OffThreePtRebounds,FTDefRebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,BlockingFouls,Offensive Fouls Drawn,FTA,Technical Free Throw Trips,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,PenaltyFtPoints,Fg3aBlocked,AtRimAssists,BadPassSteals,Loose Ball Fouls,TwoPtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,AtRimPctAssisted,SecondChanceCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,OffShortMidRangeReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,FTOffRebounds,SelfOReb,SecondChanceTurnovers,Loose Ball Fouls Drawn,SecondChanceFg3Pct,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceArc3Accuracy,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3PctAssisted,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyAtRimFGM,SecondChanceFtPoints,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,PenaltyAtRimAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,2pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,BlockedLongMidRange,Blocked3s,BlockedArc3,DefensiveGoaltends,Charge Fouls Drawn,BlockedCorner3,Defensive 3 Seconds Violations,LongMidRangePctBlocked,team_id,year,season,team_vs
1626166-200751-201142-202683-203460,1610612760,"Cameron Payne, Randy Foye, Kevin Durant, Enes Kanter, Andre Roberson","Payne, Foye, Durant, Kanter, Roberson",1626166-200751-201142-202683-203460,OKC,130.0,1,2.0,-1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,1.0,66.46153846153847,19.0,24.333333333333332,19.0,21.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,0.5066,7.15,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-200751-201142-202683-203500,1610612760,"Cameron Payne, Randy Foye, Kevin Durant, Enes Kanter, Steven Adams","Payne, Foye, Durant, Kanter, Adams",1626166-200751-201142-202683-203500,OKC,4.0,1,,,1.0,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,360.0,4.0,,4.0,,,,,,,,1.0,1.0,0.14775,,34.3,1.0,1.0,1.0,1.0,1.0,0.14775,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-200751-201142-203500-2555,1610612760,"Cameron Payne, Randy Foye, Kevin Durant, Steven Adams, Nick Collison","Payne, Foye, Durant, Adams, Collison",1626166-200751-201142-203500-2555,OKC,141.0,1,2.0,,5.0,5.0,10.0,,2.0,,,2.0,1.0,3.0,2.0,8.0,8.0,,2.0,1.0,1.0,2.0,8.0,0.3333333333333333,0.8,0.8,0.4,1.0,0.5,,102.12765957446808,14.0,14.2,13.8,14.2,0.4,,,,,,0.4,0.8,0.53264,8.233333333333333,24.1,5.0,2.0,2.0,5.0,0.4,0.53264,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,8.0,2.0,6.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,8.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.8,0.8,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.6381,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-201142-201586-202683-203079,1610612760,"Cameron Payne, Kevin Durant, Serge Ibaka, Enes Kanter, Dion Waiters","Payne, Durant, Ibaka, Kanter, Waiters",1626166-201142-201586-202683-203079,OKC,54.0,2,1.0,-1.0,1.0,2.0,3.0,,,1.0,1.0,,1.0,1.0,,2.0,3.0,,,,,,,1.0,1.0,1.0,,,,,80.0,17.0,18.5,,18.5,,,,1.0,1.0,1.0,,,0.3891,9.1,,1.0,,,1.0,,0.3891,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,2.0,2.0,,,,1.0,,1.0,,,2.0,,,1.0,2.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-201142-201627-202683-203079,1610612760,"Cameron Payne, Kevin Durant, Anthony Morrow, Enes Kanter, Dion Waiters","Payne, Durant, Morrow, Kanter, Waiters",1626166-201142-201627-202683-203079,OKC,375.0,1,6.0,-17.0,12.0,13.0,25.0,,1.0,,2.0,1.0,1.0,7.0,2.0,2.0,19.0,2.0,,2.0,5.0,5.0,2.0,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.2222222222222222,1.0,0.7142857142857143,,96.0,14.5,15.461538461538462,14.5,14.384615384615385,0.1111111111111111,,,0.2222222222222222,,,0.1111111111111111,0.3333333333333333,0.4104125,12.5,41.65,1.0,1.0,1.0,1.0,1.0,,0.08333333333333333,8.0,,,,1.0,4.0,,,,,,,,,,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,0.2857142857142857,1.0,,,,1.0,0.4444444444444444,0.25,0.25,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6,1.0,0.5,0.5,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-201142-202683-203079-203500,1610612760,"Cameron Payne, Kevin Durant, Enes Kanter, Dion Waiters, Steven Adams","Payne, Durant, Kanter, Waiters, Adams",1626166-201142-202683-203079-203500,OKC,649.0,3,11.0,,21.0,21.0,42.0,2.0,3.0,4.0,5.0,6.0,6.0,9.0,8.0,16.0,16.0,10.0,6.0,1.0,10.0,13.0,12.0,0.6666666666666666,0.4411764705882353,0.4411764705882353,0.47058823529411764,1.0,1.0,,93.18952234206472,17.333333333333332,13.571428571428571,16.666666666666668,13.571428571428571,0.17647058823529413,0.6666666666666666,1.0,0.29411764705882354,0.8,0.8,0.35294117647058826,0.6470588235294118,0.521264705882353,5.488888888888889,24.5375,5.0,,1.0,5.0,,0.465025,0.23809523809523808,4.0,3.0,1.0,,,1.0,,,1.0,2.0,2.0,3.0,1.0,7.0,2.0,3.0,,1.0,1.0,1.0,2.0,,,5.0,,3.0,6.0,7.0,1.0,0.16666666666666666,0.2,1.0,0.125,1.0,0.125,0.6666666666666666,0.875,0.875,0.1111111111111111,0.3333333333333333,,0.3,,1.0,0.058823529411764705,,,,,,,0.3333333333333333,,,,,0.4375,2.0,4.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.25,0.25,2.0,,7.0,,3.0,,7.0,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,0.11764705882352941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5714285714285714,1.0,0.42857142857142855,0.5,0.5,0.5,1.0,1.0,0.3333333333333333,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-201142-202683-203079-2555,1610612760,"Cameron Payne, Kevin Durant, Enes Kanter, Dion Waiters, Nick Collison","Payne, Durant, Kanter, Waiters, Collison",1626166-201142-202683-203079-2555,OKC,396.0,2,7.0,-5.0,14.0,13.0,27.0,2.0,4.0,1.0,1.0,3.0,3.0,6.0,5.0,12.0,17.0,4.0,3.0,,3.0,5.0,10.0,0.5,0.4090909090909091,0.4583333333333333,0.45454545454545453,,1.0,,98.18181818181819,15.214285714285714,14.076923076923077,14.642857142857142,14.076923076923077,0.36363636363636365,0.5,0.6666666666666666,0.09090909090909091,1.0,1.0,0.2727272727272727,0.8181818181818182,0.5646681818181819,5.966666666666666,23.94,6.0,1.0,3.0,6.0,0.16666666666666666,0.5441166666666667,0.42857142857142855,4.0,2.0,,2.0,,1.0,,,1.0,1.0,1.0,3.0,1.0,6.0,2.0,3.0,,1.0,1.0,1.0,2.0,,,5.0,1.0,2.0,6.0,6.0,,0.3333333333333333,0.3333333333333333,1.0,0.2,0.3333333333333333,0.2,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.25,0.3333333333333333,0.2857142857142857,0.5,,0.09090909090909091,,,,,,,,0.3333333333333333,,,0.556175,0.5,1.0,2.0,,3.0,1.0,0.5,0.5,,0.16666666666666666,2.0,,2.0,,1.0,,4.0,2.0,1.0,,2.0,,,,,1.0,1.0,,1.0,0.18181818181818182,,1.0,1.0,2.0,,3.0,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,,1.0,,,3.0,1.0,0.75,1.0,0.25,0.3333333333333333,0.5,0.5,1.0,,,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.5,0.5,0.08333333333333333,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-201566-201586-203079-203500,1610612760,"Cameron Payne, Russell Westbrook, Serge Ibaka, Dion Waiters, Steven Adams","Payne, Westbrook, Ibaka, Waiters, Adams",1626166-201566-201586-203079-203500,OKC,56.0,1,1.0,-6.0,1.0,2.0,3.0,,,,,,,,1.0,,6.0,,,,,,,,,,1.0,,,,77.14285714285714,25.0,15.5,25.0,15.5,,,,,,,,1.0,0.50265,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
1626166-202683-203079-203460-203500,1610612760,"Cameron Payne, Enes Kanter, Dion Waiters, Andre Roberson, Steven Adams","Payne, Kanter, Waiters, Roberson, Adams",1626166-202683-203079-203460-203500,OKC,7.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,205.71428571428572,,7.0,,7.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
200751-201142-201566-201586-202683,1610612760,"Randy Foye, Kevin Durant, Russell Westbrook, Serge Ibaka, Enes Kanter","Foye, Durant, Westbrook, Ibaka, Kanter",200751-201142-201566-201586-202683,OKC,211.0,4,4.0,1.0,10.0,9.0,19.0,1.0,1.0,,2.0,1.0,2.0,6.0,1.0,9.0,8.0,2.0,1.0,2.0,4.0,5.0,7.0,0.3333333333333333,0.5,0.5,0.14285714285714285,1.0,1.0,,129.66824644549763,8.9,13.555555555555555,8.9,13.444444444444445,0.14285714285714285,1.0,1.0,0.2857142857142857,,,0.14285714285714285,0.2857142857142857,0.4347214285714286,12.416666666666666,25.3,,,,,,,,,1.0,1.0,,1.0,3.0,1.0,,1.0,1.0,,,,,2.0,3.0,1.0,,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,,,0.5,1.0,1.0,1.0,,1.0,,,,,,0.25,0.25,,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,,,1.0,0.5548,,1.0,2.0,,2.0,1.0,1.0,1.0,,0.2222222222222222,,,2.0,,,,3.0,,,,2.0,,,,,1.0,1.0,1.0,,,1.0,,,,,2.0,,2.0,,,,1.0,,3.0,2.0,,1.0,,,4.0,,1.0,,,,,,,1.0,,,,,,,,1.0,,2.0,,,,,0.2222222222222222,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2016,2015-16,False
