EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,Corner3FGA,Arc3FGA,FG3A,NonHeaveArc3FGA,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Travels,Charge Fouls Drawn,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,BlockedCorner3,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,StepOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,Corner3PctBlocked,HeaveMakes,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
200757-200794-201143-201168-201952,1610612737,"Thabo Sefolosha, Paul Millsap, Al Horford, Tiago Splitter, Jeff Teague","Sefolosha, Millsap, Horford, Splitter, Teague",200757-200794-201143-201168-201952,ATL,57.0,1,1.0,2.0,3.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,126.31578947368422,13.5,10.0,13.5,10.0,0.5,0.5,1.0,0.4788,25.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2016,2015-16,False
200757-200794-201143-201952-203145,1610612737,"Thabo Sefolosha, Paul Millsap, Al Horford, Jeff Teague, Kent Bazemore","Sefolosha, Millsap, Horford, Teague, Bazemore",200757-200794-201143-201952-203145,ATL,5950.0,63,99.0,188.0,220.0,97.0,408.0,10.0,37.0,47.0,37.0,2.0,24.0,44.0,70.0,23.0,93.0,16.0,6.0,25.0,0.30128205128205127,0.64,0.6984126984126984,0.6857142857142857,0.06666666666666667,0.6938775510204082,0.25,0.08695652173913043,0.6666666666666666,0.6538461538461539,98.74285714285713,15.154255319148936,14.095454545454546,14.47872340425532,13.345454545454546,0.0641025641025641,0.23717948717948717,0.6474358974358975,0.5128287096774193,25.136170212765954,-58.0,85.0,22.0,27.0,54.0,7.0,11.0,12.0,21.0,10.0,31.0,10.0,24.0,3.0,1.0,1.0,4.0,13.0,1.0,2.0,7.0,15.0,47.0,109.0,16.0,41.0,183.0,241.0,8.0,15.0,1.0,3.0,1.0,20.0,19.0,45.0,8.0,19.0,29.0,91.0,44.0,50.0,45.0,3.0,8.0,13.0,12.0,22.0,15.0,37.0,12.0,3.0,13.0,2.0,7.0,89.0,20.0,1.0,2.0,5.0,26.0,19.0,7.0,3.0,10.0,9.0,6.0,10.0,17.0,1.0,44.0,2.0,1.0,2.0,44.0,5.0,2.0,62.0,3.0,1.0,15.0,17.0,8.0,3.0,2.0,3.0,8.0,6.0,163.0,85.0,82.0,4.0,12.0,0.46808510638297873,0.5116279069767442,0.9375,0.3404255319148936,0.3333333333333333,0.42105263157894735,0.3404255319148936,0.43119266055045874,0.5333333333333333,0.4222222222222222,0.4551282051282051,0.5277777777777778,0.484375,0.4918918918918919,0.5555555555555556,0.5481927710843374,0.11009174311926606,0.12962962962962962,0.12903225806451613,0.041666666666666664,1.0,0.06666666666666667,0.3448275862068966,0.4444444444444444,0.3157894736842105,0.16666666666666666,0.6,0.7666666666666667,0.7777777777777778,0.06578947368421052,0.75,0.34615384615384615,0.5,0.574468085106383,0.48148148148148145,0.1987179487179487,0.3225806451612903,0.37037037037037035,0.2,0.15384615384615385,0.4166666666666667,0.43478260869565216,0.7,0.3,0.3,1.0,0.35135135135135137,0.35135135135135137,0.9230769230769231,0.6111111111111112,0.6363636363636364,0.42857142857142855,0.05555555555555555,0.1111111111111111,0.5,1.0,0.328125,0.5714285714285714,0.0625,0.25,0.234375,0.4666666666666667,0.35135135135135137,0.5522382352941176,0.49371984126984125,0.08928571428571429,0.12396694214876033,0.1092896174863388,0.4972677595628415,6.954128440366972,0.4521276595744681,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2016,2015-16,False
200757-200794-201143-201952-203200,1610612737,"Thabo Sefolosha, Paul Millsap, Al Horford, Jeff Teague, Justin Holiday","Sefolosha, Millsap, Horford, Teague, Holiday",200757-200794-201143-201952-203200,ATL,121.0,2,2.0,4.0,5.0,5.0,9.0,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,2.0,,,,0.4,,1.0,,,0.5,0.3333333333333333,,1.0,,107.10743801652893,11.75,14.8,11.25,14.0,0.2,0.2,0.8,0.5446500000000001,24.2,-6.0,4.0,1.0,,2.0,,1.0,,2.0,,,1.0,1.0,,,,1.0,,,,,1.0,1.0,3.0,,,2.0,8.0,,1.0,,,,,1.0,3.0,,2.0,,2.0,2.0,,,,,,1.0,1.0,,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,,,1.0,1.0,,,,,,0.3333333333333333,,0.3333333333333333,0.2,,0.2,0.2,,0.2,0.3333333333333333,0.5,,,,,0.5,0.5,,,,,,,,0.4,,,,,,,,0.2,1.0,1.0,1.0,,,,,,,1.0,,,,,,,0.4,,0.2,,0.2,,,0.6905,0.5446500000000001,,,,1.0,6.333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2016,2015-16,False
200757-200794-201143-201952-203471,1610612737,"Thabo Sefolosha, Paul Millsap, Al Horford, Jeff Teague, Dennis Schroder","Sefolosha, Millsap, Horford, Teague, Schroder",200757-200794-201143-201952-203471,ATL,652.0,10,11.0,24.0,22.0,11.0,46.0,,5.0,5.0,5.0,1.0,3.0,6.0,9.0,1.0,10.0,1.0,,3.0,0.2777777777777778,0.3333333333333333,0.75,0.6,0.3333333333333333,0.6923076923076923,0.09090909090909091,0.3333333333333333,0.75,0.5,101.59509202453987,12.5,16.0,12.333333333333334,15.5,,0.2777777777777778,0.7222222222222222,0.5409888888888889,24.84,2.0,4.0,1.0,3.0,8.0,,1.0,,,1.0,3.0,1.0,2.0,,,,,2.0,,,,,5.0,13.0,2.0,2.0,18.0,16.0,,1.0,,,,,2.0,2.0,,,2.0,6.0,8.0,2.0,6.0,,,2.0,3.0,4.0,2.0,6.0,2.0,,3.0,,1.0,14.0,,,,,4.0,,4.0,,1.0,2.0,,,1.0,,3.0,,,1.0,2.0,1.0,,2.0,,,,1.0,2.0,2.0,,,2.0,2.0,18.0,6.0,4.0,,1.0,0.8,0.8,1.0,0.4,,,0.4,0.38461538461538464,,1.0,0.4444444444444444,,1.0,0.47368421052631576,,1.0,0.23076923076923078,0.25,0.3333333333333333,,,,,,,,1.0,0.6666666666666666,1.0,,1.0,0.4444444444444444,0.375,0.5,1.0,0.16666666666666666,0.3333333333333333,0.5,,0.1111111111111111,0.5,0.5,1.0,,,,0.4,0.4,1.0,1.0,,,,,,,,,,,,,0.4,,0.41145,,,,0.3333333333333333,5.2153846153846155,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2016,2015-16,False
200757-200794-201143-201952-203501,1610612737,"Thabo Sefolosha, Paul Millsap, Al Horford, Jeff Teague, Tim Hardaway Jr.","Sefolosha, Millsap, Horford, Teague, Hardaway Jr.",200757-200794-201143-201952-203501,ATL,978.0,8,16.0,36.0,36.0,11.0,72.0,1.0,8.0,9.0,8.0,,6.0,6.0,12.0,1.0,13.0,4.0,4.0,8.0,0.34615384615384615,0.5,0.75,0.8571428571428571,,0.8,0.09090909090909091,,1.0,0.8333333333333334,106.0122699386503,12.416666666666666,14.75,11.777777777777779,14.472222222222221,0.038461538461538464,0.3076923076923077,0.5384615384615384,0.505825,25.08888888888889,7.0,14.0,2.0,4.0,5.0,,,,,3.0,6.0,3.0,6.0,1.0,,,,4.0,,,1.0,3.0,10.0,17.0,5.0,7.0,42.0,35.0,,1.0,,,,,2.0,5.0,1.0,3.0,3.0,10.0,10.0,10.0,12.0,3.0,,4.0,,5.0,4.0,9.0,3.0,1.0,2.0,1.0,2.0,22.0,1.0,,,,3.0,2.0,1.0,,,4.0,1.0,5.0,4.0,,8.0,,,1.0,8.0,,1.0,8.0,,,3.0,1.0,2.0,1.0,1.0,,3.0,2.0,42.0,10.0,14.0,2.0,1.0,0.5,0.5,0.8,0.5555555555555556,,0.3333333333333333,0.5555555555555556,0.5882352941176471,,0.4,0.6730769230769231,,0.4375,0.7,,0.5,,,,,,,0.14285714285714285,1.0,,,0.75,0.6666666666666666,1.0,,0.6666666666666666,0.19230769230769232,0.8,0.8,0.5,0.23076923076923078,0.5,0.5,0.3333333333333333,0.23076923076923078,0.5,0.5,0.6666666666666666,1.0,1.0,1.0,0.5,0.5,0.75,,,,,,,,,,,,0.375,0.3333333333333333,0.5,0.37,0.42651875,0.10344827586206896,0.15,,0.23809523809523808,9.147058823529411,0.3888888888888889,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612737,2016,2015-16,False
200757-200794-201143-201952-203934,1610612737,"Thabo Sefolosha, Paul Millsap, Al Horford, Jeff Teague, Lamar Patterson","Sefolosha, Millsap, Horford, Teague, Patterson",200757-200794-201143-201952-203934,ATL,26.0,1,,1.0,1.0,,2.0,,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,110.76923076923076,14.0,12.0,14.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2016,2015-16,False
200757-200794-201143-201952-2594,1610612737,"Thabo Sefolosha, Paul Millsap, Al Horford, Jeff Teague, Kyle Korver","Sefolosha, Millsap, Horford, Teague, Korver",200757-200794-201143-201952-2594,ATL,13189.0,55,220.0,442.0,431.0,68.0,873.0,37.0,76.0,113.0,76.0,16.0,55.0,107.0,174.0,43.0,217.0,38.0,13.0,70.0,0.29048843187660667,0.5428571428571428,0.6079545454545454,0.8461538461538461,0.2222222222222222,0.6721991701244814,0.20588235294117646,0.24489795918367346,0.4727272727272727,0.8636363636363636,95.31579346425052,14.418552036199095,15.814385150812065,13.884615384615385,14.928074245939674,0.09511568123393316,0.1953727506426735,0.6401028277634961,0.5368482005141388,24.342477876106194,24.0,73.0,45.0,87.0,136.0,9.0,15.0,14.0,24.0,29.0,77.0,27.0,63.0,14.0,4.0,1.0,3.0,27.0,4.0,9.0,2.0,12.0,143.0,276.0,41.0,48.0,457.0,433.0,11.0,21.0,6.0,13.0,9.0,49.0,18.0,45.0,3.0,15.0,14.0,59.0,158.0,128.0,99.0,24.0,8.0,27.0,24.0,79.0,33.0,112.0,22.0,11.0,53.0,10.0,16.0,257.0,26.0,1.0,12.0,4.0,40.0,25.0,15.0,12.0,25.0,32.0,7.0,13.0,36.0,1.0,76.0,5.0,4.0,4.0,63.0,1.0,2.0,67.0,10.0,1.0,34.0,4.0,23.0,15.0,1.0,7.0,27.0,12.0,408.0,57.0,72.0,8.0,3.0,0.5524475524475524,0.5683453237410072,0.8048780487804879,0.36283185840707965,0.46153846153846156,0.2,0.36283185840707965,0.5181159420289855,0.5238095238095238,0.4,0.525706940874036,0.5882352941176471,0.375,0.5467625899280576,0.6282051282051282,0.44029850746268656,0.08695652173913043,0.125,0.09090909090909091,,1.0,0.09090909090909091,0.19696969696969696,0.16326530612244897,0.14893617021276595,0.3055555555555556,0.5490196078431373,0.7571428571428571,0.8095238095238095,0.022222222222222223,0.4444444444444444,0.3496143958868895,0.6397058823529411,0.7310924369747899,0.6091954022988506,0.19794344473007713,0.37662337662337664,0.4142857142857143,0.3448275862068966,0.16195372750642673,0.42857142857142855,0.42857142857142855,0.5925925925925926,0.3783783783783784,0.3783783783783784,0.7857142857142857,0.35526315789473684,0.35526315789473684,0.8148148148148148,0.4411764705882353,0.6,0.4444444444444444,0.11764705882352941,0.2647058823529412,0.4444444444444444,1.0,0.4,0.5833333333333334,0.05,0.3333333333333333,0.2,0.16666666666666666,0.35526315789473684,0.5843025,0.53198,0.08232445520581114,0.11333333333333333,0.10722100656455143,0.12910284463894967,7.154347826086957,0.16515837104072398,4.0,,4.0,,2.0,3.0,2.0,4.0,2.0,1.0,2.0,0.17391304347826086,0.5,0.5,,,,,,,,,,,,,1610612737,2016,2015-16,False
200757-200794-201143-202714-203200,1610612737,"Thabo Sefolosha, Paul Millsap, Al Horford, Shelvin Mack, Justin Holiday","Sefolosha, Millsap, Horford, Mack, Holiday",200757-200794-201143-202714-203200,ATL,159.0,2,3.0,4.0,5.0,,9.0,1.0,,1.0,,,1.0,1.0,2.0,,2.0,,,,0.25,,1.0,1.0,,1.0,,,,1.0,81.50943396226415,18.75,16.8,18.75,16.8,0.25,,0.5,0.5278125,22.5,,2.0,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,3.0,1.0,,5.0,5.0,,,,,,,,1.0,1.0,1.0,,3.0,,2.0,3.0,,,,,,1.0,1.0,,1.0,,,,3.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,3.0,2.0,,,,,1.0,1.0,,1.0,1.0,0.3333333333333333,,,0.625,,0.75,0.625,,0.75,,,,,,,,,,,1.0,,,,,0.25,,,,0.25,1.0,1.0,,0.25,,,,1.0,1.0,1.0,,,,,,,,,,,0.5,,0.5,1.0,,,,,0.634375,,,,0.6,7.1000000000000005,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2016,2015-16,False
200757-200794-201143-202714-2594,1610612737,"Thabo Sefolosha, Paul Millsap, Al Horford, Shelvin Mack, Kyle Korver","Sefolosha, Millsap, Horford, Mack, Korver",200757-200794-201143-202714-2594,ATL,213.0,3,4.0,7.0,6.0,5.0,13.0,,,,,,,1.0,1.0,2.0,3.0,,,1.0,,,1.0,,,0.5,0.4,,1.0,,87.88732394366198,17.285714285714285,15.333333333333334,17.285714285714285,15.166666666666666,,,0.5714285714285714,0.5023428571428571,,,7.0,1.0,2.0,4.0,,,2.0,4.0,,3.0,,,,,,,,,,,,2.0,7.0,,3.0,7.0,7.0,,,,,1.0,1.0,2.0,6.0,,,2.0,6.0,2.0,2.0,,,,,1.0,1.0,,1.0,,,1.0,,,2.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,2.0,,,,2.0,,,4.0,,,,2.0,,,,,,,6.0,6.0,7.0,,1.0,0.5,0.5,,,,,,0.2857142857142857,,0.3333333333333333,0.2857142857142857,,0.3333333333333333,0.3888888888888889,0.5,0.42857142857142855,0.14285714285714285,0.25,,,,,0.4,,0.6666666666666666,,,,,,,0.5714285714285714,0.5,0.6666666666666666,0.5,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.5,,,,,,,0.5284,,,0.14285714285714285,0.8571428571428571,4.671428571428572,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1610612737,2016,2015-16,False
200757-200794-201143-203118-203145,1610612737,"Thabo Sefolosha, Paul Millsap, Al Horford, Mike Scott, Kent Bazemore","Sefolosha, Millsap, Horford, Scott, Bazemore",200757-200794-201143-203118-203145,ATL,1.0,1,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2016,2015-16,False
