EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTDefRebounds,DefFTReboundPct,LongMidRangeFGM,FtPoints,Fg2aBlocked,BadPassOutOfBoundsTurnovers,BlockingFouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFGM,PenaltyFG2M,PtsAssisted2s,TwoPtAssists,LongMidRangeAssists,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,DefAtRimReboundPct,LongMidRangePctAssisted,PenaltyAtRimAccuracy,FTOffRebounds,SelfOReb,Steals,BadPassSteals,BlockedAtRim,OffFTReboundPct,OffAtRimReboundPct,SelfORebPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFtPoints,Corner3Assists,AtRimAssists,LostBallTurnovers,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,ShortMidRangePctBlocked,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShortMidRangeFGM,ShortMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Technical Free Throw Trips,SecondChanceFtPoints,2pt And 1 Free Throw Trips,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,OffCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,PtsUnassisted3s,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,BlockedLongMidRange,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctBlocked,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceAtRimPctAssisted,Blocked3s,BlockedCorner3,3pt And 1 Free Throw Trips,OffensiveGoaltends,DefensiveGoaltends,Fg3aBlocked,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
101127-1626178-200745-201152-202711,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Thaddeus Young, Bojan Bogdanovic","Jack, Hollis-Jefferson, Bargnani, Young, Bogdanovic",101127-1626178-200745-201152-202711,BKN,290.0,4,5.0,1.0,11.0,10.0,5.0,3.0,2.0,21.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,6.0,2.0,6.0,8.0,7.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,6.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,2.0,4.0,6.0,2.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,6.0,3.0,5.0,1.0,0.3333333333333333,0.5,0.4,0.16666666666666666,0.5,0.3333333333333333,0.5,0.3,0.3076923076923077,0.5,0.3,0.5,0.5,1.0,0.25,0.6666666666666666,0.3333333333333333,0.8571428571428571,0.2857142857142857,1.0,0.5,1.0,1.0,0.6666666666666666,104.27586206896552,11.272727272727273,16.6,11.0,15.0,0.3333333333333333,0.25,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.4,0.4,1.0,1.0,0.5,0.4,0.4,0.5,0.8333333333333334,0.5,0.5034454545454545,0.5504,0.50267,0.07692307692307693,0.14285714285714285,0.25,0.375,5.6000000000000005,29.866666666666664,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,True
101127-1626178-200745-201152-203499,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Thaddeus Young, Shane Larkin","Jack, Hollis-Jefferson, Bargnani, Young, Larkin",101127-1626178-200745-201152-203499,BKN,,1,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,True
101127-1626178-200745-201152-203508,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Thaddeus Young, Sergey Karasev","Jack, Hollis-Jefferson, Bargnani, Young, Karasev",101127-1626178-200745-201152-203508,BKN,190.0,1,3.0,,7.0,7.0,,,,14.0,,1.0,,,,1.0,1.0,1.0,,,,,1.0,3.0,,1.0,6.0,6.0,,,,,,,,2.0,,,,,,,,,,,,,4.0,4.0,,4.0,,,1.0,1.0,,,1.0,,3.0,4.0,2.0,6.0,,,,,,,0.3333333333333333,,0.25,,,0.5,,,0.25,,1.0,,,,1.0,,,,1.0,1.0,,106.10526315789474,13.142857142857142,14.0,13.142857142857142,14.0,0.25,,,0.25,0.25,0.25,,,,,,,,,,0.5,,0.4589,,,0.3333333333333333,0.4,,,9.200000000000001,23.6,,,,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,True
101127-1626178-200745-201152-2207,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Thaddeus Young, Joe Johnson","Jack, Hollis-Jefferson, Bargnani, Young, Johnson",101127-1626178-200745-201152-2207,BKN,380.0,3,6.0,4.0,10.0,9.0,5.0,,1.0,19.0,2.0,4.0,1.0,1.0,3.0,,2.0,,1.0,4.0,,2.0,4.0,6.0,1.0,4.0,13.0,9.0,1.0,1.0,2.0,4.0,,2.0,4.0,4.0,3.0,,,4.0,1.0,1.0,3.0,1.0,7.0,1.0,,1.0,4.0,5.0,1.0,6.0,,,,,,,1.0,,1.0,2.0,1.0,11.0,4.0,5.0,1.0,0.25,,0.25,0.6666666666666666,1.0,0.55,1.0,0.3333333333333333,0.5909090909090909,1.0,0.3333333333333333,0.4,,0.8,,1.0,0.3333333333333333,0.8333333333333334,0.2,,0.3333333333333333,,1.0,1.0,72.0,20.9,19.0,20.6,19.0,0.4,0.5,0.5,,0.2,,0.4,0.25,0.25,1.0,1.0,1.0,0.5,0.3333333333333333,,0.8,0.25,0.555115,,0.5599333333333333,0.09090909090909091,0.14285714285714285,0.15384615384615385,0.3076923076923077,7.0,24.875,0.5,,,2.0,2.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,4.0,2.0,2.0,0.5,0.5,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,True
101127-1626178-200745-201572-202711,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Brook Lopez, Bojan Bogdanovic","Jack, Hollis-Jefferson, Bargnani, Lopez, Bogdanovic",101127-1626178-200745-201572-202711,BKN,203.0,3,3.0,2.0,7.0,7.0,4.0,2.0,3.0,14.0,1.0,5.0,1.0,3.0,3.0,1.0,4.0,,,,,,3.0,10.0,,,6.0,4.0,2.0,4.0,4.0,4.0,,,2.0,2.0,,2.0,,,,,2.0,,4.0,,4.0,,3.0,3.0,5.0,8.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,2.0,2.0,4.0,,,,,0.3,0.5,0.3,0.5,0.25,0.2727272727272727,0.4,0.25,,1.0,0.75,0.5714285714285714,,,0.75,0.5714285714285714,1.0,,,0.5,,99.3103448275862,16.571428571428573,12.428571428571429,13.571428571428571,12.0,0.5,0.2,0.25,0.1,0.4,,,,,,0.75,0.3333333333333333,0.75,,,0.5,,0.51512,0.5553,0.593275,0.09090909090909091,0.09090909090909091,0.6666666666666666,0.3333333333333333,9.53,,0.5714285714285714,,,2.0,,1.0,,,1.0,,1.0,1.0,0.1,0.2,1.0,0.5,0.5,1.0,1.0,4.0,2.0,2.0,0.6666666666666666,1.0,0.25,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,True
101127-1626178-200745-201572-2207,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Brook Lopez, Joe Johnson","Jack, Hollis-Jefferson, Bargnani, Lopez, Johnson",101127-1626178-200745-201572-2207,BKN,300.0,3,5.0,-1.0,11.0,11.0,4.0,6.0,2.0,22.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,5.0,,1.0,1.0,3.0,2.0,6.0,12.0,13.0,,,3.0,1.0,1.0,2.0,5.0,,6.0,,,5.0,1.0,2.0,3.0,1.0,8.0,2.0,,,4.0,4.0,2.0,6.0,2.0,1.0,,2.0,1.0,1.0,3.0,,4.0,4.0,2.0,9.0,5.0,4.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,,0.4444444444444444,0.75,0.5,0.5454545454545454,0.75,0.625,0.6666666666666666,1.0,1.0,,,0.5,1.0,0.4,,0.5,1.0,1.0,,105.6,14.090909090909092,13.181818181818182,13.090909090909092,13.181818181818182,0.1111111111111111,1.0,1.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.2,0.2,1.0,,,,0.3333333333333333,,0.7777777777777778,0.2,0.5366166666666667,,0.4680333333333333,0.18181818181818182,0.4,0.25,0.4166666666666667,8.766666666666667,24.883333333333336,0.36363636363636365,,,,4.0,1.0,,,,,,,0.3333333333333333,,,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,True
101127-1626178-200745-201961-202711,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Wayne Ellington, Bojan Bogdanovic","Jack, Hollis-Jefferson, Bargnani, Ellington, Bogdanovic",101127-1626178-200745-201961-202711,BKN,88.0,1,1.0,-3.0,2.0,3.0,2.0,,,5.0,1.0,1.0,,,1.0,1.0,,,,,,,2.0,2.0,,,4.0,7.0,,,,2.0,,,4.0,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,1.0,,,4.0,4.0,2.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,81.81818181818183,23.0,14.0,23.0,14.0,0.5,1.0,1.0,0.5,,,,,,,,,0.5,,,0.5,,0.45965,,0.45965,,,,1.0,6.95,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,4.0,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,True
101127-1626178-200745-202711-203080,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Bojan Bogdanovic, Thomas Robinson","Jack, Hollis-Jefferson, Bargnani, Bogdanovic, Robinson",101127-1626178-200745-202711-203080,BKN,19.0,2,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,75.78947368421053,5.0,,5.0,,,,,,,,1.0,,,,,,,1.0,,1.0,,0.22995,,0.22995,,,,,,27.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,True
101127-1626178-200745-202711-2207,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Bojan Bogdanovic, Joe Johnson","Jack, Hollis-Jefferson, Bargnani, Bogdanovic, Johnson",101127-1626178-200745-202711-2207,BKN,21.0,1,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,137.14285714285714,9.0,12.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,True
101127-1626178-200745-203900-2207,1610612751,"Jarrett Jack, Rondae Hollis-Jefferson, Andrea Bargnani, Markel Brown, Joe Johnson","Jack, Hollis-Jefferson, Bargnani, Brown, Johnson",101127-1626178-200745-203900-2207,BKN,24.0,1,,2.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,1.0,120.0,10.0,14.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2016,2015-16,True
