EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,Minutes,PlusMinus,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsUnassisted2s,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,PenaltyShotQualityAvg,PenaltyPointsPct,LongMidRangeAssists,FTDefRebounds,DefensiveGoaltends,DefFTReboundPct,LongMidRangePctAssisted,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyFtPoints,PenaltyTurnovers,NonShootingFoulsDrawn,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShortMidRangeAssists,ShortMidRangePctAssisted,DeadBallTurnovers,NonShootingPenaltyNonTakeFoulsDrawn,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,2pt And 1 Free Throw Trips,SecondChanceFtPoints,BlockingFoulsDrawn,LongMidRangePctBlocked,OffLongMidRangeReboundPct,Loose Ball Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,ThreePtShootingFoulsDrawnPct,Offensive Fouls Drawn,SecondChanceAtRimPctAssisted,Offensive Fouls,LostBallOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Arc3PctBlocked,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,3SecondViolations,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Travels,FTOffRebounds,Charge Fouls Drawn,OffFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,BlockedLongMidRange,Clear Path Fouls,BlockedCorner3,OffensiveGoaltends,HeaveMakes,team_id,year,season,team_vs
1626153-1626181-200768-202687-2449,1610612761,"Delon Wright, Norman Powell, Kyle Lowry, Bismack Biyombo, Luis Scola","Wright, Powell, Lowry, Biyombo, Scola",1626153-1626181-200768-202687-2449,TOR,6.0,1,1.0,1.0,1.0,1.0,2.0,1.0,480.0,1.0,5.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-202687-203082,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Bismack Biyombo, Terrence Ross","Wright, Powell, Thompson, Biyombo, Ross",1626153-1626181-201574-202687-203082,TOR,204.0,2,6.0,6.0,,3.0,12.0,,84.70588235294117,15.333333333333334,18.666666666666668,15.333333333333334,18.666666666666668,,3.0,-1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,6.0,7.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,6.0,0.5,0.5,0.6,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.373,0.2,0.2,11.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-202709-203082,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Cory Joseph, Terrence Ross","Wright, Powell, Thompson, Joseph, Ross",1626153-1626181-201574-202709-203082,TOR,34.0,1,1.0,2.0,1.0,1.0,3.0,1.0,127.05882352941177,18.0,8.0,18.0,8.0,1.0,1.0,-2.0,,,,,1.0,1.0,,2.0,4.0,,,,,,,,,,1.0,,2.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.4719,,,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4719,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-203082-203512,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Terrence Ross, Lucas Nogueira","Wright, Powell, Thompson, Ross, Nogueira",1626153-1626181-201574-203082-203512,TOR,75.0,1,3.0,4.0,,,7.0,,134.4,19.666666666666668,4.0,19.666666666666668,4.0,,1.0,-3.0,,,1.0,2.0,2.0,3.0,,4.0,7.0,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,0.6666666666666666,0.5,0.5,0.43323333333333336,,,11.299999999999999,1.0,1.0,,,,,,4.0,2.0,2.0,1.0,4.0,,1.0,1.0,,,,0.3333333333333333,1.0,1.0,1.0,,,0.3333333333333333,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201574-203512-203998,1610612761,"Delon Wright, Norman Powell, Jason Thompson, Lucas Nogueira, Bruno Caboclo","Wright, Powell, Thompson, Nogueira, Caboclo",1626153-1626181-201574-203512-203998,TOR,910.0,1,29.0,30.0,,,59.0,,93.36263736263737,16.689655172413794,14.2,15.758620689655173,13.8,,15.0,-4.0,,3.0,,3.0,9.0,20.0,,24.0,28.0,8.0,2.0,4.0,10.0,15.0,21.0,4.0,2.0,4.0,2.0,,3.0,4.0,2.0,1.0,20.0,0.45,0.4,0.3870967741935484,0.1,0.3333333333333333,1.0,0.7692307692307693,0.8,0.7777777777777778,0.6666666666666666,0.75,0.1,,,0.1,,,0.5467433333333334,0.03225806451612903,0.047619047619047616,5.2,9.0,14.0,,,,,,10.0,5.0,7.0,5.0,16.0,,0.5555555555555556,0.7142857142857143,,,,0.4666666666666667,0.6428571428571429,0.6923076923076923,0.5555555555555556,,,0.8,,,,1.0,,1.0,,6.0,2.0,3.0,1.0,3.0,1.0,7.0,2.0,2.0,10.0,2.0,4.0,2.0,4.0,6.0,4.0,7.0,1.0,2.0,1.0,1.0,3.0,3.0,6.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.2,0.2,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.07142857142857142,0.2727272727272727,0.375,0.3157894736842105,0.2,0.6666666666666666,0.3333333333333333,0.5,0.75,1.0,1.0,0.11764705882352941,0.3333333333333333,0.1,0.3333333333333333,0.3333333333333333,1.0,0.23333333333333334,0.14285714285714285,0.14285714285714285,1.0,0.5,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.5367000000000001,0.16666666666666666,24.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201949-202335-203512,1610612761,"Delon Wright, Norman Powell, James Johnson, Patrick Patterson, Lucas Nogueira","Wright, Powell, Johnson, Patterson, Nogueira",1626153-1626181-201949-202335-203512,TOR,181.0,1,7.0,6.0,2.0,,13.0,2.0,103.42541436464089,13.285714285714286,14.666666666666666,13.285714285714286,14.666666666666666,0.2857142857142857,3.0,3.0,,,,,1.0,1.0,5.0,7.0,4.0,,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,,,2.0,4.0,6.0,2.0,7.0,1.0,0.5,0.7,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,0.3805,0.5,0.6666666666666666,3.8,1.0,1.0,,,,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,1.0,0.5,1.0,1.0,1.0,,,1.0,,0.2857142857142857,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,0.5,,,,,,,,,1.0,,,,1.0,,,,,0.5,,,,,,,,,,24.6,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201949-202685-202709,1610612761,"Delon Wright, Norman Powell, James Johnson, Jonas Valanciunas, Cory Joseph","Wright, Powell, Johnson, Valanciunas, Joseph",1626153-1626181-201949-202685-202709,TOR,132.0,1,5.0,4.0,5.0,,9.0,5.0,98.18181818181817,15.6,13.5,15.6,13.5,1.0,2.0,2.0,,1.0,,,,2.0,1.0,4.0,2.0,,1.0,1.0,2.0,3.0,3.0,,,,,,,1.0,2.0,1.0,4.0,,0.375,0.4,0.5,,,1.0,1.0,1.0,,,0.25,,,,,,0.520825,0.2,0.3333333333333333,6.6,,1.0,,1.0,,2.0,4.0,,,,,,4.0,,,,0.375,0.4,0.25,,,,0.25,,0.75,0.520825,1.0,,,,,,,,,,,1.0,2.0,,1.0,2.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,0.5,1.0,,,,,,,,,1.0,1.0,,,,,,,0.5,0.5,0.5,,,,,0.5,,,24.5,1.0,,,1.0,2.0,1.0,2.0,3.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201960-202687-203082,1610612761,"Delon Wright, Norman Powell, DeMarre Carroll, Bismack Biyombo, Terrence Ross","Wright, Powell, Carroll, Biyombo, Ross",1626153-1626181-201960-202687-203082,TOR,180.0,1,6.0,5.0,,,11.0,,88.0,17.166666666666668,15.4,17.166666666666668,15.4,,3.0,5.0,2.0,2.0,1.0,1.0,3.0,3.0,,9.0,4.0,2.0,,2.0,,2.0,2.0,2.0,1.0,2.0,,,,,,,9.0,1.0,1.125,1.125,,,1.0,,1.0,1.0,,,0.5,1.0,1.0,0.25,1.0,1.0,0.42015,,,10.166666666666666,,,,,,,,4.0,2.0,3.0,,7.0,,0.6666666666666666,0.6666666666666666,,,,,,,,,,0.25,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,3.0,,,,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,0.25,,,,,,,,,,,1.0,,,0.25,1.0,1.0,1.0,,,,,,,,,,,24.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-201960-203512-2449,1610612761,"Delon Wright, Norman Powell, DeMarre Carroll, Lucas Nogueira, Luis Scola","Wright, Powell, Carroll, Nogueira, Scola",1626153-1626181-201960-203512-2449,TOR,100.0,1,4.0,4.0,,2.0,8.0,,115.19999999999999,17.0,8.0,17.0,8.0,,2.0,4.0,,,1.0,1.0,1.0,1.0,,5.0,1.0,2.0,,1.0,1.0,3.0,3.0,,,1.0,1.0,,1.0,,,,5.0,1.0,0.8333333333333334,0.8333333333333334,,,,1.0,1.0,1.0,1.0,1.0,,,,0.3333333333333333,1.0,1.0,0.414,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,1.0,,1.0,,,,,,,1.0,2.0,,1.0,2.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,0.6666666666666666,0.5,0.5,,,,,0.5,,,27.3,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
1626153-1626181-202335-202685-202709,1610612761,"Delon Wright, Norman Powell, Patrick Patterson, Jonas Valanciunas, Cory Joseph","Wright, Powell, Patterson, Valanciunas, Joseph",1626153-1626181-202335-202685-202709,TOR,389.0,1,12.0,12.0,5.0,8.0,24.0,5.0,88.84318766066838,15.166666666666666,17.25,15.166666666666666,15.583333333333334,0.4166666666666667,6.0,2.0,2.0,3.0,,,5.0,8.0,2.0,12.0,10.0,6.0,1.0,1.0,4.0,5.0,6.0,3.0,2.0,3.0,1.0,,1.0,3.0,2.0,,10.0,0.625,0.5555555555555556,0.6,0.125,,1.0,0.8,0.5,0.7142857142857143,,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,,,,0.5353666666666667,,,3.8375,3.0,5.0,,2.0,,2.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,0.4,0.5,,,0.3333333333333333,0.5555555555555556,0.6,0.75,0.3333333333333333,1.0,,0.6666666666666666,0.6458,0.16666666666666666,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,2.0,,2.0,1.0,,,,,1.0,,1.0,,3.0,2.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,0.1111111111111111,0.2,,1.0,0.25,,,1.0,,1.0,0.75,,,,,,,,0.1111111111111111,,,,1.0,1.0,,,,0.16666666666666666,25.4,2.0,2.0,1.0,,,,,,,,,1.0,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2016,2015-16,False
