EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,DefThreePtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,BlockingFouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Fg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGA,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,FG2M,SecondChanceFG2M,PenaltyFG3M,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,BadPassSteals,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,PenaltyFg3Pct,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceCorner3FGA,SecondChanceFG3A,ShortMidRangeAssists,Loose Ball Fouls,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffAtRimReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyFG2M,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,Travels,PenaltyFg2Pct,LongMidRangePctAssisted,PenaltyAtRimAccuracy,FTDefRebounds,SecondChanceTurnovers,DefFTReboundPct,Arc3Assists,Arc3PctAssisted,Charge Fouls Drawn,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,BlockedLongMidRange,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,Fg2aBlocked,LostBallTurnovers,Technical Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,BlockedShortMidRange,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,NonShootingPenaltyNonTakeFouls,HeaveAttempts,ShortMidRangePctBlocked,Defensive 3 Seconds Violations,FTOffRebounds,OffFTReboundPct,Charge Fouls,BlockingFoulsDrawn,team_id,year,season,team_vs
101109-101111-101114-1717-202083,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Dirk Nowitzki, Wesley Matthews","Felton, Villanueva, Williams, Nowitzki, Matthews",101109-101111-101114-1717-202083,DAL,32.0,1,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,180.0,8.5,7.5,8.5,7.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101111-101114-202083-2585,1610612742,"Raymond Felton, Charlie Villanueva, Deron Williams, Wesley Matthews, Zaza Pachulia","Felton, Villanueva, Williams, Matthews, Pachulia",101109-101111-101114-202083-2585,DAL,150.0,1,2.0,3.0,6.0,5.0,1.0,2.0,11.0,2.0,5.0,2.0,2.0,,3.0,5.0,,1.0,,1.0,,3.0,,2.0,,3.0,2.0,1.0,0.35714285714285715,0.5,,0.75,,105.6,13.5,13.8,10.666666666666666,13.6,,,0.4,0.16666666666666666,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,0.5,0.5,1.0,0.75,0.6666666666666666,0.4,1.0,1.0,1.0,0.5,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,0.5,0.5731583333333333,0.7591,0.4105,0.4,9.266666666666667,24.099999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101114-1626147-202083-2734,1610612742,"Raymond Felton, Deron Williams, Justin Anderson, Wesley Matthews, Devin Harris","Felton, Williams, Anderson, Matthews, Harris",101109-101114-1626147-202083-2734,DAL,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,0.09705,,0.09705,,,34.7,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101114-1626257-1717-202083,1610612742,"Raymond Felton, Deron Williams, Salah Mejri, Dirk Nowitzki, Wesley Matthews","Felton, Williams, Mejri, Nowitzki, Matthews",101109-101114-1626257-1717-202083,DAL,426.0,3,7.0,2.0,12.0,12.0,7.0,2.0,24.0,1.0,13.0,1.0,7.0,2.0,4.0,8.0,,1.0,1.0,3.0,,2.0,,2.0,,10.0,7.0,7.0,0.43333333333333335,0.3888888888888889,1.0,1.0,1.0,81.12676056338029,16.083333333333332,19.416666666666668,15.75,19.416666666666668,,,0.5384615384615384,0.5833333333333334,3.0,4.0,2.0,1.0,2.0,2.0,1.0,5.0,7.0,2.0,7.0,11.0,3.0,1.0,3.0,3.0,3.0,5.0,1.0,3.0,2.0,4.0,,2.0,,1.0,1.0,2.0,,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.375,0.5,1.0,1.0,0.75,0.4444444444444444,1.0,1.0,,,,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.2,0.2,0.6666666666666666,0.7857142857142857,0.2,0.5442,0.6435333333333334,0.5536875,0.23076923076923078,5.571428571428571,24.571428571428573,3.0,5.0,0.375,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,0.3333333333333333,0.5,0.5,0.4,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.375,0.2,1.0,1.0,1.0,0.75,0.75,0.3333333333333333,0.5,0.5,1.0,0.5,0.125,0.25,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101114-1717-202083-2585,1610612742,"Raymond Felton, Deron Williams, Dirk Nowitzki, Wesley Matthews, Zaza Pachulia","Felton, Williams, Nowitzki, Matthews, Pachulia",101109-101114-1717-202083-2585,DAL,639.0,4,11.0,10.0,19.0,19.0,,,38.0,4.0,22.0,,,1.0,9.0,14.0,,1.0,,2.0,,4.0,,5.0,1.0,18.0,,,0.4782608695652174,,1.0,0.8181818181818182,1.0,85.63380281690141,15.105263157894736,18.526315789473685,13.947368421052632,17.63157894736842,0.08695652173913043,0.0625,,,4.0,6.0,1.0,6.0,3.0,1.0,,5.0,15.0,,6.0,12.0,3.0,,4.0,,,5.0,,2.0,8.0,5.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,0.42857142857142855,0.5,0.2857142857142857,1.0,0.8,0.3333333333333333,0.4166666666666667,0.3333333333333333,,1.0,0.6666666666666666,0.08333333333333333,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.047619047619047616,0.23809523809523808,,,0.25,0.5714285714285714,,0.5023404761904762,0.501075,,0.18181818181818182,8.013333333333334,24.366666666666664,,,,5.0,1.0,,,,,,9.0,2.0,,4.0,14.0,,2.0,2.0,,2.0,,1.0,4.0,3.0,1.0,0.2222222222222222,0.25,,,0.6,0.6666666666666666,0.5,,0.5,,0.75,,0.8333333333333334,0.8333333333333334,0.2,,,,1.0,,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101114-202083-203939-2585,1610612742,"Raymond Felton, Deron Williams, Wesley Matthews, Dwight Powell, Zaza Pachulia","Felton, Williams, Matthews, Powell, Pachulia",101109-101114-202083-203939-2585,DAL,587.0,2,10.0,2.0,19.0,20.0,3.0,7.0,39.0,2.0,19.0,,4.0,3.0,11.0,12.0,3.0,4.0,1.0,,,3.0,,2.0,1.0,17.0,4.0,3.0,0.6333333333333333,1.0,0.75,0.6875,1.0,95.67291311754686,11.105263157894736,18.8,10.578947368421053,17.05,0.06666666666666667,0.07692307692307693,0.21052631578947367,0.15789473684210525,2.0,5.0,,4.0,3.0,2.0,,,12.0,1.0,2.0,17.0,2.0,,2.0,2.0,,,,1.0,8.0,1.0,,2.0,1.0,1.0,1.0,,,1.0,,,0.5,0.5,0.6071428571428571,0.5,0.14285714285714285,0.25,0.6666666666666666,0.2,0.16666666666666666,,,0.7142857142857143,,,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.14285714285714285,,,,,0.5,,0.5388607142857144,0.412,0.5332,0.10526315789473684,6.8,22.85,,,,3.0,,1.0,1.0,,,,7.0,1.0,,4.0,10.0,3.0,,2.0,1.0,3.0,1.0,1.0,7.0,,1.0,0.2857142857142857,0.2857142857142857,1.0,,0.5833333333333334,0.5,0.5,1.0,,,0.6,0.5,0.6,0.6,0.3333333333333333,0.5,0.5,1.0,,0.5,,,,2.0,2.0,,,,,,3.0,3.0,3.0,2.0,0.5,,0.6666666666666666,0.5,0.5,,0.6666666666666666,0.6666666666666666,,,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101135-1626147-1626257-202083,1610612742,"Raymond Felton, David Lee, Justin Anderson, Salah Mejri, Wesley Matthews","Felton, Lee, Anderson, Mejri, Matthews",101109-101135-1626147-1626257-202083,DAL,133.0,1,2.0,-2.0,4.0,4.0,,,8.0,,2.0,,,1.0,2.0,2.0,,,,,,2.0,,,,2.0,,,0.3333333333333333,,1.0,0.6666666666666666,1.0,86.61654135338345,13.5,19.75,13.5,18.75,,,,,,,,1.0,,,,2.0,1.0,,2.0,4.0,,,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,0.3333333333333333,,0.6666666666666666,,0.5,,,,,1.0,,,,0.3333333333333333,,,0.6666666666666666,,,,0.6666666666666666,,0.49898333333333333,,,,7.6,24.45,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101135-1626147-1626257-2734,1610612742,"Raymond Felton, David Lee, Justin Anderson, Salah Mejri, Devin Harris","Felton, Lee, Anderson, Mejri, Harris",101109-101135-1626147-1626257-2734,DAL,146.0,1,2.0,-1.0,5.0,5.0,3.0,,10.0,3.0,5.0,1.0,3.0,,3.0,5.0,2.0,2.0,1.0,1.0,,3.0,,4.0,1.0,3.0,3.0,3.0,0.5,0.5,,1.0,,98.63013698630138,13.8,15.4,13.2,15.4,0.25,0.3333333333333333,0.6,0.6,2.0,1.0,1.0,1.0,,,,1.0,2.0,,1.0,6.0,1.0,,2.0,2.0,,1.0,,1.0,2.0,2.0,1.0,,,,,1.0,,,1.0,1.0,,,0.3333333333333333,1.0,0.3333333333333333,,1.0,1.0,1.0,1.0,,,1.0,0.5,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,1.0,0.6666666666666666,,0.5257833333333334,0.6274,0.51185,0.4,5.35,25.2,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,2.0,,2.0,,,,,,,1.0,,,,,,0.5,1.0,1.0,0.5,1.0,,1.0,,1.0,1.0,,,,,1.0,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,2.0,0.5,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101135-1626147-1717-200826,1610612742,"Raymond Felton, David Lee, Justin Anderson, Dirk Nowitzki, J.J. Barea","Felton, Lee, Anderson, Nowitzki, Barea",101109-101135-1626147-1717-200826,DAL,42.0,1,1.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,2.0,,1.0,1.0,,,,,,1.0,,2.0,,5.0,2.0,1.0,1.25,1.0,,1.0,,102.85714285714286,12.5,17.0,12.5,17.0,,,0.4,0.5,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.5,,1.0,,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,0.5508,,,,,24.4,,,,,,,,,,,,,,,,3.0,,,1.0,1.0,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
101109-101135-1626147-2585-2734,1610612742,"Raymond Felton, David Lee, Justin Anderson, Zaza Pachulia, Devin Harris","Felton, Lee, Anderson, Pachulia, Harris",101109-101135-1626147-2585-2734,DAL,52.0,1,1.0,2.0,1.0,1.0,,,2.0,,2.0,,,,,,,,,,,1.0,,,,2.0,,,1.0,,,,,55.38461538461538,20.0,32.0,20.0,32.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,0.3955,,,,17.4,,,,,,,,,,,,1.0,,,2.0,,,,1.0,,1.0,,,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2016,2015-16,True
