EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsUnassisted2s,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,ShootingFouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,Arc3FGA,SecondChanceArc3FGA,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,NonHeaveArc3FGA,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,Arc3Frequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG3M,PtsPutbacks,NonHeaveArc3FGM,Arc3Assists,DefThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Charge Fouls,Offensive Fouls,Charge Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls,DefAtRimReboundPct,LongMidRangePctAssisted,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,PtsUnassisted3s,Fg2aBlocked,FTOffRebounds,SelfOReb,Loose Ball Fouls Drawn,Technical Free Throw Trips,BlockedAtRim,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,DefCorner3ReboundPct,SelfORebPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,SecondChanceTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,HeaveAttempts,Travels,BlockedCorner3,LongMidRangePctBlocked,team_id,year,season,team_vs
101150-1626149-1628983-1629010-201163,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Jerome Robinson, Wilson Chandler","Williams, Harrell, Gilgeous-Alexander, Robinson, Chandler",101150-1626149-1628983-1629010-201163,LAC,81.0,1,1.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.25,1.25,0.5,1.0,1.0,1.0,71.1111111111111,16.0,24.5,16.0,19.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.497825,16.8,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,True
101150-1626149-1628983-1629010-201568,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Jerome Robinson, Danilo Gallinari","Williams, Harrell, Gilgeous-Alexander, Robinson, Gallinari",101150-1626149-1628983-1629010-201568,LAC,93.0,2,2.0,,3.0,4.0,7.0,,,1.0,1.0,2.0,2.0,1.0,1.0,8.0,8.0,,3.0,1.0,3.0,1.0,7.0,,,,1.0,8.0,1.0,1.0,1.0,1.0,1.1666666666666667,1.3333333333333333,0.3333333333333333,,,,108.38709677419355,15.333333333333334,11.75,15.333333333333334,11.75,,,,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.5782333333333333,7.4,23.3,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.25,1.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,0.51055,0.3333333333333333,0.5,0.75,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,True
101150-1626149-1628983-1629013-201163,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Landry Shamet, Wilson Chandler","Williams, Harrell, Gilgeous-Alexander, Shamet, Chandler",101150-1626149-1628983-1629013-201163,LAC,31.0,1,1.0,2.0,1.0,,1.0,,,,,,1.0,,1.0,2.0,,,,,,,,,,2.0,,,,,,,,0.3333333333333333,0.5,,,,46.4516129032258,31.0,,,,,,,,,,,0.5,0.447625,8.8,26.2,,,,,,1.0,,,2.0,,,,,,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,0.5,,,,,,,0.3333333333333333,0.5,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.47385,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,True
101150-1626149-1628983-1629013-201568,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Landry Shamet, Danilo Gallinari","Williams, Harrell, Gilgeous-Alexander, Shamet, Gallinari",101150-1626149-1628983-1629013-201568,LAC,592.0,5,10.0,2.0,21.0,20.0,41.0,,3.0,,,7.0,12.0,2.0,7.0,26.0,24.0,8.0,6.0,2.0,5.0,,12.0,3.0,6.0,10.0,7.0,20.0,1.0,0.2857142857142857,0.2857142857142857,0.5833333333333334,0.5263157894736842,0.5909090909090909,0.3684210526315789,0.75,0.8333333333333334,1.0,99.72972972972973,14.571428571428571,14.3,13.095238095238095,14.15,0.15789473684210525,,,,,,,0.631578947368421,0.5118552631578948,8.508333333333333,27.3,18.0,16.0,4.0,5.0,3.0,4.0,,,6.0,5.0,9.0,1.0,5.0,6.0,19.0,6.0,3.0,2.0,1.0,4.0,6.0,8.0,2.0,3.0,19.0,18.0,0.42857142857142855,0.5,0.2,0.5555555555555556,0.4642857142857143,0.59375,0.2631578947368421,0.8,0.8,0.5,0.21052631578947367,0.75,0.75,0.3333333333333333,,,0.5267214285714286,0.15,0.23076923076923078,0.7307692307692307,0.8571428571428571,3.0,7.0,1.0,3.0,1.0,1.0,6.0,7.0,2.0,2.0,4.0,0.75,0.4,0.4,0.4,,0.4,0.3684210526315789,0.25,0.593675,0.23076923076923078,1.0,1.0,3.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,0.3333333333333333,0.625,0.5,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.2857142857142857,0.2857142857142857,1.0,0.25,1.0,1.0,1.0,0.2857142857142857,0.75,0.35714285714285715,0.2,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,True
101150-1626149-1628983-1629013-203210,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Landry Shamet, JaMychal Green","Williams, Harrell, Gilgeous-Alexander, Shamet, Green",101150-1626149-1628983-1629013-203210,LAC,372.0,1,6.0,-6.0,12.0,13.0,25.0,1.0,3.0,,,4.0,7.0,,2.0,9.0,15.0,2.0,,,3.0,,6.0,3.0,6.0,6.0,5.0,9.0,,,,0.5714285714285714,0.4444444444444444,0.5,0.2222222222222222,0.6,0.7142857142857143,1.0,96.77419354838709,12.666666666666666,16.923076923076923,12.666666666666666,16.846153846153847,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,0.5555555555555556,0.5298611111111111,8.9,27.1,2.0,1.0,3.0,3.0,,1.0,,,1.0,1.0,2.0,,,,2.0,6.0,3.0,2.0,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.75,0.75,,0.5,0.5,0.5,0.3333333333333333,1.0,1.0,0.6666666666666666,0.1111111111111111,,,,,,0.56535,0.1111111111111111,0.14285714285714285,0.2222222222222222,0.16666666666666666,,2.0,,,,,,2.0,,,,,,,,,,0.2222222222222222,,,,,,1.0,1.0,,,,,,,,,,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,3.0,,,,,,1.0,,,1.0,1.0,,,,,,0.6666666666666666,1.0,1.0,,,0.3333333333333333,1.0,,,,,,,,,0.5,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,True
101150-1626149-1628983-201163-201976,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Wilson Chandler, Patrick Beverley","Williams, Harrell, Gilgeous-Alexander, Chandler, Beverley",101150-1626149-1628983-201163-201976,LAC,45.0,1,1.0,-6.0,2.0,3.0,5.0,,,,,,,,,,6.0,,,,,,,,,,1.0,,,,,,,,,,,,160.0,14.0,5.666666666666667,14.0,5.666666666666667,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,True
101150-1626149-1628983-201163-202066,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Wilson Chandler, Garrett Temple","Williams, Harrell, Gilgeous-Alexander, Chandler, Temple",101150-1626149-1628983-201163-202066,LAC,113.0,1,2.0,,4.0,4.0,8.0,,,,1.0,1.0,1.0,,2.0,4.0,4.0,,,,1.0,,2.0,1.0,1.0,1.0,2.0,4.0,,,,1.0,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,1.0,101.94690265486726,14.0,14.25,14.0,14.25,,,,0.3333333333333333,,,,1.0,0.5596166666666667,2.7,24.35,4.0,4.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,,2.0,2.0,4.0,2.0,1.0,1.0,,1.0,2.0,2.0,,1.0,4.0,4.0,1.0,1.0,,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,,0.5596166666666667,0.25,0.5,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,0.3333333333333333,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,True
101150-1626149-1628983-201568-201976,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Danilo Gallinari, Patrick Beverley","Williams, Harrell, Gilgeous-Alexander, Gallinari, Beverley",101150-1626149-1628983-201568-201976,LAC,1486.0,5,25.0,41.0,55.0,55.0,110.0,1.0,8.0,2.0,4.0,18.0,34.0,10.0,20.0,81.0,40.0,12.0,27.0,9.0,21.0,2.0,51.0,21.0,30.0,40.0,10.0,68.0,0.9,0.5,0.5,0.5294117647058824,0.6111111111111112,0.6451612903225806,0.37037037037037035,0.875,0.875,0.8333333333333334,106.59488559892328,12.4,14.618181818181819,11.763636363636364,14.363636363636363,0.14814814814814814,0.125,0.125,0.07407407407407407,0.5,0.5,1.0,0.6296296296296297,0.49446944444444446,8.511764705882355,26.860000000000003,22.0,40.0,10.0,14.0,7.0,12.0,1.0,2.0,15.0,6.0,8.0,4.0,8.0,12.0,36.0,24.0,12.0,6.0,5.0,6.0,13.0,18.0,1.0,5.0,36.0,22.0,0.6666666666666666,0.7058823529411765,0.5,0.75,0.75,0.7608695652173914,0.25925925925925924,0.7142857142857143,0.8333333333333334,0.6,0.2222222222222222,0.5833333333333334,0.6363636363636364,0.7142857142857143,0.125,0.5,0.484875,0.08620689655172414,0.13157894736842105,0.4444444444444444,0.4,8.0,16.0,4.0,4.0,4.0,3.0,13.0,16.0,,9.0,10.0,0.6666666666666666,0.5625,,0.34615384615384615,0.6,,0.2962962962962963,0.5,0.50788125,0.16049382716049382,1.0,2.0,2.0,3.0,8.0,2.0,3.0,6.0,2.0,2.0,2.0,8.0,7.0,7.0,2.0,4.0,3.0,1.0,,,2.0,2.0,1.0,,,1.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,0.5,0.5,0.625,,1.0,0.875,0.5,0.5714285714285714,0.8461538461538461,0.8571428571428571,0.75,0.5,0.5,0.875,0.25,0.5,0.5,1.0,0.1875,0.6666666666666666,0.375,0.5,0.5,1.0,2.0,,2.0,1.0,1.0,,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,0.08823529411764706,0.14285714285714285,0.08333333333333333,0.3333333333333333,1.0,0.043478260869565216,,,,,,,,,,,,,,,,1610612746,2019,2018-19,True
101150-1626149-1628983-201568-202066,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Danilo Gallinari, Garrett Temple","Williams, Harrell, Gilgeous-Alexander, Gallinari, Temple",101150-1626149-1628983-201568-202066,LAC,30.0,1,,,2.0,1.0,3.0,,,,,1.0,1.0,,,2.0,2.0,2.0,,,,,,,,,,2.0,,,,1.0,1.0,1.0,,,,,144.0,7.0,16.0,7.0,16.0,,,,,,,,1.0,0.4515,3.1,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2019,2018-19,True
101150-1626149-1628983-201976-203210,1610612746,"Lou Williams, Montrezl Harrell, Shai Gilgeous-Alexander, Patrick Beverley, JaMychal Green","Williams, Harrell, Gilgeous-Alexander, Beverley, Green",101150-1626149-1628983-201976-203210,LAC,265.0,3,4.0,10.0,9.0,11.0,20.0,,,1.0,1.0,2.0,3.0,5.0,6.0,21.0,11.0,,9.0,3.0,5.0,1.0,13.0,3.0,3.0,4.0,1.0,18.0,0.6,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0555555555555556,1.05,0.6666666666666666,1.0,0.75,1.0,108.67924528301886,9.777777777777779,16.09090909090909,9.333333333333334,15.272727272727273,,,,0.1111111111111111,1.0,1.0,1.0,0.8888888888888888,0.5404388888888889,2.3000000000000003,27.95,7.0,3.0,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,2.0,4.0,5.0,2.0,16.0,4.0,2.0,2.0,,1.0,1.0,2.0,,,16.0,7.0,1.0,1.0,0.8,0.5,1.0,1.0,0.2222222222222222,1.0,1.0,1.0,0.1111111111111111,,,,0.14285714285714285,1.0,0.5142928571428571,,,0.7619047619047619,0.7777777777777778,1.0,5.0,1.0,,1.0,,3.0,5.0,,1.0,1.0,1.5,1.0,,0.5,1.0,,0.5555555555555556,1.0,0.4467,0.14285714285714285,,,1.0,1.0,4.0,1.0,3.0,4.0,,1.0,,4.0,2.0,,,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,1.5,,,,,,,,,0.8,1.0,0.5,,,1.0,1.0,0.14285714285714285,1.0,0.5714285714285714,0.75,0.8,,,,,1.0,,,,6.0,,,1.0,,,,,,,,,1.0,1.0,0.16666666666666666,0.2,,,,,,,,,,,,,1610612746,2019,2018-19,True
