EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Arc3FGM,Arc3FGA,FG3M,FtPoints,PenaltyFtPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,SelfOReb,Steals,BadPassSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,ShootingFouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,LostBallTurnovers,Offensive Fouls,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffLongMidRangeReboundPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,OffThreePtRebounds,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceFtPoints,LostBallSteals,AtRimPctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,FTOffRebounds,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedShortMidRange,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,Charge Fouls,Travels,DefensiveGoaltends,OffensiveGoaltends,PenaltyCorner3FGM,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedCorner3,BlockedLongMidRange,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,team_id,year,season,team_vs
1626168-1627750-203115-203914-203999,1610612743,"Trey Lyles, Jamal Murray, Will Barton, Gary Harris, Nikola Jokic","Lyles, Murray, Barton, Harris, Jokic",1626168-1627750-203115-203914-203999,DEN,77.0,1,1.0,-2.0,3.0,3.0,3.0,3.0,1.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.5,1.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,112.2077922077922,14.666666666666666,11.0,14.666666666666666,10.333333333333334,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.46869999999999995,0.5954,0.46869999999999995,1.0,1.0,2.95,22.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1627736-1627750-1628420-1628470-203486,1610612743,"Malik Beasley, Jamal Murray, Monte Morris, Torrey Craig, Mason Plumlee","Beasley, Murray, Morris, Craig, Plumlee",1627736-1627750-1628420-1628470-203486,DEN,957.0,3,16.0,-1.0,31.0,33.0,10.0,11.0,4.0,64,7.0,13.0,2.0,5.0,2.0,5.0,10.0,1.0,,12.0,28.0,5.0,38.0,39.0,2.0,6.0,4.0,2.0,11.0,,6.0,8.0,4.0,6.0,3.0,12.0,6.0,18.0,1.0,1.0,2.0,,12.0,,6.0,10.0,2.0,0.42857142857142855,0.3333333333333333,0.18181818181818182,0.5454545454545454,0.3333333333333333,0.18181818181818182,0.5588235294117647,0.3333333333333333,0.25,0.15151515151515152,0.5,1.0,0.375,0.35294117647058826,0.6666666666666666,96.30094043887148,14.935483870967742,14.969696969696969,14.548387096774194,14.93939393939394,0.3939393939393939,0.5384615384615384,0.5384615384615384,0.30303030303030304,0.030303030303030304,0.8333333333333334,0.4,0.45454545454545453,0.4,,0.5454545454545454,0.4257378787878788,0.43175,0.38792727272727273,0.10526315789473684,0.15789473684210525,6.610714285714286,25.18,0.3225806451612903,4.0,1.0,5.0,1.0,3.0,4.0,4.0,2.0,2.0,16.0,9.0,3.0,4.0,3.0,1.0,8.0,3.0,11.0,2.0,1.0,5.0,2.0,1.0,25.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,3.0,1.0,1.0,1.0,34.0,1.0,0.6666666666666666,0.8,0.75,0.8,0.8,0.03571428571428571,0.1,0.8,0.5,0.75,0.3333333333333333,1.0,0.6,1.0,0.5,0.125,0.7142857142857143,0.4,0.4444444444444444,0.5,0.15151515151515152,0.2,0.2,1.0,1.0,1.0,1.0,0.12121212121212122,0.75,0.75,0.6666666666666666,0.75,0.030303030303030304,0.03571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1627736-1627750-1628420-200794-203486,1610612743,"Malik Beasley, Jamal Murray, Monte Morris, Paul Millsap, Mason Plumlee","Beasley, Murray, Morris, Millsap, Plumlee",1627736-1627750-1628420-200794-203486,DEN,607.0,4,10.0,-5.0,18.0,18.0,,,1.0,36,2.0,2.0,,,,,6.0,2.0,,7.0,8.0,7.0,27.0,32.0,,,3.0,,,,,2.0,,1.0,,2.0,1.0,3.0,1.0,,2.0,,6.0,,,,,0.875,,,0.7666666666666667,1.5,,0.7941176470588235,1.5,,0.4666666666666667,0.5,,1.0,0.2,1.0,85.40362438220757,16.666666666666668,17.055555555555557,16.555555555555557,16.77777777777778,0.13333333333333333,1.0,1.0,0.4,0.13333333333333333,,,,,,0.6,0.48984999999999995,0.55875,,0.1111111111111111,,7.7625,24.95714285714286,,5.0,,,2.0,1.0,5.0,3.0,4.0,,12.0,9.0,,5.0,1.0,,6.0,3.0,9.0,1.0,2.0,2.0,4.0,,21.0,,2.0,,,,1.0,,3.0,4.0,4.0,,2.0,,24.0,,0.8571428571428571,0.8571428571428571,1.0,0.42857142857142855,0.42857142857142855,,,0.5,,0.4,,,,1.0,,,1.0,0.8333333333333334,0.8333333333333334,0.8,,,,,1.0,1.0,1.0,0.3333333333333333,0.2,0.2,1.0,0.2,0.11764705882352941,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1627736-1627750-1628420-203486-203914,1610612743,"Malik Beasley, Jamal Murray, Monte Morris, Mason Plumlee, Gary Harris","Beasley, Murray, Morris, Plumlee, Harris",1627736-1627750-1628420-203486-203914,DEN,7.0,1,,,1.0,,1.0,,,1,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,205.71428571428572,7.0,,7.0,,,,,,,,,,,,,0.3484,,0.3484,,,17.1,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1627736-1627750-1628420-203486-203999,1610612743,"Malik Beasley, Jamal Murray, Monte Morris, Mason Plumlee, Nikola Jokic","Beasley, Murray, Morris, Plumlee, Jokic",1627736-1627750-1628420-203486-203999,DEN,148.0,2,2.0,4.0,5.0,5.0,2.0,2.0,2.0,10,1.0,3.0,1.0,2.0,,,2.0,,,2.0,6.0,,6.0,2.0,1.0,3.0,2.0,,1.0,,1.0,2.0,,2.0,,2.0,2.0,4.0,,,,,,,1.0,2.0,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.375,0.3333333333333333,0.25,,,,0.5,0.5,,97.29729729729729,15.4,14.2,12.2,14.2,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.6666666666666666,0.5,,,,0.5,0.43515,0.4892,0.3248,0.3333333333333333,0.16666666666666666,6.283333333333334,,0.4,1.0,,1.0,,,,,2.0,1.0,2.0,,,,,,1.0,,1.0,,,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,2.0,4.0,,2.0,,4.0,,0.5,0.5,,,,,,1.0,0.5,0.6666666666666666,0.5,1.0,,,0.5,0.25,,0.5,0.5,1.0,0.16666666666666666,,,,,,,,,,,,0.25,0.25,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1627736-1627750-1628470-200794-203115,1610612743,"Malik Beasley, Jamal Murray, Torrey Craig, Paul Millsap, Will Barton","Beasley, Murray, Craig, Millsap, Barton",1627736-1627750-1628470-200794-203115,DEN,1.0,1,,-2.0,,1.0,,1.0,,1,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1627736-1627750-1628470-203115-203999,1610612743,"Malik Beasley, Jamal Murray, Torrey Craig, Will Barton, Nikola Jokic","Beasley, Murray, Craig, Barton, Jokic",1627736-1627750-1628470-203115-203999,DEN,80.0,1,1.0,1.0,3.0,3.0,,,,6,1.0,1.0,,,,,1.0,,,1.0,2.0,1.0,5.0,4.0,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,0.5,,,0.8333333333333334,,,0.8333333333333334,,,0.3333333333333333,,,,,,108.0,12.666666666666666,14.0,12.666666666666666,14.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,0.6666666666666666,0.51315,,,,,7.35,24.8,,,,,,1.0,1.0,1.0,,,2.0,,3.0,1.0,1.0,,1.0,,1.0,,,1.0,,,2.0,1.0,,,,,,,1.0,,,,,,5.0,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,0.3333333333333333,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1627736-1627750-1628470-203486-203914,1610612743,"Malik Beasley, Jamal Murray, Torrey Craig, Mason Plumlee, Gary Harris","Beasley, Murray, Craig, Plumlee, Harris",1627736-1627750-1628470-203486-203914,DEN,8.0,1,,,1.0,1.0,1.0,1.0,,2,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,360.0,5.0,3.0,5.0,3.0,1.0,,,,,,,1.0,,,1.0,0.4743,,0.4743,,,1.8,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1627736-1627750-1628470-203914-203999,1610612743,"Malik Beasley, Jamal Murray, Torrey Craig, Gary Harris, Nikola Jokic","Beasley, Murray, Craig, Harris, Jokic",1627736-1627750-1628470-203914-203999,DEN,537.0,3,9.0,6.0,15.0,17.0,2.0,,2.0,32,3.0,5.0,1.0,2.0,,,3.0,,,6.0,12.0,6.0,26.0,20.0,1.0,2.0,5.0,,1.0,2.0,6.0,6.0,,3.0,,7.0,4.0,11.0,,,,,1.0,,6.0,2.0,,0.5,0.5,,0.6666666666666666,0.8333333333333334,1.0,0.6842105263157895,0.8333333333333334,1.0,0.3333333333333333,,,0.5,0.5,0.5,85.8100558659218,16.933333333333334,16.647058823529413,15.733333333333333,16.41176470588235,0.2777777777777778,0.6,0.6,0.16666666666666666,,0.6666666666666666,0.5,,,,0.6111111111111112,0.48290555555555553,0.5936666666666667,0.5005499999999999,0.19230769230769232,0.23076923076923078,7.491666666666667,25.78333333333333,0.13333333333333333,1.0,2.0,4.0,,4.0,6.0,4.0,2.0,,6.0,6.0,6.0,6.0,4.0,,3.0,2.0,5.0,2.0,,2.0,,1.0,12.0,4.0,3.0,3.0,,,,,1.0,3.0,2.0,,1.0,,21.0,,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,,,0.6,1.0,0.7777777777777778,1.0,1.0,0.5,,1.0,0.375,0.6666666666666666,0.3333333333333333,0.3333333333333333,,0.2222222222222222,0.5,0.5,0.5,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.05263157894736842,0.07692307692307693,1.0,1.0,1.0,1.0,,,1.0,0.3333333333333333,1.0,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
1627736-1627750-200794-203115-203486,1610612743,"Malik Beasley, Jamal Murray, Paul Millsap, Will Barton, Mason Plumlee","Beasley, Murray, Millsap, Barton, Plumlee",1627736-1627750-200794-203115-203486,DEN,347.0,2,6.0,-4.0,11.0,13.0,,1.0,3.0,24,1.0,3.0,1.0,1.0,,,5.0,,,2.0,9.0,4.0,12.0,16.0,1.0,1.0,7.0,,,,,4.0,2.0,2.0,,4.0,3.0,7.0,,,,,1.0,,,,,0.2222222222222222,1.0,,0.38461538461538464,1.25,,0.42857142857142855,1.1666666666666667,,0.3076923076923077,,,0.2857142857142857,0.3333333333333333,0.5,99.59654178674351,14.727272727272727,14.23076923076923,14.636363636363637,14.23076923076923,0.23076923076923078,0.3333333333333333,0.5,0.38461538461538464,,0.5,1.0,,,,0.5384615384615384,0.49153846153846154,0.53525,,0.5833333333333334,,5.977777777777778,25.625,,1.0,,1.0,,2.0,4.0,2.0,2.0,,,6.0,,4.0,2.0,1.0,,2.0,2.0,2.0,,,,,6.0,2.0,2.0,,2.0,,,,,1.0,2.0,,1.0,,5.0,,,,1.0,0.5,0.5,0.1111111111111111,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,0.2,0.2,,0.07692307692307693,,,,,,,0.3076923076923077,0.5,0.5,1.0,0.5,0.07142857142857142,0.1,1.0,1.0,1.0,1.0,,,1.0,0.5,1.0,1.0,,,,,1.0,,,,,,,0.5,0.5,,,,,2.0,2.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,False
