EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChancePoints,PtsUnassisted3s,LongMidRangeAssists,LostBallTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChancePointsPct,SecondChanceFtPoints,PtsUnassisted2s,OffThreePtRebounds,2pt And 1 Free Throw Trips,OffThreePtReboundPct,OffCorner3ReboundPct,StepOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFtPoints,LostBallSteals,PenaltyTurnovers,Charge Fouls Drawn,NonShootingFoulsDrawn,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceTurnovers,FTDefRebounds,DefFTReboundPct,SecondChanceAtRimFGM,PtsPutbacks,Blocked3s,BlockedCorner3,OffShortMidRangeReboundPct,SecondChanceAtRimAccuracy,SecondChanceArc3FGM,SecondChanceFG3M,DefensiveGoaltends,SecondChanceFg3Pct,AtRimPctBlocked,DefLongMidRangeReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffensiveGoaltends,SecondChanceAtRimPctAssisted,SelfOReb,Charge Fouls,Offensive Fouls Drawn,Technical Free Throw Trips,BlockedArc3,BlockedShortMidRange,SelfORebPct,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Loose Ball Fouls Drawn,BlockedLongMidRange,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Travels,Defensive 3 Seconds Violations,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
101106-1626188-1628035-201939-203110,1610612744,"Andrew Bogut, Quinn Cook, Alfonzo McKinnie, Stephen Curry, Draymond Green","Bogut, Cook, McKinnie, Curry, Green",101106-1626188-1628035-201939-203110,GSW,619.0,2,10.0,-7.0,22.0,23.0,3.0,16.0,1.0,45.0,5.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,2.0,6.0,10.0,4.0,6.0,4.0,28.0,35.0,1.0,1.0,1.0,1.0,2.0,5.0,12.0,12.0,5.0,3.0,1.0,6.0,4.0,10.0,3.0,1.0,5.0,1.0,24.0,1.0,2.0,3.0,5.0,1.0,6.0,1.0,1.0,3.0,2.0,3.0,2.0,5.0,4.0,8.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,28.0,5.0,3.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6,1.0,0.75,0.8333333333333334,0.7777777777777778,0.8333333333333334,0.375,0.1,0.3333333333333333,0.6,0.5,0.25,0.5,0.5,0.16666666666666666,0.5,0.5,0.5,0.5,0.5,104.68497576736672,13.227272727272727,14.26086956521739,13.136363636363637,13.043478260869565,0.4375,0.7142857142857143,0.7142857142857143,1.0,0.1875,0.3333333333333333,0.5,1.0,0.0625,1.0,1.0,1.0,0.3125,0.6,0.6,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,0.8125,0.6,0.5268125,0.5944,0.5644166666666667,0.1111111111111111,0.16666666666666666,0.17857142857142858,3.9799999999999995,26.3,0.13636363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-201142-202691-2733,1610612744,"Andrew Bogut, Quinn Cook, Kevin Durant, Klay Thompson, Shaun Livingston","Bogut, Cook, Durant, Thompson, Livingston",101106-1626188-201142-202691-2733,GSW,199.0,2,3.0,,6.0,5.0,,,1.0,11.0,,,,,,,,,1.0,1.0,1.0,,,2.0,3.0,1.0,2.0,,7.0,7.0,1.0,,,,,,4.0,,1.0,1.0,,2.0,,2.0,,,,,4.0,1.0,1.0,1.0,2.0,1.0,3.0,,,1.0,1.0,,1.0,2.0,2.0,2.0,,1.0,,,,,,5.0,,,,1.0,1.0,,0.5,,0.5,0.6666666666666666,,0.7,,0.7,,0.4,,,0.5,0.5,1.0,1.0,0.6666666666666666,0.5,,,0.5,,1.0,79.59798994974874,15.666666666666666,21.0,15.0,20.8,,,,,,,,,0.2,,,,0.2,1.0,1.0,,,,,,,0.4,1.0,0.47089,0.4365,,,,,20.0,23.85,,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6666666666666666,0.6666666666666666,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-201142-202691-2738,1610612744,"Andrew Bogut, Quinn Cook, Kevin Durant, Klay Thompson, Andre Iguodala","Bogut, Cook, Durant, Thompson, Iguodala",101106-1626188-201142-202691-2738,GSW,151.0,1,3.0,1.0,4.0,5.0,,,1.0,9.0,,,,,,2.0,2.0,,2.0,,,,,2.0,2.0,,2.0,1.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,1.0,,,,2.0,1.0,1.0,,,,2.0,,,,,,,,,,1.0,,0.5,,0.625,,0.5,,,1.0,1.0,,1.0,1.0,0.5,,,1.0,,1.0,85.82781456953643,19.25,14.8,16.0,14.8,,,,,0.5,1.0,1.0,,0.5,,,,,,,,,,,,,0.5,,0.486625,,,0.25,0.5,,9.65,23.3,,,,1.0,3.0,,,1.0,1.0,1.0,1.5,,,,,,0.6,1.0,4.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-201939-201973-202691,1610612744,"Andrew Bogut, Quinn Cook, Stephen Curry, Jonas Jerebko, Klay Thompson","Bogut, Cook, Curry, Jerebko, Thompson",101106-1626188-201939-201973-202691,GSW,36.0,1,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,12.0,24.0,12.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-201939-202691-203110,1610612744,"Andrew Bogut, Quinn Cook, Stephen Curry, Klay Thompson, Draymond Green","Bogut, Cook, Curry, Thompson, Green",101106-1626188-201939-202691-203110,GSW,86.0,1,1.0,,3.0,3.0,,,,6.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,3.0,,3.0,,,,,,2.0,2.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,,100.46511627906976,8.0,20.666666666666668,8.0,20.666666666666668,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,0.53325,,,,,,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-201939-203110-2733,1610612744,"Andrew Bogut, Quinn Cook, Stephen Curry, Draymond Green, Shaun Livingston","Bogut, Cook, Curry, Green, Livingston",101106-1626188-201939-203110-2733,GSW,139.0,1,2.0,-2.0,3.0,3.0,,,,6.0,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,,4.0,6.0,,,,,,,4.0,,,,,2.0,,2.0,,,2.0,,4.0,,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,2.0,4.0,1.0,,,,,,,4.0,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,0.3333333333333333,0.2,,,,,1.0,,62.15827338129496,15.333333333333334,31.0,15.333333333333334,19.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,0.5917,,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-201939-203110-2738,1610612744,"Andrew Bogut, Quinn Cook, Stephen Curry, Draymond Green, Andre Iguodala","Bogut, Cook, Curry, Green, Iguodala",101106-1626188-201939-203110-2738,GSW,511.0,1,9.0,,15.0,18.0,5.0,9.0,2.0,33.0,3.0,3.0,,,,1.0,2.0,,2.0,1.0,3.0,1.0,1.0,5.0,6.0,1.0,5.0,5.0,18.0,18.0,1.0,,,1.0,1.0,6.0,6.0,,3.0,1.0,,3.0,,3.0,,,2.0,,6.0,,3.0,4.0,7.0,2.0,9.0,1.0,,2.0,,1.0,1.0,3.0,,2.0,,8.0,6.0,2.0,1.0,1.0,1.0,16.0,6.0,5.0,,0.6,0.6,,0.2,1.0,0.2,0.8333333333333334,,0.5909090909090909,1.5,0.6428571428571429,1.0,0.45454545454545453,,,0.6666666666666666,0.8,,1.0,0.875,0.4,,1.0,0.75,1.0,1.0,92.9941291585127,13.466666666666667,17.166666666666668,12.666666666666666,16.833333333333332,0.2727272727272727,1.0,1.0,0.6666666666666666,0.18181818181818182,0.5,0.5,,0.18181818181818182,,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,,,,,1.0,1.0,0.7272727272727273,0.3333333333333333,0.5461318181818182,,0.489,0.15384615384615385,0.25,0.3333333333333333,6.683333333333334,25.6,0.3333333333333333,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.5,0.5,,0.09090909090909091,1.0,1.0,1.0,0.1111111111111111,,4.0,2.0,,0.5,0.5,,,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-201973-202691-2733,1610612744,"Andrew Bogut, Quinn Cook, Jonas Jerebko, Klay Thompson, Shaun Livingston","Bogut, Cook, Jerebko, Thompson, Livingston",101106-1626188-201973-202691-2733,GSW,193.0,2,3.0,-5.0,7.0,7.0,,1.0,3.0,14.0,1.0,1.0,,,,1.0,3.0,,,,1.0,,,2.0,7.0,,1.0,,4.0,9.0,2.0,,,,,,2.0,,1.0,,,1.0,,1.0,,,,1.0,2.0,2.0,1.0,,1.0,3.0,4.0,1.0,,2.0,,,,2.0,1.0,3.0,1.0,,,,,,,2.0,,,1.0,0.5,0.5,,,,,0.2857142857142857,,0.25,,0.25,,0.125,,,1.0,,0.4,0.5,0.3333333333333333,0.5,,,,0.5,,104.4559585492228,15.428571428571429,12.142857142857142,13.714285714285714,12.142857142857142,0.125,1.0,1.0,,0.375,0.3333333333333333,0.3333333333333333,1.0,,,,,0.125,,,,,,,,,0.25,,0.48275625,0.45695,,,,,11.242857142857144,25.5,,,3.0,1.0,2.0,,,2.0,0.5,0.5,0.5,0.6666666666666666,0.375,,,,0.5,,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-202691-203110-2733,1610612744,"Andrew Bogut, Quinn Cook, Klay Thompson, Draymond Green, Shaun Livingston","Bogut, Cook, Thompson, Green, Livingston",101106-1626188-202691-203110-2733,GSW,106.0,1,2.0,-3.0,4.0,4.0,,4.0,,8.0,1.0,1.0,,,,,1.0,,,,2.0,,,1.0,2.0,,2.0,,2.0,5.0,,,,,,,2.0,,2.0,,,1.0,,1.0,,,1.0,,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,0.5,,0.25,,0.25,,0.5,,,,0.3333333333333333,,,0.25,,,0.5,,,,108.67924528301887,11.25,15.25,11.25,14.25,0.25,1.0,1.0,1.0,0.25,,,,,,,,0.5,,,,,,,,,0.75,,0.5654875,,,,,,6.4,25.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
101106-1626188-202691-203110-2738,1610612744,"Andrew Bogut, Quinn Cook, Klay Thompson, Draymond Green, Andre Iguodala","Bogut, Cook, Thompson, Green, Iguodala",101106-1626188-202691-203110-2738,GSW,127.0,1,2.0,5.0,4.0,4.0,,,,8.0,2.0,2.0,,,,,,,,1.0,1.0,,,2.0,2.0,1.0,1.0,,7.0,2.0,,,,,,,2.0,,1.0,1.0,,1.0,,1.0,,,1.0,,2.0,,1.0,1.0,3.0,,3.0,,,,,,1.0,1.0,,,,,,,,,,7.0,,,,0.5,0.5,,1.0,,1.0,1.0,,1.1666666666666667,,1.1666666666666667,,0.3333333333333333,,,,1.0,,1.0,1.0,,,,1.0,1.0,,90.70866141732283,15.0,16.75,15.0,16.75,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,0.3333333333333333,1.0,1.0,,,,,,,1.0,1.0,0.4224666666666667,,,,,,3.35,27.1,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2019,2018-19,False
