EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,AtRimFGM,AtRimAssists,ShootingFouls,2pt And 1 Free Throw Trips,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,LostBallSteals,NonShootingFoulsDrawn,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyTurnovers,PenaltyDefPoss,LongMidRangeFGM,PtsUnassisted2s,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,OffLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGA,PtsUnassisted3s,LongMidRangeAssists,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,Travels,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,LiveBallTurnoverPct,DefFTReboundPct,LongMidRangePctAssisted,Corner3Frequency,ThreePtShootingFoulsDrawnPct,HeaveAttempts,DefCorner3ReboundPct,SecondChanceAtRimFGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsPutbacks,OffThreePtRebounds,SelfOReb,Charge Fouls Drawn,Loose Ball Fouls Drawn,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,Corner3FGM,PenaltyCorner3FGA,Corner3Assists,BadPassOutOfBoundsTurnovers,Charge Fouls,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,LostBallOutOfBoundsTurnovers,OffCorner3ReboundPct,SecondChanceTurnovers,OffensiveGoaltends,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,Technical Free Throw Trips,LongMidRangePctBlocked,PenaltyCorner3FGM,DefensiveGoaltends,PenaltyCorner3Accuracy,FTOffRebounds,BlockedLongMidRange,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,3SecondViolations,team_id,year,season,team_vs
1627774-1628380-202323-203552-203918,1610612757,"Jake Layman, Zach Collins, Evan Turner, Seth Curry, Rodney Hood","Layman, Collins, Turner, Curry, Hood",1627774-1628380-202323-203552-203918,POR,170.0,1,3.0,2.0,5.0,6.0,1.0,11,2.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,1.0,0.4,1.0,0.5,1.0,0.5,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.5,0.5,1.0,93.17647058823529,0.5,15.0,15.833333333333334,14.8,15.833333333333334,0.5,0.25,1.0,1.0,1.0,0.25,0.5,0.505,0.3861,0.2,0.2,0.5,7.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1627774-1628380-202329-203081-203468,1610612757,"Jake Layman, Zach Collins, Al-Farouq Aminu, Damian Lillard, CJ McCollum","Layman, Collins, Aminu, Lillard, McCollum",1627774-1628380-202329-203081-203468,POR,88.0,1,1.0,1.0,4.0,3.0,,7,1.0,1.0,2.0,,2.0,3.0,1.0,5.0,4.0,,,,4.0,,2.0,2.0,1.0,4.0,,1.0,,1.0,,1.0,,,,,1.0,,2.0,,3.0,2.0,,,,,5.0,1.0,1.0,0.6666666666666666,,0.6666666666666666,,0.625,,,,,,1.0,1.0,,,,1.0,114.54545454545455,,13.25,11.666666666666666,13.25,11.666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,,0.3333333333333333,0.37743333333333334,,0.5,0.5,,4.766666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1627774-202329-202683-203081-203468,1610612757,"Jake Layman, Al-Farouq Aminu, Enes Kanter, Damian Lillard, CJ McCollum","Layman, Aminu, Kanter, Lillard, McCollum",1627774-202329-202683-203081-203468,POR,267.0,1,4.0,4.0,8.0,9.0,2.0,17,7.0,1.0,2.0,,4.0,9.0,3.0,11.0,7.0,,2.0,,8.0,,4.0,4.0,1.0,8.0,2.0,1.0,2.0,3.0,2.0,5.0,2.0,1.0,,,,,4.0,,3.0,1.0,1.0,,1.0,1.0,11.0,1.0,1.0,0.4444444444444444,,0.4444444444444444,,0.55,,,,0.6666666666666666,0.4,1.0,0.75,0.4,0.5,,1.0,91.68539325842696,1.0,14.75,16.555555555555557,14.75,16.11111111111111,0.7777777777777778,0.2222222222222222,0.5,0.5,1.0,,0.7777777777777778,0.5710111111111111,0.6069,0.1111111111111111,0.1111111111111111,,3.0555555555555554,3.0,3.0,,1.0,0.42857142857142855,0.42857142857142855,1.0,4.0,2.0,1.0,3.0,1.0,4.0,3.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,0.25,0.25,0.5,0.5,1.0,1.0,0.75,0.3333333333333333,0.536725,0.45454545454545453,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1628380-202323-202329-203081-203552,1610612757,"Zach Collins, Evan Turner, Al-Farouq Aminu, Damian Lillard, Seth Curry","Collins, Turner, Aminu, Lillard, Curry",1628380-202323-202329-203081-203552,POR,6.0,1,,3.0,1.0,,,1,,,,,,,,3.0,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.5,,1.5,,,,,,,,,,,,240.0,,6.0,,6.0,,,,,,,,1.0,0.30405,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,3.0,1.0,,,1.5,1.5,,,,,,0.30405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1628380-202323-202329-203552-203918,1610612757,"Zach Collins, Evan Turner, Al-Farouq Aminu, Seth Curry, Rodney Hood","Collins, Turner, Aminu, Curry, Hood",1628380-202323-202329-203552-203918,POR,67.0,2,1.0,,3.0,1.0,,4,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.97014925373134,,18.666666666666668,11.0,18.666666666666668,11.0,,0.5,,,,0.5,,0.3597,,,,,13.05,,,,,,,,3.0,,,,,2.0,,,,,,,3.0,,,,,,,,,,0.3597,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1628380-202323-202683-203081-203468,1610612757,"Zach Collins, Evan Turner, Enes Kanter, Damian Lillard, CJ McCollum","Collins, Turner, Kanter, Lillard, McCollum",1628380-202323-202683-203081-203468,POR,154.0,1,3.0,-6.0,4.0,5.0,,9,1.0,,,,,1.0,,3.0,9.0,,,,,,,1.0,,3.0,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,3.0,,,,,0.375,,0.375,,,,,,,,,,,,84.15584415584415,,17.25,17.0,17.25,13.8,0.25,,,,,,1.0,0.509525,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,3.0,,,3.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.75,0.75,0.3333333333333333,0.3333333333333333,1.0,,,0.3333333333333333,24.366666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1628380-202323-202683-203468-203552,1610612757,"Zach Collins, Evan Turner, Enes Kanter, CJ McCollum, Seth Curry","Collins, Turner, Kanter, McCollum, Curry",1628380-202323-202683-203468-203552,POR,290.0,2,5.0,-8.0,10.0,11.0,1.0,21,3.0,,2.0,3.0,3.0,8.0,,9.0,17.0,,1.0,,4.0,,2.0,3.0,,7.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,,,,2.0,,1.0,,,,,,,,9.0,0.6666666666666666,0.6666666666666666,0.375,,0.4090909090909091,,0.4090909090909091,,,,0.5,0.2,0.3333333333333333,0.42857142857142855,0.14285714285714285,,0.5,0.5,104.27586206896552,,13.7,13.909090909090908,12.9,13.545454545454545,0.2727272727272727,0.18181818181818182,,,,0.2727272727272727,0.5454545454545454,0.5184545454545455,0.433,,,,9.1375,2.0,2.0,1.0,,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,1.0,,,,,,,,,0.5,,,,,,,,1.0,3.0,,,1.0,3.0,,,3.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,,,0.3333333333333333,25.53333333333333,,5.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1628380-202323-202683-203552-203918,1610612757,"Zach Collins, Evan Turner, Enes Kanter, Seth Curry, Rodney Hood","Collins, Turner, Kanter, Curry, Hood",1628380-202323-202683-203552-203918,POR,568.0,2,9.0,-3.0,15.0,15.0,1.0,30,3.0,2.0,2.0,4.0,5.0,9.0,3.0,16.0,19.0,1.0,1.0,2.0,8.0,1.0,4.0,4.0,1.0,8.0,1.0,2.0,3.0,6.0,1.0,7.0,,,1.0,2.0,5.0,,4.0,,5.0,1.0,,,,,14.0,0.8,0.8,0.5555555555555556,1.0,0.5416666666666666,1.0,0.5714285714285714,1.0,0.1111111111111111,0.3333333333333333,0.75,0.25,0.6666666666666666,0.7142857142857143,0.16666666666666666,0.5,0.5,0.6666666666666666,76.05633802816901,,17.0,20.866666666666667,16.666666666666668,20.6,0.25,0.16666666666666666,1.0,1.0,0.5,0.3333333333333333,0.5,0.48435,0.2484,0.14285714285714285,0.1,0.125,9.844444444444443,1.0,1.0,2.0,,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,2.0,,,1.0,3.0,,,,2.0,1.0,,,,0.3333333333333333,,0.3333333333333333,0.25,0.16666666666666666,0.5,0.5,,,,0.5,24.96666666666667,,,2.0,2.0,,,,0.5,0.5,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.08333333333333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1628380-202323-203081-203086-203468,1610612757,"Zach Collins, Evan Turner, Damian Lillard, Meyers Leonard, CJ McCollum","Collins, Turner, Lillard, Leonard, McCollum",1628380-202323-203081-203086-203468,POR,9.0,1,,3.0,1.0,,,1,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,3.0,,,,,0.75,,0.75,,,,,,,,,,,,160.0,,7.0,,7.0,,,,,,,,1.0,0.3057,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,3.0,1.0,,,0.75,0.75,,,,,,0.3057,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,1.0,1.0,,,,0.5,0.5,1.0,1.0,1.0,0.5,0.5,,1.0,0.5,1.0,40.3,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1628380-202323-203081-203086-203918,1610612757,"Zach Collins, Evan Turner, Damian Lillard, Meyers Leonard, Rodney Hood","Collins, Turner, Lillard, Leonard, Hood",1628380-202323-203081-203086-203918,POR,124.0,1,2.0,2.0,4.0,4.0,,8,1.0,,,,1.0,1.0,,5.0,3.0,,,,2.0,,1.0,2.0,,5.0,,2.0,1.0,3.0,,3.0,,,,1.0,,,,,,,,,,,5.0,1.0,1.0,1.0,,0.8333333333333334,,0.8333333333333334,,,,1.0,,1.0,1.0,,,,1.0,92.9032258064516,,10.25,20.75,10.25,20.75,0.3333333333333333,,,,,,1.0,0.51295,,,,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,,,1.0,2.0,,,3.0,2.0,1.0,1.0,1.0,1.0,0.5,,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,,,0.5,25.95,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
