EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FirstChancePoints,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,Blocked2s,BlockedAtRim,Blocks,FtPoints,PtsAssisted3s,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Assisted3sPct,Arc3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefTwoPtRebounds,LostBallOutOfBoundsTurnovers,ShootingFouls,RecoveredBlocks,DefTwoPtReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangeFGA,Corner3FGA,PtsAssisted2s,TwoPtAssists,AtRimAssists,Steals,BadPassSteals,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,PenaltyOffPoss,ShortMidRangeFGA,PenaltyCorner3FGA,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,FTDefRebounds,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,ShortMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,PenaltyFG2M,ShortMidRangeAssists,OffThreePtRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyTurnovers,Loose Ball Fouls,StepOutOfBoundsTurnovers,BlockedShortMidRange,DefShortMidRangeReboundPct,Travels,Offensive Fouls Drawn,LostBallTurnovers,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,Corner3Assists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,Technical Free Throw Trips,SecondChanceFg3Pct,PenaltyFg3Pct,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,SelfOReb,SelfORebPct,3pt And 1 Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedCorner3,team_id,year,season,team_vs
1626220-1627777-1628378-200757-202324,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Thabo Sefolosha, Derrick Favors","O'Neale, Niang, Mitchell, Sefolosha, Favors",1626220-1627777-1628378-200757-202324,UTA,114.0,1,2.0,3.0,4.0,4.0,1.0,1.0,8,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,0.5,0.5,0.5,1.0,0.625,1.0,0.625,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,101.05263157894737,11.5,17.0,11.0,13.25,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5043625,0.4477,0.4,2.3,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-200757-203497,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Thabo Sefolosha, Rudy Gobert","O'Neale, Niang, Mitchell, Sefolosha, Gobert",1626220-1627777-1628378-200757-203497,UTA,34.0,1,1.0,,1.0,,,,1,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.35294117647059,17.0,,17.0,,1.0,,,,,,,,1.0,,0.4704,,,2.5,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-202324-203526,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Raul Neto","O'Neale, Niang, Mitchell, Favors, Neto",1626220-1627777-1628378-202324-203526,UTA,68.0,1,1.0,5.0,3.0,3.0,,,6,,,,,1.0,2.0,,,1.0,2.0,5.0,,,,,,,,2.0,1.0,,,3.0,3.0,,3.0,,,,,5.0,0.5,0.5,,,0.75,,0.8333333333333334,,1.0,,,,1.0,1.0,,,1.0,1.0,127.05882352941177,8.333333333333334,14.333333333333334,8.333333333333334,13.0,,,,1.0,0.5,0.5,,,1.0,0.5,0.509175,,,,25.85,,,,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-202324-204060,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Joe Ingles","O'Neale, Niang, Mitchell, Favors, Ingles",1626220-1627777-1628378-202324-204060,UTA,39.0,1,1.0,-3.0,3.0,3.0,1.0,,6,,,,,,1.0,,,,1.0,,3.0,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,221.53846153846152,5.666666666666667,7.333333333333333,5.666666666666667,7.333333333333333,,,,1.0,,,,,1.0,,0.5154,,,,26.3,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-202324-2594,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Kyle Korver","O'Neale, Niang, Mitchell, Favors, Korver",1626220-1627777-1628378-202324-2594,UTA,162.0,1,3.0,5.0,6.0,5.0,1.0,1.0,11,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,9.0,4.0,1.0,1.0,2.0,2.0,,,1.0,1.0,,,1.0,2.0,,2.0,,,,,7.0,0.5,0.5,0.6666666666666666,1.0,0.7,1.0,0.75,1.0,0.4,,,,0.5,0.5,,,,1.0,97.77777777777777,12.166666666666666,17.8,11.0,17.8,0.4,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.8,1.0,0.46559999999999996,0.3235,0.2222222222222222,7.033333333333334,24.95,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.25,1.0,,,1.0,0.5,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-203497-2594,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Rudy Gobert, Kyle Korver","O'Neale, Niang, Mitchell, Gobert, Korver",1626220-1627777-1628378-203497-2594,UTA,116.0,1,2.0,-4.0,5.0,6.0,4.0,,11,,1.0,,,,1.0,,3.0,,2.0,1.0,5.0,,,,,,,1.0,,2.0,1.0,1.0,3.0,1.0,4.0,,,2.0,,1.0,,,,,,,0.08333333333333333,,0.4,0.6666666666666666,,0.3333333333333333,1.0,1.0,0.2,,,1.0,136.55172413793105,15.8,6.166666666666667,15.8,6.0,0.2,,,0.2,,,,,0.6,,0.499,,,5.3999999999999995,24.65,,,,1.0,,,,,,1.0,2.0,,,,,,1.0,,2.0,,1.0,,,,1.0,,,,,,,,,,0.2,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.16666666666666666,1.0,1.0,0.5,1.0,0.4,0.5,0.5288,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-201937-202324-204060,1610612762,"Royce O'Neale, Georges Niang, Ricky Rubio, Derrick Favors, Joe Ingles","O'Neale, Niang, Rubio, Favors, Ingles",1626220-1627777-201937-202324-204060,UTA,270.0,2,4.0,-2.0,9.0,8.0,4.0,1.0,17,,1.0,,,,2.0,3.0,5.0,,2.0,8.0,10.0,,,,4.0,,,2.0,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,8.0,,,0.6,,0.42857142857142855,,0.4444444444444444,,0.2857142857142857,,,,,0.3333333333333333,0.25,,,,90.66666666666667,17.0,14.625,16.11111111111111,13.5,0.14285714285714285,,,0.2857142857142857,,,,,0.42857142857142855,,0.43128571428571433,,,6.659999999999999,25.45,1.0,1.0,1.0,2.0,,,1.0,,2.0,6.0,5.0,3.0,,,0.3333333333333333,0.42857142857142855,1.0,1.0,,,0.3333333333333333,0.3333333333333333,,,,2.0,1.0,,2.0,1.0,0.3333333333333333,0.3333333333333333,,,,1.0,4.0,,1.0,,1.0,3.0,,,3.0,1.0,,1.5,,,,,0.5714285714285714,,0.4075,0.375,0.1111111111111111,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.75,0.75,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-201937-202324-2594,1610612762,"Royce O'Neale, Georges Niang, Ricky Rubio, Derrick Favors, Kyle Korver","O'Neale, Niang, Rubio, Favors, Korver",1626220-1627777-201937-202324-2594,UTA,61.0,2,1.0,2.0,3.0,1.0,1.0,,4,1.0,1.0,,,,1.0,1.0,1.0,,1.0,2.0,,,,,2.0,,,1.0,,,,,,,,,,,,2.0,,,1.0,,0.5,,0.5,,0.5,,,,,,,,,,94.42622950819673,9.333333333333334,33.0,9.333333333333334,33.0,0.5,1.0,1.0,0.5,,,,,1.0,,0.47815,,,2.4,26.4,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,3.0,,,1.0,1.0,,2.0,,,2.0,3.0,,0.5,,,,,,,0.47815,1.0,1.0,,1.0,,,,,,,,,,1.0,0.5,,,,,,,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-201937-203109-203497,1610612762,"Royce O'Neale, Georges Niang, Ricky Rubio, Jae Crowder, Rudy Gobert","O'Neale, Niang, Rubio, Crowder, Gobert",1626220-1627777-201937-203109-203497,UTA,138.0,1,2.0,-8.0,4.0,5.0,,,9,,,,,,1.0,,2.0,,1.0,,8.0,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,3.0,,,,,,,,,,,0.3333333333333333,,,,,1.0,,,,,93.91304347826087,15.5,15.2,15.5,15.2,,,,0.3333333333333333,,,,,0.3333333333333333,,0.4478333333333333,,,10.5,26.3,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,4.0,2.0,,2.0,1.0,,,,,,4.0,,,,,,,0.6666666666666666,,0.4478333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-202324-204060-2594,1610612762,"Royce O'Neale, Georges Niang, Derrick Favors, Joe Ingles, Kyle Korver","O'Neale, Niang, Favors, Ingles, Korver",1626220-1627777-202324-204060-2594,UTA,90.0,2,2.0,,3.0,4.0,2.0,1.0,7,,1.0,,,,,,2.0,,,1.0,1.0,,,,,,,,,2.0,1.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,,1.0,,,,,,,0.16666666666666666,,,1.0,1.0,0.5,0.6666666666666666,0.8,0.5,,1.0,0.5,112.0,8.666666666666666,16.0,7.0,14.25,0.5,,,,,,,,0.5,,0.4577,,,3.3,,1.0,,1.0,1.0,,,,,,1.0,2.0,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,3.0,1.0,,2.0,,1.0,1.0,,1.0,1.0,3.0,1.0,0.16666666666666666,1.0,,1.0,,0.5,,0.4577,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,0.5,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
