EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Fouls,Charge Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Steals,BadPassSteals,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,PtsUnassisted2s,DefTwoPtRebounds,FTDefRebounds,DefFTReboundPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,PenaltyCorner3Frequency,PtsAssisted3s,ThreePtAssists,Arc3Assists,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,DefAtRimReboundPct,BlocksRecoveredPct,Arc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,ShootingFouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,ShortMidRangePctBlocked,OffArc3ReboundPct,DefCorner3ReboundPct,BlockedLongMidRange,SecondChanceCorner3FGM,PenaltyCorner3FGM,HeaveMakes,Fg3aBlocked,StepOutOfBoundsTurnovers,Charge Fouls Drawn,Technical Free Throw Trips,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,LongMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,BlockedCorner3,DefensiveGoaltends,OffensiveGoaltends,3pt And 1 Free Throw Trips,3SecondViolations,SecondChanceCorner3PctAssisted,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1626168-1627736-1627750-1627823-1628420,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Monte Morris","Lyles, Beasley, Murray, Hernangomez, Morris",1626168-1627736-1627750-1627823-1628420,DEN,273.0,3,5.0,-1.0,10.0,8.0,7.0,2.0,2.0,18.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,8.0,9.0,2.0,2.0,1.0,2.0,1.0,8.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,8.0,8.0,7.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5833333333333334,0.875,0.5714285714285714,0.8,0.3333333333333333,0.3333333333333333,0.5,0.6,0.6,0.5,1.0,0.75,94.94505494505495,11.8,19.375,11.3,18.125,0.5,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,0.3333333333333333,0.5,0.5,0.5,1.0,0.5,0.5,0.8333333333333334,1.0,0.54118,0.5904666666666667,0.14285714285714285,0.2,1.0,5.55,37.85,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627736-1627750-1627823-1628470,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Torrey Craig","Lyles, Beasley, Murray, Hernangomez, Craig",1626168-1627736-1627750-1627823-1628470,DEN,52.0,1,1.0,,2.0,2.0,2.0,,,4.0,,,,,,,1.0,,1.0,,,,1.0,2.0,2.0,2.0,,,,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,2.0,2.0,,,,,,,,,,0.5,0.5,1.0,,,,,,,,110.76923076923076,13.0,13.0,13.0,13.0,,,,,,1.0,,,,,1.0,,1.0,,0.61095,0.61095,,,1.0,,23.9,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627736-1627750-1627823-200794,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Paul Millsap","Lyles, Beasley, Murray, Hernangomez, Millsap",1626168-1627736-1627750-1627823-200794,DEN,109.0,1,2.0,-1.0,4.0,4.0,4.0,4.0,,8.0,,,,,,,,,,1.0,2.0,,1.0,,2.0,3.0,1.0,2.0,,1.0,,2.0,,,,,,,,,,,,3.0,,3.0,,,1.0,,1.0,,1.0,,,,,,2.0,2.0,4.0,,,,,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,1.0,,,,105.68807339449542,14.25,13.0,14.25,13.0,,,,,,,,,,,,,0.3333333333333333,,0.44238333333333335,0.44238333333333335,,,1.0,7.15,22.1,1.0,,,,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627736-1627750-1627823-203115,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Will Barton","Lyles, Beasley, Murray, Hernangomez, Barton",1626168-1627736-1627750-1627823-203115,DEN,47.0,1,1.0,3.0,2.0,2.0,2.0,2.0,,4.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,5.0,2.0,,,1.0,1.0,2.0,5.0,,,,1.0,1.0,,1.0,,3.0,,,1.0,,1.0,,,,,,,,,,1.0,3.0,,5.0,5.0,2.0,,,1.0,1.0,1.0,,,1.5,1.5,1.25,1.25,1.0,,,,1.0,,,,122.55319148936171,15.0,8.5,15.0,8.5,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.52815,0.52815,0.5,,1.0,,25.6,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627736-1627750-1627823-203486,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Mason Plumlee","Lyles, Beasley, Murray, Hernangomez, Plumlee",1626168-1627736-1627750-1627823-203486,DEN,1258.0,8,21.0,-10.0,41.0,38.0,6.0,8.0,7.0,79.0,7.0,16.0,,1.0,4.0,1.0,4.0,,,10.0,26.0,2.0,10.0,10.0,36.0,46.0,1.0,3.0,,,,2.0,12.0,,,4.0,1.0,6.0,8.0,3.0,18.0,5.0,7.0,16.0,8.0,24.0,2.0,1.0,5.0,,7.0,,2.0,15.0,,13.0,12.0,4.0,26.0,2.0,6.0,0.6,0.75,0.2,,0.2,0.38461538461538464,0.3333333333333333,0.3611111111111111,0.3333333333333333,0.43902439024390244,0.25,0.2777777777777778,0.2857142857142857,0.3125,0.7,0.6363636363636364,0.3333333333333333,,0.7777777777777778,90.42925278219397,16.4390243902439,15.368421052631579,15.829268292682928,13.973684210526315,0.4444444444444444,0.4375,0.4666666666666667,0.42857142857142855,0.1111111111111111,0.1111111111111111,0.25,0.25,0.3333333333333333,,,,0.7222222222222222,0.25,0.5215930555555556,0.4031666666666667,0.125,0.13793103448275862,0.05555555555555555,5.300000000000001,23.71,0.14634146341463414,1.0,,1.0,1.0,1.0,6.0,6.0,,8.0,7.0,2.0,1.0,0.5833333333333334,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,6.0,2.0,1.0,1.0,5.0,4.0,6.0,4.0,1.0,0.42857142857142855,0.6666666666666666,1.0,0.09090909090909091,3.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,4.0,1.0,10.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.25,0.75,0.5625,0.625,0.038461538461538464,0.0625,0.375,0.4444444444444444,0.2,0.6,0.6666666666666666,0.08695652173913043,1.0,0.5,0.5,1.0,0.16666666666666666,0.16666666666666666,1.0,0.5,0.75,0.125,0.375,0.3333333333333333,1.0,0.59335,0.2777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627736-1627750-1627823-203999,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Juancho Hernangomez, Nikola Jokic","Lyles, Beasley, Murray, Hernangomez, Jokic",1626168-1627736-1627750-1627823-203999,DEN,877.0,9,15.0,3.0,30.0,31.0,7.0,11.0,1.0,61.0,4.0,5.0,,,2.0,2.0,6.0,,3.0,6.0,11.0,4.0,9.0,11.0,35.0,32.0,1.0,1.0,,3.0,4.0,6.0,4.0,3.0,1.0,5.0,2.0,2.0,5.0,2.0,13.0,,3.0,12.0,1.0,13.0,,,4.0,1.0,4.0,,,3.0,,9.0,15.0,5.0,33.0,6.0,7.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,,0.5,0.5454545454545454,1.0,0.6,0.25,0.6481481481481481,0.375,0.45,,,1.0,0.8,0.1111111111111111,,1.0,100.15963511972633,12.766666666666667,15.935483870967742,12.5,15.709677419354838,0.25,0.8,0.8,0.5,0.1,0.3,0.3333333333333333,0.3333333333333333,,,0.75,,0.7,0.4,0.5155263157894737,0.5116833333333334,0.20833333333333334,0.3333333333333333,0.17142857142857143,6.5636363636363635,29.43333333333333,0.23333333333333334,1.0,,3.0,3.0,2.0,4.0,3.0,,8.0,9.0,,,0.75,0.625,0.2,0.5,1.0,0.15,,9.0,3.0,1.0,,3.0,1.0,3.0,1.0,0.75,1.0,0.3333333333333333,0.5,,,,,2.0,,,,,,,,2.0,2.0,,2.0,2.0,,,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,2.0,1.0,,,,1.0,0.18181818181818182,,0.25,,,,1.0,,,,,,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,0.05714285714285714,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627736-1627750-1628420-200794,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Monte Morris, Paul Millsap","Lyles, Beasley, Murray, Morris, Millsap",1626168-1627736-1627750-1628420-200794,DEN,300.0,4,5.0,1.0,9.0,10.0,3.0,8.0,1.0,19.0,3.0,3.0,2.0,2.0,,1.0,2.0,,1.0,5.0,7.0,1.0,2.0,,13.0,12.0,2.0,4.0,,1.0,,4.0,6.0,,,2.0,1.0,3.0,4.0,2.0,9.0,1.0,2.0,5.0,2.0,7.0,1.0,1.0,,,1.0,,,,,,,,11.0,4.0,3.0,0.6,0.75,0.5,,0.5,0.7142857142857143,0.5,0.7222222222222222,0.4,0.7222222222222222,0.4,0.2222222222222222,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.5,91.2,16.77777777777778,14.9,15.222222222222221,14.0,0.3333333333333333,1.0,1.0,0.6666666666666666,,0.2222222222222222,0.5,0.5,0.4,1.0,0.2,,0.5555555555555556,0.5,0.5060944444444444,0.51049,,,0.3076923076923077,3.585714285714286,25.8,0.3333333333333333,,,,,2.0,4.0,,,4.0,2.0,1.0,1.0,0.6666666666666666,1.0,0.4444444444444444,0.5,0.5,,,3.0,1.0,1.0,,,,,,1.0,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,2.0,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,1.0,,0.5,,1.0,0.3333333333333333,0.5,,,,,,,0.5,1.0,,0.5,,,0.51645,0.15384615384615385,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627736-1627750-1628420-201156,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Monte Morris, Nick Young","Lyles, Beasley, Murray, Morris, Young",1626168-1627736-1627750-1628420-201156,DEN,273.0,3,5.0,6.0,10.0,11.0,1.0,2.0,2.0,21.0,2.0,5.0,,,2.0,,,,,3.0,9.0,2.0,2.0,,12.0,6.0,,1.0,,,,,,,,,,,2.0,,6.0,2.0,6.0,9.0,2.0,11.0,1.0,1.0,,,1.0,,,,,2.0,3.0,2.0,10.0,,1.0,,,1.0,,1.0,0.3333333333333333,,0.5454545454545454,,0.5,,0.18181818181818182,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,1.0,110.76923076923077,13.5,12.545454545454545,13.2,12.545454545454545,0.45454545454545453,0.4,0.5,,0.18181818181818182,,,,,,,,0.6363636363636364,,0.4802772727272728,0.4455,0.16666666666666666,0.2,,6.233333333333333,23.6,0.1,,,,,1.0,2.0,2.0,,6.0,3.0,,,1.0,,0.18181818181818182,0.5,0.5,0.18181818181818182,,6.0,2.0,,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,1.0,2.0,,2.0,,,,1.0,2.0,,,,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,0.5,0.5,0.5,0.1111111111111111,0.2,,0.3333333333333333,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,0.4921,0.16666666666666666,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627736-1627750-1628420-203486,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Monte Morris, Mason Plumlee","Lyles, Beasley, Murray, Morris, Plumlee",1626168-1627736-1627750-1628420-203486,DEN,9453.0,32,158.0,-10.0,311.0,315.0,49.0,59.0,32.0,626.0,51.0,96.0,8.0,13.0,24.0,30.0,75.0,7.0,13.0,82.0,167.0,47.0,109.0,45.0,350.0,360.0,12.0,19.0,11.0,18.0,15.0,72.0,70.0,27.0,2.0,72.0,29.0,35.0,73.0,26.0,184.0,26.0,37.0,115.0,37.0,152.0,27.0,14.0,24.0,1.0,51.0,3.0,9.0,56.0,3.0,63.0,59.0,30.0,309.0,72.0,49.0,0.4268292682926829,0.47297297297297297,0.43119266055045874,0.6111111111111112,0.42990654205607476,0.49101796407185627,0.631578947368421,0.552536231884058,0.7702702702702703,0.5836120401337793,0.8,0.39492753623188404,0.5294117647058824,0.30952380952380953,0.8409090909090909,0.722972972972973,0.25517241379310346,0.07142857142857142,0.868421052631579,95.36020311012376,14.964630225080386,15.234920634920634,14.639871382636656,14.644444444444444,0.34782608695652173,0.53125,0.6,0.5098039215686274,0.08695652173913043,0.2717391304347826,0.4,0.40540540540540543,0.35135135135135137,0.6153846153846154,0.35135135135135137,0.5384615384615384,0.7427536231884058,0.4027777777777778,0.5221706204379561,0.5164083333333332,0.10135135135135136,0.16042780748663102,0.2057142857142857,5.956886227544917,25.404587155963306,0.15755627009646303,21.0,13.0,3.0,4.0,21.0,47.0,34.0,5.0,94.0,70.0,8.0,0.8888888888888888,0.6730769230769231,0.6976744186046512,0.17028985507246377,0.44680851063829785,0.4883720930232558,0.12318840579710146,0.13513513513513514,114.0,38.0,22.0,,21.0,12.0,22.0,13.0,0.8085106382978723,0.7142857142857143,0.5909090909090909,0.7333333333333333,,12.0,21.0,10.0,17.0,2.0,2.0,3.0,14.0,25.0,3.0,5.0,4.0,41.0,16.0,15.0,16.0,5.0,4.0,11.0,8.0,8.0,10.0,13.0,4.0,24.0,4.0,3.0,3.0,4.0,10.0,1.0,1.0,7.0,7.0,0.6,0.56,0.6166666666666667,0.640625,0.08982035928143713,0.11458333333333333,0.18032786885245902,0.4222222222222222,0.24,0.11764705882352941,0.5263157894736842,0.06153846153846154,0.23809523809523808,0.4166666666666667,0.4166666666666667,0.4,0.5,0.5,0.9411764705882353,0.7,0.5714285714285714,0.06666666666666667,0.1,0.6666666666666666,1.0,0.5747543478260869,0.11714285714285715,0.0851063829787234,0.20454545454545456,0.6666666666666666,2.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,0.009174311926605505,0.013333333333333334,0.3333333333333333,0.5,0.8,,,,,,,,,,,,1610612743,2019,2018-19,True
1626168-1627736-1627750-1628420-203999,1610612743,"Trey Lyles, Malik Beasley, Jamal Murray, Monte Morris, Nikola Jokic","Lyles, Beasley, Murray, Morris, Jokic",1626168-1627736-1627750-1628420-203999,DEN,2201.0,18,37.0,3.0,78.0,75.0,16.0,18.0,5.0,153.0,22.0,28.0,5.0,6.0,6.0,3.0,14.0,,,29.0,44.0,8.0,23.0,8.0,90.0,87.0,5.0,9.0,1.0,3.0,6.0,19.0,36.0,,,14.0,3.0,18.0,26.0,15.0,60.0,6.0,14.0,27.0,7.0,34.0,7.0,6.0,4.0,,11.0,,3.0,13.0,1.0,11.0,13.0,5.0,86.0,19.0,16.0,0.6206896551724138,0.6206896551724138,0.34782608695652173,0.3333333333333333,0.34782608695652173,0.6590909090909091,0.5555555555555556,0.6119402985074627,0.5416666666666666,0.6164383561643836,0.5588235294117647,0.34328358208955223,0.6363636363636364,0.42857142857142855,0.9333333333333333,0.75,0.2413793103448276,0.25,1.0,100.09995456610632,13.974358974358974,14.813333333333333,13.5,14.333333333333334,0.417910447761194,0.7857142857142857,0.8148148148148148,0.6818181818181818,0.08955223880597014,0.208955223880597,0.21428571428571427,0.21428571428571427,0.5,0.8333333333333334,,,0.7611940298507462,0.21428571428571427,0.5221522388059702,0.5161166666666667,0.07042253521126761,0.10416666666666667,0.2111111111111111,5.470454545454545,25.178260869565218,0.20512820512820512,5.0,5.0,2.0,2.0,6.0,10.0,9.0,3.0,22.0,13.0,,,0.6190476190476191,0.6,0.14925373134328357,0.6,0.6,0.13432835820895522,0.25,24.0,8.0,3.0,,3.0,2.0,3.0,2.0,1.0,0.5454545454545454,0.6666666666666666,1.0,,,1.0,1.0,5.0,2.0,,1.0,1.0,2.0,,3.0,2.0,4.0,,1.0,5.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,3.0,1.0,,,,1.0,,,1.0,2.0,,0.5,0.2,0.2857142857142857,0.022727272727272728,0.03571428571428571,0.06666666666666667,0.5,0.5,0.25,0.8,0.03571428571428571,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.5555555555555556,0.5555555555555556,1.0,0.2,,0.4,0.2,,,0.55405,0.044444444444444446,,,0.75,,,1.0,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,1610612743,2019,2018-19,True
