EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,Fg2aBlocked,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,LiveBallTurnoverPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3FGM,PenaltyFG3M,ShortMidRangeAssists,FTDefRebounds,LostBallSteals,Blocked3s,BlockedArc3,PenaltyFg3Pct,DefFTReboundPct,ShortMidRangePctAssisted,PenaltyArc3Accuracy,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,Offensive Fouls,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallTurnovers,PenaltyCorner3FGM,Charge Fouls,Loose Ball Fouls,BlockedLongMidRange,Defensive 3 Seconds Violations,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,SecondChanceFtPoints,DefensiveGoaltends,Fg3aBlocked,SelfOReb,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,SelfORebPct,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,Travels,StepOutOfBoundsTurnovers,BlockedCorner3,HeaveAttempts,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101141-1626192-1627763-1628425-201588,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, Sterling Brown, George Hill","Ilyasova, Connaughton, Brogdon, Brown, Hill",101141-1626192-1627763-1628425-201588,MIL,130.0,1,2.0,-2.0,3.0,4.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,7.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.5,0.5,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,77.53846153846155,20.333333333333332,17.25,20.333333333333332,17.25,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.5,0.4839833333333334,2.6,27.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1627763-201572-201588,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, Brook Lopez, George Hill","Ilyasova, Connaughton, Brogdon, Lopez, Hill",101141-1626192-1627763-201572-201588,MIL,710.0,4,12.0,8.0,24.0,24.0,11.0,48.0,8.0,11.0,4.0,10.0,9.0,13.0,4.0,12.0,34.0,26.0,14.0,,10.0,4.0,7.0,11.0,6.0,26.0,6.0,9.0,12.0,1.0,3.0,30.0,0.7777777777777778,0.875,0.3333333333333333,0.3333333333333333,0.6923076923076923,0.6,0.6538461538461539,0.48,0.75,0.8181818181818182,1.0,97.35211267605634,14.458333333333334,15.125,13.958333333333334,15.041666666666666,0.44,0.7272727272727273,0.8,0.75,0.4,0.4,0.4,0.92,0.4,0.543816,2.923076923076923,26.650000000000002,8.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,6.0,4.0,12.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,6.0,8.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.2857142857142857,0.6666666666666666,0.375,0.15384615384615385,0.09090909090909091,1.0,0.5,1.0,0.125,0.25,0.3333333333333333,1.0,0.16666666666666666,0.8,0.5,1.0,1.0,1.0,0.04,0.04,1.0,1.0,1.0,0.08,1.0,1.0,0.6666666666666666,0.5,0.2857142857142857,0.5,0.2857142857142857,0.14285714285714285,0.5804,0.4982214285714286,0.11538461538461539,0.21428571428571427,0.11764705882352941,0.17647058823529413,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1627763-201588-202703,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, George Hill, Nikola Mirotic","Ilyasova, Connaughton, Brogdon, Hill, Mirotic",101141-1626192-1627763-201588-202703,MIL,61.0,3,1.0,-5.0,1.0,2.0,,3.0,,1.0,,,,1.0,,1.0,,5.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,0.5,,,,70.81967213114754,28.0,16.5,28.0,16.5,0.5,,,,,,,1.0,,0.4787,2.5,22.6,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,0.5,,,,,0.5,,0.5,,,0.4787,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1627763-201588-203507,1610612749,"Ersan Ilyasova, Pat Connaughton, Malcolm Brogdon, George Hill, Giannis Antetokounmpo","Ilyasova, Connaughton, Brogdon, Hill, Antetokounmpo",101141-1626192-1627763-201588-203507,MIL,417.0,4,7.0,1.0,14.0,14.0,1.0,28.0,2.0,3.0,,4.0,4.0,6.0,1.0,6.0,17.0,16.0,6.0,,4.0,,3.0,4.0,2.0,9.0,5.0,7.0,9.0,2.0,3.0,14.0,0.75,0.75,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.4583333333333333,0.5666666666666667,0.5,1.0,0.875,1.0,96.69064748201438,14.785714285714286,15.0,13.714285714285714,14.642857142857142,0.25,0.6666666666666666,1.0,1.0,0.3333333333333333,,,0.75,,0.52105,6.266666666666667,25.433333333333334,4.0,2.0,,,,1.0,2.0,1.0,1.0,2.0,,1.0,6.0,,,3.0,,1.0,1.0,4.0,4.0,2.0,3.0,,1.0,1.0,,1.0,2.0,,2.0,2.0,,,,,1.0,,5.0,,,7.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,,1.0,,,1.5,,1.5,0.5,0.16666666666666666,0.3333333333333333,,,0.6666666666666666,0.4,0.2857142857142857,,,0.5,1.0,,0.6666666666666666,,1.0,0.16666666666666666,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,,,,,0.5,,,0.5,,0.490625,0.15384615384615385,0.2857142857142857,0.17647058823529413,0.23529411764705882,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1628425-201572-201588,1610612749,"Ersan Ilyasova, Pat Connaughton, Sterling Brown, Brook Lopez, George Hill","Ilyasova, Connaughton, Brown, Lopez, Hill",101141-1626192-1628425-201572-201588,MIL,725.0,4,12.0,18.0,25.0,26.0,19.0,51.0,9.0,13.0,1.0,4.0,12.0,20.0,2.0,5.0,34.0,16.0,10.0,3.0,4.0,1.0,5.0,6.0,3.0,13.0,6.0,16.0,19.0,2.0,3.0,28.0,0.4166666666666667,0.5555555555555556,0.4,0.4,0.6,0.6,0.6296296296296297,0.2,0.8571428571428571,0.8333333333333334,0.5,101.29655172413793,12.8,15.576923076923077,12.72,15.0,0.52,0.6923076923076923,0.8181818181818182,0.3333333333333333,0.16,0.25,0.25,0.72,0.25,0.5131519999999999,5.3149999999999995,26.76,19.0,3.0,3.0,3.0,6.0,10.0,5.0,1.0,2.0,1.0,,3.0,4.0,3.0,3.0,6.0,8.0,15.0,3.0,4.0,23.0,14.0,3.0,6.0,2.0,1.0,,,,3.0,9.0,3.0,1.0,,,,1.0,1.0,3.0,,,4.0,,,,,,2.0,1.0,23.0,19.0,1.0,0.5,1.0,0.5333333333333333,1.0,0.5277777777777778,1.0,0.575,0.1,0.15384615384615385,,0.375,0.8181818181818182,,0.2727272727272727,0.25,0.6666666666666666,,1.0,1.0,0.8571428571428571,0.75,0.5,0.2,0.08,0.5,0.5,,0.04,,1.0,1.0,,0.5555555555555556,0.6,,0.16666666666666666,0.5916,0.5010305555555555,,,0.17647058823529413,0.6764705882352942,0.76,2.0,1.0,,,,,1.0,1.0,1.0,,2.0,2.0,,1.0,0.4,0.4,1.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1628425-201588-202339,1610612749,"Ersan Ilyasova, Pat Connaughton, Sterling Brown, George Hill, Eric Bledsoe","Ilyasova, Connaughton, Brown, Hill, Bledsoe",101141-1626192-1628425-201588-202339,MIL,60.0,1,1.0,-2.0,2.0,2.0,2.0,4.0,,,,2.0,,,,2.0,,2.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,96.0,16.0,14.0,16.0,14.0,,,,,1.0,,,1.0,,0.5487,,26.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1628425-201588-202703,1610612749,"Ersan Ilyasova, Pat Connaughton, Sterling Brown, George Hill, Nikola Mirotic","Ilyasova, Connaughton, Brown, Hill, Mirotic",101141-1626192-1628425-201588-202703,MIL,70.0,1,1.0,-1.0,2.0,3.0,3.0,5.0,,1.0,,1.0,,1.0,,1.0,1.0,2.0,,,1.0,,,,,,1.0,2.0,2.0,,,1.0,,,,,,,0.16666666666666666,0.5,1.0,1.0,1.0,102.85714285714285,23.0,8.0,23.0,4.333333333333333,0.5,,,,0.5,,,1.0,,0.44175,3.2,25.6,2.0,,,,,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,,1.0,,,,,,1.0,2.0,,,,,,,,0.16666666666666666,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,0.5,,,0.5,,0.44175,0.3333333333333333,0.5,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1628425-201588-203507,1610612749,"Ersan Ilyasova, Pat Connaughton, Sterling Brown, George Hill, Giannis Antetokounmpo","Ilyasova, Connaughton, Brown, Hill, Antetokounmpo",101141-1626192-1628425-201588-203507,MIL,92.0,2,2.0,3.0,4.0,3.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,4.0,2.0,,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.875,0.3333333333333333,1.0,1.0,,109.56521739130434,10.25,17.0,10.25,17.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.3750833333333334,11.6,29.9,4.0,,,,1.0,1.0,,,1.0,,,1.0,2.0,,,,1.0,2.0,1.0,2.0,7.0,,3.0,,,1.0,1.0,,,,,,,,,,,,2.0,,,3.0,1.0,1.0,,,,,,7.0,4.0,,1.0,,0.5,,0.8333333333333334,,0.875,,,,,,,,,,,,1.0,,,,,0.3333333333333333,,,,,1.0,,,,0.3333333333333333,1.0,,0.3333333333333333,,0.3750833333333334,0.3333333333333333,0.5,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1628425-202339-202703,1610612749,"Ersan Ilyasova, Pat Connaughton, Sterling Brown, Eric Bledsoe, Nikola Mirotic","Ilyasova, Connaughton, Brown, Bledsoe, Mirotic",101141-1626192-1628425-202339-202703,MIL,96.0,1,2.0,3.0,3.0,3.0,3.0,6.0,2.0,2.0,,,2.0,4.0,,1.0,4.0,1.0,2.0,,,,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,0.5,1.0,,,0.5,0.4,0.4,0.2,0.5,0.6666666666666666,1.0,90.0,16.333333333333332,15.666666666666666,11.666666666666666,15.333333333333334,0.4,1.0,1.0,0.5,,,,0.6,,0.55386,6.95,23.6,3.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,,,1.0,2.0,2.0,2.0,4.0,1.0,,4.0,2.0,,2.0,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,4.0,3.0,,,0.5,0.5,0.5,0.4,0.5,0.4,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,0.2,0.2,,,,0.2,,0.5,1.0,,0.4,1.0,0.2,,0.6398,0.55386,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
101141-1626192-1628425-202339-203507,1610612749,"Ersan Ilyasova, Pat Connaughton, Sterling Brown, Eric Bledsoe, Giannis Antetokounmpo","Ilyasova, Connaughton, Brown, Bledsoe, Antetokounmpo",101141-1626192-1628425-202339-203507,MIL,169.0,2,3.0,-4.0,5.0,6.0,,11.0,,,1.0,2.0,,,1.0,3.0,6.0,10.0,,,2.0,1.0,,1.0,,3.0,1.0,2.0,3.0,,1.0,3.0,,,0.3333333333333333,0.3333333333333333,,0.5,0.6,1.0,1.0,1.0,,93.72781065088756,13.8,16.666666666666668,13.4,16.666666666666668,,,,,0.6666666666666666,0.5,0.5,1.0,0.5,0.56075,,25.433333333333334,,1.0,,,,,,,,1.0,,,3.0,,,3.0,,,,,,,3.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,2.0,,,4.0,,2.0,,,,,,,,,1.0,,,1.5,,1.5,,,,,,1.0,0.5,0.5,,,1.0,1.0,,1.0,,,,,,,,0.3333333333333333,1.0,,,,,,,,,,0.4,1.0,0.5,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2019,2018-19,False
