EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,FG2M,FG2A,FG3M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,DefensiveGoaltends,Charge Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,BlockedShortMidRange,OffLongMidRangeReboundPct,2pt And 1 Free Throw Trips,PenaltyAtRimFGA,PenaltyAtRimFrequency,PtsUnassisted3s,Travels,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyTurnovers,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,OffCorner3ReboundPct,Loose Ball Fouls,BlockedLongMidRange,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyAtRimAccuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Clear Path Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,BlockedCorner3,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,HeaveAttempts,OffensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
1626220-1627777-1628378-1628960-202324,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Grayson Allen, Derrick Favors","O'Neale, Niang, Mitchell, Allen, Favors",1626220-1627777-1628378-1628960-202324,UTA,55.0,1,1.0,-2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78.54545454545455,32.0,11.5,32.0,11.5,1.0,1.0,0.4806,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-1628960-203497,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Grayson Allen, Rudy Gobert","O'Neale, Niang, Mitchell, Allen, Gobert",1626220-1627777-1628378-1628960-203497,UTA,320.0,4,5.0,7.0,12.0,12.0,24.0,2.0,2.0,8.0,2.0,3.0,6.0,7.0,3.0,0.18181818181818182,0.75,0.8333333333333334,1.0,108.0,13.0,13.666666666666666,13.0,12.666666666666666,0.18181818181818182,0.6363636363636364,0.5227136363636364,25.5,1.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,9.0,1.0,2.0,15.0,1.0,1.0,2.0,4.0,6.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,13.0,0.4,0.5,1.0,0.5,0.5,0.5555555555555556,1.0,0.5909090909090909,1.0,0.625,1.0,1.0,1.0,0.25,0.2,1.0,1.0,1.0,0.5,0.45454545454545453,0.8,0.8,0.5,0.09090909090909091,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,0.5,0.6158,0.08333333333333333,0.1,0.13333333333333333,7.688888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-200757-203497,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Thabo Sefolosha, Rudy Gobert","O'Neale, Niang, Mitchell, Sefolosha, Gobert",1626220-1627777-1628378-200757-203497,UTA,1055.0,4,18.0,-17.0,33.0,36.0,69.0,10.0,11.0,44.0,10.0,7.0,9.0,16.0,7.0,0.36666666666666664,0.875,0.75,0.8,94.18009478672987,17.060606060606062,13.666666666666666,15.727272727272727,13.11111111111111,0.3333333333333333,0.5666666666666667,0.47267499999999996,25.772727272727273,6.0,1.0,6.0,1.0,3.0,12.0,1.0,1.0,3.0,5.0,19.0,4.0,5.0,27.0,2.0,4.0,8.0,4.0,6.0,12.0,,3.0,2.0,4.0,6.0,3.0,,16.0,6.0,2.0,,7.0,4.0,2.0,2.0,2.0,5.0,8.0,7.0,12.0,,10.0,3.0,19.0,0.4,0.4,1.0,0.36363636363636365,0.36363636363636365,0.2631578947368421,0.5,0.36666666666666664,0.7,0.38571428571428573,0.6666666666666666,,0.5,0.46153846153846156,0.35,0.5,1.0,,1.0,0.2,0.16666666666666666,0.2,,0.4,0.03333333333333333,1.0,1.0,0.3,0.3,1.0,0.6,0.3333333333333333,0.3,0.53198,0.09090909090909091,0.13636363636363635,0.2962962962962963,6.315789473684211,3.0,14.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,3.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.625,0.5833333333333334,0.10526315789473684,0.16666666666666666,0.08333333333333333,0.375,0.14285714285714285,0.4444444444444444,0.14285714285714285,0.3333333333333333,0.05263157894736842,1.0,0.25,0.2727272727272727,0.3333333333333333,1.0,0.03333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,0.25,1.0,0.428525,0.25925925925925924,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-201937-202324,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Ricky Rubio, Derrick Favors","O'Neale, Niang, Mitchell, Rubio, Favors",1626220-1627777-1628378-201937-202324,UTA,91.0,1,2.0,-5.0,2.0,3.0,5.0,,,7.0,,,,,,,,,,79.12087912087912,24.0,14.333333333333334,24.0,14.0,,,0.4058,,,,,,,1.0,,1.0,,1.0,2.0,,,2.0,,,,2.0,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,0.5,,0.5,,0.5,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,16.6,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-201937-203497,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Ricky Rubio, Rudy Gobert","O'Neale, Niang, Mitchell, Rubio, Gobert",1626220-1627777-1628378-201937-203497,UTA,984.0,12,16.0,-10.0,35.0,38.0,73.0,9.0,11.0,34.0,9.0,4.0,12.0,15.0,8.0,0.3793103448275862,1.0,0.7058823529411765,1.0,106.82926829268294,14.685714285714285,12.368421052631579,14.514285714285714,12.078947368421053,0.3103448275862069,0.5517241379310345,0.49002068965517237,24.772727272727273,3.0,1.0,5.0,,1.0,10.0,,3.0,1.0,6.0,18.0,2.0,6.0,24.0,,2.0,,2.0,10.0,6.0,,1.0,1.0,2.0,3.0,1.0,1.0,8.0,3.0,8.0,,3.0,3.0,,3.0,,2.0,6.0,2.0,7.0,1.0,6.0,3.0,24.0,0.16666666666666666,0.16666666666666666,1.0,0.18181818181818182,0.18181818181818182,0.3333333333333333,,0.3103448275862069,,0.375,,,0.6153846153846154,0.25,0.14285714285714285,0.25,0.6666666666666666,1.0,,0.1724137931034483,0.2,0.25,1.0,0.3448275862068966,0.10344827586206896,,,0.1111111111111111,0.1111111111111111,1.0,0.5,,0.1111111111111111,0.50535,0.09375,0.14285714285714285,,8.033333333333333,3.0,,5.0,1.0,2.0,,,,2.0,,,,1.0,1.0,,2.0,,2.0,2.0,1.0,,,,1.0,4.0,3.0,1.0,1.0,1.0,,5.0,2.0,5.0,4.0,2.0,3.0,,,,,1.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2,0.1,0.6666666666666666,,0.2,,0.4,0.05263157894736842,0.8,0.5,0.5555555555555556,,,0.06896551724137931,0.5,0.5,1.0,,,,0.6666666666666666,,0.5147166666666666,0.08333333333333333,0.08571428571428572,1.0,1.0,1.0,1.0,3.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-202324-202692,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Alec Burks","O'Neale, Niang, Mitchell, Favors, Burks",1626220-1627777-1628378-202324-202692,UTA,201.0,1,3.0,6.0,7.0,6.0,13.0,1.0,2.0,9.0,1.0,,2.0,2.0,1.0,0.2857142857142857,,0.5,,93.13432835820895,12.857142857142858,18.5,12.857142857142858,18.5,0.14285714285714285,0.7142857142857143,0.5103142857142857,24.05,,3.0,3.0,,,2.0,,,1.0,4.0,5.0,2.0,1.0,15.0,,,,6.0,2.0,6.0,,1.0,3.0,2.0,5.0,1.0,3.0,12.0,,2.0,,,,,,,,,,,,1.0,1.0,15.0,0.75,0.75,1.0,1.0,1.0,0.8,,1.0,,1.0714285714285714,,,0.5,,,,0.5,,,0.42857142857142855,1.0,1.0,1.0,0.2857142857142857,,,,1.0,1.0,1.0,,,1.0,,0.14285714285714285,0.2,,5.220000000000001,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.5,,1.0,0.5,0.5,,,0.14285714285714285,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-202324-203109,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Jae Crowder","O'Neale, Niang, Mitchell, Favors, Crowder",1626220-1627777-1628378-202324-203109,UTA,74.0,1,1.0,,3.0,2.0,5.0,,,2.0,,,1.0,1.0,1.0,,,1.0,,97.29729729729729,14.666666666666666,15.0,14.666666666666666,15.0,,0.3333333333333333,0.48643333333333333,,,1.0,1.0,,,1.0,,1.0,,1.0,3.0,,,2.0,,,,2.0,,,,,1.0,,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,2.0,1.0,1.0,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,1.0,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,8.666666666666666,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-202324-203497,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Rudy Gobert","O'Neale, Niang, Mitchell, Favors, Gobert",1626220-1627777-1628378-202324-203497,UTA,101.0,1,2.0,-2.0,4.0,4.0,8.0,,,3.0,,2.0,2.0,2.0,1.0,,0.6666666666666666,0.6666666666666666,,114.05940594059406,14.25,11.0,14.25,9.25,,0.3333333333333333,0.3771,,,,1.0,,,1.0,,1.0,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,1.0,,,,,,,,,,0.125,,,,,,,,,0.6666666666666666,0.3333333333333333,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.25,0.25,,9.166666666666666,2.0,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40255,,0.5,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-202324-203526,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Raul Neto","O'Neale, Niang, Mitchell, Favors, Neto",1626220-1627777-1628378-202324-203526,UTA,183.0,2,3.0,6.0,7.0,5.0,12.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,2.0,0.375,1.0,1.0,,94.42622950819673,15.571428571428571,14.8,15.428571428571429,14.8,0.375,0.75,0.5082875,25.866666666666664,1.0,1.0,3.0,,1.0,1.0,,1.0,2.0,2.0,5.0,2.0,1.0,11.0,,1.0,,4.0,,,,2.0,2.0,,2.0,,1.0,4.0,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,11.0,1.0,1.0,,0.6666666666666666,0.6666666666666666,0.4,,0.625,,0.6875,,,1.0,0.3333333333333333,0.25,0.5,1.0,,1.0,0.375,0.3333333333333333,0.3333333333333333,1.0,0.125,0.125,,,0.6666666666666666,0.6666666666666666,,1.0,,0.6666666666666666,0.5992,0.125,0.2,,6.0600000000000005,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
1626220-1627777-1628378-202324-203957,1610612762,"Royce O'Neale, Georges Niang, Donovan Mitchell, Derrick Favors, Dante Exum","O'Neale, Niang, Mitchell, Favors, Exum",1626220-1627777-1628378-202324-203957,UTA,337.0,4,6.0,4.0,14.0,11.0,25.0,1.0,2.0,6.0,1.0,4.0,6.0,7.0,9.0,0.25,1.0,0.75,1.0,106.82492581602375,13.5,13.454545454545455,13.428571428571429,13.0,0.125,0.75,0.5156875,23.3,1.0,2.0,4.0,,,2.0,,,,2.0,6.0,,6.0,10.0,,,1.0,,4.0,,,,,,,,,,1.0,2.0,,1.0,2.0,,2.0,,2.0,2.0,,,,10.0,5.0,9.0,,,,,,0.3333333333333333,,0.25,,0.38461538461538464,0.5,,0.5,0.25,0.16666666666666666,,,,1.0,0.5,0.5,0.6666666666666666,,0.25,,,,,,,,,,,0.38461538461538464,0.45454545454545453,0.1,4.416666666666667,,,,,1.0,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.25,1.0,,,0.5,,0.5,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2019,2018-19,True
