EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FirstChancePoints,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangePctBlocked,Fg3aBlocked,SelfOReb,FG3APctBlocked,Arc3PctBlocked,SelfORebPct,StepOutOfBoundsTurnovers,Charge Fouls Drawn,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,HeaveAttempts,PenaltyCorner3Accuracy,SecondChanceFtPoints,SecondChanceCorner3FGA,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Frequency,PtsUnassisted3s,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1627751-1627854-1628401-200746-201158,1610612759,"Jakob Poeltl, Bryn Forbes, Derrick White, LaMarcus Aldridge, Marco Belinelli","Poeltl, Forbes, White, Aldridge, Belinelli",1627751-1627854-1628401-200746-201158,SAS,174.0,4,3.0,5.0,8.0,1.0,2.0,13.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.25,0.5,0.75,0.5,0.75,0.2,0.5,1.0,1.0,0.6666666666666666,0.5,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,107.58620689655173,13.6,13.25,12.8,13.125,0.2,0.2,0.4,0.5,0.5,0.2,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.4,1.0,0.45151,0.522125,0.6,9.325,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2019,2018-19,False
1627751-1627854-1628401-200746-201942,1610612759,"Jakob Poeltl, Bryn Forbes, Derrick White, LaMarcus Aldridge, DeMar DeRozan","Poeltl, Forbes, White, Aldridge, DeRozan",1627751-1627854-1628401-200746-201942,SAS,4696.0,7,78.0,149.0,146.0,8.0,21.0,295.0,42.0,11.0,42.0,11.0,28.0,8.0,18.0,1.0,2.0,52.0,112.0,12.0,27.0,160.0,154.0,19.0,1.0,2.0,11.0,44.0,36.0,18.0,8.0,12.0,42.0,8.0,96.0,18.0,19.0,37.0,5.0,61.0,23.0,84.0,10.0,4.0,9.0,1.0,19.0,18.0,39.0,149.0,1.0,0.4444444444444444,0.5,0.4444444444444444,0.4642857142857143,0.5035971223021583,0.2619047619047619,0.5228758169934641,0.25,0.19424460431654678,0.5263157894736842,1.0,0.7551020408163265,0.3,0.7307692307692307,0.7466666666666667,0.30666666666666664,0.34782608695652173,0.29411764705882354,0.6428571428571429,0.7407407407407407,1.0,0.7142857142857143,90.45996592844975,15.369127516778523,16.47945205479452,14.577181208053691,16.123287671232877,0.302158273381295,0.302158273381295,0.2014388489208633,0.39285714285714285,0.4074074074074074,0.12949640287769784,0.4444444444444444,0.4444444444444444,1.0,0.5238095238095238,0.09523809523809523,0.5,1.0,0.49640287769784175,0.4444444444444444,0.4695007194244604,0.49835555555555555,0.06875,8.626785714285715,24.744444444444444,6.0,22.0,22.0,2.0,4.0,11.0,19.0,4.0,9.0,3.0,1.0,2.0,20.0,4.0,7.0,18.0,1.0,5.0,5.0,22.0,60.0,2.0,4.0,30.0,4.0,13.0,10.0,7.0,5.0,8.0,4.0,4.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,28.0,4.0,2.0,28.0,11.0,3.0,11.0,4.0,7.0,11.0,6.0,1.0,22.0,22.0,1.0,3.0,0.5769230769230769,0.5882352941176471,0.2,0.21052631578947367,0.3888888888888889,0.3695652173913043,0.4074074074074074,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.3333333333333333,0.25,0.4,0.2,0.7368421052631579,0.5454545454545454,0.5238095238095238,0.5641025641025641,0.5909090909090909,0.4523809523809524,0.4523809523809524,0.5263157894736842,0.6363636363636364,0.06474820143884892,0.4444444444444444,0.4444444444444444,1.0,0.18181818181818182,0.5,0.4782608695652174,0.36363636363636365,0.13043478260869565,0.08695652173913043,0.5,0.5115652173913043,0.07333333333333333,0.08943089430894309,0.1375,0.1476510067114094,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2019,2018-19,False
1627751-1627854-1628401-200752-201942,1610612759,"Jakob Poeltl, Bryn Forbes, Derrick White, Rudy Gay, DeMar DeRozan","Poeltl, Forbes, White, Gay, DeRozan",1627751-1627854-1628401-200752-201942,SAS,331.0,4,6.0,11.0,11.0,,3.0,22.0,3.0,1.0,2.0,2.0,3.0,,2.0,,,5.0,8.0,,2.0,12.0,14.0,2.0,,,4.0,4.0,,2.0,,,3.0,,6.0,2.0,1.0,3.0,,4.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0,,,,,0.625,0.5,1.0,0.5454545454545454,1.0,0.2,0.5,,0.75,0.6666666666666666,0.5,0.6666666666666666,0.4,1.0,,1.0,1.0,,,95.70996978851964,14.727272727272727,15.363636363636363,13.909090909090908,15.181818181818182,0.3,0.2,0.3,0.6666666666666666,0.6666666666666666,0.2,,,,0.5,,,,0.5,,0.47779,0.49065,0.3333333333333333,10.8,25.9,-2.0,1.0,2.0,1.0,,,1.0,,,,,1.0,2.0,2.0,,,,1.0,,,6.0,2.0,1.0,3.0,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,1.0,,,2.0,1.0,,,,,,,,,1.0,,,0.6,0.75,,1.0,,,,0.125,,,,1.0,,,0.5,,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.5,,,,,1.0,,,,,1.0,,0.5364,0.09090909090909091,0.1111111111111111,,0.09090909090909091,0.5,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2019,2018-19,False
1627751-1627854-1628401-201158-201942,1610612759,"Jakob Poeltl, Bryn Forbes, Derrick White, Marco Belinelli, DeMar DeRozan","Poeltl, Forbes, White, Belinelli, DeRozan",1627751-1627854-1628401-201158-201942,SAS,12.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2019,2018-19,False
1627751-1627854-1628401-201942-202722,1610612759,"Jakob Poeltl, Bryn Forbes, Derrick White, DeMar DeRozan, Davis Bertans","Poeltl, Forbes, White, DeRozan, Bertans",1627751-1627854-1628401-201942-202722,SAS,174.0,2,3.0,6.0,5.0,,,11.0,1.0,,3.0,1.0,1.0,,,,,3.0,5.0,,,6.0,6.0,,,,,2.0,,,,,2.0,,4.0,,,2.0,1.0,3.0,,3.0,,,,,,3.0,4.0,6.0,,,,,0.6,0.6,,0.6,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,,91.0344827586207,15.0,16.8,15.0,16.8,0.2,0.6,0.2,1.0,1.0,,,,,,,,,0.2,,0.3967,,,7.959999999999999,,,3.0,,,,,2.0,,,,,,,,3.0,3.0,,,,6.0,4.0,,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,,,0.6666666666666666,0.6666666666666666,,,1.0,1.0,1.0,0.2,1.0,,,,,,,,,,,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,0.37483333333333335,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2019,2018-19,False
1627751-1627854-200746-201158-201988,1610612759,"Jakob Poeltl, Bryn Forbes, LaMarcus Aldridge, Marco Belinelli, Patty Mills","Poeltl, Forbes, Aldridge, Belinelli, Mills",1627751-1627854-200746-201158-201988,SAS,351.0,3,6.0,13.0,13.0,6.0,2.0,26.0,6.0,2.0,4.0,,1.0,,4.0,,,5.0,11.0,,4.0,10.0,9.0,2.0,,,2.0,4.0,,4.0,,,3.0,,6.0,2.0,4.0,2.0,,6.0,2.0,8.0,,,,,,1.0,1.0,8.0,,,,,0.45454545454545453,0.3333333333333333,0.5,0.3333333333333333,0.5,0.26666666666666666,,,1.0,0.3333333333333333,0.8,0.8571428571428571,0.2,0.5,,,1.0,1.0,,106.66666666666667,14.076923076923077,12.923076923076923,14.076923076923077,12.692307692307692,0.4,0.26666666666666666,0.06666666666666667,,,0.26666666666666666,,,,1.0,,,,0.6666666666666666,,0.5213033333333333,0.5598,0.2,4.672727272727273,24.725,1.0,6.0,3.0,1.0,2.0,3.0,2.0,,,,,1.0,,1.0,3.0,5.0,,1.0,,6.0,6.0,2.0,,3.0,,2.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,6.0,6.0,,,0.6,0.75,,0.5,0.6,0.5,0.5,,,,,0.3333333333333333,,,0.8,,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,,,,,,0.5,,0.5,0.6666666666666666,,0.16666666666666666,,0.5403,,,0.6,0.46153846153846156,,2.0,1.0,0.5,0.5,0.125,,,,,,,,,,,,,,,,,,,1610612759,2019,2018-19,False
1627751-1627854-200746-201942-201988,1610612759,"Jakob Poeltl, Bryn Forbes, LaMarcus Aldridge, DeMar DeRozan, Patty Mills","Poeltl, Forbes, Aldridge, DeRozan, Mills",1627751-1627854-200746-201942-201988,SAS,520.0,4,9.0,16.0,16.0,4.0,2.0,32.0,4.0,1.0,4.0,2.0,4.0,1.0,2.0,,,5.0,12.0,1.0,3.0,15.0,23.0,2.0,,,2.0,10.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,5.0,2.0,7.0,1.0,1.0,1.0,,2.0,5.0,6.0,13.0,1.0,0.3333333333333333,,0.3333333333333333,0.4166666666666667,0.43333333333333335,0.5,0.46875,0.5,0.2,0.5,1.0,0.3333333333333333,0.2857142857142857,0.75,0.5714285714285714,0.2222222222222222,,,,,1.0,,88.61538461538463,18.125,14.375,17.6875,14.125,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.5,0.6666666666666666,0.13333333333333333,0.5,0.5,1.0,0.5,,,,0.4666666666666667,0.5,0.4413266666666667,0.47825,0.13333333333333333,9.825000000000001,24.766666666666666,-8.0,3.0,2.0,1.0,,1.0,1.0,,1.0,,,,2.0,1.0,,3.0,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,7.0,,,3.0,2.0,,,,,1.0,,,,3.0,,,,,,0.5,,,,0.16666666666666666,0.25,0.25,,1.0,,,0.75,,0.5,0.6666666666666666,,0.25,0.25,,,0.06666666666666667,,,,1.0,,0.3333333333333333,,,,,0.4214333333333333,0.125,0.15384615384615385,,0.1875,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1610612759,2019,2018-19,False
1627751-1627854-200752-201942-201988,1610612759,"Jakob Poeltl, Bryn Forbes, Rudy Gay, DeMar DeRozan, Patty Mills","Poeltl, Forbes, Gay, DeRozan, Mills",1627751-1627854-200752-201942-201988,SAS,157.0,2,3.0,4.0,5.0,,,9.0,,,2.0,,,,,,,1.0,2.0,,,6.0,6.0,,,,,2.0,,,,,,,,,1.0,1.0,,2.0,,2.0,,,,,,1.0,1.0,6.0,,,,,0.5,0.5,,0.75,,,,,1.0,,1.0,1.0,,,,,1.0,,,82.54777070063695,20.25,15.2,20.25,15.2,,1.0,,,,,,,,,,,,,,0.38195,,,8.3,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.5,0.5,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2019,2018-19,False
1627751-1627854-201942-201988-202722,1610612759,"Jakob Poeltl, Bryn Forbes, DeMar DeRozan, Patty Mills, Davis Bertans","Poeltl, Forbes, DeRozan, Mills, Bertans",1627751-1627854-201942-201988-202722,SAS,343.0,2,6.0,11.0,12.0,,1.0,23.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,,,5.0,8.0,1.0,3.0,18.0,15.0,1.0,,,2.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,9.0,1.0,2.0,3.0,,5.0,1.0,6.0,,,,,,1.0,1.0,16.0,1.0,0.3333333333333333,,0.3333333333333333,0.625,0.5909090909090909,1.0,0.6538461538461539,1.0,0.2727272727272727,,,0.6,0.3333333333333333,1.0,0.7142857142857143,0.2,0.5,,0.5,0.6666666666666666,,,96.5597667638484,15.090909090909092,14.75,15.0,14.416666666666666,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.5,0.5,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,0.6363636363636364,0.3333333333333333,0.5388499999999999,0.7193,0.1111111111111111,6.7875,24.400000000000002,3.0,,4.0,1.0,,,,,,,,,5.0,1.0,,,,,,,6.0,,,3.0,,2.0,,1.0,,1.0,1.0,,,,,,,,,,3.0,,,6.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,0.6,0.6,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,1.0,,,,,1.0,1.0,,,,,,,0.15384615384615385,0.1111111111111111,,,,,,,,,,,,,,1.0,1.0,0.25,,,,,,,,,,,1610612759,2019,2018-19,False
1627751-1628401-200746-201158-201942,1610612759,"Jakob Poeltl, Derrick White, LaMarcus Aldridge, Marco Belinelli, DeMar DeRozan","Poeltl, White, Aldridge, Belinelli, DeRozan",1627751-1628401-200746-201158-201942,SAS,21.0,1,,1.0,1.0,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,137.14285714285714,15.0,6.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2019,2018-19,False
