EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,Corner3FGA,PenaltyCorner3FGA,FG3A,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Corner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,DefPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,Avg2ptShotDistance,PlusMinus,AtRimFGM,AtRimFGA,FtPoints,PtsAssisted2s,Fg3aBlocked,TwoPtAssists,AtRimAssists,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGA,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,DefShortMidRangeReboundPct,ShortMidRangeFrequency,Fg2aBlocked,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,LongMidRangePctAssisted,PenaltyDefPoss,PenaltyFtPoints,PtsUnassisted3s,Loose Ball Fouls,Technical Free Throw Trips,SecondChanceOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Offensive Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,Corner3FGM,PtsPutbacks,Corner3Assists,SelfOReb,LostBallSteals,BadPassTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,OffensiveGoaltends,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceFtPoints,FTOffRebounds,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,Travels,AtRimPctBlocked,StepOutOfBoundsTurnovers,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGA,SecondChanceFG3A,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceArc3FGM,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedCorner3,BlockedLongMidRange,Defensive 3 Seconds Violations,DefensiveGoaltends,Clear Path Fouls,Corner3PctBlocked,3SecondViolations,team_id,year,season,team_vs
1627735-1627774-1628380-1628403-203917,1610612757,"Wade Baldwin IV, Jake Layman, Zach Collins, Caleb Swanigan, Nik Stauskas","Baldwin IV, Layman, Collins, Swanigan, Stauskas",1627735-1627774-1628380-1628403-203917,POR,23.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.60869565217391,23.0,23.0,1.0,1.0,1.0,0.47475,0.47475,23.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1627735-1627774-1628380-203086-203468,1610612757,"Wade Baldwin IV, Jake Layman, Zach Collins, Meyers Leonard, CJ McCollum","Baldwin IV, Layman, Collins, Leonard, McCollum",1627735-1627774-1628380-203086-203468,POR,96.0,1,3.0,3.0,6.0,,,2.0,2.0,3.0,0.6666666666666666,90.0,21.333333333333332,21.333333333333332,,,0.6666666666666666,0.43271666666666664,0.43271666666666664,24.8,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,0.5,0.5,0.5,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,10.666666666666666,10.333333333333334,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,1.0,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1627735-1627774-1628380-203086-203552,1610612757,"Wade Baldwin IV, Jake Layman, Zach Collins, Meyers Leonard, Seth Curry","Baldwin IV, Layman, Collins, Leonard, Curry",1627735-1627774-1628380-203086-203552,POR,162.0,1,5.0,,10.0,,,1.0,,,0.3333333333333333,88.88888888888889,19.8,19.8,,,1.0,0.47586666666666666,,25.2,,3.0,5.0,,,,1.0,,,2.0,2.0,,6.0,5.0,,,,,,,1.0,,,2.0,,4.0,6.0,,,,,,1.0,,0.6666666666666666,,0.75,,12.6,12.0,,,,0.3333333333333333,,,,,,,,2.15,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1627735-1627774-1628380-203468-203994,1610612757,"Wade Baldwin IV, Jake Layman, Zach Collins, CJ McCollum, Jusuf Nurkic","Baldwin IV, Layman, Collins, McCollum, Nurkic",1627735-1627774-1628380-203468-203994,POR,103.0,1,3.0,3.0,7.0,1.0,1.0,1.0,1.0,3.0,0.3333333333333333,97.86407766990291,17.0,17.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46655,0.46655,24.2,1.0,2.0,4.0,,1.0,,,,,,2.0,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,13.0,12.25,0.3333333333333333,,,,,,,,,,,11.55,-5.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,0.5,0.5,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1627735-1627774-202323-203086-203917,1610612757,"Wade Baldwin IV, Jake Layman, Evan Turner, Meyers Leonard, Nik Stauskas","Baldwin IV, Layman, Turner, Leonard, Stauskas",1627735-1627774-202323-203086-203917,POR,256.0,1,9.0,,19.0,1.0,,3.0,,,0.375,106.875,15.444444444444445,15.444444444444445,0.125,,0.625,0.50319375,,25.666666666666668,,4.0,10.0,1.0,2.0,2.0,2.0,,,3.0,5.0,2.0,12.0,13.0,,,,,2.0,6.0,2.0,2.0,2.0,4.0,2.0,10.0,12.0,,1.0,0.6666666666666666,,0.6666666666666666,0.6,,0.75,,0.75,,11.7,11.5,0.25,0.5,0.5,0.25,1.0,1.0,1.0,,,1.0,,11.3,-1.0,2.0,2.0,,4.0,,2.0,2.0,1.0,,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,0.6666666666666666,0.6666666666666666,,,,1.0,0.6666666666666666,,0.25,1.0,1.0,1.0,,,1.0,,,,,1.0,0.125,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1627735-1627774-203086-203090-203552,1610612757,"Wade Baldwin IV, Jake Layman, Meyers Leonard, Maurice Harkless, Seth Curry","Baldwin IV, Layman, Leonard, Harkless, Curry",1627735-1627774-203086-203090-203552,POR,121.0,2,5.0,,10.0,,,3.0,,,0.75,119.00826446280992,12.6,12.6,,,0.75,0.488475,,24.766666666666666,,2.0,5.0,1.0,1.0,,3.0,,,1.0,1.0,,2.0,5.0,,,,,,,3.0,,,1.0,,2.0,2.0,,,,,,1.0,,0.25,,0.25,,11.6,11.6,0.25,1.0,1.0,0.75,,,,,,,,17.6,-3.0,,,,2.0,,1.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1627735-1628380-202323-203086-203917,1610612757,"Wade Baldwin IV, Zach Collins, Evan Turner, Meyers Leonard, Nik Stauskas","Baldwin IV, Collins, Turner, Leonard, Stauskas",1627735-1628380-202323-203086-203917,POR,146.0,1,5.0,3.0,9.0,,,2.0,1.0,3.0,0.4,88.76712328767124,20.2,20.2,,,0.4,0.391625,0.3434,33.3,0.6,2.0,4.0,,2.0,1.0,2.0,1.0,1.0,,3.0,1.0,4.0,9.0,,2.0,1.0,4.0,,,2.0,1.0,,,,,4.0,4.0,,0.5,1.0,0.5,,,0.3,0.5,0.3,0.5,11.25,11.25,0.4,,,0.4,0.5,0.5,,0.3333333333333333,1.0,0.5,1.0,12.9,-5.0,,,1.0,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,0.2,1.0,,,,0.3333333333333333,1.0,,,,,,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1627735-202329-203081-203086-203468,1610612757,"Wade Baldwin IV, Al-Farouq Aminu, Damian Lillard, Meyers Leonard, CJ McCollum","Baldwin IV, Aminu, Lillard, Leonard, McCollum",1627735-202329-203081-203086-203468,POR,16.0,1,1.0,,1.0,,,,,,,90.0,16.0,16.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1627746-1627774-1628380-1629014-1629018,1610612757,"Skal Labissiere, Jake Layman, Zach Collins, Anfernee Simons, Gary Trent Jr.","Labissiere, Layman, Collins, Simons, Trent Jr.",1627746-1627774-1628380-1629014-1629018,POR,357.0,1,12.0,2.0,24.0,1.0,,4.0,,2.0,0.3333333333333333,96.80672268907563,17.333333333333332,16.166666666666668,0.08333333333333333,,0.5,0.47274166666666667,0.47395,25.575,0.16666666666666666,6.0,12.0,1.0,3.0,2.0,3.0,,,4.0,8.0,2.0,15.0,21.0,2.0,2.0,,4.0,6.0,,3.0,2.0,,1.0,,2.0,13.0,4.0,,0.5,,0.5,0.5,1.0,0.5833333333333334,1.0,0.5769230769230769,1.0,12.416666666666666,10.666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.25,0.6666666666666666,0.6666666666666666,,,,0.6666666666666666,0.26666666666666666,10.6375,-6.0,1.0,2.0,1.0,2.0,,1.0,,1.0,,3.0,5.0,,,1.0,,1.0,1.0,3.0,2.0,2.0,1.0,0.25,0.25,,,,0.25,0.42857142857142855,,0.16666666666666666,0.5,0.5,,0.07692307692307693,0.1111111111111111,3.0,,,,,,0.25,,2.0,,,,,,0.6666666666666666,0.6666666666666666,,,,2.0,,6.0,,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,0.25,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,1.0,0.3878,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1627746-1627774-1629014-1629018-203086,1610612757,"Skal Labissiere, Jake Layman, Anfernee Simons, Gary Trent Jr., Meyers Leonard","Labissiere, Layman, Simons, Trent Jr., Leonard",1627746-1627774-1629014-1629018-203086,POR,2078.0,2,72.0,18.0,143.0,2.0,,17.0,5.0,18.0,0.2833333333333333,99.09528392685274,15.86111111111111,15.694444444444445,0.03333333333333333,,0.5833333333333334,0.5153141666666667,0.5059346153846154,25.370588235294118,0.25,35.0,71.0,7.0,11.0,8.0,15.0,3.0,5.0,27.0,43.0,9.0,92.0,95.0,5.0,8.0,3.0,21.0,32.0,15.0,15.0,8.0,5.0,16.0,4.0,37.0,82.0,21.0,0.5555555555555556,0.5294117647058824,0.6,0.5294117647058824,0.627906976744186,0.625,0.675,0.7307692307692307,0.6865671641791045,0.7,13.183098591549296,12.605633802816902,0.18333333333333332,0.6363636363636364,0.6363636363636364,0.25,0.5333333333333333,0.5333333333333333,0.5,0.38461538461538464,0.6,0.5333333333333333,0.22826086956521738,7.986046511627906,-3.0,13.0,18.0,11.0,22.0,,11.0,6.0,5.0,1.0,24.0,31.0,4.0,3.0,6.0,1.0,11.0,6.0,10.0,12.0,16.0,8.0,0.4074074074074074,0.4782608695652174,,,1.0,0.4166666666666667,0.7419354838709677,0.3333333333333333,0.3,0.7222222222222222,0.7222222222222222,0.46153846153846156,0.12121212121212122,0.16326530612244897,14.0,,2.0,2.0,2.0,0.5,0.23333333333333334,,18.0,5.0,2.0,,,0.45454545454545453,0.9473684210526315,1.0,4.0,,0.5714285714285714,2.0,2.0,12.0,,,7.0,6.0,2.0,3.0,7.0,5.0,6.0,10.0,1.0,1.0,6.0,7.0,2.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.375,0.125,0.2916666666666667,0.25,,0.5,0.5,0.5,0.14285714285714285,1.0,0.23076923076923078,0.6666666666666666,0.60388,0.10869565217391304,5.0,1.0,8.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.2,0.5714285714285714,0.14285714285714285,0.75,0.08333333333333333,0.5,0.5,1.0,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
