EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,FtPoints,FTDefRebounds,FTA,TwoPtShootingFoulsDrawn,DefFTReboundPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyDefPoss,ShortMidRangeFGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGM,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,LostBallTurnovers,Travels,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,ShortMidRangeFrequency,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsAssisted3s,ThreePtAssists,Arc3Assists,AtRimAssists,DefThreePtRebounds,Assisted3sPct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Corner3Assists,OffThreePtRebounds,SelfOReb,PenaltyTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,PtsPutbacks,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,Charge Fouls,Loose Ball Fouls,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,HeaveAttempts,ShortMidRangeAssists,FTOffRebounds,StepOutOfBoundsTurnovers,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedShortMidRange,OffFTReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,OffLongMidRangeReboundPct,LostBallSteals,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,BlockedLongMidRange,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,Blocked3s,BlockedArc3,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,DefensiveGoaltends,team_id,year,season,team_vs
1627774-1628380-202323-203552-203918,1610612757,"Jake Layman, Zach Collins, Evan Turner, Seth Curry, Rodney Hood","Layman, Collins, Turner, Curry, Hood",1627774-1628380-202323-203552-203918,POR,170.0,1,3.0,-2.0,6.0,5.0,1.0,11,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,0.3333333333333333,0.25,0.25,0.25,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,1.0,93.17647058823529,0.5,15.833333333333334,15.0,15.833333333333334,14.8,0.5,0.25,1.0,1.0,0.25,0.75,0.47345,8.833333333333334,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1627774-1628380-202329-203081-203468,1610612757,"Jake Layman, Zach Collins, Al-Farouq Aminu, Damian Lillard, CJ McCollum","Layman, Collins, Aminu, Lillard, McCollum",1627774-1628380-202329-203081-203468,POR,88.0,1,1.0,-1.0,3.0,4.0,,7,1.0,,,1.0,1.0,1.0,1.0,4.0,5.0,2.0,1.0,,,1.0,2.0,,2.0,,,,,,2.0,2.0,,1.0,,,,,,4.0,1.0,0.5,0.6666666666666666,0.5,,,,1.0,,1.0,,,,,114.54545454545455,,11.666666666666666,13.25,11.666666666666666,13.25,0.5,,,,0.5,1.0,0.6046,1.8,23.8,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1627774-202329-202683-203081-203468,1610612757,"Jake Layman, Al-Farouq Aminu, Enes Kanter, Damian Lillard, CJ McCollum","Layman, Aminu, Kanter, Lillard, McCollum",1627774-202329-202683-203081-203468,POR,267.0,1,4.0,-4.0,9.0,8.0,1.0,17,1.0,1.0,2.0,2.0,2.0,5.0,2.0,7.0,11.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,,1.0,4.0,,,,,,,,5.0,0.4,0.5,0.5,0.2857142857142857,0.2,,0.6666666666666666,0.6,0.3333333333333333,0.6,0.25,,0.5,,91.68539325842696,,16.555555555555557,14.75,16.11111111111111,14.75,0.14285714285714285,0.2857142857142857,0.5,0.5,0.2857142857142857,0.42857142857142855,0.49333571428571427,9.18,25.55,1.0,,,,,,1.0,1.0,1.0,,,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.2857142857142857,1.0,0.5,0.5,0.5,0.466,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1628380-202323-202329-203081-203552,1610612757,"Zach Collins, Evan Turner, Al-Farouq Aminu, Damian Lillard, Seth Curry","Collins, Turner, Aminu, Lillard, Curry",1628380-202323-202329-203081-203552,POR,6.0,1,,-3.0,,1.0,,1,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1628380-202323-202329-203552-203918,1610612757,"Zach Collins, Evan Turner, Al-Farouq Aminu, Seth Curry, Rodney Hood","Collins, Turner, Aminu, Curry, Hood",1628380-202323-202329-203552-203918,POR,67.0,2,1.0,,1.0,3.0,,4,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,85.97014925373134,,11.0,18.666666666666668,11.0,18.666666666666668,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1628380-202323-202683-203081-203468,1610612757,"Zach Collins, Evan Turner, Enes Kanter, Damian Lillard, CJ McCollum","Collins, Turner, Kanter, Lillard, McCollum",1628380-202323-202683-203081-203468,POR,154.0,1,3.0,6.0,5.0,4.0,2.0,9,5.0,,,1.0,3.0,5.0,1.0,9.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,,1.0,,,,,,,,,,,5.0,0.6,0.75,0.75,0.16666666666666666,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,84.15584415584415,,17.0,17.25,13.8,17.25,0.8333333333333334,,,,0.16666666666666666,1.0,0.5882666666666666,1.6600000000000001,27.3,3.0,,,,,,,0.6,0.75,,,,,1.0,1.0,2.0,2.0,4.0,2.0,,1.0,1.0,2.0,,5.0,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,0.5967,0.4444444444444444,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1628380-202323-202683-203468-203552,1610612757,"Zach Collins, Evan Turner, Enes Kanter, CJ McCollum, Seth Curry","Collins, Turner, Kanter, McCollum, Curry",1628380-202323-202683-203468-203552,POR,290.0,2,5.0,8.0,11.0,10.0,3.0,21,3.0,,,4.0,1.0,5.0,7.0,17.0,9.0,,4.0,,2.0,4.0,6.0,4.0,10.0,1.0,,,1.0,,,1.0,,2.0,,,,,,14.0,0.2,0.5833333333333334,0.6071428571428571,0.5833333333333334,,,1.0,0.8,0.5,0.8571428571428571,0.5714285714285714,0.5,1.0,0.5,104.27586206896552,,13.909090909090908,13.7,13.545454545454545,12.9,0.25,,,,0.3333333333333333,0.8333333333333334,0.5648666666666667,4.76,25.614285714285717,1.0,3.0,,4.0,1.0,,1.0,0.3333333333333333,0.3333333333333333,0.07692307692307693,0.16666666666666666,,2.0,2.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,,11.0,1.0,,,1.0,1.0,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.375,,0.5,0.16666666666666666,,0.5,0.5,0.5,0.63705,0.17647058823529413,1.0,3.0,9.0,3.0,1.0,1.0,2.0,0.75,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,5.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,0.3333333333333333,0.25,0.35714285714285715,0.375,0.6666666666666666,0.5,1.0,0.14285714285714285,0.25,0.6666666666666666,0.6666666666666666,1.0,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.5,0.14285714285714285,0.5959214285714286,0.35294117647058826,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1628380-202323-202683-203552-203918,1610612757,"Zach Collins, Evan Turner, Enes Kanter, Seth Curry, Rodney Hood","Collins, Turner, Kanter, Curry, Hood",1628380-202323-202683-203552-203918,POR,568.0,2,9.0,3.0,15.0,15.0,2.0,30,5.0,2.0,2.0,3.0,6.0,11.0,4.0,19.0,16.0,6.0,3.0,,1.0,3.0,6.0,2.0,8.0,,,2.0,2.0,,2.0,4.0,,5.0,,1.0,1.0,1.0,,17.0,0.5454545454545454,0.5,0.5294117647058824,0.26666666666666666,,,,0.75,0.25,0.8333333333333334,0.2857142857142857,0.5,0.5,1.0,76.05633802816901,,20.866666666666667,17.0,20.6,16.666666666666668,0.3333333333333333,0.13333333333333333,1.0,1.0,0.2,0.6,0.5233933333333334,7.1909090909090905,24.25,3.0,4.0,1.0,6.0,2.0,1.0,,0.6,0.6,0.125,0.16666666666666666,,4.0,,1.0,1.0,1.0,2.0,6.0,,,3.0,4.0,1.0,9.0,,,,0.5,0.6,0.25,0.25,1.0,0.5,0.5,,,0.26666666666666666,0.5,,,,0.5905,0.10526315789473684,1.0,1.0,3.0,1.0,,2.0,2.0,1.0,1.0,1.0,0.6666666666666666,,0.5,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,,0.14285714285714285,0.06666666666666667,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1628380-202323-203081-203086-203468,1610612757,"Zach Collins, Evan Turner, Damian Lillard, Meyers Leonard, CJ McCollum","Collins, Turner, Lillard, Leonard, McCollum",1628380-202323-203081-203086-203468,POR,9.0,1,,-3.0,,1.0,,1,,,,,,,,,3.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,160.0,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
1628380-202323-203081-203086-203918,1610612757,"Zach Collins, Evan Turner, Damian Lillard, Meyers Leonard, Rodney Hood","Collins, Turner, Lillard, Leonard, Hood",1628380-202323-203081-203086-203918,POR,124.0,1,2.0,-2.0,4.0,4.0,,8,,,1.0,3.0,,1.0,3.0,3.0,5.0,,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,,3.0,,0.375,0.375,0.75,,,,,,1.0,,,,,92.9032258064516,,20.75,10.25,20.75,10.25,,0.25,,,0.75,0.75,0.4723875,16.8,26.633333333333336,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,3.0,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,False
