EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGA,PenaltyFG3A,TwoPtShootingFoulsDrawn,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,SecondChanceAtRimFGA,PenaltyCorner3FGA,SecondChanceFG2A,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,DeadBallTurnovers,Travels,Loose Ball Fouls Drawn,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,BadPassTurnovers,2pt And 1 Free Throw Trips,BlockedShortMidRange,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,Fg2aBlocked,SelfOReb,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,BlockedLongMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyArc3FGM,PenaltyFG3M,Charge Fouls,PenaltyFg3Pct,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,LongMidRangeFGM,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceFtPoints,Defensive 3 Seconds Violations,LongMidRangeAssists,FTDefRebounds,DefFTReboundPct,LongMidRangePctAssisted,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceTurnovers,Charge Fouls Drawn,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,FTOffRebounds,Offensive Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffFTReboundPct,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Technical Free Throw Trips,Blocked3s,BlockedArc3,Loose Ball Fouls,OffensiveGoaltends,3SecondViolations,DefensiveGoaltends,SecondChanceCorner3FGA,LongMidRangePctBlocked,SecondChanceCorner3Frequency,BlockedCorner3,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
101181-1626169-1628379-1628971-203083,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Bruce Brown, Andre Drummond","Calderon, Johnson, Kennard, Brown, Drummond",101181-1626169-1628379-1628971-203083,DET,344.0,4,6.0,13.0,13.0,14.0,4.0,12.0,27.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,6.0,8.0,3.0,3.0,2.0,23.0,10.0,2.0,3.0,2.0,6.0,4.0,8.0,6.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,23.0,6.0,4.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,0.75,0.6666666666666666,0.9545454545454546,0.6666666666666666,0.9583333333333334,0.75,0.2727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,113.02325581395348,1.0,12.461538461538462,13.0,12.461538461538462,13.0,0.36363636363636365,1.0,1.0,0.25,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,0.09090909090909091,0.18181818181818182,1.0,1.0,0.5,0.09090909090909091,1.0,1.0,1.0,0.3333333333333333,1.0,0.6363636363636364,1.0,0.48870454545454545,0.33626666666666666,0.2608695652173913,6.675,23.666666666666668,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
101181-1626169-1628379-1628971-2585,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Bruce Brown, Zaza Pachulia","Calderon, Johnson, Kennard, Brown, Pachulia",101181-1626169-1628379-1628971-2585,DET,100.0,2,2.0,-2.0,4.0,3.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,,,,,,,2.0,1.0,1.0,,2.0,2.0,4.0,6.0,1.0,1.0,2.0,4.0,2.0,,,,2.0,,1.0,,1.0,,,1.0,,2.0,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,4.0,4.0,4.0,,1.0,1.0,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6666666666666666,,,,,,,100.8,,10.5,19.333333333333332,10.5,19.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,0.6666666666666666,,,,0.3333333333333333,1.0,1.0,,0.5062666666666666,0.5062666666666666,1.0,1.1,27.15,1.0,2.0,2.0,1.0,0.6666666666666666,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
101181-1626169-1628379-1629017-2585,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Khyri Thomas, Zaza Pachulia","Calderon, Johnson, Kennard, Thomas, Pachulia",101181-1626169-1628379-1629017-2585,DET,513.0,1,9.0,-10.0,16.0,17.0,6.0,7.0,33.0,,2.0,,1.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,9.0,2.0,6.0,3.0,11.0,21.0,1.0,3.0,3.0,5.0,,2.0,6.0,,3.0,1.0,,2.0,2.0,1.0,1.0,,,6.0,2.0,4.0,6.0,,,,,,2.0,2.0,2.0,3.0,4.0,,1.0,1.0,1.0,,11.0,5.0,6.0,,,,1.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.26666666666666666,0.2,0.3235294117647059,0.35714285714285715,0.4,,0.5,0.6666666666666666,,,0.6666666666666666,92.63157894736841,,15.9375,15.176470588235293,14.5625,14.294117647058824,0.13333333333333333,,,,0.26666666666666666,0.25,0.25,,0.2,0.2,0.3333333333333333,0.3333333333333333,1.0,0.2,0.3333333333333333,0.3333333333333333,1.0,0.2,,0.5333333333333333,0.3333333333333333,0.4434033333333333,0.43289999999999995,0.45454545454545453,9.677777777777777,25.433333333333334,0.375,,2.0,2.0,,0.11764705882352941,0.18181818181818182,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.125,1.0,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.5,1.0,1.0,0.5,0.4,0.41585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
101181-1626169-1628379-201933-202720,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Blake Griffin, Jon Leuer","Calderon, Johnson, Kennard, Griffin, Leuer",101181-1626169-1628379-201933-202720,DET,467.0,2,8.0,6.0,17.0,17.0,,,34.0,4.0,4.0,,,2.0,3.0,1.0,1.0,2.0,,3.0,6.0,8.0,1.0,5.0,4.0,19.0,13.0,,,,,8.0,4.0,3.0,,3.0,,4.0,1.0,5.0,,1.0,3.0,1.0,11.0,7.0,8.0,8.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,6.0,,1.0,,1.0,1.0,19.0,,,,0.6666666666666666,0.6666666666666666,1.0,0.2,0.2,0.75,,0.5769230769230769,,0.6333333333333333,,0.38461538461538464,1.0,0.875,0.8888888888888888,1.0,0.8,1.0,104.83940042826552,1.0,11.117647058823529,16.352941176470587,11.117647058823529,16.352941176470587,0.3076923076923077,1.0,1.0,0.75,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.07692307692307693,0.15384615384615385,0.5,0.5,1.0,0.23076923076923078,,,,,,0.6923076923076923,,0.511,,,6.5875,26.18,,,,4.0,,0.26666666666666666,0.4,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
101181-1626169-1628379-201933-203083,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Blake Griffin, Andre Drummond","Calderon, Johnson, Kennard, Griffin, Drummond",101181-1626169-1628379-201933-203083,DET,415.0,2,7.0,9.0,15.0,14.0,4.0,2.0,29.0,5.0,6.0,2.0,2.0,,3.0,,,,1.0,3.0,5.0,9.0,1.0,3.0,2.0,15.0,6.0,2.0,3.0,,4.0,6.0,4.0,3.0,,3.0,1.0,3.0,1.0,4.0,1.0,,3.0,,9.0,5.0,10.0,12.0,1.0,,1.0,3.0,,4.0,1.0,2.0,3.0,2.0,,2.0,1.0,2.0,2.0,13.0,4.0,4.0,,0.6,0.75,1.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.5416666666666666,0.6666666666666666,0.5769230769230769,0.6666666666666666,0.25,0.75,1.0,1.0,1.0,1.0,1.0,100.62650602409639,1.0,11.8,17.0,11.533333333333333,17.0,0.5,0.8333333333333334,0.8333333333333334,0.6,0.25,,,,,,,,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,0.75,0.3333333333333333,0.5537791666666666,0.4319,0.26666666666666666,4.211111111111111,25.599999999999998,0.26666666666666666,,,1.0,,0.07692307692307693,0.1,2.0,1.0,,2.0,,2.0,5.0,2.0,1.0,,,0.5,1.0,,0.3333333333333333,,,1.0,,0.5,,0.46725,3.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,0.1111111111111111,0.3333333333333333,1.0,0.3333333333333333,0.2,1.0,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
101181-1626169-1628379-201933-204038,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Blake Griffin, Langston Galloway","Calderon, Johnson, Kennard, Griffin, Galloway",101181-1626169-1628379-201933-204038,DET,175.0,1,3.0,9.0,5.0,6.0,5.0,,11.0,3.0,3.0,3.0,3.0,,,,,,1.0,2.0,3.0,3.0,1.0,2.0,,9.0,,3.0,3.0,,9.0,6.0,,3.0,,2.0,1.0,3.0,1.0,4.0,1.0,,3.0,,9.0,2.0,5.0,6.0,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,7.0,9.0,5.0,,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.9,0.9,0.9,0.9,0.4,,1.0,1.0,1.0,1.0,,90.51428571428572,1.0,11.8,19.333333333333332,10.6,19.333333333333332,0.6,1.0,1.0,1.0,,,,,,,,,,0.4,0.5,0.5,1.0,0.6,1.0,1.0,0.5,0.47355,0.47355,1.0,2.8000000000000003,27.4,1.0,2.0,2.0,,0.4,,,1.0,1.0,,1.0,1.0,,3.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,1.0,2.0,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,0.2222222222222222,1.0,1.0,1.0,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
101181-1626169-1628379-201933-2585,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Blake Griffin, Zaza Pachulia","Calderon, Johnson, Kennard, Griffin, Pachulia",101181-1626169-1628379-201933-2585,DET,212.0,1,4.0,1.0,7.0,7.0,,,14.0,,1.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,,8.0,7.0,,,,,,2.0,6.0,,2.0,1.0,,2.0,2.0,1.0,1.0,,,6.0,1.0,2.0,2.0,1.0,,1.0,,,2.0,1.0,3.0,2.0,,,1.0,1.0,1.0,1.0,8.0,,,,,,1.0,0.6666666666666666,0.6666666666666666,0.5,,0.8,,0.8,,0.6,,0.5,0.6666666666666666,1.0,,,95.09433962264151,1.0,11.571428571428571,18.714285714285715,11.571428571428571,18.0,0.2,,,,,,,,0.2,0.2,1.0,1.0,1.0,0.4,0.5,0.5,1.0,,,0.8,0.5,0.5088,,,8.2,24.3,,,,,,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
101181-1626169-1628379-202720-203922,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Jon Leuer, Glenn Robinson III","Calderon, Johnson, Kennard, Leuer, Robinson III",101181-1626169-1628379-202720-203922,DET,233.0,1,4.0,,7.0,7.0,,,14.0,,,,,3.0,3.0,1.0,,,,2.0,3.0,4.0,,2.0,3.0,9.0,9.0,,,,,4.0,2.0,,,2.0,,2.0,,2.0,,,,2.0,4.0,2.0,3.0,4.0,,,,1.0,,1.0,2.0,2.0,3.0,3.0,,,,,,6.0,,,,0.6666666666666666,0.6666666666666666,,,,0.75,,0.5,,0.6428571428571429,,0.3333333333333333,1.0,1.0,1.0,1.0,,1.0,86.52360515021459,,18.571428571428573,14.714285714285714,17.428571428571427,14.714285714285714,,,,,0.5,1.0,1.0,0.6666666666666666,0.16666666666666666,,,,,0.3333333333333333,,,,,,0.3333333333333333,,0.43254166666666666,,,9.375,26.35,,,,2.0,,0.2857142857142857,0.4,1.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,0.5,0.3333333333333333,,,1.0,,,,,1.0,1.0,,,1.0,3.0,,,,,,,1.0,1.0,1.5,,,,,,,0.3333333333333333,,,,,0.5,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
101181-1626169-1628379-202720-204038,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Jon Leuer, Langston Galloway","Calderon, Johnson, Kennard, Leuer, Galloway",101181-1626169-1628379-202720-204038,DET,1020.0,4,17.0,13.0,33.0,34.0,,,67.0,10.0,18.0,,,3.0,10.0,3.0,,,2.0,3.0,15.0,31.0,2.0,3.0,2.0,38.0,25.0,,,,,14.0,16.0,6.0,,3.0,2.0,7.0,2.0,9.0,2.0,,5.0,1.0,20.0,8.0,19.0,23.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,7.0,4.0,,2.0,1.0,2.0,1.0,32.0,,,,0.4666666666666667,0.5,1.0,0.6666666666666666,0.6666666666666666,0.4838709677419355,,0.5294117647058824,,0.5277777777777778,,0.08823529411764706,0.5,0.8888888888888888,0.9444444444444444,1.0,0.75,1.0,94.58823529411765,0.5,15.030303030303031,15.411764705882353,14.787878787878787,15.117647058823529,0.5294117647058824,0.5555555555555556,0.5555555555555556,0.5,0.29411764705882354,0.3,0.375,0.3333333333333333,0.08823529411764706,,,,,0.08823529411764706,0.6666666666666666,0.6666666666666666,1.0,,,0.6176470588235294,0.6666666666666666,0.4874588235294117,,,5.241935483870968,25.599999999999998,,,,2.0,,0.05555555555555555,0.06060606060606061,4.0,2.0,,4.0,1.0,3.0,9.0,4.0,1.0,,1.0,0.1875,1.0,1.0,0.23529411764705882,,,1.0,1.0,0.5,,0.40313333333333334,,,1.0,1.0,3.0,6.0,2.0,2.0,1.0,,,,0.75,0.75,0.75,0.06451612903225806,0.2,0.125,0.2857142857142857,0.06666666666666667,0.5,0.15789473684210525,,,1.0,,1.0,,,2.0,,,0.6666666666666666,0.6666666666666666,,,1.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
101181-1626169-1628379-203083-203493,1610612765,"Jose Calderon, Stanley Johnson, Luke Kennard, Andre Drummond, Reggie Bullock","Calderon, Johnson, Kennard, Drummond, Bullock",101181-1626169-1628379-203083-203493,DET,180.0,2,3.0,-1.0,5.0,7.0,5.0,6.0,12.0,,1.0,,1.0,,2.0,1.0,,,,1.0,,4.0,,1.0,,,1.0,,4.0,,,,,,,1.0,,,,,,,,,,1.0,5.0,6.0,,,,1.0,,1.0,,2.0,,,,,,,,,,5.0,,,,,,,,,,,,,0.2,1.0,1.0,1.0,1.0,,,96.0,,16.6,13.857142857142858,15.4,13.857142857142858,0.2,,,,0.4,,,,0.2,,,,,0.2,,,,0.2,,0.4,,0.43715000000000004,0.43715000000000004,,11.0,27.6,1.0,1.0,1.0,,0.2,,,1.0,,,1.0,,1.0,3.0,1.0,,,,0.25,1.0,,0.2,,,1.0,1.0,,,0.416,1.0,,,,,,,1.0,1.0,,1.0,,,,,0.25,,,0.5,0.25,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,True
