EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Corner3PctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,LongMidRangeAssists,DefThreePtRebounds,NonShootingFoulsDrawn,BlockedAtRim,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,AtRimAssists,FTDefRebounds,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,DefFTReboundPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,Corner3FGM,PenaltyCorner3FGA,Corner3Assists,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,LiveBallTurnoverPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,LostBallSteals,BadPassTurnovers,DeadBallTurnovers,DefLongMidRangeReboundPct,BadPassOutOfBoundsTurnovers,SecondChanceCorner3FGA,ShortMidRangeAssists,FTOffRebounds,SelfOReb,DefensiveGoaltends,OffFTReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,OffThreePtRebounds,ShortMidRangePctBlocked,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceFG2M,Travels,SecondChanceFg2Pct,OffArc3ReboundPct,SecondChanceTurnovers,2pt And 1 Free Throw Trips,HeaveAttempts,LostBallOutOfBoundsTurnovers,3SecondViolations,Charge Fouls,RecoveredBlocks,Arc3PctBlocked,BlocksRecoveredPct,SecondChanceAtRimFGM,SecondChanceCorner3FGM,PtsPutbacks,Blocked3s,BlockedArc3,SecondChanceAtRimAccuracy,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceFtPoints,Offensive Fouls Drawn,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,Offensive Fouls,team_id,year,season,team_vs
1627748-1628379-1628971-201961-202397,1610612765,"Thon Maker, Luke Kennard, Bruce Brown, Wayne Ellington, Ish Smith","Maker, Kennard, Brown, Ellington, Smith",1627748-1628379-1628971-201961-202397,DET,198.0,1,3.0,6.0,7.0,8.0,1.0,15,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,9.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,0.5,1.0,0.5,0.3333333333333333,0.4375,0.75,0.5,0.75,0.25,0.5,0.16666666666666666,0.25,1.0,0.75,0.5,0.75,0.4,0.6666666666666666,1.0,0.6666666666666666,109.0909090909091,15.0,11.625,14.285714285714286,11.125,0.5,0.25,0.3333333333333333,0.25,0.5,0.5,0.125,0.125,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.75,1.0,0.476075,0.454225,0.1111111111111111,0.14285714285714285,0.3333333333333333,7.016666666666667,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-1628971-202397-204038,1610612765,"Thon Maker, Luke Kennard, Bruce Brown, Ish Smith, Langston Galloway","Maker, Kennard, Brown, Smith, Galloway",1627748-1628379-1628971-202397-204038,DET,192.0,2,3.0,-2.0,7.0,8.0,,15,1.0,1.0,,1.0,2.0,,,1.0,,,3.0,5.0,,1.0,2.0,8.0,10.0,,,,,4.0,,1.0,,,,,1.0,,2.0,,1.0,2.0,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,2.0,,1.0,,1.0,8.0,,,,,0.6,0.5,,0.5714285714285714,,0.16666666666666666,,,,,0.25,,0.4,,,,1.0,112.5,12.142857142857142,13.375,12.142857142857142,11.75,0.16666666666666666,1.0,1.0,0.3333333333333333,0.5,0.5,,0.16666666666666666,,,,,,,,0.3333333333333333,,0.483925,,,,,9.42,27.2,2.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.4059,0.5,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-201933-201961-202397,1610612765,"Thon Maker, Luke Kennard, Blake Griffin, Wayne Ellington, Ish Smith","Maker, Kennard, Griffin, Ellington, Smith",1627748-1628379-201933-201961-202397,DET,142.0,1,2.0,2.0,4.0,5.0,,9,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,4.0,9.0,7.0,,,,,,,1.0,1.0,,,,1.0,,2.0,,,2.0,,2.0,,,1.0,2.0,2.0,,,4.0,1.0,1.0,1.0,1.0,9.0,,1.0,,1.0,1.0,1.25,,1.125,,0.5,,,,,,,,,,,,91.26760563380282,15.25,16.2,15.25,13.6,0.5,1.0,1.0,,,,,0.5,1.0,1.0,,,,,,1.0,1.0,0.542325,,0.3333333333333333,0.5,,2.0,26.6,4.0,5.0,,,1.0,1.0,4.0,9.0,2.0,1.0,,,1.0,,9.0,4.0,1.0,1.0,1.0,1.0,1.25,1.125,,,,,,,0.542325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-201933-201961-202704,1610612765,"Thon Maker, Luke Kennard, Blake Griffin, Wayne Ellington, Reggie Jackson","Maker, Kennard, Griffin, Ellington, Jackson",1627748-1628379-201933-201961-202704,DET,158.0,2,3.0,-4.0,6.0,6.0,,12,,,,,1.0,2.0,2.0,2.0,,,,1.0,3.0,4.0,,9.0,13.0,,,,,,9.0,2.0,2.0,,,3.0,3.0,2.0,9.0,,,1.0,,1.0,,,2.0,4.0,3.0,,,,,,,,9.0,1.0,0.75,,0.75,,0.9,,0.9,,0.8,,,,,,,,,,,,109.36708860759494,17.833333333333332,8.5,17.833333333333332,8.5,,,,0.2,,,0.4,0.4,1.0,1.0,1.0,,,,,0.8,1.0,0.50948,,,,,21.2,24.9,3.0,4.0,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,0.44495,,0.5,,,,,,1.0,,,1.0,2.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-201933-202397-204038,1610612765,"Thon Maker, Luke Kennard, Blake Griffin, Ish Smith, Langston Galloway","Maker, Kennard, Griffin, Smith, Galloway",1627748-1628379-201933-202397-204038,DET,322.0,1,5.0,-5.0,12.0,13.0,1.0,25,1.0,4.0,,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,8.0,1.0,4.0,,7.0,12.0,,,1.0,,,,2.0,1.0,2.0,,,2.0,,4.0,1.0,4.0,7.0,1.0,8.0,1.0,,3.0,4.0,,,,,,,,,7.0,,0.25,,0.25,0.25,0.2916666666666667,,0.2916666666666667,,0.3333333333333333,,0.25,0.5,,1.0,0.2,1.0,0.125,0.3333333333333333,1.0,,111.80124223602485,14.583333333333334,11.307692307692308,13.666666666666666,11.307692307692308,0.3333333333333333,0.25,0.5,0.08333333333333333,1.0,1.0,0.16666666666666666,0.16666666666666666,0.5,0.5,,,1.0,,,0.6666666666666666,0.5,0.5078416666666666,0.5232,,,,6.2875,25.025,6.0,6.0,,3.0,1.0,4.0,,2.0,4.0,2.0,1.0,2.0,,,2.0,6.0,,1.0,1.0,0.25,0.2,0.2,1.0,1.0,0.25,,,1.0,0.45052000000000003,0.2857142857142857,0.5,,2.0,,1.0,,1.0,3.0,1.0,1.0,,,1.0,1.0,0.4,,0.2,,,,,2.0,,3.0,3.0,,0.6666666666666666,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-201961-202397-204038,1610612765,"Thon Maker, Luke Kennard, Wayne Ellington, Ish Smith, Langston Galloway","Maker, Kennard, Ellington, Smith, Galloway",1627748-1628379-201961-202397-204038,DET,70.0,1,1.0,-7.0,3.0,3.0,,6,,,,,,,,1.0,,,,,,1.0,,,7.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,123.42857142857142,14.333333333333334,9.0,14.333333333333334,9.0,,,,,,,,1.0,,,,,,,,1.0,,0.49575,,,,,,26.6,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,2.0,,,0.5,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-201961-202397-2585,1610612765,"Thon Maker, Luke Kennard, Wayne Ellington, Ish Smith, Zaza Pachulia","Maker, Kennard, Ellington, Smith, Pachulia",1627748-1628379-201961-202397-2585,DET,93.0,1,2.0,1.0,4.0,5.0,,9,,,,1.0,2.0,,,1.0,,,1.0,3.0,,1.0,,2.0,1.0,,,,,2.0,,1.0,,,,,,,,,1.0,5.0,,5.0,,,1.0,1.0,,,,,,,,,2.0,,,,,0.3333333333333333,0.25,,0.25,,0.25,,,,,1.0,,1.0,,,,1.0,139.3548387096774,11.25,9.6,11.25,9.6,,,,0.5,0.5,0.5,,0.25,,,,,,,,0.25,,0.4435375,,,,,13.533333333333333,27.5,,,,1.0,,,,,,,,2.0,,,,,,,,,,,1.0,1.0,0.25,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-201961-202704-203083,1610612765,"Thon Maker, Luke Kennard, Wayne Ellington, Reggie Jackson, Andre Drummond","Maker, Kennard, Ellington, Jackson, Drummond",1627748-1628379-201961-202704-203083,DET,635.0,1,11.0,-17.0,20.0,20.0,2.0,40,3.0,6.0,,1.0,2.0,1.0,2.0,6.0,,1.0,7.0,14.0,2.0,7.0,1.0,21.0,38.0,,,2.0,,4.0,3.0,6.0,2.0,2.0,,1.0,6.0,1.0,13.0,1.0,1.0,5.0,2.0,7.0,,,3.0,5.0,3.0,,,2.0,1.0,,,,21.0,0.5,0.2857142857142857,,0.2857142857142857,0.5,0.47619047619047616,,0.4772727272727273,,0.3333333333333333,,0.14285714285714285,0.3333333333333333,,0.5,0.14285714285714285,0.5714285714285714,0.08333333333333333,0.3333333333333333,,,90.70866141732283,19.65,12.1,19.1,12.05,0.2857142857142857,0.5,0.75,0.09523809523809523,0.5,0.5,0.047619047619047616,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.5,,0.5,,,0.6190476190476191,0.3333333333333333,0.46953095238095244,0.594075,0.045454545454545456,0.06666666666666667,,7.1571428571428575,27.585714285714285,,,3.0,6.0,,,,,10.0,5.0,,3.0,,,,,,0.7142857142857143,0.7142857142857143,,,,0.6,0.75,0.2857142857142857,0.5,0.5,,,,,,,,,,,3.0,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,0.1,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-201961-202704-204038,1610612765,"Thon Maker, Luke Kennard, Wayne Ellington, Reggie Jackson, Langston Galloway","Maker, Kennard, Ellington, Jackson, Galloway",1627748-1628379-201961-202704-204038,DET,93.0,1,2.0,1.0,2.0,2.0,1.0,4,,,,,,,,1.0,,1.0,,1.0,,1.0,2.0,2.0,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,,2.0,1.0,1.0,,1.0,2.0,,,,,,,,0.3333333333333333,,0.5,,,,,,1.0,,0.5,,,,61.93548387096774,24.5,22.0,22.0,21.5,,,,,,,,0.5,,,,,1.0,,,0.5,,0.47195,0.5664,0.3333333333333333,0.5,,6.9,25.6,2.0,2.0,,1.0,,1.0,2.0,2.0,,,,,,1.0,2.0,2.0,,,,,,0.3333333333333333,,,0.5,,,,0.47195,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
1627748-1628379-202397-204038-2585,1610612765,"Thon Maker, Luke Kennard, Ish Smith, Langston Galloway, Zaza Pachulia","Maker, Kennard, Smith, Galloway, Pachulia",1627748-1628379-202397-204038-2585,DET,244.0,1,4.0,1.0,9.0,8.0,1.0,17,1.0,1.0,,1.0,2.0,1.0,2.0,4.0,,,2.0,3.0,2.0,5.0,,10.0,9.0,,,1.0,,,6.0,4.0,2.0,,,2.0,4.0,2.0,10.0,1.0,,3.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,10.0,1.0,0.4,,0.4,0.6666666666666666,0.625,,0.625,,0.625,,,,,,1.0,1.0,0.25,,,,100.32786885245902,14.0,14.75,12.666666666666666,14.75,0.125,1.0,1.0,0.25,0.5,0.5,0.125,0.5,0.5,0.5,1.0,,,,,0.75,0.5,0.520825,0.61695,,,,11.133333333333333,25.919999999999998,,,,,,,,,4.0,2.0,1.0,3.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,2.0,,2.0,,,1.0,,,,,,2.0,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2019,2018-19,False
