EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,OffFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,ShootingFouls,Fouls,PenaltyDefPoss,FTDefRebounds,DeadBallTurnovers,Travels,Offensive Fouls,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,LongMidRangeAssists,ThreePtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,Fg2aBlocked,BlockedShortMidRange,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,ShortMidRangePctAssisted,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,3SecondViolations,Charge Fouls,Loose Ball Fouls,SecondChanceTurnovers,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,BlockedLongMidRange,OffLongMidRangeReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SelfOReb,SelfORebPct,Blocked3s,BlockedCorner3,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffensiveGoaltends,HeaveAttempts,BlockedArc3,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
1626161-1627741-1627746-1627786-1627812,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, Troy Williams, Yogi Ferrell","Cauley-Stein, Hield, Labissiere, Williams, Ferrell",1626161-1627741-1627746-1627786-1627812,SAC,59.0,1,1.0,5.0,3.0,2.0,5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,122.03389830508475,1.0,8.666666666666666,16.5,8.666666666666666,16.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.5083833333333333,3.1,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627746-1628368-1628382,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, De'Aaron Fox, Justin Jackson","Cauley-Stein, Hield, Labissiere, Fox, Jackson",1626161-1627741-1627746-1628368-1628382,SAC,297.0,1,5.0,15.0,12.0,11.0,23,2.0,2.0,4.0,2.0,4.0,5.0,7.0,3.0,5.0,21.0,8.0,3.0,4.0,2.0,4.0,1.0,5.0,8.0,,,,,19.0,0.6,0.6,0.7142857142857143,0.7916666666666666,0.8076923076923077,0.4166666666666667,0.5,1.0,0.8333333333333334,,1.0,111.51515151515152,,11.5,14.454545454545455,10.166666666666666,13.454545454545455,0.16666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5833333333333334,0.5,0.5010541666666667,7.528571428571429,25.619999999999997,11.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,6.0,1.0,1.0,2.0,2.0,5.0,7.0,3.0,5.0,2.0,21.0,2.0,6.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,21.0,11.0,1.0,0.2,0.2,0.6666666666666666,0.6,0.7142857142857143,0.7916666666666666,0.3333333333333333,0.8076923076923077,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,0.5,0.5,0.16666666666666666,1.0,0.08333333333333333,1.0,0.3333333333333333,0.5,0.502625,0.5010541666666667,0.08333333333333333,0.14285714285714285,0.09523809523809523,1.0,0.9166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1627812-1628382,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, Yogi Ferrell, Justin Jackson","Cauley-Stein, Hield, Williams, Ferrell, Jackson",1626161-1627741-1627786-1627812-1628382,SAC,62.0,1,1.0,-2.0,2.0,3.0,5,1.0,1.0,1.0,,,1.0,2.0,,,2.0,,,,,1.0,,1.0,1.0,,,,,2.0,,,0.5,0.5,0.5,,,1.0,1.0,,1.0,116.1290322580645,,12.5,12.333333333333334,12.5,12.333333333333334,0.5,1.0,1.0,0.5,,,,0.5,,0.54825,6.6,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,2.0,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1627812-1628963,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, Yogi Ferrell, Marvin Bagley III","Cauley-Stein, Hield, Williams, Ferrell, Bagley III",1626161-1627741-1627786-1627812-1628963,SAC,69.0,1,1.0,1.0,3.0,3.0,6,1.0,1.0,,,1.0,1.0,1.0,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,,,,2.0,,,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,,0.5,0.5,,0.5,125.21739130434784,,6.666666666666667,16.333333333333332,6.666666666666667,14.666666666666666,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,1.0,,0.6894,1.5,23.95,3.0,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,,,,1.0,1.0,,2.0,,2.0,2.0,,1.0,,1.0,,,1.0,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,2.0,3.0,,1.0,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,,,,,,1.0,,,,,,0.3333333333333333,,,,,,0.3333333333333333,1.0,0.3333333333333333,,0.3333333333333333,,,0.6894,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1627812-202357,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, Yogi Ferrell, Nemanja Bjelica","Cauley-Stein, Hield, Williams, Ferrell, Bjelica",1626161-1627741-1627786-1627812-202357,SAC,270.0,2,4.0,-1.0,11.0,11.0,22,,1.0,,,1.0,1.0,2.0,2.0,4.0,12.0,2.0,3.0,1.0,,1.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,12.0,0.5,0.5,0.5,0.6666666666666666,0.75,0.6666666666666666,0.75,1.0,0.8,0.75,1.0,117.33333333333333,1.0,10.181818181818182,14.363636363636363,10.181818181818182,14.272727272727273,0.16666666666666666,,,,0.16666666666666666,,,0.8333333333333334,,0.525475,11.2,23.65,,,,,,1.0,1.0,2.0,3.0,,,,,,4.0,13.0,,,,,,,,,,,,3.0,,1.0,1.0,,1.0,,3.0,,,,,1.0,1.0,,1.0,,1.0,3.0,,2.0,,4.0,,,2.0,,,,,,,0.5,,,,,,0.3333333333333333,,,,,,,,,,,,0.16666666666666666,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,0.25,0.5,,,,2.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1628368-1628382,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Justin Jackson","Cauley-Stein, Hield, Williams, Fox, Jackson",1626161-1627741-1627786-1628368-1628382,SAC,328.0,3,5.0,5.0,12.0,14.0,26,4.0,5.0,1.0,3.0,4.0,6.0,7.0,3.0,5.0,23.0,6.0,3.0,4.0,3.0,1.0,3.0,4.0,5.0,,,,,21.0,0.6,0.6,0.8571428571428571,0.875,0.8846153846153846,0.4166666666666667,0.75,0.5,0.6666666666666666,,0.5,114.14634146341463,,11.75,13.357142857142858,11.75,13.285714285714286,0.4166666666666667,0.8,0.8,0.08333333333333333,0.3333333333333333,0.75,0.75,0.8333333333333334,0.75,0.5545958333333333,5.0,24.98,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,2.0,18.0,1.0,,,2.0,,,,,,,6.0,6.0,3.0,2.0,5.0,2.0,,2.0,12.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,3.0,,,,,,,,0.5,0.6,0.6666666666666666,,,,1.0,,,,1.0,,0.3333333333333333,,,1.0,,0.5,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,,,,0.6666666666666666,,,,,,,,0.5024,,0.07692307692307693,,0.08695652173913043,,,2.0,3.0,2.0,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1628368-1628963,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Marvin Bagley III","Cauley-Stein, Hield, Williams, Fox, Bagley III",1626161-1627741-1627786-1628368-1628963,SAC,382.0,2,6.0,5.0,12.0,12.0,24,3.0,5.0,2.0,2.0,5.0,4.0,8.0,2.0,5.0,15.0,4.0,,5.0,2.0,1.0,2.0,4.0,8.0,3.0,1.0,3.0,2.0,10.0,0.4,0.4,0.5,0.5384615384615384,0.5357142857142857,0.38461538461538464,0.3333333333333333,1.0,0.42857142857142855,,1.0,90.47120418848168,0.6666666666666666,18.083333333333332,13.75,16.25,13.166666666666666,0.38461538461538464,0.6,0.75,0.15384615384615385,0.38461538461538464,0.4,0.4,0.7692307692307693,0.4,0.4820846153846154,4.975,26.919999999999998,2.0,3.0,1.0,2.0,,1.0,1.0,,,,,2.0,1.0,1.0,1.0,10.0,2.0,2.0,,5.0,1.0,3.0,1.0,1.0,,5.0,4.0,6.0,2.0,2.0,4.0,2.0,,1.0,10.0,1.0,2.0,1.0,4.0,2.0,,2.0,,,,3.0,,5.0,,3.0,1.0,,2.0,,5.0,2.0,,0.5,0.5,1.0,1.0,0.3333333333333333,0.625,0.625,0.625,,0.5,0.6666666666666666,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,,0.3333333333333333,,,0.07692307692307693,1.0,1.0,,,,,1.0,0.5,0.5,0.5,,,0.25,1.0,0.50955,0.4611875,0.14285714285714285,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.16666666666666666,,3.0,2.0,1.0,3.0,2.0,,1.0,1.0,2.0,1.0,,1.0,,0.5,0.625,0.5,,1.0,0.5,0.5,,1.0,1.0,2.0,2.0,1.0,2.0,0.5,0.25,0.2,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1628368-202357,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Nemanja Bjelica","Cauley-Stein, Hield, Williams, Fox, Bjelica",1626161-1627741-1627786-1628368-202357,SAC,690.0,4,12.0,-2.0,25.0,29.0,54,7.0,8.0,2.0,,6.0,8.0,14.0,2.0,8.0,25.0,4.0,3.0,6.0,,4.0,7.0,14.0,16.0,,,,,23.0,0.25,0.25,0.5714285714285714,0.5,0.5208333333333334,0.36363636363636365,1.0,0.8,0.9166666666666666,1.0,0.8,112.69565217391305,,14.48,11.310344827586206,13.88,11.310344827586206,0.36363636363636365,0.875,0.875,0.09090909090909091,0.2727272727272727,,,0.7272727272727273,,0.5418681818181819,7.121428571428572,25.975,14.0,2.0,1.0,1.0,1.0,,4.0,2.0,2.0,1.0,1.0,1.0,,4.0,3.0,27.0,1.0,1.0,,2.0,2.0,6.0,1.0,5.0,3.0,10.0,12.0,3.0,6.0,1.0,7.0,,1.0,5.0,15.0,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,3.0,2.0,4.0,,4.0,,,,2.0,10.0,14.0,2.0,0.75,0.75,0.5,0.2,0.3333333333333333,0.3181818181818182,0.5,0.38461538461538464,0.6666666666666666,,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,1.0,,0.7142857142857143,0.5,0.5,0.18181818181818182,,,0.09090909090909091,1.0,1.0,0.5,,0.5,0.09090909090909091,1.0,0.09090909090909091,1.0,0.36363636363636365,,0.3977,0.4513772727272727,,,0.08,0.4,0.56,3.0,7.0,11.0,3.0,1.0,,,1.0,,,1.0,,,,1.0,0.5,,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,0.125,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1628368-202697,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Iman Shumpert","Cauley-Stein, Hield, Williams, Fox, Shumpert",1626161-1627741-1627786-1628368-202697,SAC,237.0,1,4.0,-4.0,8.0,9.0,17,2.0,3.0,3.0,,1.0,4.0,6.0,,1.0,8.0,4.0,,1.0,,1.0,1.0,2.0,4.0,,,,,6.0,,,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.5,1.0,0.6666666666666666,1.0,1.0,103.29113924050633,,17.375,10.88888888888889,14.5,10.88888888888889,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.14285714285714285,,,0.5714285714285714,,0.4570357142857143,4.816666666666666,26.1,,1.0,,,2.0,,,,,,,,,,,12.0,2.0,,,2.0,,,,,,,4.0,,2.0,,2.0,,,1.0,4.0,1.0,1.0,,2.0,1.0,1.0,,1.0,,1.0,3.0,,1.0,1.0,,,,,,,,,0.5,0.6666666666666666,,,,,0.5,,0.3333333333333333,,0.5,1.0,0.6666666666666666,,1.0,,,0.5,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,0.5666,,,,0.25,,,1.0,2.0,4.0,,2.0,,,,1.0,2.0,1.0,2.0,,,0.5,0.5,1.0,,,1.0,0.5,,,,,,,,,,,,,,,1.0,1.0,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
1626161-1627741-1627786-1628368-203992,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Bogdan Bogdanovic","Cauley-Stein, Hield, Williams, Fox, Bogdanovic",1626161-1627741-1627786-1628368-203992,SAC,83.0,1,1.0,3.0,3.0,3.0,6,1.0,1.0,,,1.0,2.0,2.0,,1.0,5.0,4.0,,1.0,,,1.0,1.0,1.0,,,,,5.0,,,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,,1.0,,,104.09638554216868,,18.333333333333332,9.333333333333334,18.333333333333332,9.333333333333334,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,0.6666666666666666,,0.5403833333333333,11.35,25.4,,,,,,1.0,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,True
