EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Charge Fouls,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyOffPossPct,PlusMinus,DefPoss,PenaltyDefPoss,OpponentPoints,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,FoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,AtRimFGA,DefTwoPtRebounds,Steals,BadPassSteals,BadPassTurnovers,ShootingFouls,DefTwoPtReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceOffPoss,SecondChanceAtRimFGA,SecondChanceCorner3FGA,FtPoints,SecondChanceFG2A,SecondChanceFG3A,OffThreePtRebounds,OffRebounds,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,FTDefRebounds,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PtsAssisted2s,TwoPtAssists,AtRimAssists,Assisted2sPct,NonPutbacksAssisted2sPct,DefAtRimReboundPct,AtRimPctAssisted,PenaltyCorner3FGA,PenaltyFG3A,LostBallSteals,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyFtPoints,PenaltyPoints,LostBallOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyTsPct,PenaltyPointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,Fg2aBlocked,PenaltyFg2Pct,PenaltyEfgPct,FG2APctBlocked,AtRimPctBlocked,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,ShortMidRangeFGM,PenaltyArc3FGM,PenaltyFG3M,PtsPutbacks,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,Travels,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockedShortMidRange,RecoveredBlocks,OffensiveGoaltends,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,PenaltyCorner3FGM,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,Fg3aBlocked,FTOffRebounds,BadPassOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,3SecondViolations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,DefensiveGoaltends,StepOutOfBoundsTurnovers,HeaveAttempts,team_id,year,season,team_vs
101109-1628390-201566-202693-203457,1610612760,"Raymond Felton, Terrance Ferguson, Russell Westbrook, Markieff Morris, Nerlens Noel","Felton, Ferguson, Westbrook, Morris, Noel",101109-1628390-201566-202693-203457,OKC,18.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,80.0,18.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-1628390-201566-203457-203924,1610612760,"Raymond Felton, Terrance Ferguson, Russell Westbrook, Nerlens Noel, Jerami Grant","Felton, Ferguson, Westbrook, Noel, Grant",101109-1628390-201566-203457-203924,OKC,10.0,1,,,1,,,,,,,144.0,,,,-3.0,1.0,1.0,3.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-1628390-201566-203500-203924,1610612760,"Raymond Felton, Terrance Ferguson, Russell Westbrook, Steven Adams, Jerami Grant","Felton, Ferguson, Westbrook, Adams, Grant",101109-1628390-201566-203500-203924,OKC,268.0,1,9.0,,19,,3.0,,1.0,,,102.08955223880596,14.333333333333334,14.333333333333334,,-1.0,10.0,4.0,12.0,13.9,13.1,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,11.0,2.0,9.0,2.0,2.0,3.0,3.0,2.0,1.0,9.0,3.0,3.0,3.0,3.0,3.0,1.0,11.0,1.0,1.0,1.0,0.3333333333333333,0.9166666666666666,0.9166666666666666,0.5,1.0,1.0,0.75,1.0,0.16666666666666666,0.3333333333333333,0.5,0.5,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,0.49360833333333337,15.200000000000001,24.933333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-201566-202331-202693-203457,1610612760,"Raymond Felton, Russell Westbrook, Paul George, Markieff Morris, Nerlens Noel","Felton, Westbrook, George, Morris, Noel",101109-201566-202331-202693-203457,OKC,89.0,2,3.0,,6,,1.0,,1.0,,,97.07865168539325,13.666666666666666,13.666666666666666,,-1.0,3.0,,3.0,16.0,16.0,1.0,,,,,1.0,,,1.0,1.0,,1.0,2.0,2.0,,,,,,,,,,1.0,1.0,1.0,,,2.0,,,,1.0,0.5,0.5,0.5,1.0,,1.0,,,,,,0.5,,,,,,,,1.0,,0.6428,1.1,22.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-201566-202331-202693-203924,1610612760,"Raymond Felton, Russell Westbrook, Paul George, Markieff Morris, Jerami Grant","Felton, Westbrook, George, Morris, Grant",101109-201566-202331-202693-203924,OKC,144.0,1,5.0,,9,,,,1.0,,,90.0,11.4,10.2,,,4.0,,2.0,21.75,21.75,2.0,,,,,1.0,,3.0,,2.0,,4.0,2.0,,,3.0,,,,,,,2.0,2.0,4.0,,,2.0,2.0,,,,,,0.14285714285714285,0.6666666666666666,,1.0,1.0,1.0,,,,,0.16666666666666666,,,,0.5,,,,1.0,,0.539825,2.2,25.425,,2.0,,,,,,,,0.3333333333333333,,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.14285714285714285,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-201566-202331-203457-203924,1610612760,"Raymond Felton, Russell Westbrook, Paul George, Nerlens Noel, Jerami Grant","Felton, Westbrook, George, Noel, Grant",101109-201566-202331-203457-203924,OKC,29.0,1,1.0,,2,,,,,,,99.3103448275862,28.0,23.0,,3.0,1.0,,,1.0,1.0,,,,,,,,,1.0,2.0,,,3.0,2.0,,,,,,,,,,1.0,2.0,,,1.0,,,,,0.5,0.5,0.75,,,,,,,,,,,,,,,,,,1.0,,0.44965,2.55,,1.0,2.0,,,,,,,,1.0,0.5,0.5,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,0.5,0.5,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,0.3777,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-201566-202331-203500-203924,1610612760,"Raymond Felton, Russell Westbrook, Paul George, Steven Adams, Jerami Grant","Felton, Westbrook, George, Adams, Grant",101109-201566-202331-203500-203924,OKC,72.0,1,2.0,,4,,,,,,,80.0,8.5,8.5,,2.0,2.0,,2.0,27.5,27.5,1.0,,,,,,,,2.0,2.0,,,4.0,2.0,,,,,1.0,,,2.0,,1.0,1.0,,,,4.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,0.6703,0.9,,2.0,2.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-201566-202693-203457-203471,1610612760,"Raymond Felton, Russell Westbrook, Markieff Morris, Nerlens Noel, Dennis Schroder","Felton, Westbrook, Morris, Noel, Schroder",101109-201566-202693-203457-203471,OKC,110.0,2,4.0,1.0,9,,,,1.0,,1.0,117.81818181818183,12.5,12.5,0.25,-3.0,5.0,2.0,7.0,12.0,12.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,2.0,4.0,2.0,,1.0,,,,,,,,1.0,1.0,,,1.0,4.0,,,,1.0,0.3333333333333333,0.5,0.6666666666666666,,,1.0,,,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,,,,0.6666666666666666,,0.5336500000000001,19.4,24.4,,,1.0,1.0,,,1.0,1.0,,,,,,,,2.0,,,,,,2.0,1.0,,,,,,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,0.5946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-201566-202693-203471-203500,1610612760,"Raymond Felton, Russell Westbrook, Markieff Morris, Dennis Schroder, Steven Adams","Felton, Westbrook, Morris, Schroder, Adams",101109-201566-202693-203471-203500,OKC,40.0,1,1.0,,2,,1.0,,1.0,,,72.0,14.0,14.0,,-2.0,1.0,,2.0,26.0,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
101109-201566-203457-203471-203924,1610612760,"Raymond Felton, Russell Westbrook, Nerlens Noel, Dennis Schroder, Jerami Grant","Felton, Westbrook, Noel, Schroder, Grant",101109-201566-203457-203471-203924,OKC,159.0,1,5.0,1.0,9,1.0,1.0,,,,1.0,81.50943396226415,15.0,15.0,0.2,1.0,4.0,,6.0,21.0,20.75,3.0,,,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,,,2.0,7.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.875,0.3333333333333333,,0.5,0.3333333333333333,0.5,,0.3333333333333333,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,0.5582166666666667,7.95,24.9,1.0,1.0,,,,,,,,0.3333333333333333,1.0,1.0,,,,2.0,,,,,,2.0,1.0,,,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2019,2018-19,False
