EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,Arc3FGA,FG2A,FG3A,OpponentPoints,NonHeaveArc3FGA,Fg2aBlocked,DefTwoPtRebounds,DefRebounds,Rebounds,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceArc3FGA,FG2M,Points,SecondChanceFG3A,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,FtPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyArc3FGA,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,OffThreePtRebounds,PenaltyTurnovers,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffAtRimReboundPct,DefAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,ShortMidRangeFGM,Corner3FGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChancePointsPct,SecondChanceFtPoints,LongMidRangeAssists,Travels,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,BlocksRecoveredPct,LongMidRangePctAssisted,Offensive Fouls,Blocked3s,BlockedArc3,DefLongMidRangeReboundPct,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,PtsUnassisted3s,Charge Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,DefensiveGoaltends,LongMidRangePctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedLongMidRange,3SecondViolations,HeaveAttempts,BlockedCorner3,Arc3PctBlocked,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
1626161-1627741-1627746-1627786-1627812,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, Troy Williams, Yogi Ferrell","Cauley-Stein, Hield, Labissiere, Williams, Ferrell",1626161-1627741-1627746-1627786-1627812,SAC,59.0,1,1.0,-5.0,2.0,3.0,5,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,122.03389830508475,16.5,8.666666666666666,16.5,8.666666666666666,0.5,0.5,1.0,0.45135,3.9,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,False
1626161-1627741-1627746-1628368-1628382,1610612758,"Willie Cauley-Stein, Buddy Hield, Skal Labissiere, De'Aaron Fox, Justin Jackson","Cauley-Stein, Hield, Labissiere, Fox, Jackson",1626161-1627741-1627746-1628368-1628382,SAC,297.0,1,5.0,-15.0,11.0,12.0,23,2.0,3.0,5.0,4.0,21.0,3.0,,1.0,3.0,4.0,0.4444444444444444,,,0.5,0.5,0.5,111.51515151515152,14.454545454545455,11.5,13.454545454545455,10.166666666666666,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.52295,7.4,25.575,11.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,6.0,1.0,0.6666666666666666,0.6666666666666666,0.6,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,0.16666666666666666,0.5,0.5,0.16666666666666666,1.0,1.0,1.0,0.2222222222222222,0.1111111111111111,1.0,1.0,0.1111111111111111,1.0,0.5583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,False
1626161-1627741-1627786-1627812-1628382,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, Yogi Ferrell, Justin Jackson","Cauley-Stein, Hield, Williams, Ferrell, Jackson",1626161-1627741-1627786-1627812-1628382,SAC,62.0,1,1.0,2.0,3.0,2.0,5,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,0.5,,,1.0,1.0,1.0,116.1290322580645,12.333333333333334,12.5,12.333333333333334,12.5,,0.5,0.5,0.479625,16.7,25.7,,,,,1.0,1.0,,,1.0,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,1.0,0.5,0.6666666666666666,,,,,,,,,,,,,0.5,1.0,1.0,,,,2.0,1.0,2.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,False
1626161-1627741-1627786-1627812-1628963,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, Yogi Ferrell, Marvin Bagley III","Cauley-Stein, Hield, Williams, Ferrell, Bagley III",1626161-1627741-1627786-1627812-1628963,SAC,69.0,1,1.0,-1.0,3.0,3.0,6,,2.0,,2.0,2.0,2.0,,,2.0,3.0,1.0,,,,1.0,,125.21739130434784,16.333333333333332,6.666666666666667,14.666666666666666,6.666666666666667,,1.0,1.0,0.582825,,24.5,3.0,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,2.0,,1.0,,,,,2.0,,,,2.0,2.0,,,,1.0,,,,,,,1.0,,,1.0,0.5,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,0.5,0.5,1.0,1.0,0.582825,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,False
1626161-1627741-1627786-1627812-202357,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, Yogi Ferrell, Nemanja Bjelica","Cauley-Stein, Hield, Williams, Ferrell, Bjelica",1626161-1627741-1627786-1627812-202357,SAC,270.0,2,4.0,1.0,11.0,11.0,22,6.0,3.0,7.0,3.0,12.0,3.0,1.0,1.0,3.0,4.0,0.3,0.14285714285714285,0.16666666666666666,1.0,1.0,,117.33333333333333,14.363636363636363,10.181818181818182,14.272727272727273,10.181818181818182,0.6,0.3,0.9,0.510685,4.0285714285714285,25.266666666666666,,1.0,2.0,,1.0,1.0,,,3.0,13.0,,4.0,2.0,2.0,4.0,2.0,10.0,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,2.0,2.0,2.0,,13.0,,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.6,0.65,0.5,,0.25,1.0,0.2,,1.0,0.25,0.3333333333333333,0.4,1.0,,0.1,1.0,1.0,,,0.6097,1.0,4.0,2.0,2.0,0.2,0.2857142857142857,5.0,1.0,1.0,,5.0,,2.0,,5.0,5.0,,,1.0,0.3333333333333333,0.5350833333333334,0.38461538461538464,0.45454545454545453,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.5,0.8333333333333334,0.8333333333333334,0.25,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,False
1626161-1627741-1627786-1628368-1628382,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Justin Jackson","Cauley-Stein, Hield, Williams, Fox, Jackson",1626161-1627741-1627786-1628368-1628382,SAC,328.0,3,5.0,-5.0,14.0,12.0,26,4.0,3.0,9.0,4.0,23.0,3.0,,,2.0,4.0,0.3076923076923077,,,,0.6666666666666666,,114.14634146341463,13.357142857142858,11.75,13.285714285714286,11.75,0.3076923076923077,0.23076923076923078,0.6153846153846154,0.5258423076923077,5.655555555555556,24.45,,2.0,4.0,3.0,,2.0,1.0,,5.0,18.0,,4.0,6.0,2.0,4.0,1.0,10.0,1.0,2.0,,2.0,,,,,1.0,,1.0,2.0,,3.0,1.0,1.0,,16.0,,0.4,0.5,0.5555555555555556,0.6153846153846154,0.6923076923076923,0.3333333333333333,,0.25,1.0,0.3333333333333333,,1.0,,1.0,1.0,0.25,0.23076923076923078,0.15384615384615385,,,0.07692307692307693,,0.5145,2.0,3.0,2.0,2.0,0.15384615384615385,0.2222222222222222,2.0,,,1.0,3.0,1.0,,,3.0,2.0,0.5,0.5,1.0,,0.34435,0.16666666666666666,0.14285714285714285,1.0,,,1.0,,2.0,1.0,1.0,2.0,,6.0,1.0,2.0,1.0,,2.0,1.0,0.5,,0.5,0.5,0.5,0.75,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,0.3333333333333333,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,False
1626161-1627741-1627786-1628368-1628963,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Marvin Bagley III","Cauley-Stein, Hield, Williams, Fox, Bagley III",1626161-1627741-1627786-1628368-1628963,SAC,382.0,2,6.0,-5.0,12.0,12.0,24,3.0,1.0,9.0,2.0,15.0,1.0,3.0,1.0,4.0,8.0,0.18181818181818182,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,,90.47120418848168,13.75,18.083333333333332,13.166666666666666,16.25,0.2727272727272727,0.09090909090909091,0.45454545454545453,0.4409454545454546,5.944444444444445,24.75,2.0,2.0,1.0,5.0,1.0,1.0,1.0,,3.0,10.0,,2.0,4.0,1.0,2.0,,5.0,4.0,2.0,1.0,4.0,1.0,,,,2.0,1.0,,2.0,2.0,4.0,2.0,5.0,,9.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4090909090909091,0.38461538461538464,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.5,0.6666666666666666,0.25,0.3333333333333333,0.5,,0.45454545454545453,0.09090909090909091,1.0,1.0,0.09090909090909091,,0.4747,1.0,3.0,4.0,,,,2.0,,,1.0,1.0,,,,1.0,2.0,,,,,0.41313333333333335,0.1,0.16666666666666666,1.0,,1.0,,,1.0,2.0,,3.0,,3.0,,1.0,,,,1.0,0.5,,0.5,,,0.1,1.0,0.5,,,,0.5,0.3333333333333333,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,0.16666666666666666,,0.2,0.3333333333333333,,1.0,1.0,1.0,,0.1,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.4,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,False
1626161-1627741-1627786-1628368-202357,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Nemanja Bjelica","Cauley-Stein, Hield, Williams, Fox, Bjelica",1626161-1627741-1627786-1628368-202357,SAC,690.0,4,12.0,2.0,29.0,25.0,54,9.0,5.0,17.0,5.0,25.0,5.0,,5.0,10.0,11.0,0.22727272727272727,,,0.8333333333333334,0.8333333333333334,,112.69565217391305,11.310344827586206,14.48,11.310344827586206,13.88,0.4090909090909091,0.22727272727272727,0.6363636363636364,0.5362022727272727,8.1,26.360000000000003,14.0,1.0,6.0,2.0,4.0,6.0,,,10.0,27.0,,10.0,10.0,5.0,5.0,3.0,10.0,,5.0,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,3.0,,4.0,,25.0,2.0,0.5,0.5555555555555556,0.5882352941176471,0.45454545454545453,0.5,0.3333333333333333,,,0.8333333333333334,0.08333333333333333,,0.8333333333333334,,0.6666666666666666,0.6666666666666666,0.5,0.09090909090909091,0.2727272727272727,0.6666666666666666,0.6666666666666666,,,,7.0,7.0,11.0,3.0,0.125,0.15789473684210525,11.0,,,4.0,12.0,1.0,2.0,,10.0,10.0,0.2,0.2,,,0.5401,0.4444444444444444,0.3793103448275862,1.0,2.0,3.0,,,,1.0,4.0,6.0,,,,,,,1.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1.0,,,,1.0,0.5,0.6666666666666666,,,1.0,,,1.0,2.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,0.07407407407407407,,2.0,,3.0,,,,1.0,1.0,1.0,,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,False
1626161-1627741-1627786-1628368-202697,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Iman Shumpert","Cauley-Stein, Hield, Williams, Fox, Shumpert",1626161-1627741-1627786-1628368-202697,SAC,237.0,1,4.0,4.0,9.0,8.0,17,3.0,2.0,6.0,2.0,8.0,2.0,,1.0,1.0,2.0,0.25,,,0.5,0.3333333333333333,1.0,103.29113924050633,10.88888888888889,17.375,10.88888888888889,14.5,0.375,0.25,0.625,0.5361375,8.016666666666667,25.35,,1.0,2.0,1.0,2.0,2.0,,,4.0,12.0,,6.0,2.0,3.0,4.0,1.0,9.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,10.0,,0.75,1.0,0.6666666666666666,0.6875,0.75,0.5,,0.5,,0.3333333333333333,1.0,,,0.6666666666666666,0.6666666666666666,0.5,0.125,0.25,1.0,1.0,,,0.6184,1.0,2.0,1.0,,0.125,,4.0,1.0,1.0,,2.0,,1.0,,2.0,4.0,,,,0.3333333333333333,0.59725,0.16666666666666666,0.4444444444444444,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,2.0,,3.0,1.0,1.0,1.0,,,1.0,0.5,,0.5,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.5,1.0,1.0,0.6666666666666666,0.5,,0.5,1.0,,,1.0,2.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,0.16666666666666666,,2.0,,,,,,,,,,,1.0,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,False
1626161-1627741-1627786-1628368-203992,1610612758,"Willie Cauley-Stein, Buddy Hield, Troy Williams, De'Aaron Fox, Bogdan Bogdanovic","Cauley-Stein, Hield, Williams, Fox, Bogdanovic",1626161-1627741-1627786-1628368-203992,SAC,83.0,1,1.0,-3.0,3.0,3.0,6,1.0,,2.0,,5.0,,,,1.0,1.0,,,,,1.0,,104.09638554216868,9.333333333333334,18.333333333333332,9.333333333333334,18.333333333333332,0.5,,0.5,0.55135,4.65,,,,1.0,1.0,,,,,1.0,2.0,,2.0,,1.0,1.0,1.0,2.0,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,2.0,,1.0,1.0,0.5,0.5,0.5,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,3.0,,,,2.0,,1.0,,2.0,3.0,,,,,0.55135,1.0,1.0,,1.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2019,2018-19,False
