EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,DefThreePtRebounds,DefRebounds,Rebounds,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffThreePtRebounds,OffRebounds,FirstChancePoints,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,LiveBallTurnoverPct,SelfORebPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DeadBallTurnovers,Offensive Fouls,Assisted3sPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Arc3PctAssisted,SecondChanceShotQualityAvg,AtRimFGM,SecondChanceAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,FtPoints,SecondChanceFG2M,SecondChancePoints,PtsAssisted2s,PtsPutbacks,TwoPtAssists,AtRimAssists,Steals,LostBallSteals,Travels,Blocked2s,BlockedShortMidRange,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimAccuracy,SecondChancePointsPct,BadPassOutOfBoundsTurnovers,PenaltyOffPoss,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,Offensive Fouls Drawn,DefensiveGoaltends,SecondChanceFg3Pct,PenaltyFg2Pct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFtPoints,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTDefRebounds,BadPassSteals,LostBallTurnovers,Charge Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,DefFTReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,PenaltyFtPoints,HeaveAttempts,BlockedAtRim,ShortMidRangePctBlocked,PenaltyTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyCorner3FGM,PenaltyCorner3FGA,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceCorner3FGM,BlockedLongMidRange,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,LongMidRangePctBlocked,Technical Free Throw Trips,FTOffRebounds,OffFTReboundPct,StepOutOfBoundsTurnovers,BlockedCorner3,3SecondViolations,Clear Path Fouls,team_id,year,season,team_vs
1627735-1627774-1628380-1628403-203917,1610612757,"Wade Baldwin IV, Jake Layman, Zach Collins, Caleb Swanigan, Nik Stauskas","Baldwin IV, Layman, Collins, Swanigan, Stauskas",1627735-1627774-1628380-1628403-203917,POR,23.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.60869565217391,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1627735-1627774-1628380-203086-203468,1610612757,"Wade Baldwin IV, Jake Layman, Zach Collins, Meyers Leonard, CJ McCollum","Baldwin IV, Layman, Collins, Leonard, McCollum",1627735-1627774-1628380-203086-203468,POR,96.0,1,3.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,,90.0,21.333333333333332,21.333333333333332,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,5.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,5.0,0.5,0.5,0.5,0.625,0.625,0.5,1.0,1.0,1.0,1.0,10.666666666666666,10.333333333333334,0.25,0.25,1.0,1.0,0.5,0.5,0.5,1.0,0.75,0.5,0.3623375,6.05,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1627735-1627774-1628380-203086-203552,1610612757,"Wade Baldwin IV, Jake Layman, Zach Collins, Meyers Leonard, Seth Curry","Baldwin IV, Layman, Collins, Leonard, Curry",1627735-1627774-1628380-203086-203552,POR,162.0,1,5.0,,10.0,,,1.0,,,,88.88888888888889,19.8,19.8,3.0,5.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,6.0,,2.0,3.0,2.0,1.0,1.0,1.0,5.0,0.5,0.5,0.5,0.625,0.5,0.5,1.0,0.5,1.0,,12.6,12.0,0.25,0.25,1.0,1.0,0.5,0.5,0.5,,0.75,0.5,0.5196375,5.25,24.9,-1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1627735-1627774-1628380-203468-203994,1610612757,"Wade Baldwin IV, Jake Layman, Zach Collins, CJ McCollum, Jusuf Nurkic","Baldwin IV, Layman, Collins, McCollum, Nurkic",1627735-1627774-1628380-203468-203994,POR,103.0,1,3.0,3.0,7.0,1.0,3.0,4.0,1.0,1.0,1.0,97.86407766990291,17.0,17.0,2.0,4.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,,1.0,2.0,,1.0,1.0,,1.0,5.0,1.0,1.0,0.3333333333333333,0.625,0.625,0.25,,0.5,,,13.0,12.25,0.25,0.5,0.5,0.5,0.25,1.0,1.0,,0.5,1.0,0.4775375,5.366666666666667,26.6,5.0,,,,1.0,,1.0,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1627735-1627774-202323-203086-203917,1610612757,"Wade Baldwin IV, Jake Layman, Evan Turner, Meyers Leonard, Nik Stauskas","Baldwin IV, Layman, Turner, Leonard, Stauskas",1627735-1627774-202323-203086-203917,POR,256.0,1,9.0,,19.0,1.0,3.0,4.0,1.0,1.0,1.0,106.875,15.444444444444445,15.444444444444445,4.0,10.0,1.0,3.0,1.0,,1.0,1.0,3.0,4.0,5.0,1.0,3.0,13.0,12.0,1.0,6.0,3.0,3.0,1.0,1.0,1.0,11.0,0.3333333333333333,0.3333333333333333,0.8,0.6875,0.7222222222222222,0.375,0.5,0.3333333333333333,0.5,,11.7,11.5,0.375,0.125,,,0.375,0.3333333333333333,0.3333333333333333,1.0,0.75,0.3333333333333333,0.59090625,6.959999999999999,24.866666666666664,1.0,,1.0,1.0,2.0,,,1.0,2.0,1.0,,,1.0,0.5,,0.1111111111111111,0.16666666666666666,,,,1.0,,2.0,,2.0,1.0,,,,,1.0,,,1.0,1.0,,,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.125,1.0,1.0,1.0,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1627735-1627774-203086-203090-203552,1610612757,"Wade Baldwin IV, Jake Layman, Meyers Leonard, Maurice Harkless, Seth Curry","Baldwin IV, Layman, Leonard, Harkless, Curry",1627735-1627774-203086-203090-203552,POR,121.0,2,5.0,,10.0,3.0,3.0,3.0,1.0,1.0,,119.00826446280992,12.6,12.6,2.0,5.0,,1.0,,,,1.0,3.0,1.0,1.0,1.0,3.0,5.0,2.0,,,,3.0,1.0,,,5.0,0.3333333333333333,0.3333333333333333,1.0,0.625,0.625,0.75,,,,1.0,11.6,11.6,0.25,,,,0.75,0.3333333333333333,0.3333333333333333,,1.0,0.3333333333333333,0.5659875,0.6,26.3,3.0,,,,1.0,,,1.0,,,,,,,,,,3.0,,1.0,2.0,1.0,5.0,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,2.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1627735-1628380-202323-203086-203917,1610612757,"Wade Baldwin IV, Zach Collins, Evan Turner, Meyers Leonard, Nik Stauskas","Baldwin IV, Collins, Turner, Leonard, Stauskas",1627735-1628380-202323-203086-203917,POR,146.0,1,5.0,3.0,9.0,1.0,4.0,5.0,1.0,1.0,,88.76712328767124,20.2,20.2,2.0,4.0,1.0,2.0,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,9.0,4.0,1.0,2.0,6.0,2.0,2.0,,1.0,7.0,1.0,1.0,0.5,1.0,1.125,0.5,,1.0,,1.0,11.25,11.25,0.5,,,,0.5,1.0,1.0,1.0,1.0,1.0,0.6034,0.45,24.95,5.0,,,,1.0,,1.0,2.0,1.0,,,,1.0,,,0.25,,,,,,,,1.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,0.5986,1.0,1.0,,,1.0,1.0,2.0,,2.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.5,0.5,,,,,1.0,0.2222222222222222,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.5,1.5,1.0,1.0,0.42105,0.5,0.3333333333333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1627735-202329-203081-203086-203468,1610612757,"Wade Baldwin IV, Al-Farouq Aminu, Damian Lillard, Meyers Leonard, CJ McCollum","Baldwin IV, Aminu, Lillard, Leonard, McCollum",1627735-202329-203081-203086-203468,POR,16.0,1,1.0,,1.0,,,,,,,90.0,16.0,16.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1627746-1627774-1628380-1629014-1629018,1610612757,"Skal Labissiere, Jake Layman, Zach Collins, Anfernee Simons, Gary Trent Jr.","Labissiere, Layman, Collins, Simons, Trent Jr.",1627746-1627774-1628380-1629014-1629018,POR,357.0,1,12.0,2.0,24.0,1.0,4.0,8.0,0.5,0.6666666666666666,,96.80672268907563,17.333333333333332,16.166666666666668,6.0,12.0,3.0,2.0,1.0,2.0,3.0,3.0,6.0,5.0,9.0,3.0,6.0,21.0,15.0,2.0,8.0,3.0,6.0,3.0,1.0,4.0,16.0,0.5,0.5,0.5555555555555556,0.6333333333333333,0.65625,0.4,0.3333333333333333,0.5714285714285714,0.3333333333333333,1.0,12.416666666666666,10.666666666666666,0.13333333333333333,0.2,0.6666666666666666,0.6666666666666666,0.4,0.5,0.5,0.25,0.5333333333333333,0.5,0.48097,10.955555555555556,26.71666666666667,6.0,,,,,1.0,2.0,3.0,2.0,1.0,,,,,,0.0625,0.1,6.0,,2.0,3.0,2.0,8.0,3.0,3.0,,,0.6666666666666666,,,0.75,0.75,,1.0,0.5,0.6666666666666666,0.5299166666666667,2.0,1.0,1.0,4.0,2.0,1.0,5.0,2.0,,1.0,1.0,,,,,,,0.2,0.2,0.5,0.625,0.625,,1.0,1.0,0.5,0.26666666666666666,0.25,0.25,1.0,0.23809523809523808,,2.0,1.0,1.0,1.0,1.0,5.0,,,,,,5.0,2.0,1.0,0.625,0.625,0.25,1.0,0.501875,,0.23809523809523808,0.16666666666666666,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,0.5,0.5,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
1627746-1627774-1629014-1629018-203086,1610612757,"Skal Labissiere, Jake Layman, Anfernee Simons, Gary Trent Jr., Meyers Leonard","Labissiere, Layman, Simons, Trent Jr., Leonard",1627746-1627774-1629014-1629018-203086,POR,2078.0,2,72.0,18.0,143.0,7.0,20.0,28.0,0.875,0.7083333333333334,1.0,99.09528392685274,15.86111111111111,15.694444444444445,35.0,71.0,5.0,18.0,3.0,8.0,12.0,11.0,26.0,23.0,35.0,14.0,33.0,95.0,92.0,4.0,24.0,12.0,26.0,11.0,1.0,8.0,85.0,0.42424242424242425,0.42424242424242425,0.6571428571428571,0.6470588235294118,0.6597222222222222,0.4852941176470588,0.05263157894736842,0.25806451612903225,,0.8571428571428571,13.183098591549296,12.605633802816902,0.2647058823529412,0.17647058823529413,0.6666666666666666,0.6666666666666666,0.38235294117647056,0.4230769230769231,0.4230769230769231,0.42857142857142855,0.75,0.4230769230769231,0.5438308823529412,6.56,25.33939393939394,3.0,1.0,4.0,3.0,7.0,8.0,12.0,10.0,10.0,6.0,,,,0.5714285714285714,0.034482758620689655,0.08333333333333333,0.15384615384615385,30.0,2.0,10.0,21.0,7.0,52.0,7.0,10.0,3.0,,0.7142857142857143,0.05714285714285714,0.1111111111111111,0.625,0.5833333333333334,0.6666666666666666,0.42857142857142855,0.75,0.6363636363636364,0.54405,12.0,1.0,3.0,5.0,7.0,1.0,10.0,22.0,2.0,11.0,7.0,5.0,2.0,1.0,,,,0.4782608695652174,0.5,0.25,0.5714285714285714,0.625,,0.6666666666666666,0.75,0.5833333333333334,0.07352941176470588,0.6,0.6,0.3333333333333333,0.10526315789473684,1.0,2.0,,2.0,,2.0,,,,,,,,2.0,,,,1.0,,0.41175,,,0.028169014084507043,,,2.0,2.0,2.0,3.0,,,2.0,,0.6666666666666666,,0.5,0.5,0.8,,0.2857142857142857,1.0,1.0,,,3.0,7.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,0.25,0.375,0.3333333333333333,0.10294117647058823,0.42857142857142855,0.42857142857142855,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2019,2018-19,True
