EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,FTDefRebounds,Steals,BadPassSteals,DefFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyFtPoints,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangeAssists,OffThreePtRebounds,Travels,SecondChanceTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangePctAssisted,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LiveBallTurnovers,LostBallTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,Fg2aBlocked,BlockedShortMidRange,PenaltyFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,DefCorner3ReboundPct,Corner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,Charge Fouls,Loose Ball Fouls,Offensive Fouls Drawn,SecondChanceFtPoints,HeaveAttempts,LostBallSteals,BadPassTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,Corner3FGM,Corner3Assists,StepOutOfBoundsTurnovers,Technical Free Throw Trips,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,Blocked3s,BlockedArc3,OffensiveGoaltends,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,BlockedLongMidRange,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,BlockedCorner3,HeaveMakes,team_id,year,season,team_vs
1626167-1627734-1628410-1628988-201936,1610612754,"Myles Turner, Domantas Sabonis, Edmond Sumner, Aaron Holiday, Tyreke Evans","Turner, Sabonis, Sumner, Holiday, Evans",1626167-1627734-1628410-1628988-201936,IND,342.0,2,6.0,-12.0,10.0,11.0,6.0,3.0,2.0,21.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,8.0,3.0,1.0,7.0,19.0,1.0,3.0,1.0,2.0,3.0,6.0,2.0,6.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,5.0,6.0,6.0,0.6666666666666666,1.0,0.375,0.3333333333333333,0.5,0.2727272727272727,0.25,0.375,0.2916666666666667,0.25,0.375,0.2727272727272727,0.5,0.6666666666666666,0.6,0.5,0.6,0.42857142857142855,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.14285714285714285,88.42105263157895,15.8,16.727272727272727,13.1,16.545454545454547,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,0.18181818181818182,0.5,0.5,1.0,0.2727272727272727,0.2727272727272727,0.5,0.5,0.25,0.375,0.6666666666666666,0.25,0.5454545454545454,0.4767454545454546,0.5176,0.4781375,0.16666666666666666,0.2222222222222222,0.2857142857142857,0.8571428571428571,8.5875,25.46666666666667,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2019,2018-19,False
1626167-1627734-1628410-1628988-202709,1610612754,"Myles Turner, Domantas Sabonis, Edmond Sumner, Aaron Holiday, Cory Joseph","Turner, Sabonis, Sumner, Holiday, Joseph",1626167-1627734-1628410-1628988-202709,IND,292.0,2,5.0,1.0,9.0,10.0,3.0,3.0,1.0,19.0,2.0,2.0,,,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4.0,6.0,4.0,,8.0,7.0,,,1.0,,2.0,3.0,1.0,4.0,,8.0,,4.0,,,,,,1.0,,2.0,1.0,4.0,1.0,5.0,,,,,,,,1.0,1.0,,,,,8.0,4.0,3.0,,,0.6666666666666666,,0.6666666666666666,0.4,,0.5,0.4,,0.5,0.4,,1.0,0.5,1.0,1.0,0.16666666666666666,,,0.5,1.0,,1.0,,93.69863013698631,16.22222222222222,14.6,15.555555555555555,14.6,0.2,1.0,1.0,,0.1,1.0,1.0,,0.3,0.4,,,1.0,0.25,1.0,0.25,0.6,0.517285,0.5754,0.49295,,,,0.5,10.716666666666667,27.675,0.3333333333333333,1.0,1.0,2.0,2.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2019,2018-19,False
1626167-1627734-1628410-201936-201954,1610612754,"Myles Turner, Domantas Sabonis, Edmond Sumner, Tyreke Evans, Darren Collison","Turner, Sabonis, Sumner, Evans, Collison",1626167-1627734-1628410-201936-201954,IND,53.0,1,1.0,3.0,2.0,2.0,2.0,,,4.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,3.0,,,,,,1.0,1.0,,3.0,,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,2.0,,,3.0,3.0,2.0,,,1.0,,1.0,1.0,,1.0,0.75,,0.75,,,1.0,,,1.0,,,,,,,,,108.67924528301887,8.0,18.5,8.0,18.5,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,0.553,,0.553,,,,1.0,2.7,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2019,2018-19,False
1626167-1627734-1628410-201954-202709,1610612754,"Myles Turner, Domantas Sabonis, Edmond Sumner, Darren Collison, Cory Joseph","Turner, Sabonis, Sumner, Collison, Joseph",1626167-1627734-1628410-201954-202709,IND,137.0,1,2.0,-3.0,5.0,4.0,5.0,,1.0,9.0,,1.0,,,,1.0,,,1.0,1.0,,1.0,1.0,2.0,1.0,,2.0,5.0,,,,,1.0,2.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,,2.0,,,,1.0,1.0,1.0,2.0,,,2.0,,2.0,2.0,1.0,1.0,,,,,,2.0,2.0,5.0,1.0,1.0,0.5,,0.5,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,1.0,,,1.0,0.5,,,,,,,,94.59854014598541,15.0,15.5,13.0,15.5,0.3333333333333333,,,,,,,,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,0.3333333333333333,0.6666666666666666,0.5633,,0.5633,,,,1.0,9.15,26.8,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2019,2018-19,False
1626167-1627734-1628988-201936-202709,1610612754,"Myles Turner, Domantas Sabonis, Aaron Holiday, Tyreke Evans, Cory Joseph","Turner, Sabonis, Holiday, Evans, Joseph",1626167-1627734-1628988-201936-202709,IND,132.0,1,2.0,,5.0,5.0,,,,10.0,,,,,,,,,3.0,1.0,,,1.0,3.0,1.0,,5.0,5.0,,,,,,,,,,2.0,,1.0,,1.0,,,3.0,,,1.0,1.0,2.0,,2.0,,,,,1.0,,,,,,,,,5.0,,,,,0.3333333333333333,,,0.625,,,0.625,,,0.25,,1.0,,1.0,1.0,,,,,,,1.0,,109.09090909090908,14.2,12.2,14.2,12.2,,,,,,,,,0.75,0.25,,,,,,,0.25,0.4483125,,,,,,,16.966666666666665,29.0,,1.0,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,1.0,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2019,2018-19,False
1626167-1627734-1628988-201936-203926,1610612754,"Myles Turner, Domantas Sabonis, Aaron Holiday, Tyreke Evans, Doug McDermott","Turner, Sabonis, Holiday, Evans, McDermott",1626167-1627734-1628988-201936-203926,IND,426.0,4,7.0,-8.0,15.0,15.0,9.0,11.0,1.0,30.0,1.0,2.0,,,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,8.0,3.0,4.0,15.0,23.0,,,1.0,,2.0,3.0,2.0,9.0,8.0,,,2.0,4.0,4.0,1.0,2.0,8.0,1.0,,2.0,1.0,4.0,1.0,5.0,,,,,2.0,2.0,,,4.0,,7.0,1.0,4.0,15.0,9.0,9.0,1.0,1.0,0.5,,0.6666666666666666,0.5,,0.7,0.5357142857142857,,0.6428571428571429,0.2727272727272727,,1.0,0.25,0.6666666666666666,0.75,0.16666666666666666,,1.0,,1.0,,0.5,,101.40845070422536,14.6,13.8,14.266666666666667,13.666666666666666,0.18181818181818182,0.5,0.5,1.0,0.2727272727272727,0.6666666666666666,1.0,1.0,0.2727272727272727,0.18181818181818182,,,1.0,0.2,1.0,0.2,0.45454545454545453,0.4835090909090909,0.4707,0.49428,0.2857142857142857,0.36363636363636365,,0.6,10.5125,25.2,0.6,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,2.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,,2.0,2.0,,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,,0.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,0.125,0.3333333333333333,1.0,0.09090909090909091,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2019,2018-19,False
1626167-1627734-1628988-202709-202711,1610612754,"Myles Turner, Domantas Sabonis, Aaron Holiday, Cory Joseph, Bojan Bogdanovic","Turner, Sabonis, Holiday, Joseph, Bogdanovic",1626167-1627734-1628988-202709-202711,IND,253.0,2,4.0,-4.0,10.0,9.0,3.0,,,19.0,1.0,2.0,,,1.0,1.0,,1.0,2.0,1.0,,,1.0,5.0,2.0,4.0,6.0,10.0,,,,,1.0,1.0,1.0,2.0,,2.0,,1.0,,,,,,,,2.0,2.0,4.0,,4.0,,,1.0,,1.0,1.0,,2.0,4.0,,4.0,,2.0,6.0,2.0,3.0,,,0.2,,1.0,0.14285714285714285,,0.5,0.3333333333333333,,0.5,0.2857142857142857,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,108.14229249011858,13.5,13.11111111111111,13.5,13.11111111111111,0.2857142857142857,0.5,0.5,,0.14285714285714285,,,,0.2857142857142857,0.14285714285714285,,,,0.5,1.0,,0.5714285714285714,0.47826428571428575,,0.45255,0.2222222222222222,0.2857142857142857,,0.3333333333333333,8.24,24.35,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,0.14285714285714285,0.5,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2019,2018-19,False
1626167-1627734-1628988-202709-203506,1610612754,"Myles Turner, Domantas Sabonis, Aaron Holiday, Cory Joseph, Victor Oladipo","Turner, Sabonis, Holiday, Joseph, Oladipo",1626167-1627734-1628988-202709-203506,IND,6.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2019,2018-19,False
1626167-1627734-1628988-202709-203926,1610612754,"Myles Turner, Domantas Sabonis, Aaron Holiday, Cory Joseph, Doug McDermott","Turner, Sabonis, Holiday, Joseph, McDermott",1626167-1627734-1628988-202709-203926,IND,1075.0,11,18.0,14.0,40.0,40.0,23.0,13.0,5.0,80.0,9.0,12.0,2.0,2.0,2.0,4.0,5.0,9.0,4.0,11.0,1.0,7.0,16.0,25.0,11.0,11.0,55.0,41.0,3.0,3.0,1.0,8.0,8.0,13.0,7.0,35.0,14.0,18.0,4.0,10.0,7.0,10.0,5.0,1.0,23.0,4.0,,3.0,10.0,13.0,4.0,17.0,,,3.0,,5.0,2.0,5.0,13.0,11.0,,13.0,1.0,2.0,47.0,35.0,23.0,0.4375,0.5,0.64,1.0,0.6153846153846154,0.6111111111111112,0.75,0.625,0.6547619047619048,0.8,0.6730769230769231,0.3055555555555556,,0.9090909090909091,0.4444444444444444,1.0,0.9285714285714286,0.2857142857142857,0.3333333333333333,0.5,0.5,0.6666666666666666,1.0,1.0,,107.16279069767441,13.45,13.425,12.8,13.425,0.3333333333333333,0.75,0.8181818181818182,0.5555555555555556,0.25,0.5555555555555556,0.625,0.2,0.1111111111111111,0.3055555555555556,0.5,1.0,0.25,0.2,0.5,0.35,0.6388888888888888,0.47342142857142855,0.4865333333333333,0.45311052631578946,0.05405405405405406,0.07692307692307693,0.14545454545454545,0.6363636363636364,6.816,30.463636363636365,0.575,2.0,,5.0,3.0,,0.5,0.5,10.0,5.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,,1.0,,,,0.5,4.0,4.0,9.0,4.0,3.0,3.0,2.0,,0.75,0.36363636363636365,0.4,0.4,0.36363636363636365,0.36363636363636365,0.75,0.4,,,3.0,3.0,3.0,2.0,,0.42857142857142855,0.08,0.1111111111111111,,,,0.42857142857142855,,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2019,2018-19,False
1626167-1627734-201152-201954-202711,1610612754,"Myles Turner, Domantas Sabonis, Thaddeus Young, Darren Collison, Bojan Bogdanovic","Turner, Sabonis, Young, Collison, Bogdanovic",1626167-1627734-201152-201954-202711,IND,1.0,1,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2019,2018-19,False
