EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChancePoints,PenaltyFG3M,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,SelfOReb,BadPassTurnovers,SecondChanceTurnovers,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyCorner3FGA,SecondChanceFtPoints,Charge Fouls Drawn,PenaltyCorner3Frequency,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Corner3Assists,FTOffRebounds,FTDefRebounds,Travels,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffCorner3ReboundPct,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyCorner3FGM,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,OffLongMidRangeReboundPct,LongMidRangePctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,ShortMidRangeAssists,DefensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,ShortMidRangePctAssisted,HeaveMakes,HeaveAttempts,Offensive Fouls Drawn,StepOutOfBoundsTurnovers,Charge Fouls,OffensiveGoaltends,PtsUnassisted3s,3SecondViolations,BlockedLongMidRange,LongMidRangePctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,Blocked3s,BlockedCorner3,BlockedArc3,Clear Path Fouls,team_id,year,season,team_vs
1626159-1626196-1627884-1628389-203079,1610612748,"Justise Winslow, Josh Richardson, Derrick Jones Jr., Bam Adebayo, Dion Waiters","Winslow, Richardson, Jones Jr., Adebayo, Waiters",1626159-1626196-1627884-1628389-203079,MIA,384.0,6,6.0,-11.0,13.0,16.0,7.0,3.0,1.0,29.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,3.0,2.0,3.0,7.0,3.0,7.0,18.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,6.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,7.0,4.0,7.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.2,0.25,0.2692307692307692,0.3333333333333333,0.7,1.0,0.5,1.0,0.14285714285714285,0.75,0.125,0.16666666666666666,0.5,1.0,1.0,108.75,1.0,14.923076923076923,11.875,14.461538461538462,11.4375,0.2,1.0,1.0,1.0,0.1,0.1,0.6,1.0,0.25,1.0,0.75,0.9,0.5672349999999999,0.57665,0.23076923076923078,0.5,0.5714285714285714,3.066666666666667,25.357142857142858,0.5384615384615384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2019,2018-19,False
1626159-1626196-1627884-1628389-203482,1610612748,"Justise Winslow, Josh Richardson, Derrick Jones Jr., Bam Adebayo, Kelly Olynyk","Winslow, Richardson, Jones Jr., Adebayo, Olynyk",1626159-1626196-1627884-1628389-203482,MIA,85.0,1,1.0,3.0,3.0,3.0,,,,6.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,5.0,2.0,,,,,,,2.0,1.0,1.0,2.0,1.0,5.0,,1.0,1.0,2.0,,2.0,,,,,,1.0,,,1.0,,,,,,,,,5.0,,,,1.0,1.0,1.0,,1.25,,1.25,,0.5,,1.0,1.0,,1.0,,,,,1.0,101.6470588235294,,13.666666666666666,14.666666666666666,13.666666666666666,14.666666666666666,0.5,1.0,1.0,1.0,,,0.5,,,,,1.0,0.5892,,,,,1.3,25.3,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2019,2018-19,False
1626159-1626196-1627884-1628389-203585,1610612748,"Justise Winslow, Josh Richardson, Derrick Jones Jr., Bam Adebayo, Rodney McGruder","Winslow, Richardson, Jones Jr., Adebayo, McGruder",1626159-1626196-1627884-1628389-203585,MIA,678.0,4,11.0,3.0,22.0,22.0,9.0,8.0,7.0,44.0,5.0,12.0,2.0,5.0,5.0,,7.0,2.0,5.0,7.0,18.0,7.0,,20.0,17.0,2.0,3.0,7.0,5.0,,9.0,4.0,7.0,2.0,4.0,2.0,10.0,3.0,3.0,5.0,8.0,7.0,15.0,4.0,4.0,,3.0,1.0,4.0,,1.0,3.0,1.0,1.0,,,,,,,11.0,9.0,9.0,,0.2857142857142857,0.3333333333333333,0.3888888888888889,0.42857142857142855,0.4,0.375,0.4,0.375,0.28,0.75,1.0,1.0,0.6,1.0,0.4375,0.6,1.0,1.0,,93.45132743362831,,15.681818181818182,15.136363636363637,14.136363636363637,15.136363636363637,0.48,0.4166666666666667,0.5555555555555556,0.4,0.2,,0.28,0.2857142857142857,0.4166666666666667,0.4,0.4166666666666667,0.76,0.502514,0.5134541666666667,,,0.45,4.699999999999999,25.25714285714286,0.4090909090909091,2.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,1.0,0.2857142857142857,0.2857142857142857,1.0,0.2857142857142857,3.0,5.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,9.0,1.0,10.0,2.0,4.0,4.0,1.0,2.0,1.0,0.5,0.2,0.6,0.6428571428571429,0.6428571428571429,0.2222222222222222,0.25,0.2,0.36363636363636365,0.2857142857142857,0.6666666666666666,1.0,0.08333333333333333,0.4,0.5,0.04,0.7142857142857143,0.6,0.3333333333333333,0.5,1.0,0.2,0.5533875,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2019,2018-19,False
1626159-1626196-1627884-1628389-204020,1610612748,"Justise Winslow, Josh Richardson, Derrick Jones Jr., Bam Adebayo, Tyler Johnson","Winslow, Richardson, Jones Jr., Adebayo, Johnson",1626159-1626196-1627884-1628389-204020,MIA,193.0,5,3.0,-8.0,5.0,6.0,3.0,1.0,,11.0,,,,,2.0,2.0,,,,,3.0,2.0,1.0,1.0,9.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,2.0,,2.0,1.0,,,,,,1.0,3.0,,,,,,,,0.08333333333333333,0.125,0.4,,,,,,0.2,,,,,82.07253886010362,,22.8,13.166666666666666,22.8,13.166666666666666,,,,,0.4,0.4,,,,,,0.4,0.45206,0.42765000000000003,0.16666666666666666,0.25,1.0,11.533333333333333,23.05,0.6,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,0.5,,,,0.3333333333333333,,0.5,,,,,0.2,,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2019,2018-19,False
1626159-1626196-1627884-1628389-2548,1610612748,"Justise Winslow, Josh Richardson, Derrick Jones Jr., Bam Adebayo, Dwyane Wade","Winslow, Richardson, Jones Jr., Adebayo, Wade",1626159-1626196-1627884-1628389-2548,MIA,1281.0,10,21.0,13.0,42.0,41.0,8.0,32.0,5.0,83.0,10.0,12.0,,,8.0,5.0,10.0,2.0,2.0,11.0,23.0,15.0,10.0,53.0,40.0,3.0,,2.0,3.0,3.0,3.0,10.0,10.0,5.0,12.0,5.0,31.0,1.0,11.0,8.0,22.0,6.0,28.0,2.0,1.0,1.0,1.0,,4.0,1.0,2.0,8.0,8.0,1.0,13.0,5.0,1.0,,1.0,1.0,44.0,1.0,7.0,1.0,0.45454545454545453,0.5,0.4782608695652174,,0.5657894736842105,,0.6022727272727273,0.21428571428571427,0.39473684210526316,0.25,0.7272727272727273,0.8461538461538461,0.125,0.7916666666666666,0.25,0.2,1.0,0.75,1.0,93.30210772833723,1.0,16.166666666666668,14.682926829268293,15.071428571428571,13.951219512195122,0.3157894736842105,0.8333333333333334,0.9090909090909091,0.5,0.21052631578947367,0.13157894736842105,0.2631578947368421,0.4,,,0.4,0.7105263157894737,0.5113671052631579,0.45372,0.11904761904761904,0.18518518518518517,0.05660377358490566,5.991304347826087,25.046666666666667,0.19047619047619047,5.0,7.0,21.0,5.0,7.0,5.0,,3.0,1.0,0.4666666666666667,0.4666666666666667,0.5,0.5,0.5,1.0,0.5,2.0,2.0,1.0,3.0,,,2.0,2.0,1.0,9.0,,12.0,2.0,3.0,4.0,,1.0,,0.3333333333333333,,1.0,0.7,0.75,0.13043478260869565,0.08333333333333333,0.25,0.3333333333333333,,0.5714285714285714,0.6666666666666666,,0.125,0.16666666666666666,0.07894736842105263,0.4,1.0,,,,,0.5577799999999999,0.16981132075471697,1.0,2.0,,0.2,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,0.4,0.4,1.0,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2019,2018-19,False
1626159-1626196-1627884-201609-202355,1610612748,"Justise Winslow, Josh Richardson, Derrick Jones Jr., Goran Dragic, Hassan Whiteside","Winslow, Richardson, Jones Jr., Dragic, Whiteside",1626159-1626196-1627884-201609-202355,MIA,53.0,2,1.0,-1.0,2.0,2.0,,2.0,1.0,4.0,2.0,4.0,,,,,,,,2.0,4.0,,,4.0,5.0,,,,,,,2.0,,1.0,1.0,1.0,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,,0.5,1.0,0.5,,0.5,,0.5,,,,,,,,1.0,,,,,108.67924528301887,,14.5,12.0,13.5,12.0,1.0,0.5,0.5,0.5,,,,,,,,1.0,0.6661,,,,,0.75,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,2.0,,2.0,,2.0,2.0,,2.0,1.0,,,,,0.5,0.5,0.5,,,,1.0,1.0,,,0.5,,,,1.0,0.5,,,,,0.6173,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2019,2018-19,False
1626159-1626196-1627884-201609-203482,1610612748,"Justise Winslow, Josh Richardson, Derrick Jones Jr., Goran Dragic, Kelly Olynyk","Winslow, Richardson, Jones Jr., Dragic, Olynyk",1626159-1626196-1627884-201609-203482,MIA,208.0,2,3.0,-3.0,6.0,7.0,1.0,1.0,1.0,13.0,2.0,3.0,,1.0,,1.0,2.0,,,2.0,3.0,3.0,1.0,8.0,11.0,1.0,,1.0,,,,4.0,2.0,2.0,3.0,2.0,7.0,1.0,1.0,,1.0,1.0,2.0,,,,,,1.0,,,1.0,3.0,,1.0,1.0,,,,,5.0,,1.0,1.0,1.0,1.0,0.6666666666666666,,0.5833333333333334,,0.6666666666666666,,0.5,,,1.0,0.5,1.0,0.3333333333333333,0.5,,1.0,,90.0,,18.833333333333332,13.571428571428571,17.0,13.571428571428571,0.5,0.6666666666666666,0.6666666666666666,1.0,,0.16666666666666666,0.3333333333333333,,1.0,,,1.0,0.5513166666666667,0.6064,0.16666666666666666,0.3333333333333333,,1.9666666666666668,25.366666666666664,0.16666666666666666,,1.0,3.0,,1.0,,,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,1.0,,,1.5,1.5,,,,,,,,,,,,,,,,,,,0.375,,,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2019,2018-19,False
1626159-1626196-1627884-202355-203079,1610612748,"Justise Winslow, Josh Richardson, Derrick Jones Jr., Hassan Whiteside, Dion Waiters","Winslow, Richardson, Jones Jr., Whiteside, Waiters",1626159-1626196-1627884-202355-203079,MIA,186.0,1,3.0,9.0,6.0,6.0,,,1.0,12.0,4.0,4.0,,,,2.0,1.0,,,4.0,4.0,3.0,1.0,12.0,3.0,1.0,,,,,,6.0,1.0,3.0,4.0,3.0,9.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,,1.0,,,,,1.0,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,9.0,,,,0.75,0.75,1.0,,0.7857142857142857,,0.8571428571428571,,0.42857142857142855,,1.0,0.6666666666666666,0.5,0.75,0.5,,,1.0,0.5,92.90322580645162,1.0,14.333333333333334,16.666666666666668,13.5,16.0,0.5714285714285714,1.0,1.0,0.75,,0.2857142857142857,0.14285714285714285,,,,,1.0,0.61625,,0.14285714285714285,0.25,,1.5,24.46666666666667,,,1.0,3.0,,1.0,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,1.0,3.0,,2.0,,,,,,,1.0,,,1.5,1.5,,,,,,,,,,,,,,,,,,0.6021,0.25,,,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2019,2018-19,False
1626159-1626196-1627884-202355-203482,1610612748,"Justise Winslow, Josh Richardson, Derrick Jones Jr., Hassan Whiteside, Kelly Olynyk","Winslow, Richardson, Jones Jr., Whiteside, Olynyk",1626159-1626196-1627884-202355-203482,MIA,193.0,2,3.0,1.0,5.0,7.0,4.0,,1.0,12.0,,,,,1.0,2.0,,,,1.0,2.0,2.0,1.0,3.0,2.0,,1.0,1.0,2.0,,2.0,,,,,,,,3.0,2.0,5.0,1.0,6.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,2.0,,2.0,1.0,,,,,2.0,2.0,4.0,,,,0.5,1.0,0.25,0.3333333333333333,0.3,0.3333333333333333,0.5,1.0,1.0,1.0,,1.0,0.3333333333333333,,1.0,1.0,,89.53367875647668,,18.6,14.285714285714286,18.0,14.285714285714286,,,,,0.25,0.5,,,,,,0.5,0.5116875,0.54055,0.2,0.3333333333333333,0.6666666666666666,16.05,23.4,0.8,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,2.0,,,1.0,,1.0,,,,,,0.5,,,,1.0,,1.0,,,,,0.25,,,,,,,,0.3333333333333333,2.0,1.0,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2019,2018-19,False
1626159-1626196-1627884-202355-203585,1610612748,"Justise Winslow, Josh Richardson, Derrick Jones Jr., Hassan Whiteside, Rodney McGruder","Winslow, Richardson, Jones Jr., Whiteside, McGruder",1626159-1626196-1627884-202355-203585,MIA,1105.0,6,18.0,-1.0,35.0,33.0,5.0,1.0,6.0,68.0,7.0,13.0,1.0,1.0,7.0,3.0,5.0,,,9.0,25.0,8.0,9.0,36.0,37.0,1.0,1.0,4.0,1.0,1.0,6.0,12.0,5.0,6.0,9.0,4.0,21.0,1.0,6.0,11.0,17.0,9.0,26.0,,,,2.0,,7.0,1.0,2.0,9.0,10.0,,13.0,5.0,3.0,3.0,3.0,2.0,29.0,6.0,5.0,,0.6666666666666666,0.75,0.36,0.25,0.4090909090909091,0.5,0.4605263157894737,0.5,0.24242424242424243,0.2857142857142857,0.7857142857142857,0.75,0.2,0.7727272727272727,0.42857142857142855,,0.625,0.75,0.75,88.61538461538461,0.6666666666666666,15.514285714285714,17.03030303030303,15.17142857142857,16.393939393939394,0.3939393939393939,0.5384615384615384,0.5833333333333334,0.5714285714285714,0.21212121212121213,0.09090909090909091,0.15151515151515152,,0.2,1.0,,0.6363636363636364,0.49292272727272723,0.48448,0.16216216216216217,0.1724137931034483,0.16666666666666666,6.604,25.0125,0.14285714285714285,1.0,3.0,9.0,1.0,3.0,1.0,,5.0,1.0,0.375,0.375,1.0,0.2,0.2,1.0,0.2,1.0,4.0,,5.0,,,1.0,6.0,1.0,7.0,1.0,6.0,2.0,1.0,8.0,3.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.35714285714285715,0.4375,0.04,0.07692307692307693,,0.5,0.3333333333333333,0.7142857142857143,1.0,0.15,,,0.15151515151515152,0.5714285714285714,0.25,,,,,0.5418,0.19444444444444445,1.0,2.0,,0.2,2.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,,1.0,,,0.6666666666666666,0.6666666666666666,1.0,0.14285714285714285,1.0,1.0,1.0,2.0,0.4,0.4,1.0,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,1610612748,2019,2018-19,False
