EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,Fg2aBlocked,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,ShortMidRangeFGM,FG2M,Points,PtsUnassisted2s,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,DefCorner3ReboundPct,PenaltyDefPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,FtPoints,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,DefTwoPtRebounds,ShootingFouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,ThreePtShootingFoulsDrawn,PenaltyFg2Pct,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ThreePtShootingFoulsDrawnPct,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGM,PtsAssisted2s,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Travels,Charge Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsAssisted3s,ThreePtAssists,Arc3Assists,FTDefRebounds,Assisted3sPct,DefFTReboundPct,Arc3PctAssisted,Corner3Assists,BadPassTurnovers,Clear Path Fouls,Corner3PctAssisted,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsPutbacks,Fg3aBlocked,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,RecoveredBlocks,AtRimPctBlocked,BlocksRecoveredPct,BlockedLongMidRange,Offensive Fouls Drawn,OffLongMidRangeReboundPct,SecondChanceFtPoints,Technical Free Throw Trips,Defensive 3 Seconds Violations,BlockedShortMidRange,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,Charge Fouls,3SecondViolations,3pt And 1 Free Throw Trips,Loose Ball Fouls Drawn,DefensiveGoaltends,Blocked3s,BlockedArc3,BlockedCorner3,SecondChanceAtRimPctAssisted,HeaveAttempts,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,OffensiveGoaltends,team_id,year,season,team_vs
101108-101123-1627737-1629109-2546,1610612745,"Chris Paul, Gerald Green, Marquese Chriss, Gary Clark, Carmelo Anthony","Paul, Green, Chriss, Clark, Anthony",101108-101123-1627737-1629109-2546,HOU,53.0,1,1.0,-2.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,108.67924528301887,9.333333333333334,25.0,9.333333333333334,25.0,0.5,0.5,1.0,0.5,0.49105,0.5856,6.8,25.8,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627737-201569-2546,1610612745,"Chris Paul, Gerald Green, Marquese Chriss, Eric Gordon, Carmelo Anthony","Paul, Green, Chriss, Gordon, Anthony",101108-101123-1627737-201569-2546,HOU,118.0,1,2.0,-4.0,3.0,4.0,,7.0,1.0,,,3.0,,6.0,,,,,,,,,,,,85.42372881355932,19.666666666666668,14.75,19.666666666666668,14.75,0.3333333333333333,,,0.6666666666666666,0.5076333333333333,,5.0,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627737-203516-2546,1610612745,"Chris Paul, Gerald Green, Marquese Chriss, James Ennis III, Carmelo Anthony","Paul, Green, Chriss, Ennis III, Anthony",101108-101123-1627737-203516-2546,HOU,114.0,1,2.0,-6.0,3.0,4.0,,7.0,,3.0,,,3.0,6.0,,3.0,,,,1.0,,,1.0,,,88.42105263157895,10.666666666666666,20.5,10.666666666666666,20.5,,1.0,,1.0,0.52125,,,25.400000000000002,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627863-1628392-201935,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., Isaiah Hartenstein, James Harden","Paul, Green, House Jr., Hartenstein, Harden",101108-101123-1627863-1628392-201935,HOU,79.0,1,1.0,,4.0,4.0,3.0,8.0,,1.0,1.0,,2.0,5.0,2.0,1.0,,,,2.0,,3.0,1.0,,,145.8227848101266,10.5,9.25,10.5,9.25,,0.5,0.5,1.0,0.52695,0.52695,,27.3,0.75,,,,5.0,,,1.0,1.0,2.0,5.0,,0.75,0.625,,1.0,,,,,,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,0.5,0.5,0.5,0.75,0.8333333333333334,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627863-200782-201935,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., PJ Tucker, James Harden","Paul, Green, House Jr., Tucker, Harden",101108-101123-1627863-200782-201935,HOU,66.0,2,1.0,1.0,3.0,3.0,3.0,6.0,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,2.0,,3.0,0.5,,,130.9090909090909,13.0,9.0,13.0,9.0,,0.5,0.5,1.0,0.4024,0.4024,2.4,32.0,1.0,1.0,,1.0,5.0,2.0,,1.0,1.0,1.0,5.0,1.0,0.5,0.8333333333333334,,1.0,,0.5,,,,1.0,,,,,,3.0,,3.0,5.0,,1.0,2.0,,3.0,,5.0,,,,,0.5,0.8333333333333334,1.0,1.0,,,,,,0.3333333333333333,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627863-200782-202688,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., PJ Tucker, Brandon Knight","Paul, Green, House Jr., Tucker, Knight",101108-101123-1627863-200782-202688,HOU,343.0,1,6.0,6.0,13.0,12.0,4.0,25.0,,7.0,2.0,2.0,8.0,10.0,2.0,7.0,,1.0,2.0,,,4.0,0.8,,,104.95626822157435,12.846153846153847,14.666666666666666,12.846153846153847,14.666666666666666,,0.7,0.6666666666666666,0.9,0.53877,0.56245,11.4,26.1375,0.3076923076923077,1.0,,1.0,16.0,,1.0,4.0,4.0,2.0,16.0,0.5,0.7,0.7272727272727273,1.0,1.0,1.0,0.1,,,,3.0,,1.0,,,4.0,2.0,1.0,2.0,7.0,12.0,3.0,,,2.0,,7.0,,0.5,0.5,0.5,0.8333333333333334,0.875,1.0,1.0,0.1,,,,,,,0.4375,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.3333333333333333,1.0,,1.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.1,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627863-200782-203085,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., PJ Tucker, Austin Rivers","Paul, Green, House Jr., Tucker, Rivers",101108-101123-1627863-200782-203085,HOU,250.0,1,4.0,-4.0,7.0,8.0,3.0,15.0,,3.0,1.0,2.0,4.0,9.0,2.0,3.0,,,,3.0,,3.0,0.6666666666666666,,,86.39999999999999,17.571428571428573,15.875,17.571428571428573,15.25,,0.5,0.5,0.8333333333333334,0.4845083333333333,0.46905,10.2,25.075,0.42857142857142855,1.0,,,5.0,,1.0,2.0,2.0,2.0,5.0,,0.25,0.35714285714285715,0.5,0.3333333333333333,0.5,0.16666666666666666,,,,1.0,,1.0,,1.0,1.0,2.0,,2.0,2.0,,,1.0,1.0,2.0,,2.0,,0.25,,0.25,,0.3333333333333333,,,0.16666666666666666,,,0.5,,,,0.4,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,3.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,0.16666666666666666,0.3333333333333333,0.3333333333333333,,0.3333333333333333,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627863-200782-203991,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., PJ Tucker, Clint Capela","Paul, Green, House Jr., Tucker, Capela",101108-101123-1627863-200782-203991,HOU,229.0,2,4.0,1.0,10.0,10.0,,20.0,2.0,3.0,,3.0,4.0,9.0,,3.0,,1.0,3.0,3.0,,,0.5714285714285714,,,125.76419213973799,11.4,11.5,11.4,10.2,0.2857142857142857,0.42857142857142855,,0.7142857142857143,0.5100071428571429,,6.366666666666667,26.35,,1.0,1.0,2.0,10.0,2.0,3.0,4.0,4.0,,10.0,0.6666666666666666,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,0.14285714285714285,0.5,0.5,,,1.0,1.0,,,2.0,,,,,,1.0,1.0,,,,,,0.5,,0.5,,,1.0,,0.14285714285714285,1.0,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,2.0,1.0,1.0,3.0,1.0,8.0,2.0,2.0,,2.0,,,,,,0.5,0.5,0.6666666666666666,1.0,,1.0,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,6.0,2.0,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627863-200782-2403,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., PJ Tucker, Nene","Paul, Green, House Jr., Tucker, Nene",101108-101123-1627863-200782-2403,HOU,55.0,1,1.0,-4.0,2.0,2.0,1.0,4.0,,1.0,,1.0,1.0,4.0,,1.0,,,,1.0,,1.0,0.5,,,104.72727272727273,21.5,6.0,21.5,6.0,,0.5,,1.0,0.420325,0.3266,3.9,27.3,0.5,1.0,,,,,,,,1.0,,,,,,,,0.5,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
101108-101123-1627863-201569-203991,1610612745,"Chris Paul, Gerald Green, Danuel House Jr., Eric Gordon, Clint Capela","Paul, Green, House Jr., Gordon, Capela",101108-101123-1627863-201569-203991,HOU,1627.0,9,27.0,11.0,52.0,54.0,,106.0,5.0,14.0,,29.0,24.0,59.0,,14.0,,1.0,2.0,12.0,,,0.4528301886792453,,,93.81684081130916,13.961538461538462,16.685185185185187,13.576923076923077,15.592592592592593,0.09433962264150944,0.2641509433962264,,0.8490566037735849,0.5411018867924529,,5.037931034482758,24.837499999999995,,21.0,2.0,22.0,70.0,10.0,7.0,16.0,22.0,11.0,62.0,0.7586206896551724,0.6132075471698113,0.625,0.7777777777777778,0.5925925925925926,0.7777777777777778,0.39622641509433965,0.4,0.4,,,3.0,10.0,,,7.0,5.0,,,,6.0,9.0,5.0,,7.0,4.0,,,0.2916666666666667,,0.2916666666666667,,,0.5,0.3333333333333333,0.18867924528301888,0.3,0.3,,,0.07142857142857142,0.125,,17.0,,,,,,,0.8095238095238095,0.8095238095238095,,,,3.0,4.0,,34.0,4.0,17.0,22.0,15.0,49.0,10.0,6.0,4.0,1.0,,,,,,0.7727272727272727,0.8095238095238095,0.5,0.6666666666666666,0.6666666666666666,0.8823529411764706,0.05660377358490566,0.2857142857142857,0.3076923076923077,,0.2857142857142857,15.0,5.0,2.0,,0.7142857142857143,,0.5,3.0,1.0,,1.0,6.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,8.0,2.0,1.0,1.0,1.0,4.0,2.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.041666666666666664,0.07142857142857142,0.2857142857142857,0.23529411764705882,0.25,0.25,0.3333333333333333,0.2,0.2857142857142857,0.08695652173913043,0.5,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.16666666666666666,1.0,1.0,0.570825,0.11428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2019,2018-19,False
