EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,PenaltyOffPoss,TotalPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyPointsPct,PenaltyOffPossPct,Minutes,DefPoss,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,OpponentPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,LongMidRangeFGA,SecondChanceArc3FGA,SecondChanceFG3A,PtsPutbacks,DefThreePtRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,LiveBallTurnoverPct,DefThreePtReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,ShootingFouls,Steals,LostBallSteals,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG2M,Corner3Assists,BadPassSteals,PenaltyFg2Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,PtsUnassisted3s,FTOffRebounds,SelfOReb,Travels,PenaltyTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,LongMidRangeFGM,SecondChanceArc3FGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTDefRebounds,BadPassTurnovers,SecondChanceTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefFTReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockedAtRim,DefCorner3ReboundPct,Fg3aBlocked,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,Charge Fouls Drawn,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,DefensiveGoaltends,Transition Take Fouls Drawn,HeaveAttempts,BlockedLongMidRange,Blocked3s,BlockedArc3,team_id,year,season,team_vs
1626156-1627736-1628972-1629060-2544,1610612747,"D'Angelo Russell, Malik Beasley, Troy Brown Jr., Rui Hachimura, LeBron James","Russell, Beasley, Brown Jr., Hachimura, James",1626156-1627736-1628972-1629060-2544,LAL,19.0,1,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,75.78947368421053,12.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2023,2022-23,True
1626156-1627736-1629020-1630559-203076,1610612747,"D'Angelo Russell, Malik Beasley, Jarred Vanderbilt, Austin Reaves, Anthony Davis","Russell, Beasley, Vanderbilt, Reaves, Davis",1626156-1627736-1629020-1630559-203076,LAL,112.0,1,6.0,4.0,,7.0,,8.0,,,,,,,8.0,,,,1.0,,90.0,13.25,13.25,,,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.75,1.0,1.0,1.0,19.666666666666668,19.666666666666668,0.25,1.0,1.0,0.25,0.5,1.0,1.0,1.0,0.75,1.0,0.5353375,4.2,24.566666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2023,2022-23,True
1626156-1627736-1629020-203076-2544,1610612747,"D'Angelo Russell, Malik Beasley, Jarred Vanderbilt, Anthony Davis, LeBron James","Russell, Beasley, Vanderbilt, Davis, James",1626156-1627736-1629020-203076-2544,LAL,295.0,2,5.0,9.0,2.0,20.0,2.0,15.0,,3.0,1.0,3.0,2.0,,11.0,3.0,2.0,,0.6818181818181818,0.75,97.62711864406779,15.11111111111111,14.11111111111111,0.2,0.2222222222222222,5.0,11.0,2.0,4.0,,1.0,2.0,5.0,8.0,1.0,2.0,10.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,11.0,3.0,3.0,5.0,1.0,0.5,0.5,0.625,0.65,0.2,1.0,0.75,1.0,14.454545454545455,14.454545454545455,0.4,0.5,0.5,,0.2,0.5,0.5,1.0,0.6,0.5,0.49321000000000004,4.5,26.35,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,8.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,0.8,0.8,1.0,1.0,1.0,0.75,1.0,0.125,0.25,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,0.4,0.75,1.0,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,0.4186,0.09090909090909091,0.1111111111111111,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2023,2022-23,True
1626156-1627736-1629060-203076-203471,1610612747,"D'Angelo Russell, Malik Beasley, Rui Hachimura, Anthony Davis, Dennis Schroder","Russell, Beasley, Hachimura, Davis, Schroder",1626156-1627736-1629060-203076-203471,LAL,185.0,1,-7.0,7.0,,14.0,,2.0,,,,,,,,,,,0.125,,108.97297297297297,16.428571428571427,15.714285714285714,,,3.0,7.0,,1.0,1.0,,3.0,1.0,4.0,,4.0,9.0,2.0,,3.0,,,,,,1.0,2.0,4.0,,,,0.25,0.125,0.5,0.5,0.6666666666666666,,10.0,9.857142857142858,0.125,,,0.125,0.375,,,,0.75,,0.54994375,7.425,25.475,,2.0,1.0,2.0,1.0,1.0,,,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,2.0,,,,,1.0,0.5,,0.5,,,0.3333333333333333,0.25,0.2857142857142857,1.0,,,0.25,0.5,0.5,,,0.5,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.125,0.5,0.5637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2023,2022-23,True
1626156-1627736-1629060-203076-2544,1610612747,"D'Angelo Russell, Malik Beasley, Rui Hachimura, Anthony Davis, LeBron James","Russell, Beasley, Hachimura, Davis, James",1626156-1627736-1629060-203076-2544,LAL,4.0,1,,,,1.0,,,,,,,,,,,,,,,360.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2023,2022-23,True
1626156-1627736-203076-203471-2544,1610612747,"D'Angelo Russell, Malik Beasley, Anthony Davis, Dennis Schroder, LeBron James","Russell, Beasley, Davis, Schroder, James",1626156-1627736-203076-203471-2544,LAL,30.0,1,-2.0,1.0,,2.0,,,,,1.0,,,,,,,,,,96.0,27.0,27.0,,,,1.0,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,1.0,,0.4342,3.1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2023,2022-23,True
1626156-1628972-1629020-1629060-203076,1610612747,"D'Angelo Russell, Troy Brown Jr., Jarred Vanderbilt, Rui Hachimura, Anthony Davis","Russell, Brown Jr., Vanderbilt, Hachimura, Davis",1626156-1628972-1629020-1629060-203076,LAL,65.0,1,3.0,1.0,,3.0,1.0,3.0,,,,1.0,2.0,,3.0,,,,1.5,,66.46153846153847,7.0,7.0,,,1.0,2.0,,,,,,1.0,1.0,,,,2.0,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,0.5,,29.0,28.5,,,,,,,,,1.0,,0.7276,1.4,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,0.5,,,0.5,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2023,2022-23,True
1626156-1628972-1629020-1629060-2544,1610612747,"D'Angelo Russell, Troy Brown Jr., Jarred Vanderbilt, Rui Hachimura, LeBron James","Russell, Brown Jr., Vanderbilt, Hachimura, James",1626156-1628972-1629020-1629060-2544,LAL,103.0,1,5.0,4.0,4.0,8.0,,7.0,,7.0,1.0,,,,7.0,7.0,4.0,,0.875,0.875,111.84466019417476,10.75,10.75,1.0,1.0,2.0,4.0,,,2.0,,,2.0,2.0,1.0,2.0,2.0,4.0,3.0,,,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.875,0.5,1.0,1.0,,15.0,15.0,,,,0.5,,,,,1.0,,0.6924375,1.1,22.85,,,2.0,2.0,,,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,0.5,,,0.875,,,,,,,,,,0.5,1.0,1.0,,,,,,,0.6924375,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2023,2022-23,True
1626156-1628972-1629020-1630559-203076,1610612747,"D'Angelo Russell, Troy Brown Jr., Jarred Vanderbilt, Austin Reaves, Anthony Davis","Russell, Brown Jr., Vanderbilt, Reaves, Davis",1626156-1628972-1629020-1630559-203076,LAL,134.0,1,2.0,6.0,,11.0,2.0,6.0,,,1.0,1.0,2.0,,1.0,,,,0.35714285714285715,,118.2089552238806,14.833333333333334,14.666666666666666,,,2.0,5.0,,,,,3.0,2.0,4.0,,3.0,4.0,4.0,,3.0,,,,,,1.0,2.0,4.0,,,,0.5,0.2857142857142857,0.42857142857142855,1.0,1.0,,9.0,9.0,,,,,0.42857142857142855,,,,1.0,,0.5740928571428572,2.225,25.96666666666667,,2.0,2.0,4.0,2.0,2.0,,,2.0,2.0,1.0,5.0,,,,,,,,,2.0,,2.0,1.0,,,,1.0,1.0,,1.25,,,,0.6666666666666666,0.4,,0.6666666666666666,,0.5714285714285714,0.5,0.5,,,1.0,1.0,,,,0.14285714285714285,0.25,0.8333333333333334,,,,4.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2023,2022-23,True
1626156-1628972-1629020-203076-2544,1610612747,"D'Angelo Russell, Troy Brown Jr., Jarred Vanderbilt, Anthony Davis, LeBron James","Russell, Brown Jr., Vanderbilt, Davis, James",1626156-1628972-1629020-203076-2544,LAL,100.0,1,2.0,3.0,,6.0,,5.0,,,1.0,,,,5.0,,,,0.8333333333333334,,86.39999999999999,15.0,15.0,,,2.0,3.0,,,,1.0,2.0,1.0,1.0,1.0,2.0,3.0,,3.0,2.0,1.0,1.0,2.0,1.0,5.0,,1.0,1.0,1.0,0.5,0.5,1.0,0.8333333333333334,0.6666666666666666,,0.5,,18.333333333333332,15.0,,,,,0.6666666666666666,0.5,0.5,1.0,1.0,0.5,0.6030833333333333,1.8,26.15,,,1.0,1.0,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2023,2022-23,True
