EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Corner3FGA,FG3A,OpponentPoints,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FG3APct,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceFtPoints,ShortMidRangeAssists,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3Accuracy,Charge Fouls Drawn,Defensive 3 Seconds Violations,OffLongMidRangeReboundPct,SelfOReb,LostBallSteals,Loose Ball Fouls,SelfORebPct,DefLongMidRangeReboundPct,LongMidRangeFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,HeaveAttempts,BadPassOutOfBoundsTurnovers,BlockedShortMidRange,FTOffRebounds,Blocked3s,BlockedArc3,OffFTReboundPct,Fg3aBlocked,Transition Take Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,OffCorner3ReboundPct,SecondChanceArc3PctAssisted,Transition Take Fouls Drawn,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Offensive Fouls,HeaveMakes,BlockedLongMidRange,3SecondViolations,BlockedCorner3,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,Corner3PctBlocked,OffensiveGoaltends,team_id,year,season,team_vs
1626149-1627777-1627788-1627863-1629001,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, Danuel House Jr., De'Anthony Melton","Harrell, Niang, Korkmaz, House Jr., Melton",1626149-1627777-1627788-1627863-1629001,PHI,93.0,1,2.0,-4.0,2.0,3.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77.41935483870968,24.0,15.0,24.0,14.0,1.0,1.0,0.61245,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1626149-1627777-1627788-1627863-1629003,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, Danuel House Jr., Shake Milton","Harrell, Niang, Korkmaz, House Jr., Milton",1626149-1627777-1627788-1627863-1629003,PHI,815.0,4,14.0,-3.0,28.0,27.0,55.0,1.0,8.0,27.0,3.0,3.0,5.0,3.0,8.0,5.0,9.0,3.0,0.2962962962962963,0.625,97.17791411042944,14.928571428571429,14.703703703703704,14.428571428571429,13.74074074074074,0.037037037037037035,0.8518518518518519,0.5700759259259259,25.1875,11.0,5.0,6.0,7.0,15.0,2.0,4.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,1.0,2.0,3.0,7.0,19.0,3.0,1.0,24.0,2.0,4.0,1.0,2.0,7.0,1.0,9.0,2.0,3.0,1.0,9.0,6.0,8.0,6.0,3.0,4.0,7.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0,12.0,2.0,6.0,5.0,2.0,2.0,9.0,8.0,17.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,17.0,9.0,11.0,0.42857142857142855,0.6,0.6666666666666666,0.375,0.5,0.6666666666666666,0.375,0.3684210526315789,0.5,0.1111111111111111,0.42592592592592593,0.5833333333333334,0.3333333333333333,0.42857142857142855,0.5833333333333334,0.34615384615384615,0.10526315789473684,0.06666666666666667,0.5,1.0,0.3333333333333333,0.5,0.8333333333333334,0.4,0.5833333333333334,0.47058823529411764,0.5,1.0,0.4,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.5555555555555556,0.4666666666666667,0.5,0.42857142857142855,0.07407407407407407,0.07407407407407407,1.0,1.0,0.25925925925925924,0.2857142857142857,0.2857142857142857,1.0,0.6666666666666666,0.5,0.16666666666666666,1.0,0.16666666666666666,0.6666666666666666,0.125,0.25,0.6666666666666666,0.2857142857142857,0.5846375,0.6066583333333333,0.03571428571428571,0.05,0.2916666666666667,0.375,4.336842105263158,0.39285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1626149-1627777-1627788-1629001-202699,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, De'Anthony Melton, Tobias Harris","Harrell, Niang, Korkmaz, Melton, Harris",1626149-1627777-1627788-1629001-202699,PHI,24.0,1,,2.0,2.0,1.0,3.0,,1.0,,,,,,,,,1.0,1.0,,180.0,4.5,15.0,4.5,15.0,,1.0,0.52845,27.2,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,2.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,0.5,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1626149-1627777-1627788-1629003-1629680,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, Shake Milton, Matisse Thybulle","Harrell, Niang, Korkmaz, Milton, Thybulle",1626149-1627777-1627788-1629003-1629680,PHI,335.0,1,6.0,-1.0,11.0,10.0,21.0,,2.0,18.0,,,1.0,1.0,2.0,4.0,5.0,4.0,0.2,0.5,90.26865671641792,17.181818181818183,14.6,15.545454545454545,13.2,,0.5,0.454185,25.7,6.0,3.0,3.0,2.0,3.0,,,,,5.0,,,,,1.0,2.0,1.0,,1.0,4.0,8.0,1.0,6.0,17.0,,1.0,1.0,1.0,5.0,,3.0,,1.0,5.0,5.0,4.0,4.0,,3.0,,2.0,1.0,1.0,2.0,,2.0,,,4.0,1.0,2.0,,2.0,1.0,3.0,3.0,6.0,1.0,,,,2.0,,,6.0,1.0,,,,,12.0,5.0,6.0,0.5,0.5,,0.5,1.0,,0.5,0.5,,,0.55,0.75,,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.125,0.3333333333333333,,1.0,0.6666666666666666,0.6666666666666666,,1.0,0.6666666666666666,0.75,1.0,0.5,1.0,,0.6666666666666666,,,,0.3,0.6666666666666666,1.0,,0.5,,,,0.2,0.5,0.5,,,,,,0.5,,,0.25,,0.5,0.453225,0.406075,0.1,0.125,0.29411764705882354,0.29411764705882354,6.2,0.5454545454545454,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.4,0.4,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1626149-1627777-1627788-1629003-201935,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, Shake Milton, James Harden","Harrell, Niang, Korkmaz, Milton, Harden",1626149-1627777-1627788-1629003-201935,PHI,5.0,1,,,,1.0,1.0,,,,,,,,,,,,,,288.0,,5.0,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1626149-1627777-1627788-1629003-202699,1610612755,"Montrezl Harrell, Georges Niang, Furkan Korkmaz, Shake Milton, Tobias Harris","Harrell, Niang, Korkmaz, Milton, Harris",1626149-1627777-1627788-1629003-202699,PHI,110.0,1,2.0,3.0,4.0,2.0,6.0,,2.0,6.0,,,,,,,,1.0,0.25,,78.54545454545455,19.75,15.5,14.75,15.5,,0.625,0.52073125,27.15,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,,,,,2.0,,,1.0,4.0,6.0,,1.0,9.0,3.0,4.0,,,6.0,3.0,5.0,,1.0,,6.0,,8.0,,,4.0,2.0,,1.0,,,,,,,2.0,2.0,,,,,4.0,4.0,,,,,,,,1.0,,,,,,3.0,6.0,3.0,,,,,,,,0.6666666666666666,0.75,0.6,0.5,0.75,0.5,0.5,0.75,0.5,0.16666666666666666,,0.5,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,0.375,1.0,1.0,,0.25,0.125,,,0.25,,,,0.75,1.0,,,,0.3333333333333333,1.0,0.16666666666666666,,,0.6479,0.5024000000000001,,,0.6666666666666666,0.6666666666666666,5.95,0.75,1.0,,,,,,1.0,,,,0.5,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1626149-1627777-1627863-1629001-1629003,1610612755,"Montrezl Harrell, Georges Niang, Danuel House Jr., De'Anthony Melton, Shake Milton","Harrell, Niang, House Jr., Melton, Milton",1626149-1627777-1627863-1629001-1629003,PHI,278.0,3,5.0,-6.0,10.0,8.0,18.0,,7.0,9.0,1.0,,2.0,1.0,2.0,2.0,3.0,,0.5384615384615384,1.0,93.23741007194243,18.9,11.125,16.2,11.125,,1.0,0.5163884615384615,26.3,2.0,,3.0,,6.0,,3.0,,,,,,,,1.0,7.0,1.0,,2.0,,6.0,1.0,,3.0,,3.0,,1.0,,,,,2.0,,,,,3.0,,,7.0,1.0,2.0,,1.0,1.0,1.0,,3.0,2.0,3.0,,2.0,,2.0,5.0,7.0,,1.0,,1.0,,,,,,,,,,3.0,,2.0,,,1.0,0.14285714285714285,,,0.14285714285714285,,,,0.11538461538461539,,,0.11538461538461539,,,0.3333333333333333,0.3333333333333333,,,1.0,0.5,,0.3333333333333333,1.0,0.4166666666666667,0.5,,0.3333333333333333,1.0,1.0,,,,0.46153846153846156,,,,,,,,0.5384615384615384,0.14285714285714285,0.14285714285714285,1.0,0.75,,,,0.25,,,1.0,,0.14285714285714285,0.4197666666666667,0.53535,,,,,2.466666666666667,0.2,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1626149-1627777-1627863-1629001-1630178,1610612755,"Montrezl Harrell, Georges Niang, Danuel House Jr., De'Anthony Melton, Tyrese Maxey","Harrell, Niang, House Jr., Melton, Maxey",1626149-1627777-1627863-1629001-1630178,PHI,72.0,2,1.0,2.0,4.0,3.0,7.0,,1.0,3.0,,,,,,1.0,1.0,2.0,0.3333333333333333,,140.0,10.5,10.0,10.5,10.0,,0.6666666666666666,0.5466,26.7,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,2.0,,3.0,5.0,1.0,1.0,,,2.0,1.0,2.0,,1.0,3.0,5.0,,2.0,,,2.0,1.0,,,,,,,,,1.0,,,1.0,1.0,2.0,1.0,3.0,,,,,,,,4.0,,,,,,3.0,5.0,4.0,,,,,,,,0.5,1.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.5,,,,1.0,1.0,,,1.0,1.0,0.5,,,1.0,,,,,,0.3333333333333333,1.0,1.0,,,0.3333333333333333,,,0.3333333333333333,,,,1.0,1.0,,,,0.3333333333333333,1.0,0.3333333333333333,,,,0.5466,,,0.4,1.0,8.25,1.0,,,,,2.0,,,2.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1626149-1627777-1627863-1629001-201935,1610612755,"Montrezl Harrell, Georges Niang, Danuel House Jr., De'Anthony Melton, James Harden","Harrell, Niang, House Jr., Melton, Harden",1626149-1627777-1627863-1629001-201935,PHI,573.0,4,10.0,-7.0,21.0,21.0,42.0,2.0,6.0,29.0,,,3.0,1.0,5.0,6.0,10.0,4.0,0.42857142857142855,0.6,105.54973821989527,13.047619047619047,14.238095238095237,13.047619047619047,14.238095238095237,0.14285714285714285,0.5714285714285714,0.510375,25.46666666666667,11.0,11.0,1.0,2.0,2.0,,,,,4.0,2.0,1.0,,,1.0,4.0,,,1.0,5.0,8.0,2.0,6.0,22.0,,,,,2.0,2.0,5.0,1.0,3.0,2.0,9.0,4.0,6.0,6.0,,,4.0,1.0,1.0,2.0,2.0,4.0,1.0,,10.0,,1.0,6.0,3.0,1.0,10.0,1.0,11.0,2.0,2.0,,,3.0,2.0,,7.0,4.0,1.0,1.0,1.0,1.0,20.0,9.0,11.0,0.4,0.4,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.625,,0.4,0.5714285714285714,,0.4375,0.6470588235294118,1.0,0.5,0.125,,0.25,1.0,1.0,0.3333333333333333,1.0,,1.0,0.14285714285714285,,0.3333333333333333,,1.0,1.0,1.0,,1.0,0.14285714285714285,1.0,1.0,,0.2857142857142857,0.14285714285714285,0.5,0.5,0.2857142857142857,0.25,0.25,1.0,,,,,,,,0.125,,0.25,,0.466025,0.23529411764705882,0.36363636363636365,0.09090909090909091,0.4090909090909091,8.2,0.5238095238095238,1.0,,2.0,1.0,,1.0,,,1.0,,0.25,0.3333333333333333,1.0,,,,,1.0,,,0.16666666666666666,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
1626149-1627777-1627863-1629003-1629680,1610612755,"Montrezl Harrell, Georges Niang, Danuel House Jr., Shake Milton, Matisse Thybulle","Harrell, Niang, House Jr., Milton, Thybulle",1626149-1627777-1627863-1629003-1629680,PHI,737.0,5,12.0,2.0,31.0,28.0,59.0,1.0,13.0,32.0,2.0,,,,2.0,4.0,5.0,8.0,0.52,,115.27815468113975,12.064516129032258,12.964285714285714,11.870967741935484,12.571428571428571,0.04,0.76,0.50281875,27.523076923076925,22.0,21.0,2.0,4.0,6.0,2.0,3.0,3.0,5.0,4.0,2.0,,,,3.0,12.0,,1.0,8.0,6.0,12.0,3.0,13.0,34.0,2.0,3.0,,,4.0,4.0,8.0,1.0,9.0,8.0,19.0,6.0,6.0,3.0,6.0,4.0,11.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,9.0,,3.0,2.0,7.0,,9.0,3.0,12.0,2.0,,,,2.0,,,15.0,5.0,2.0,1.0,2.0,1.0,30.0,19.0,22.0,0.5,0.75,0.3333333333333333,0.23076923076923078,,0.1111111111111111,0.25,0.5,0.6666666666666666,0.5,0.42,0.6666666666666666,0.3235294117647059,0.515625,0.6666666666666666,0.4318181818181818,0.16666666666666666,0.16666666666666666,0.25,,0.7777777777777778,0.5,0.5,,0.6923076923076923,0.25,0.5,1.0,,0.7142857142857143,1.0,0.5,,0.5,0.24,0.6666666666666666,0.8,0.25,0.16,0.08,,,0.48,0.25,0.25,0.3333333333333333,1.0,0.6666666666666666,,,,0.29411764705882354,0.6,0.47058823529411764,0.125,0.2727272727272727,0.6014666666666667,0.520209375,0.16666666666666666,0.29411764705882354,0.11764705882352941,0.5588235294117647,6.208333333333333,0.7096774193548387,2.0,,,2.0,,,1.0,2.0,1.0,2.0,0.5,0.6666666666666666,1.0,,,,,,2.0,,,,,,1.0,,,,,,,0.058823529411764705,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2023,2022-23,True
