EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Transition Take Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyFG2M,PtsPutbacks,AtRimAssists,PenaltyFg2Pct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,ShortMidRangeAssists,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,BlockedAtRim,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BadPassSteals,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LostBallTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Blocked3s,BlockedCorner3,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Charge Fouls,Arc3PctBlocked,SecondChanceAtRimPctAssisted,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,BlockedArc3,Technical Free Throw Trips,Transition Take Fouls,3SecondViolations,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1627759-1627763-1628369-1628401-1629057,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Robert Williams III","Brown, Brogdon, Tatum, White, Williams III",1627759-1627763-1628369-1628401-1629057,BOS,1068.0,8,18.0,-1.0,32,35.0,9.0,8.0,67,4.0,1.0,2.0,1.0,7.0,5.0,8.0,1.0,3.0,1.0,2.0,3.0,14.0,2.0,3.0,2.0,4.0,6.0,19.0,4.0,17.0,11.0,35.0,36.0,3.0,5.0,2.0,3.0,4.0,16.0,6.0,3.0,6.0,2.0,11.0,4.0,8.0,9.0,3.0,14.0,3.0,2.0,2.0,3.0,5.0,2.0,1.0,2.0,13.0,4.0,7.0,7.0,7.0,14.0,11.0,25.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,10.0,3.0,1.0,12.0,1.0,5.0,2.0,3.0,3.0,3.0,2.0,19.0,11.0,9.0,1.0,0.3333333333333333,0.3333333333333333,0.75,0.23529411764705882,0.6666666666666666,0.5,0.23529411764705882,0.3157894736842105,0.6,0.3333333333333333,0.75,0.375,0.4166666666666667,0.8,0.4230769230769231,0.4722222222222222,0.10526315789473684,0.2857142857142857,0.875,0.5384615384615384,1.0,0.3333333333333333,0.9333333333333333,0.44,0.75,0.16666666666666666,1.0,0.3,0.5,1.0,0.8,1.0,0.043478260869565216,90.33707865168539,0.6666666666666666,17.6875,14.342857142857143,15.90625,14.028571428571428,0.1111111111111111,0.19444444444444445,0.14285714285714285,0.2,0.2222222222222222,0.625,0.625,0.4,0.08333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3888888888888889,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.125,0.375,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.5,0.5833333333333334,0.21428571428571427,0.4940791666666667,0.4678166666666667,0.5283958333333333,0.125,0.21739130434782608,0.45714285714285713,0.3142857142857143,10.88421052631579,25.91176470588235,0.28125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1628401-1629684,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Grant Williams","Brown, Brogdon, Tatum, White, Williams",1627759-1627763-1628369-1628401-1629684,BOS,73.0,1,1.0,4.0,2,3.0,2.0,1.0,5,3.0,1.0,3.0,,,,,,,,,,,,,,,2.0,3.0,,,,4.0,,1.0,1.0,,,,2.0,3.0,,,,4.0,2.0,2.0,,,,,,1.0,,1.0,,,,2.0,,1.0,2.0,1.0,3.0,1.0,4.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,2.0,4.0,2.0,,0.5,1.0,,,,,,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,,98.63013698630138,,12.5,16.0,11.5,16.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,0.6932,0.5856,0.6932,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5333333333333333,,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1628401-201143,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Al Horford","Brown, Brogdon, Tatum, White, Horford",1627759-1627763-1628369-1628401-201143,BOS,1690.0,13,28.0,-3.0,55,57.0,10.0,6.0,112,19.0,3.0,1.0,6.0,15.0,4.0,7.0,2.0,4.0,1.0,3.0,3.0,9.0,,2.0,,2.0,17.0,41.0,5.0,13.0,7.0,56.0,59.0,,4.0,2.0,4.0,1.0,7.0,4.0,1.0,5.0,2.0,9.0,14.0,20.0,15.0,,9.0,3.0,5.0,7.0,5.0,12.0,3.0,2.0,2.0,29.0,2.0,7.0,13.0,14.0,28.0,9.0,37.0,1.0,3.0,3.0,,1.0,,4.0,4.0,10.0,7.0,1.0,,9.0,1.0,4.0,1.0,6.0,3.0,6.0,3.0,49.0,9.0,10.0,1.0,0.4117647058823529,0.4117647058823529,1.0,0.38461538461538464,0.5,0.2,0.38461538461538464,0.4146341463414634,,0.4537037037037037,0.375,0.3888888888888889,0.4827586206896552,0.3888888888888889,0.45,0.24074074074074073,0.12195121951219512,0.13333333333333333,0.7,0.2916666666666667,0.8666666666666667,0.25,0.7714285714285715,0.28125,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3333333333333333,,0.75,0.42857142857142855,0.9,0.037037037037037035,95.43195266272188,0.5,15.49090909090909,14.701754385964913,15.018181818181818,14.087719298245615,0.35185185185185186,0.2777777777777778,0.4,0.46153846153846156,0.12962962962962962,0.5714285714285714,0.5714285714285714,0.5,0.07407407407407407,0.5,0.5,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.375,0.25,,,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2222222222222222,,0.5925925925925926,0.3333333333333333,0.5086703703703703,0.5255833333333334,0.5323,0.07017543859649122,0.09090909090909091,0.125,0.16071428571428573,7.007317073170732,26.023076923076925,0.18181818181818182,6.0,7.0,,1.0,2.0,,2.0,0.5,1.0,0.3684210526315789,0.4375,0.2857142857142857,,1.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,0.15789473684210525,0.75,1.0,0.8,0.5,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1628401-203935,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Derrick White, Marcus Smart","Brown, Brogdon, Tatum, White, Smart",1627759-1627763-1628369-1628401-203935,BOS,32.0,4,1.0,4.0,2,3.0,2.0,,5,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,2.0,,,4.0,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,225.0,,2.0,9.333333333333334,2.0,9.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1629057-1629684,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Robert Williams III, Grant Williams","Brown, Brogdon, Tatum, Williams III, Williams",1627759-1627763-1628369-1629057-1629684,BOS,771.0,5,13.0,9.0,25,26.0,10.0,,51,7.0,,3.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,,,,1.0,11.0,14.0,3.0,6.0,6.0,37.0,28.0,,,,,,,6.0,1.0,2.0,4.0,15.0,14.0,8.0,9.0,,5.0,2.0,,7.0,3.0,10.0,2.0,1.0,1.0,23.0,,,7.0,2.0,10.0,,10.0,,3.0,2.0,,,,2.0,4.0,6.0,6.0,1.0,,6.0,,1.0,2.0,1.0,1.0,1.0,1.0,37.0,15.0,10.0,2.0,0.6363636363636364,0.6363636363636364,1.0,0.5,,0.5,0.5,0.7857142857142857,,0.775,,0.6875,0.8043478260869565,,0.75,0.3,,,0.4,,0.7777777777777778,,0.6428571428571429,,,,,,,,0.4,0.7142857142857143,,95.25291828793775,1.0,14.2,16.0,14.2,15.076923076923077,0.35,0.25,0.6,0.6,0.1,1.0,1.0,0.5,0.05,1.0,1.0,1.0,0.25,0.4,0.4,1.0,,,,,0.375,0.125,1.0,0.125,,0.65,0.4,0.52763,,0.55425,0.047619047619047616,0.06666666666666667,,0.40540540540540543,6.835714285714286,27.28333333333333,0.4,2.0,6.0,,2.0,4.0,,5.0,0.6666666666666666,,0.8571428571428571,0.8571428571428571,0.8333333333333334,,0.6666666666666666,,,1.0,1.0,2.0,2.0,,1.0,,,,,1.0,1.0,1.0,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1629057-1630202,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Robert Williams III, Payton Pritchard","Brown, Brogdon, Tatum, Williams III, Pritchard",1627759-1627763-1628369-1629057-1630202,BOS,81.0,1,1.0,-3.0,3,3.0,,,6,1.0,,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,2.0,4.0,7.0,,,,,,,,,,,,2.0,,,,1.0,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,3.0,,,,,,,,4.0,,,,1.0,1.0,,,,,,1.0,,0.5,,,0.6666666666666666,,,0.5,,,,,,,,,,,,,,,,,,106.66666666666666,,20.333333333333332,6.666666666666667,20.333333333333332,6.0,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,1.0,,0.496925,,,0.3333333333333333,,,,3.0,28.4,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1629057-201143,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Robert Williams III, Al Horford","Brown, Brogdon, Tatum, Williams III, Horford",1627759-1627763-1628369-1629057-201143,BOS,235.0,3,4.0,-6.0,10,9.0,,,19,1.0,,,1.0,1.0,1.0,1.0,,,,,,4.0,,,,,2.0,3.0,,4.0,,4.0,10.0,,,,,,,,,,,,2.0,2.0,,,4.0,,,1.0,,1.0,,,,2.0,,,2.0,2.0,4.0,,4.0,,,,1.0,2.0,,3.0,1.0,2.0,1.0,,,,,,,,,,,4.0,,,,0.5,0.5,,,,,,0.6666666666666666,,0.2857142857142857,,,0.2857142857142857,,,0.5714285714285714,,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,116.42553191489363,,13.8,10.777777777777779,13.8,10.777777777777779,0.14285714285714285,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,,,,,,0.5714285714285714,,,,,,,,,,,,,0.7142857142857143,,0.48559285714285716,,,,,,,8.233333333333333,27.325,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1629057-203935,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Robert Williams III, Marcus Smart","Brown, Brogdon, Tatum, Williams III, Smart",1627759-1627763-1628369-1629057-203935,BOS,1433.0,12,24.0,-5.0,44,49.0,6.0,4.0,93,11.0,4.0,1.0,5.0,11.0,1.0,5.0,1.0,3.0,,1.0,7.0,14.0,,1.0,,1.0,15.0,27.0,8.0,17.0,10.0,64.0,69.0,3.0,4.0,,1.0,2.0,8.0,2.0,,2.0,3.0,7.0,12.0,18.0,9.0,15.0,14.0,7.0,1.0,6.0,3.0,9.0,2.0,1.0,,21.0,2.0,3.0,6.0,7.0,15.0,5.0,20.0,,4.0,1.0,,,,1.0,5.0,8.0,14.0,2.0,,12.0,4.0,8.0,,1.0,1.0,1.0,,56.0,7.0,6.0,,0.4,0.5,0.375,0.47058823529411764,,,0.47058823529411764,0.5555555555555556,0.75,0.6136363636363636,0.6,0.5,0.6666666666666666,0.8,0.7,0.38636363636363635,0.037037037037037035,0.09090909090909091,0.7777777777777778,0.25,0.8571428571428571,0.2222222222222222,0.8125,0.23809523809523808,0.5,0.3333333333333333,,0.2857142857142857,,1.0,0.6666666666666666,0.8333333333333334,,93.4542916957432,,17.09090909090909,13.89795918367347,16.931818181818183,12.959183673469388,0.25,0.25,0.45454545454545453,0.5,0.11363636363636363,0.2,0.2,,0.06818181818181818,0.3333333333333333,0.3333333333333333,1.0,0.3181818181818182,0.5,0.5,0.2857142857142857,0.8,0.2,,,0.25,0.25,,0.25,,0.6363636363636364,0.5,0.5148704545454545,0.5819666666666666,0.493775,0.16666666666666666,0.25806451612903225,0.125,0.109375,6.844444444444445,25.188235294117646,0.13636363636363635,7.0,9.0,3.0,1.0,2.0,6.0,2.0,1.0,1.0,0.8181818181818182,0.8181818181818182,0.2222222222222222,0.75,1.0,,,4.0,2.0,1.0,,1.0,,,,,,1.0,1.0,1.0,0.8,,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1629684-201143,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Grant Williams, Al Horford","Brown, Brogdon, Tatum, Williams, Horford",1627759-1627763-1628369-1629684-201143,BOS,440.0,6,7.0,-1.0,11,14.0,2.0,,25,2.0,,,1.0,2.0,,,,,,,3.0,4.0,,,,,1.0,4.0,3.0,4.0,4.0,15.0,16.0,,,,,,,1.0,,,2.0,4.0,,2.0,9.0,,4.0,3.0,1.0,,3.0,3.0,3.0,,,9.0,,,2.0,1.0,4.0,,4.0,,2.0,1.0,,,,1.0,1.0,1.0,6.0,,,4.0,,2.0,,,,,,15.0,4.0,2.0,,,,1.0,0.75,,,0.75,0.25,,0.6875,,1.0,0.75,,1.0,0.5,0.25,,1.0,,1.0,,1.0,,,,,,,,,1.0,,81.81818181818183,,21.90909090909091,14.214285714285714,21.90909090909091,14.0,0.25,0.25,0.5,0.5,,,,,,,,,0.5,0.75,0.75,1.0,,,,,,,,,,0.75,0.75,0.52900625,,0.3264,0.2,0.3333333333333333,,0.26666666666666666,5.325,26.05,0.18181818181818182,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,0.5,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
1627759-1627763-1628369-1629684-203935,1610612738,"Jaylen Brown, Malcolm Brogdon, Jayson Tatum, Grant Williams, Marcus Smart","Brown, Brogdon, Tatum, Williams, Smart",1627759-1627763-1628369-1629684-203935,BOS,94.0,2,2.0,2.0,2,4.0,2.0,,6,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,,,2.0,,1.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,91.91489361702128,,12.0,17.5,12.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2023,2022-23,True
