EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,OffThreePtRebounds,OffRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondChancePointsPct,Corner3FGM,Corner3FGA,Corner3Assists,BlockedAtRim,DefAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG3A,PtsPutbacks,OffTwoPtRebounds,SelfOReb,OffTwoPtReboundPct,OffAtRimReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFtPoints,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,LongMidRangeFGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsAssisted2s,PtsUnassisted3s,Fg2aBlocked,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,ShootingFouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,Technical Free Throw Trips,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,PenaltyCorner3FGM,FTOffRebounds,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,BlockedLongMidRange,Transition Take Fouls Drawn,OffensiveGoaltends,BlockedCorner3,Charge Fouls,DefensiveGoaltends,Transition Take Fouls,3SecondViolations,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1626162-1626179-1628372-1629004-1629023,1610612766,"Kelly Oubre Jr., Terry Rozier, Dennis Smith Jr., Svi Mykhailiuk, P.J. Washington","Oubre Jr., Rozier, Smith Jr., Mykhailiuk, Washington",1626162-1626179-1628372-1629004-1629023,CHA,86.0,1,1.0,4.0,4.0,3.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,6.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,117.20930232558139,1.0,7.5,18.666666666666668,7.5,18.666666666666668,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.65935,0.65935,1.0,4.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2023,2022-23,True
1626162-1626179-1628372-1629004-1630163,1610612766,"Kelly Oubre Jr., Terry Rozier, Dennis Smith Jr., Svi Mykhailiuk, LaMelo Ball","Oubre Jr., Rozier, Smith Jr., Mykhailiuk, Ball",1626162-1626179-1628372-1629004-1630163,CHA,121.0,1,2.0,,6.0,6.0,6.0,12.0,1.0,3.0,1.0,3.0,,,1.0,3.0,,5.0,5.0,1.0,3.0,,5.0,2.0,2.0,1.0,3.0,3.0,,,,,,,,5.0,5.0,6.0,,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,1.0,1.0,,1.0,142.8099173553719,,12.666666666666666,7.5,12.666666666666666,7.5,0.6,0.3333333333333333,0.3333333333333333,,,,0.6,0.3333333333333333,1.0,0.62478,0.62478,1.0,1.5333333333333332,1.0,6.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.4,1.0,1.0,1.0,0.4,0.5,0.5,1.0,0.4,0.5,0.5,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2023,2022-23,True
1626162-1626179-1628372-1629023-1629667,1610612766,"Kelly Oubre Jr., Terry Rozier, Dennis Smith Jr., P.J. Washington, Jalen McDaniels","Oubre Jr., Rozier, Smith Jr., Washington, McDaniels",1626162-1626179-1628372-1629023-1629667,CHA,6.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,240.0,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2023,2022-23,True
1626162-1626179-1628372-1629023-1630208,1610612766,"Kelly Oubre Jr., Terry Rozier, Dennis Smith Jr., P.J. Washington, Nick Richards","Oubre Jr., Rozier, Smith Jr., Washington, Richards",1626162-1626179-1628372-1629023-1630208,CHA,59.0,1,1.0,2.0,2.0,2.0,,4.0,,,,,1.0,1.0,1.0,1.0,,2.0,,,,,,2.0,1.0,,1.0,2.0,,,,,,,,,,,,1.0,,0.3333333333333333,,0.3333333333333333,,,1.0,1.0,,,97.6271186440678,,16.5,13.0,15.0,13.0,,,,0.3333333333333333,1.0,1.0,,,0.6666666666666666,0.5518166666666667,,,4.8,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,0.6666666666666666,,,1.0,0.6666666666666666,,,,,,,27.2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2023,2022-23,True
1626162-1626179-1628372-1629023-1630539,1610612766,"Kelly Oubre Jr., Terry Rozier, Dennis Smith Jr., P.J. Washington, Kai Jones","Oubre Jr., Rozier, Smith Jr., Washington, Jones",1626162-1626179-1628372-1629023-1630539,CHA,62.0,1,1.0,,2.0,2.0,,4.0,,,,,,1.0,,1.0,,3.0,3.0,,,,,,,1.0,1.0,1.0,,,,2.0,,2.0,1.0,3.0,,,,,,0.75,,0.75,,0.5,,0.5,,,92.9032258064516,0.5,15.0,16.0,15.0,12.5,,,,0.5,,,,,0.5,0.505875,,,9.0,,,,,,,1.0,1.0,,,3.0,,,1.0,1.0,,3.0,,,,,,,,1.0,1.0,,1.0,0.5,,,,,,,,,,,23.3,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2023,2022-23,True
1626162-1626179-1628372-1629023-1630550,1610612766,"Kelly Oubre Jr., Terry Rozier, Dennis Smith Jr., P.J. Washington, JT Thor","Oubre Jr., Rozier, Smith Jr., Washington, Thor",1626162-1626179-1628372-1629023-1630550,CHA,179.0,1,3.0,-6.0,5.0,7.0,,12.0,1.0,3.0,,,,,1.0,3.0,,2.0,8.0,,,,,2.0,,3.0,3.0,5.0,1.0,,,2.0,1.0,2.0,1.0,,,,,0.3333333333333333,,0.14285714285714285,,0.14285714285714285,,0.75,,0.75,0.5,,96.53631284916202,0.5,15.8,14.285714285714286,15.4,14.142857142857142,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,,,,1.0,0.56025,,,1.9000000000000001,,,,3.0,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,0.5714285714285714,,,,0.42857142857142855,,,,,,,24.85,2.0,1.0,1.0,2.0,,2.0,1.0,0.5,0.5,,0.3333333333333333,,1.0,,1.0,,1.0,1.0,0.14285714285714285,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.5,1.0,0.5,0.584225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2023,2022-23,True
1626162-1626179-1628372-1629023-202330,1610612766,"Kelly Oubre Jr., Terry Rozier, Dennis Smith Jr., P.J. Washington, Gordon Hayward","Oubre Jr., Rozier, Smith Jr., Washington, Hayward",1626162-1626179-1628372-1629023-202330,CHA,81.0,4,1.0,,6.0,4.0,5.0,10.0,,3.0,,3.0,,,,3.0,4.0,4.0,4.0,,3.0,2.0,2.0,,,,,3.0,3.0,4.0,1.0,,,,,2.0,2.0,5.0,1.0,,,,,0.2222222222222222,0.125,,,,,,177.77777777777777,,8.0,8.25,7.166666666666667,8.25,0.42857142857142855,,,,,,0.42857142857142855,,1.0,0.5438785714285714,0.5438785714285714,0.5,1.4333333333333336,0.8333333333333334,4.0,,2.0,,2.0,,4.0,,4.0,,2.0,,,,,,,,,,2.0,2.0,2.0,,,,,0.5714285714285714,,,,0.2857142857142857,,,,0.2857142857142857,,,24.325,2.0,,1.0,2.0,1.0,3.0,,,0.3333333333333333,0.25,0.42857142857142855,0.5,0.5,,2.0,,,,0.2857142857142857,,,,,1.0,,1.0,,2.0,1.0,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.5,,,0.5897,1.0,2.0,2.0,1.0,1.0,0.5,0.2857142857142857,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2023,2022-23,True
1626162-1626179-1628372-1629023-203486,1610612766,"Kelly Oubre Jr., Terry Rozier, Dennis Smith Jr., P.J. Washington, Mason Plumlee","Oubre Jr., Rozier, Smith Jr., Washington, Plumlee",1626162-1626179-1628372-1629023-203486,CHA,3302.0,6,55.0,-4.0,102.0,101.0,11.0,203.0,22.0,34.0,2.0,2.0,11.0,21.0,37.0,64.0,13.0,114.0,118.0,3.0,6.0,1.0,7.0,36.0,15.0,23.0,39.0,56.0,23.0,16.0,1.0,6.0,3.0,6.0,4.0,99.0,7.0,11.0,1.0,0.578125,0.5,0.5260416666666666,0.3,0.5588235294117647,0.3181818181818182,0.71875,0.5769230769230769,0.6551724137931034,0.7272727272727273,0.6470588235294118,88.5281647486372,0.6666666666666666,17.107843137254903,15.415841584158416,15.872549019607844,14.722772277227723,0.3541666666666667,0.6470588235294118,0.7096774193548387,0.21875,0.5238095238095238,0.6111111111111112,0.2,1.0,0.6875,0.5348286458333333,0.504115,0.06140350877192982,5.984375,0.10784313725490197,6.0,7.0,24.0,,3.0,9.0,32.0,,4.0,24.0,24.0,7.0,8.0,27.0,6.0,62.0,11.0,7.0,17.0,1.0,19.0,3.0,,0.8888888888888888,0.28125,,0.28125,0.3333333333333333,0.6470588235294118,0.5714285714285714,0.4444444444444444,0.25,0.2916666666666667,0.2916666666666667,0.8571428571428571,0.3,,0.2916666666666667,25.5625,13.0,4.0,11.0,15.0,10.0,17.0,0.36363636363636365,0.4375,0.46875,0.43478260869565216,0.34,0.35294117647058826,0.13157894736842105,2.0,8.0,2.0,3.0,0.7857142857142857,0.08333333333333333,0.25,0.25,1.0,2.0,6.0,5.0,5.0,4.0,7.0,1.0,0.25925925925925924,0.16666666666666666,0.022727272727272728,0.375,0.3333333333333333,0.3125,0.46899285714285716,,1.0,1.0,1.0,7.0,,0.1,0.06930693069306931,0.10144927536231885,4.0,9.0,2.0,2.0,38.0,3.0,6.0,19.0,12.0,6.0,1.0,1.0,7.0,5.0,2.0,2.0,6.0,2.0,4.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,0.5135135135135135,0.5428571428571428,0.4,0.09375,0.08823529411764706,0.14285714285714285,1.0,0.4,0.2,0.6666666666666666,0.5454545454545454,0.5454545454545454,0.09375,0.4444444444444444,0.4444444444444444,0.25,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2023,2022-23,True
1626162-1626179-1628372-1629667-203486,1610612766,"Kelly Oubre Jr., Terry Rozier, Dennis Smith Jr., Jalen McDaniels, Mason Plumlee","Oubre Jr., Rozier, Smith Jr., McDaniels, Plumlee",1626162-1626179-1628372-1629667-203486,CHA,732.0,4,12.0,-6.0,23.0,23.0,,46.0,5.0,8.0,,,1.0,2.0,9.0,14.0,4.0,25.0,31.0,,,,,8.0,4.0,2.0,6.0,7.0,4.0,4.0,,,,,,25.0,,,,0.6428571428571429,,0.5833333333333334,,0.625,,1.0,0.6666666666666666,0.75,1.0,0.5,90.49180327868854,,15.217391304347826,16.608695652173914,15.08695652173913,16.52173913043478,0.4444444444444444,0.625,0.625,0.1111111111111111,0.5,1.0,,,0.6666666666666666,0.5246944444444444,,,6.785714285714286,,13.0,1.0,3.0,,,1.0,4.0,,,3.0,3.0,1.0,1.0,6.0,1.0,13.0,,,4.0,,5.0,,,1.0,0.25,,0.25,0.2222222222222222,,,0.75,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,,,0.3333333333333333,25.55,1.0,,1.0,,,1.0,,,,,0.125,,,,1.0,,,,0.05555555555555555,,,,,1.0,,,,1.0,,0.2,,,1.0,,,0.6239,,,,,2.0,,,0.1,0.125,3.0,4.0,,,10.0,,1.0,5.0,4.0,,1.0,,1.0,1.0,,1.0,4.0,,,,,2.0,2.0,,,,0.5555555555555556,0.5555555555555556,,0.07142857142857142,,0.5,,,1.0,,0.8,,0.2222222222222222,0.75,0.75,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2023,2022-23,True
1626162-1626179-1628372-1630208-1630539,1610612766,"Kelly Oubre Jr., Terry Rozier, Dennis Smith Jr., Nick Richards, Kai Jones","Oubre Jr., Rozier, Smith Jr., Richards, Jones",1626162-1626179-1628372-1630208-1630539,CHA,580.0,2,10.0,-8.0,19.0,19.0,13.0,38.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,9.0,1.0,9.0,17.0,4.0,7.0,,8.0,4.0,3.0,7.0,10.0,12.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,9.0,8.0,13.0,1.0,0.4444444444444444,0.5714285714285714,0.25,0.3333333333333333,0.25,0.3076923076923077,0.7777777777777778,1.0,0.8333333333333334,0.75,1.0,94.3448275862069,1.0,14.368421052631579,16.157894736842106,14.105263157894736,16.05263157894737,0.3125,0.4,0.5,0.25,0.5,0.5,0.3333333333333333,0.5,0.75,0.545678125,0.5690791666666667,0.8888888888888888,4.511111111111111,0.6842105263157895,2.0,,4.0,,2.0,,7.0,,5.0,,4.0,,,2.0,,4.0,2.0,2.0,4.0,3.0,4.0,1.0,,,,,,0.4375,0.5,1.0,,0.25,,,,0.16666666666666666,,,24.357142857142858,2.0,,1.0,,2.0,2.0,,,,0.2857142857142857,0.16666666666666666,0.25,,,3.0,,,0.75,0.1875,,,,,1.0,,,,,1.0,,,0.09090909090909091,1.0,,,,,3.0,,,1.0,,0.25,0.058823529411764705,0.1,,,,,4.0,,1.0,2.0,1.0,1.0,,,1.0,,1.0,,2.0,,,,1.0,1.0,1.0,,3.0,,0.5,0.5,,0.1111111111111111,0.2,,,,,0.3333333333333333,0.5,0.5,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612766,2023,2022-23,True
