EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,DefAtRimReboundPct,LostBallSteals,NonShootingPenaltyNonTakeFoulsDrawn,OffShortMidRangeReboundPct,Charge Fouls,FTOffRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,LostBallTurnovers,PenaltyCorner3FGM,Travels,PenaltyCorner3Accuracy,Loose Ball Fouls,Transition Take Fouls Drawn,DefLongMidRangeReboundPct,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,2pt And 1 Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Arc3Assists,RecoveredBlocks,SecondChanceFg3Pct,BlocksRecoveredPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,Offensive Fouls,ThreePtShootingFoulsDrawn,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,ShortMidRangePctBlocked,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,3SecondViolations,SecondChanceCorner3PctAssisted,HeaveAttempts,Charge Fouls Drawn,team_id,year,season,team_vs
1626224-1627747-1628378-1628386-1629636,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Jarrett Allen, Darius Garland","Osman, LeVert, Mitchell, Allen, Garland",1626224-1627747-1628378-1628386-1629636,CLE,573.0,3,10.0,8.0,17.0,18.0,9.0,10.0,3.0,35.0,6.0,8.0,2.0,3.0,4.0,5.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,9.0,12.0,2.0,6.0,6.0,30.0,22.0,2.0,3.0,2.0,6.0,4.0,6.0,1.0,4.0,2.0,13.0,8.0,10.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,11.0,2.0,2.0,4.0,1.0,5.0,4.0,9.0,1.0,2.0,2.0,2.0,5.0,3.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,24.0,11.0,8.0,1.0,0.4444444444444444,0.5,0.5,0.3333333333333333,0.25,0.3333333333333333,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.55,0.7142857142857143,0.75,0.5909090909090909,0.3333333333333333,0.5,0.6666666666666666,0.8,0.5,0.7142857142857143,0.5714285714285714,1.0,0.5,0.5,0.5,0.75,1.0,0.14285714285714285,87.95811518324606,15.294117647058824,17.38888888888889,14.647058823529411,16.166666666666668,0.4444444444444444,0.75,0.75,0.5,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.05555555555555555,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5,0.8,0.2,0.2,0.5,0.7777777777777778,0.3333333333333333,0.5935944444444444,0.6446,0.600125,0.1,0.14285714285714285,0.2,0.43333333333333335,5.116666666666666,24.53333333333333,0.5294117647058824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1628386-1630171,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Jarrett Allen, Isaac Okoro","Osman, LeVert, Mitchell, Allen, Okoro",1626224-1627747-1628378-1628386-1630171,CLE,245.0,2,4.0,2.0,8.0,6.0,2.0,,1.0,14.0,,1.0,,,,,1.0,3.0,,,,,,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,7.0,5.0,,,,,,,1.0,1.0,,3.0,,2.0,,3.0,,2.0,1.0,,,,,,,,1.0,,1.0,1.0,2.0,1.0,3.0,,,,,,2.0,2.0,1.0,,,,,,,,7.0,3.0,2.0,,,,,0.5,1.0,0.5,0.25,,,0.4166666666666667,,1.5,0.5,,1.5,0.3333333333333333,0.3333333333333333,,1.0,1.0,0.5,0.25,,1.0,,,,1.0,,82.28571428571429,18.125,16.666666666666668,17.375,16.5,0.16666666666666666,,,,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,0.3333333333333333,0.5,0.5,,,,,,1.0,1.0,0.5,0.5,0.4674833333333333,,0.4563,0.14285714285714285,0.2,,0.42857142857142855,6.1,27.1,0.25,2.0,1.0,2.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1628386-1630596,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Jarrett Allen, Evan Mobley","Osman, LeVert, Mitchell, Allen, Mobley",1626224-1627747-1628378-1628386-1630596,CLE,237.0,3,4.0,4.0,8.0,9.0,1.0,8.0,,17.0,4.0,4.0,,,,,,,,,,,,,2.0,,,4.0,4.0,,2.0,2.0,10.0,6.0,,,,,,,,,2.0,2.0,4.0,4.0,,,,2.0,,2.0,,2.0,,2.0,,4.0,,,4.0,1.0,5.0,,5.0,,1.0,,1.0,1.0,1.0,2.0,,1.0,,,,,,,10.0,2.0,1.0,,0.5,0.5,,,,,1.0,,,0.6666666666666666,,,0.7142857142857143,,1.0,0.3333333333333333,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,103.29113924050633,13.375,14.444444444444445,13.375,14.444444444444445,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,1.0,,0.6935583333333333,,,,,,0.2,0.95,25.5,0.125,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1628386-201980,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Jarrett Allen, Danny Green","Osman, LeVert, Mitchell, Allen, Green",1626224-1627747-1628378-1628386-201980,CLE,65.0,1,1.0,2.0,3.0,2.0,3.0,,1.0,5.0,,,,,,,,3.0,,,,1.0,,,,,,,3.0,,1.0,2.0,2.0,,,2.0,,,,3.0,,,2.0,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,2.0,3.0,,,,,,2.0,2.0,,1.0,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,0.2,,0.25,0.25,,0.3333333333333333,1.0,1.0,1.0,0.5,,,1.0,,,1.0,,110.76923076923077,17.666666666666668,6.0,11.333333333333334,6.0,,,,,0.75,,,,,,,0.25,,,,,,,,,,,,,,0.25,,0.4699125,0.4163,0.4194,,,,1.0,8.0,22.5,1.0,,,,,,1.0,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1629636-1630596,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Darius Garland, Evan Mobley","Osman, LeVert, Mitchell, Garland, Mobley",1626224-1627747-1628378-1629636-1630596,CLE,29.0,2,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,99.3103448275862,20.0,9.0,20.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1630171-1630596,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Isaac Okoro, Evan Mobley","Osman, LeVert, Mitchell, Okoro, Mobley",1626224-1627747-1628378-1630171-1630596,CLE,319.0,3,5.0,-6.0,11.0,12.0,11.0,7.0,4.0,23.0,3.0,7.0,1.0,3.0,3.0,7.0,1.0,3.0,,1.0,,1.0,1.0,,,,,4.0,11.0,,1.0,,8.0,14.0,1.0,4.0,,2.0,4.0,11.0,,1.0,,8.0,2.0,6.0,,,2.0,,,1.0,,1.0,,1.0,,2.0,,3.0,3.0,,4.0,4.0,8.0,,,,3.0,4.0,1.0,2.0,,1.0,1.0,,,1.0,,1.0,6.0,8.0,11.0,1.0,0.25,0.3333333333333333,,,,,0.36363636363636365,0.25,0.36363636363636365,0.3333333333333333,0.25,0.3333333333333333,0.3076923076923077,0.25,0.3076923076923077,0.08333333333333333,,0.42857142857142855,1.0,,0.75,0.375,0.5,,,,1.0,1.0,,103.82445141065831,15.545454545454545,12.333333333333334,13.727272727272727,11.416666666666666,0.5833333333333334,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.08333333333333333,,,,0.08333333333333333,,,,,,,0.75,0.3333333333333333,0.5833333333333334,0.42857142857142855,0.08333333333333333,,,0.6666666666666666,,0.5322666666666667,0.546,0.5322666666666667,,,0.25,1.0,5.9818181818181815,23.5,1.0,,,2.0,1.0,2.0,1.0,,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1630205-1630596,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Lamar Stevens, Evan Mobley","Osman, LeVert, Mitchell, Stevens, Mobley",1626224-1627747-1628378-1630205-1630596,CLE,22.0,1,,2.0,2.0,1.0,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,196.36363636363637,6.5,9.0,6.5,9.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.8712,,,,,,,0.9,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628378-1630596-201980,1610612739,"Cedi Osman, Caris LeVert, Donovan Mitchell, Evan Mobley, Danny Green","Osman, LeVert, Mitchell, Mobley, Green",1626224-1627747-1628378-1630596-201980,CLE,262.0,2,4.0,2.0,8.0,9.0,6.0,,1.0,17.0,3.0,4.0,,1.0,2.0,3.0,,1.0,,,1.0,1.0,1.0,,2.0,,2.0,3.0,5.0,1.0,3.0,,9.0,7.0,,1.0,,,2.0,4.0,1.0,3.0,,7.0,2.0,4.0,3.0,,,2.0,,1.0,1.0,2.0,1.0,1.0,,5.0,,2.0,3.0,1.0,4.0,2.0,6.0,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,9.0,7.0,6.0,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,,0.5,0.5625,,0.5,0.5625,,0.5,0.375,1.0,1.0,0.75,,0.8,0.5,1.0,,,1.0,0.6666666666666666,1.0,,93.4351145038168,13.375,17.22222222222222,12.25,15.88888888888889,0.5,0.75,0.75,0.3333333333333333,0.125,,,,,,,0.125,1.0,1.0,1.0,0.25,,,1.0,,0.42857142857142855,0.6666666666666666,0.14285714285714285,0.2857142857142857,,0.875,,0.6665125,0.5702,0.6345,,,,0.7777777777777778,2.12,24.53333333333333,0.75,1.0,,2.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,0.5,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628386-1629636-1630171,1610612739,"Cedi Osman, Caris LeVert, Jarrett Allen, Darius Garland, Isaac Okoro","Osman, LeVert, Allen, Garland, Okoro",1626224-1627747-1628386-1629636-1630171,CLE,202.0,2,3.0,3.0,6.0,6.0,,,1.0,12.0,2.0,2.0,1.0,1.0,,,2.0,2.0,,2.0,,,,,1.0,,,4.0,6.0,,1.0,1.0,9.0,6.0,1.0,1.0,,2.0,,,,,,,,8.0,,,2.0,1.0,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,3.0,,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,7.0,,,,,,,,,,0.6666666666666666,1.0,,0.5714285714285714,1.0,,0.5625,1.0,,0.14285714285714285,0.5,0.5,1.0,,0.6666666666666666,0.3333333333333333,,,,,,1.0,,85.54455445544555,14.166666666666666,19.5,14.166666666666666,19.333333333333332,0.2857142857142857,1.0,1.0,,0.2857142857142857,1.0,1.0,0.2857142857142857,,,,,,,,0.14285714285714285,,,1.0,1.0,,,,,,0.42857142857142855,,0.47442142857142855,0.6184,,,,0.2222222222222222,,9.1,24.8,,,,,,,,,1.0,,,,,,,,,,,0.5,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
1626224-1627747-1628386-1629636-1630596,1610612739,"Cedi Osman, Caris LeVert, Jarrett Allen, Darius Garland, Evan Mobley","Osman, LeVert, Allen, Garland, Mobley",1626224-1627747-1628386-1629636-1630596,CLE,48.0,1,1.0,-3.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,21.0,27.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2023,2022-23,True
