EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PtsUnassisted3s,Corner3Assists,OffThreePtRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,SecondChanceAtRimFGM,PenaltyArc3FGM,PenaltyFG3M,Fg3aBlocked,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls Drawn,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,PenaltyCorner3FGM,ThreePtShootingFoulsDrawn,OffCorner3ReboundPct,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Travels,PtsPutbacks,HeaveAttempts,DefensiveGoaltends,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,Charge Fouls,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Transition Take Fouls,team_id,year,season,team_vs
1628392-1628404-1628973-1629628-1630167,1610612752,"Isaiah Hartenstein, Josh Hart, Jalen Brunson, RJ Barrett, Obi Toppin","Hartenstein, Hart, Brunson, Barrett, Toppin",1628392-1628404-1628973-1629628-1630167,NYK,1020.0,5,17.0,2.0,31.0,30.0,9.0,14.0,3.0,61.0,2.0,6.0,1.0,2.0,2.0,2.0,7.0,2.0,4.0,1.0,5.0,13.0,1.0,3.0,6.0,17.0,5.0,14.0,6.0,33.0,31.0,1.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,8.0,8.0,4.0,15.0,13.0,5.0,4.0,4.0,5.0,9.0,5.0,1.0,2.0,1.0,23.0,5.0,7.0,1.0,3.0,11.0,5.0,16.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,5.0,7.0,1.0,9.0,2.0,7.0,1.0,3.0,1.0,31.0,8.0,9.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.35714285714285715,0.35714285714285715,0.35294117647058826,0.3333333333333333,0.75,0.43548387096774194,0.25,0.42857142857142855,0.4852941176470588,0.25,0.5,0.45161290322580644,0.23529411764705882,0.5,0.14285714285714285,1.0,1.0,0.3333333333333333,0.45454545454545453,0.7,0.6153846153846154,0.25,0.75,0.2,0.5,0.3333333333333333,0.6666666666666666,0.75,0.0625,86.11764705882354,18.612903225806452,14.766666666666667,17.580645161290324,13.533333333333333,0.1935483870967742,0.3333333333333333,0.6666666666666666,0.5,0.22580645161290322,0.2857142857142857,0.3333333333333333,1.0,0.12903225806451613,0.5,0.5,0.5,0.03225806451612903,0.41935483870967744,0.38461538461538464,0.38461538461538464,1.0,0.25,0.25,0.2857142857142857,1.0,0.42857142857142855,0.6451612903225806,0.38461538461538464,0.4997145161290322,0.46685,0.5178071428571428,0.09090909090909091,0.15789473684210525,0.06060606060606061,0.24242424242424243,7.917647058823529,26.014285714285712,0.2903225806451613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1628392-1628404-1628973-1629628-203944,1610612752,"Isaiah Hartenstein, Josh Hart, Jalen Brunson, RJ Barrett, Julius Randle","Hartenstein, Hart, Brunson, Barrett, Randle",1628392-1628404-1628973-1629628-203944,NYK,1448.0,6,24.0,13.0,47.0,50.0,14.0,13.0,6.0,97.0,6.0,10.0,,2.0,2.0,1.0,5.0,,1.0,5.0,7.0,19.0,3.0,3.0,7.0,16.0,9.0,24.0,18.0,59.0,46.0,1.0,2.0,4.0,13.0,2.0,3.0,4.0,10.0,14.0,8.0,6.0,24.0,19.0,7.0,2.0,4.0,8.0,12.0,6.0,3.0,1.0,,32.0,3.0,7.0,19.0,1.0,27.0,8.0,35.0,,4.0,2.0,2.0,2.0,2.0,4.0,,2.0,5.0,15.0,3.0,15.0,,22.0,1.0,7.0,4.0,46.0,14.0,14.0,4.0,0.5714285714285714,0.5714285714285714,0.8888888888888888,0.375,0.375,0.4375,0.5,0.6666666666666666,0.5125,0.9166666666666666,0.2857142857142857,0.58,0.8125,0.5833333333333334,0.6,0.125,0.2,,0.5,0.5,0.9047619047619048,0.3333333333333333,0.6363636363636364,0.8125,0.34782608695652173,0.25,0.5,,0.8571428571428571,0.8571428571428571,0.25,,96.46408839779005,13.02127659574468,16.72,11.808510638297872,16.1,0.25,0.6,0.75,0.5,0.125,0.2,0.2,1.0,0.025,,,,0.125,0.475,0.3684210526315789,0.3684210526315789,0.8571428571428571,,0.5,0.2857142857142857,1.0,0.42857142857142855,0.85,0.3684210526315789,0.5743179487179487,0.4767,0.5927083333333333,0.15217391304347827,0.3181818181818182,0.22033898305084745,0.23728813559322035,4.775,26.104166666666668,0.2978723404255319,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.75,0.35714285714285715,0.45454545454545453,0.9090909090909091,1.0,1.0,0.4,0.4,1.0,0.16666666666666666,1.0,1.0,0.6666666666666666,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1628392-1628404-1628973-1629656-1630167,1610612752,"Isaiah Hartenstein, Josh Hart, Jalen Brunson, Quentin Grimes, Obi Toppin","Hartenstein, Hart, Brunson, Grimes, Toppin",1628392-1628404-1628973-1629656-1630167,NYK,473.0,3,8.0,-1.0,15.0,13.0,5.0,2.0,1.0,28.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,4.0,2.0,5.0,,3.0,3.0,4.0,3.0,9.0,3.0,18.0,19.0,1.0,1.0,,2.0,1.0,1.0,4.0,2.0,7.0,4.0,2.0,9.0,5.0,2.0,,2.0,3.0,5.0,2.0,2.0,,,13.0,,1.0,,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,,2.0,,,2.0,2.0,,4.0,,3.0,1.0,2.0,,16.0,7.0,5.0,,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.75,1.0,1.0,0.5769230769230769,1.0,0.5,0.6428571428571429,1.0,0.5833333333333334,0.6923076923076923,,,,0.5,,,,0.3333333333333333,0.2,0.14285714285714285,,,,,0.3333333333333333,,,85.2431289640592,17.2,16.53846153846154,16.8,16.153846153846153,0.15384615384615385,1.0,1.0,1.0,0.15384615384615385,0.5,0.5,,,,,,0.3076923076923077,0.38461538461538464,0.4,0.5,1.0,1.0,,0.2,1.0,0.6,0.8461538461538461,0.4,0.5539076923076923,0.6541,0.55367,0.14285714285714285,0.4,0.1111111111111111,0.3888888888888889,5.675,24.788888888888888,0.3333333333333333,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,0.16666666666666666,0.3333333333333333,,,,0.25,0.25,1.0,,,,,,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1111111111111111,0.2,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1628392-1628404-1628973-1629656-1630193,1610612752,"Isaiah Hartenstein, Josh Hart, Jalen Brunson, Quentin Grimes, Immanuel Quickley","Hartenstein, Hart, Brunson, Grimes, Quickley",1628392-1628404-1628973-1629656-1630193,NYK,19.0,1,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1628392-1628404-1628973-1629656-203944,1610612752,"Isaiah Hartenstein, Josh Hart, Jalen Brunson, Quentin Grimes, Julius Randle","Hartenstein, Hart, Brunson, Grimes, Randle",1628392-1628404-1628973-1629656-203944,NYK,1874.0,9,31.0,-14.0,57.0,56.0,26.0,29.0,5.0,113.0,9.0,15.0,1.0,3.0,4.0,4.0,11.0,2.0,3.0,8.0,3.0,10.0,,6.0,15.0,29.0,6.0,18.0,16.0,64.0,78.0,1.0,2.0,1.0,7.0,5.0,9.0,9.0,11.0,33.0,16.0,14.0,18.0,10.0,3.0,5.0,8.0,6.0,14.0,3.0,5.0,2.0,1.0,34.0,4.0,8.0,5.0,2.0,15.0,5.0,20.0,,5.0,4.0,1.0,1.0,,8.0,1.0,4.0,6.0,18.0,2.0,15.0,1.0,19.0,,4.0,2.0,57.0,33.0,26.0,2.0,0.5333333333333333,0.5333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.5172413793103449,0.5,0.5555555555555556,0.5106382978723404,0.8333333333333334,0.6111111111111112,0.5727272727272728,0.875,0.6666666666666666,0.3829787234042553,0.1724137931034483,0.3333333333333333,,0.125,1.0,0.38461538461538464,0.2857142857142857,0.6666666666666666,0.52,0.21739130434782608,0.16666666666666666,0.42857142857142855,,0.6666666666666666,0.625,0.75,,86.83030949839915,15.842105263157896,17.339285714285715,15.192982456140351,15.732142857142858,0.3191489361702128,0.6,0.9,0.5555555555555556,0.23404255319148937,0.36363636363636365,0.36363636363636365,0.5,0.06382978723404255,0.6666666666666666,0.6666666666666666,0.5,0.1702127659574468,0.2127659574468085,0.3,0.3,1.0,0.3333333333333333,,0.2222222222222222,0.75,0.3333333333333333,0.7021276595744681,0.3,0.5258659574468085,0.4567,0.49945833333333334,0.09615384615384616,0.12121212121212122,0.109375,0.515625,6.306896551724138,24.73888888888889,0.45614035087719296,3.0,1.0,1.0,3.0,,1.0,2.0,,3.0,1.0,7.0,1.0,4.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,0.1111111111111111,,0.3333333333333333,0.25,1.0,0.375,0.375,1.0,0.3333333333333333,1.0,1.0,,,0.16666666666666666,,3.0,4.0,,2.0,1.0,1.0,0.4444444444444444,,,,,0.5,1.0,2.0,0.25,0.3333333333333333,0.05263157894736842,,,,,,,,,,,,1610612752,2023,2022-23,True
1628392-1628404-1628973-1630167-1630193,1610612752,"Isaiah Hartenstein, Josh Hart, Jalen Brunson, Obi Toppin, Immanuel Quickley","Hartenstein, Hart, Brunson, Toppin, Quickley",1628392-1628404-1628973-1630167-1630193,NYK,843.0,5,14.0,-5.0,28.0,28.0,6.0,8.0,6.0,56.0,3.0,7.0,2.0,,1.0,2.0,3.0,1.0,2.0,3.0,2.0,10.0,4.0,3.0,6.0,12.0,2.0,13.0,5.0,23.0,28.0,,2.0,4.0,1.0,,2.0,5.0,,3.0,8.0,4.0,3.0,10.0,2.0,2.0,4.0,1.0,5.0,1.0,3.0,1.0,,11.0,3.0,2.0,4.0,,6.0,7.0,13.0,,5.0,3.0,2.0,4.0,3.0,6.0,,1.0,2.0,5.0,,7.0,,7.0,,3.0,,22.0,3.0,6.0,,0.6666666666666666,0.6666666666666666,0.5,0.15384615384615385,0.15384615384615385,0.5,,,0.36,,0.21428571428571427,0.4107142857142857,0.07142857142857142,0.21428571428571427,0.52,0.16666666666666666,0.2857142857142857,,0.6666666666666666,,0.4444444444444444,0.5,1.0,0.5454545454545454,0.4666666666666667,0.5,1.0,,0.5,1.0,1.0,,95.65836298932383,15.464285714285714,14.642857142857142,13.892857142857142,13.785714285714286,0.28,0.42857142857142855,0.6,1.0,0.12,0.6666666666666666,0.6666666666666666,0.5,0.08,0.5,0.5,,0.12,0.4,0.2,0.2,0.5,0.3333333333333333,0.6666666666666666,0.14285714285714285,,0.42857142857142855,0.8,0.2,0.560514,0.54825,0.5491,0.10714285714285714,0.2,0.043478260869565216,0.13043478260869565,6.641666666666667,25.107692307692307,0.21428571428571427,,,,2.0,,,1.0,3.0,,4.0,2.0,,,,1.0,,,,,,,,0.4444444444444444,0.42857142857142855,0.5,,,,,,,,,,,0.2857142857142857,,1.0,1.0,,,1.0,1.0,0.2,,,,,0.3333333333333333,,,0.5,,,1.0,,,,,,,,,,,1610612752,2023,2022-23,True
1628392-1628404-1628973-1630193-1630540,1610612752,"Isaiah Hartenstein, Josh Hart, Jalen Brunson, Immanuel Quickley, Miles McBride","Hartenstein, Hart, Brunson, Quickley, McBride",1628392-1628404-1628973-1630193-1630540,NYK,14.0,1,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,102.85714285714286,14.0,,14.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,0.2775,,,,,,,,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1628392-1628404-1628973-1630193-203944,1610612752,"Isaiah Hartenstein, Josh Hart, Jalen Brunson, Immanuel Quickley, Julius Randle","Hartenstein, Hart, Brunson, Quickley, Randle",1628392-1628404-1628973-1630193-203944,NYK,1248.0,6,21.0,-9.0,40.0,38.0,16.0,32.0,3.0,78.0,5.0,7.0,,2.0,3.0,3.0,11.0,2.0,5.0,3.0,2.0,7.0,1.0,,10.0,23.0,5.0,10.0,6.0,41.0,50.0,,1.0,1.0,,5.0,8.0,1.0,5.0,18.0,10.0,10.0,9.0,7.0,2.0,1.0,5.0,3.0,8.0,,2.0,1.0,2.0,19.0,4.0,10.0,3.0,,13.0,5.0,18.0,,2.0,1.0,1.0,4.0,3.0,7.0,2.0,5.0,4.0,10.0,1.0,4.0,,7.0,,1.0,1.0,41.0,18.0,16.0,1.0,0.5,0.5,0.6,0.5,0.5,0.43478260869565216,,0.625,0.5303030303030303,,0.7222222222222222,0.5694444444444444,,0.8181818181818182,0.30303030303030304,0.043478260869565216,,0.09090909090909091,0.5714285714285714,,0.42857142857142855,0.3076923076923077,0.9090909090909091,0.7222222222222222,0.29411764705882354,0.5,0.375,,0.25,0.8571428571428571,1.0,,90.0,16.05,15.947368421052632,15.525,15.18421052631579,0.21212121212121213,0.7142857142857143,0.7142857142857143,0.4,0.3333333333333333,0.2727272727272727,0.3,0.3333333333333333,0.15151515151515152,0.4,0.4,1.0,0.09090909090909091,0.21212121212121213,0.2857142857142857,0.2857142857142857,,,0.5,0.3333333333333333,0.6666666666666666,,0.5151515151515151,0.2857142857142857,0.49548181818181813,0.50965,0.46742222222222224,0.05714285714285714,0.041666666666666664,,0.43902439024390244,9.126086956521739,25.97,0.4,3.0,,,1.0,,,,6.0,3.0,1.0,3.0,1.0,2.0,,,2.0,2.0,,2.0,1.0,4.0,,0.25,0.25,0.6666666666666666,,0.5,1.0,1.0,1.0,,,,,,0.1111111111111111,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,0.09090909090909091,,,,,,,,,,,,1610612752,2023,2022-23,True
1628392-1628404-1629628-1629656-1630193,1610612752,"Isaiah Hartenstein, Josh Hart, RJ Barrett, Quentin Grimes, Immanuel Quickley","Hartenstein, Hart, Barrett, Grimes, Quickley",1628392-1628404-1629628-1629656-1630193,NYK,54.0,1,1.0,-1.0,2.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,2.0,,1.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,80.0,19.5,15.0,19.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
1628392-1628404-1629628-1630167-1630193,1610612752,"Isaiah Hartenstein, Josh Hart, RJ Barrett, Obi Toppin, Immanuel Quickley","Hartenstein, Hart, Barrett, Toppin, Quickley",1628392-1628404-1629628-1630167-1630193,NYK,618.0,2,10.0,-1.0,20.0,21.0,,,1.0,41.0,1.0,3.0,1.0,,,,3.0,2.0,3.0,2.0,2.0,4.0,,,3.0,9.0,3.0,6.0,2.0,17.0,18.0,1.0,1.0,,2.0,,,,,,4.0,2.0,9.0,4.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,,1.0,13.0,1.0,4.0,3.0,,7.0,1.0,8.0,,1.0,1.0,,4.0,4.0,5.0,,,1.0,4.0,1.0,7.0,1.0,2.0,,1.0,,15.0,,,,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.3333333333333333,1.0,,0.5,1.0,,0.53125,1.0,,0.4,0.1111111111111111,0.3333333333333333,,0.8,,0.6,0.16666666666666666,1.0,0.7777777777777778,0.1111111111111111,,0.3333333333333333,,0.6666666666666666,1.0,1.0,,95.53398058252426,17.3,12.952380952380953,17.2,12.761904761904763,0.2,0.3333333333333333,0.5,1.0,0.2,,,,0.2,0.6666666666666666,0.6666666666666666,0.5,0.13333333333333333,0.26666666666666666,0.5,0.5,1.0,1.0,,,,,0.6,0.5,0.5066533333333333,0.8047,,0.0625,0.1,0.11764705882352941,,8.11111111111111,25.28333333333333,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,0.5,,1.0,0.5,0.5,1.0,,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1610612752,2023,2022-23,True
