EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PenaltyAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,SecondChanceCorner3FGA,Corner3Assists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGA,FTOffRebounds,BlockedAtRim,OffFTReboundPct,PenaltyCorner3Frequency,OffLongMidRangeReboundPct,SecondChanceCorner3FGM,Fg3aBlocked,StepOutOfBoundsTurnovers,Travels,Charge Fouls,Transition Take Fouls,Charge Fouls Drawn,Transition Take Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,DefensiveGoaltends,Corner3PctBlocked,3pt And 1 Free Throw Trips,HeaveAttempts,BlockedLongMidRange,3SecondViolations,OffensiveGoaltends,team_id,year,season,team_vs
1627751-1627783-1627832-1628384-1628449,1610612761,"Jakob Poeltl, Pascal Siakam, Fred VanVleet, O.G. Anunoby, Chris Boucher","Poeltl, Siakam, VanVleet, Anunoby, Boucher",1627751-1627783-1627832-1628384-1628449,TOR,810.0,7,14.0,29.0,30.0,8.0,15.0,7.0,59.0,6.0,16.0,3.0,6.0,2.0,3.0,4.0,3.0,2.0,7.0,3.0,1.0,2.0,9.0,20.0,2.0,10.0,7.0,31.0,31.0,3.0,6.0,3.0,1.0,7.0,1.0,3.0,1.0,2.0,3.0,8.0,10.0,8.0,3.0,3.0,6.0,7.0,2.0,1.0,5.0,1.0,6.0,1.0,3.0,2.0,13.0,4.0,5.0,3.0,7.0,1.0,11.0,9.0,20.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,3.0,4.0,1.0,8.0,1.0,2.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,24.0,8.0,8.0,1.0,0.5555555555555556,0.8333333333333334,0.5,0.2,0.5,0.2,0.45,0.5,0.3333333333333333,0.4,0.3333333333333333,0.5,0.45588235294117646,0.35,0.5714285714285714,0.3333333333333333,0.05,0.0625,0.75,1.0,1.0,0.45454545454545453,0.6,0.5,0.8333333333333334,0.47368421052631576,0.5,0.6,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.05555555555555555,104.88888888888889,1.0,14.89655172413793,12.6,13.931034482758621,12.2,0.5333333333333333,0.375,0.4,0.5,0.13333333333333333,0.75,0.75,0.6666666666666666,0.1,0.23333333333333334,0.2857142857142857,0.2857142857142857,0.5,0.6666666666666666,0.5,0.3333333333333333,0.4,0.4,0.5,0.8666666666666667,0.2857142857142857,0.5866866666666667,0.61492,0.52821,0.09090909090909091,0.13043478260869565,0.22580645161290322,0.25806451612903225,2.38,24.81,0.27586206896551724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2023,2022-23,False
1627751-1627783-1627832-1628384-1629018,1610612761,"Jakob Poeltl, Pascal Siakam, Fred VanVleet, O.G. Anunoby, Gary Trent Jr.","Poeltl, Siakam, VanVleet, Anunoby, Trent Jr.",1627751-1627783-1627832-1628384-1629018,TOR,2503.0,13,42.0,86.0,84.0,16.0,38.0,12.0,170.0,19.0,24.0,3.0,4.0,1.0,6.0,20.0,4.0,8.0,20.0,,1.0,5.0,28.0,51.0,9.0,24.0,11.0,94.0,109.0,4.0,7.0,1.0,2.0,10.0,2.0,5.0,1.0,5.0,4.0,11.0,32.0,24.0,21.0,6.0,4.0,20.0,8.0,3.0,16.0,7.0,23.0,6.0,14.0,,53.0,2.0,9.0,11.0,10.0,2.0,23.0,11.0,34.0,1.0,8.0,5.0,3.0,9.0,7.0,7.0,2.0,16.0,5.0,13.0,24.0,4.0,14.0,2.0,,14.0,7.0,1.0,,,,,84.0,11.0,16.0,1.0,0.5714285714285714,0.6153846153846154,0.7777777777777778,0.375,0.2,0.375,0.5490196078431373,0.5714285714285714,0.4,0.5533333333333333,0.5,0.35,0.5802469135802469,0.5555555555555556,0.4230769230769231,0.32,0.058823529411764705,0.08333333333333333,0.5625,1.0,0.7142857142857143,0.391304347826087,0.6470588235294118,0.13333333333333333,0.6774193548387096,0.2894736842105263,0.4,0.08333333333333333,0.3333333333333333,0.6666666666666666,0.625,0.5,0.8571428571428571,0.02857142857142857,97.80263683579705,,15.627906976744185,13.797619047619047,14.895348837209303,13.178571428571429,0.32,0.7916666666666666,0.8636363636363636,0.7368421052631579,0.26666666666666666,0.3,0.3157894736842105,,0.05333333333333334,0.26666666666666666,0.4,0.4,0.75,0.5,0.75,,0.1,0.5,0.2,0.64,0.4,0.5368926666666667,0.5214,0.48402500000000004,0.0875,0.125,0.10638297872340426,0.11702127659574468,6.0058823529411764,25.604166666666668,0.18604651162790697,-15.0,1.0,3.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,3.0,0.05,0.5,1.0,0.09333333333333334,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.25,0.25,1.0,0.3333333333333333,0.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2023,2022-23,False
1627751-1627783-1627832-1628384-1630173,1610612761,"Jakob Poeltl, Pascal Siakam, Fred VanVleet, O.G. Anunoby, Precious Achiuwa","Poeltl, Siakam, VanVleet, Anunoby, Achiuwa",1627751-1627783-1627832-1628384-1630173,TOR,318.0,2,5.0,10.0,9.0,2.0,,3.0,19.0,2.0,3.0,,,,1.0,1.0,2.0,3.0,6.0,3.0,1.0,1.0,3.0,4.0,4.0,8.0,1.0,19.0,14.0,,,3.0,,9.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,,9.0,3.0,,6.0,3.0,,3.0,3.0,6.0,2.0,2.0,1.0,15.0,2.0,,1.0,2.0,,3.0,2.0,5.0,,,,,,,,,,,1.0,2.0,,1.0,,,2.0,1.0,,1.0,1.0,1.0,1.0,10.0,6.0,2.0,,1.0,1.0,0.75,0.5,1.0,0.5,0.75,,1.0,0.75,1.5,1.25,0.7307692307692307,1.5,1.0,0.6666666666666666,,,,,0.5,,0.5,0.5,0.5,0.4,,0.6666666666666666,,0.3333333333333333,1.0,1.0,,,86.0377358490566,1.0,14.6,19.11111111111111,13.0,18.77777777777778,0.25,0.6666666666666666,0.6666666666666666,1.0,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,0.5,0.5,0.5,0.6666666666666666,,,1.0,,0.5,1.0,0.9166666666666666,0.5,0.5557708333333333,0.552,0.49095,0.07692307692307693,0.2,0.47368421052631576,0.3157894736842105,3.35,24.9125,0.2,5.0,,,,1.0,,1.0,,,,,,,,,,,,,,,0.5,0.5,1.0,,,,3.0,3.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2023,2022-23,False
1627751-1627783-1627832-1628384-1630201,1610612761,"Jakob Poeltl, Pascal Siakam, Fred VanVleet, O.G. Anunoby, Malachi Flynn","Poeltl, Siakam, VanVleet, Anunoby, Flynn",1627751-1627783-1627832-1628384-1630201,TOR,264.0,3,4.0,7.0,7.0,7.0,5.0,3.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,5.0,3.0,10.0,9.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,5.0,3.0,10.0,2.0,2.0,3.0,,2.0,3.0,1.0,,1.0,1.0,2.0,1.0,,1.0,5.0,2.0,,1.0,1.0,,2.0,3.0,5.0,,1.0,1.0,,,,,,,,1.0,1.0,,3.0,1.0,,6.0,1.0,2.0,2.0,,2.0,1.0,8.0,10.0,7.0,2.0,0.5,1.0,1.0,0.2,0.2,0.2,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.7142857142857143,,,,,0.5,,1.0,0.5,0.6666666666666666,0.5,,,1.0,0.5,,1.0,,,76.36363636363636,0.5,18.571428571428573,19.142857142857142,17.142857142857142,19.142857142857142,0.14285714285714285,1.0,1.0,,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.5,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.8571428571428571,0.3333333333333333,0.5136357142857143,0.4902,0.5136357142857143,0.125,0.3333333333333333,0.2,1.0,5.05,26.3,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,1.0,2.0,0.5,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2023,2022-23,False
1627751-1627783-1627832-1628384-1630288,1610612761,"Jakob Poeltl, Pascal Siakam, Fred VanVleet, O.G. Anunoby, Jeff Dowtin Jr.","Poeltl, Siakam, VanVleet, Anunoby, Dowtin Jr.",1627751-1627783-1627832-1628384-1630288,TOR,316.0,1,5.0,11.0,11.0,2.0,11.0,1.0,22.0,3.0,3.0,1.0,1.0,,1.0,2.0,,2.0,4.0,,,1.0,5.0,7.0,2.0,4.0,3.0,19.0,11.0,1.0,1.0,,,2.0,,1.0,,1.0,,,8.0,2.0,6.0,,,4.0,2.0,,4.0,2.0,6.0,2.0,3.0,,14.0,,1.0,,2.0,,2.0,1.0,3.0,,2.0,2.0,,,,,,,,2.0,2.0,,2.0,,,4.0,1.0,,1.0,1.0,1.0,1.0,17.0,,2.0,,0.8,0.8,1.0,0.5,,0.5,0.7142857142857143,1.0,,0.7272727272727273,1.0,,0.7916666666666666,1.0,,0.36363636363636365,,,,,0.6666666666666666,0.5,,,0.5,0.3333333333333333,,,,,0.6666666666666666,,,,100.25316455696202,1.0,11.909090909090908,16.818181818181817,11.0,16.636363636363637,0.2727272727272727,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,,,0.36363636363636365,0.5,0.5,1.0,1.0,1.0,,,0.5,,0.6363636363636364,0.5,0.5552818181818182,0.8011,0.36925,0.08333333333333333,0.125,0.10526315789473684,,8.342857142857143,26.675,0.18181818181818182,8.0,,1.0,2.0,,,,1.0,,,,,,,,,,0.18181818181818182,0.5,0.5,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2023,2022-23,False
1627751-1627783-1627832-1628384-1630567,1610612761,"Jakob Poeltl, Pascal Siakam, Fred VanVleet, O.G. Anunoby, Scottie Barnes","Poeltl, Siakam, VanVleet, Anunoby, Barnes",1627751-1627783-1627832-1628384-1630567,TOR,17825.0,21,297.0,590.0,584.0,35.0,77.0,70.0,1174.0,111.0,155.0,22.0,37.0,7.0,83.0,181.0,51.0,40.0,126.0,17.0,3.0,10.0,215.0,388.0,63.0,177.0,85.0,704.0,664.0,30.0,54.0,23.0,7.0,91.0,8.0,20.0,3.0,11.0,12.0,37.0,256.0,174.0,168.0,21.0,34.0,126.0,40.0,24.0,128.0,56.0,184.0,34.0,74.0,46.0,424.0,37.0,53.0,95.0,77.0,6.0,178.0,92.0,270.0,14.0,68.0,35.0,33.0,45.0,36.0,28.0,9.0,73.0,5.0,58.0,105.0,4.0,91.0,3.0,8.0,104.0,52.0,5.0,23.0,14.0,25.0,16.0,613.0,37.0,35.0,4.0,0.5953488372093023,0.6464646464646465,0.8888888888888888,0.3559322033898305,0.2727272727272727,0.3559322033898305,0.5541237113402062,0.5555555555555556,0.4,0.547787610619469,0.5454545454545454,0.4032258064516129,0.5752864157119476,0.5617283950617284,0.5,0.31327433628318585,0.061855670103092786,0.07096774193548387,0.6164383561643836,1.0,0.6470588235294118,0.3081395348837209,0.811965811965812,0.3274336283185841,0.7288135593220338,0.3157894736842105,0.29545454545454547,0.3411764705882353,0.2857142857142857,0.5909090909090909,0.6607142857142857,0.8072289156626506,0.8235294117647058,0.05384615384615385,94.8420757363254,0.64,14.859322033898305,15.51027397260274,14.27457627118644,14.972602739726028,0.2743362831858407,0.7161290322580646,0.7708333333333334,0.6666666666666666,0.32035398230088497,0.4585635359116022,0.4911242603550296,0.5542168674698795,0.09026548672566372,0.22300884955752212,0.31746031746031744,0.32,0.85,0.4805194805194805,0.5945945945945946,0.22077922077922077,0.22580645161290322,0.3225806451612903,0.3,0.5876106194690266,0.31746031746031744,0.5158594690265487,0.5548072916666666,0.46520645161290325,0.0858085808580858,0.12121212121212122,0.12926136363636365,0.052556818181818184,6.897680412371135,25.697175141242937,0.059322033898305086,40.0,4.0,21.0,52.0,23.0,6.0,22.0,8.0,13.0,1.0,7.0,5.0,11.0,6.0,0.06629834254143646,0.35714285714285715,0.7368421052631579,0.0920353982300885,0.40384615384615385,0.4117647058823529,0.38095238095238093,0.45098039215686275,0.45098039215686275,0.9565217391304348,0.18181818181818182,0.07792207792207792,0.5714285714285714,5.0,8.0,0.34782608695652173,0.29411764705882354,1.0,1.0,2.0,9.0,0.18181818181818182,0.03225806451612903,0.16666666666666666,3.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0,0.005649717514124294,0.019230769230769232,0.007936507936507936,0.5,1.0,,,,,,,,,,,,1610612761,2023,2022-23,False
1627751-1627783-1627832-1628384-201152,1610612761,"Jakob Poeltl, Pascal Siakam, Fred VanVleet, O.G. Anunoby, Thaddeus Young","Poeltl, Siakam, VanVleet, Anunoby, Young",1627751-1627783-1627832-1628384-201152,TOR,211.0,1,4.0,7.0,7.0,,7.0,1.0,14.0,2.0,3.0,,1.0,,1.0,1.0,,1.0,2.0,,,,3.0,4.0,1.0,2.0,2.0,11.0,6.0,,1.0,,,,,,,,,,4.0,2.0,3.0,,,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,,7.0,1.0,,,3.0,,3.0,1.0,4.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,,2.0,,,2.0,1.0,,,,,,11.0,,,,0.6666666666666666,0.6666666666666666,1.0,0.5,,0.5,0.75,,,0.75,,,0.7857142857142857,,,0.3333333333333333,0.25,0.3333333333333333,1.0,,1.0,,,1.0,0.75,0.5,,1.0,,,1.0,,,,95.54502369668246,,11.285714285714286,18.857142857142858,11.142857142857142,18.285714285714285,0.5,0.6666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,,,0.3333333333333333,0.5,0.5,1.0,1.0,,,,,,0.8333333333333334,0.5,0.5200250000000001,,,0.14285714285714285,0.2,,,5.575,26.85,,5.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2023,2022-23,False
1627751-1627783-1627832-1628384-203115,1610612761,"Jakob Poeltl, Pascal Siakam, Fred VanVleet, O.G. Anunoby, Will Barton","Poeltl, Siakam, VanVleet, Anunoby, Barton",1627751-1627783-1627832-1628384-203115,TOR,2446.0,6,41.0,84.0,81.0,7.0,11.0,14.0,165.0,14.0,25.0,4.0,6.0,4.0,10.0,19.0,9.0,7.0,26.0,3.0,,,25.0,49.0,10.0,35.0,11.0,91.0,80.0,5.0,9.0,4.0,1.0,11.0,4.0,5.0,,,3.0,11.0,28.0,22.0,18.0,12.0,6.0,26.0,7.0,6.0,14.0,6.0,20.0,3.0,10.0,4.0,46.0,5.0,9.0,12.0,15.0,4.0,31.0,15.0,46.0,1.0,11.0,7.0,4.0,5.0,3.0,3.0,2.0,8.0,1.0,5.0,16.0,,14.0,2.0,,17.0,6.0,1.0,,,,,80.0,11.0,7.0,1.0,0.56,0.6363636363636364,0.6,0.2857142857142857,,0.2857142857142857,0.5102040816326531,0.5555555555555556,0.8,0.47619047619047616,0.38461538461538464,0.8,0.4945652173913043,0.36666666666666664,0.7857142857142857,0.4166666666666667,0.12244897959183673,0.12,0.625,1.0,0.8333333333333334,0.375,0.8,0.20833333333333334,0.8181818181818182,0.2916666666666667,0.36363636363636365,0.16666666666666666,0.3333333333333333,0.6,0.8571428571428571,0.875,0.7142857142857143,0.023809523809523808,97.13818479149633,,14.797619047619047,14.851851851851851,13.726190476190476,14.604938271604938,0.2976190476190476,0.56,0.6363636363636364,0.7142857142857143,0.2261904761904762,0.5263157894736842,0.625,0.4,0.10714285714285714,0.30952380952380953,0.2692307692307692,0.2692307692307692,0.42857142857142855,0.46153846153846156,0.6666666666666666,0.23076923076923078,0.8,,,0.7142857142857143,0.2692307692307692,0.5425369047619047,0.5642722222222223,0.58672,0.07692307692307693,0.10909090909090909,0.12087912087912088,0.12087912087912088,5.877551020408164,25.654285714285713,0.08333333333333333,11.0,3.0,1.0,5.0,3.0,1.0,3.0,,1.0,1.0,,,,1.0,0.15789473684210525,0.4444444444444444,1.0,0.05952380952380952,0.2,0.2,,0.3333333333333333,0.3333333333333333,1.0,0.25,0.07692307692307693,0.75,,,,,,,1.0,,0.5,,0.25,,,,,,,1.0,,,,,,,,,,,,1.0,0.027777777777777776,,,,,,,,,,1610612761,2023,2022-23,False
1627751-1627783-1627832-1628449-1629018,1610612761,"Jakob Poeltl, Pascal Siakam, Fred VanVleet, Chris Boucher, Gary Trent Jr.","Poeltl, Siakam, VanVleet, Boucher, Trent Jr.",1627751-1627783-1627832-1628449-1629018,TOR,515.0,4,9.0,18.0,21.0,,4.0,1.0,39.0,3.0,4.0,1.0,1.0,,1.0,3.0,1.0,1.0,5.0,,,,6.0,10.0,1.0,6.0,2.0,17.0,20.0,1.0,1.0,,,2.0,,,,,,,6.0,6.0,3.0,,,5.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,,9.0,1.0,,4.0,4.0,1.0,9.0,1.0,10.0,,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,,1.0,3.0,1.0,5.0,,1.0,4.0,3.0,,,,,,15.0,,,,0.5,0.5,1.0,0.16666666666666666,,0.16666666666666666,0.6,1.0,,0.46875,1.0,,0.5,1.0,,0.375,0.1,,0.5,1.0,0.6666666666666666,,1.0,0.2,0.8,0.1111111111111111,,0.25,,0.6666666666666666,0.5,1.0,1.0,,109.04854368932038,,14.166666666666666,12.380952380952381,14.0,12.238095238095237,0.25,0.75,0.75,0.6666666666666666,0.1875,0.3333333333333333,0.5,,0.0625,0.3125,0.2,0.2,1.0,1.0,1.0,,,,,0.625,0.2,0.521296875,,,0.17647058823529413,0.2727272727272727,0.11764705882352941,,8.16,25.233333333333334,,-3.0,,2.0,3.0,,,,1.0,,1.0,,1.0,2.0,,0.3333333333333333,,1.0,0.1875,0.6666666666666666,0.6666666666666666,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2023,2022-23,False
1627751-1627783-1627832-1628449-1630201,1610612761,"Jakob Poeltl, Pascal Siakam, Fred VanVleet, Chris Boucher, Malachi Flynn","Poeltl, Siakam, VanVleet, Boucher, Flynn",1627751-1627783-1627832-1628449-1630201,TOR,498.0,3,8.0,17.0,19.0,14.0,,4.0,36.0,4.0,5.0,,,5.0,2.0,3.0,2.0,1.0,5.0,1.0,1.0,4.0,7.0,10.0,1.0,7.0,7.0,24.0,22.0,1.0,2.0,1.0,,2.0,7.0,10.0,1.0,6.0,3.0,20.0,4.0,10.0,3.0,,2.0,5.0,1.0,,2.0,1.0,3.0,1.0,2.0,,7.0,3.0,1.0,2.0,3.0,,5.0,4.0,9.0,,3.0,2.0,1.0,,,1.0,,1.0,1.0,2.0,4.0,,5.0,,1.0,8.0,3.0,1.0,2.0,1.0,2.0,1.0,22.0,20.0,14.0,1.0,0.2857142857142857,0.3333333333333333,1.0,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.7,0.5,0.7,0.5,0.3333333333333333,0.53125,0.575,0.3333333333333333,0.5588235294117647,0.4117647058823529,,,,,0.5,0.3333333333333333,0.5,0.5,0.5,0.4444444444444444,,0.25,1.0,1.0,0.25,,1.0,,104.09638554216866,0.5,13.647058823529411,14.0,12.647058823529411,12.631578947368421,0.29411764705882354,0.8,0.8,0.5,0.17647058823529413,0.6666666666666666,0.6666666666666666,,0.11764705882352941,0.29411764705882354,0.2,0.2,1.0,,,0.3333333333333333,0.3125,0.25,0.25,0.7058823529411765,0.2,0.5408617647058824,0.5409,0.538346875,0.15789473684210525,0.25,0.08333333333333333,0.8333333333333334,6.710000000000001,26.285714285714285,0.8235294117647058,2.0,4.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,1.0,0.11764705882352941,0.5,0.5,,,,,,,0.8,,,,,,2.0,,1.0,,0.125,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1610612761,2023,2022-23,False
