EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceFG2A,PtsUnassisted2s,ShortMidRangeAssists,OffThreePtRebounds,OffRebounds,SelfOReb,ShootingFouls,Technical Free Throw Trips,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,SecondChanceAtRimFrequency,Steals,BadPassSteals,SecondChanceShotQualityAvg,PenaltyOffPoss,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsPutbacks,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,DefShortMidRangeReboundPct,2pt And 1 Free Throw Trips,Charge Fouls,PenaltyCorner3FGA,PenaltyFtPoints,OffTwoPtRebounds,FTDefRebounds,StepOutOfBoundsTurnovers,SecondChanceTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,PenaltyCorner3Frequency,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Defensive 3 Seconds Violations,HeaveAttempts,Fg3aBlocked,Travels,FG3APctBlocked,Arc3PctBlocked,OffShortMidRangeReboundPct,Corner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Fg2aBlocked,Corner3Assists,LongMidRangeAssists,FTOffRebounds,LostBallTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockedShortMidRange,DefensiveGoaltends,SecondChanceFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Transition Take Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceFtPoints,Offensive Fouls,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,AtRimPctBlocked,LostBallSteals,OffLongMidRangeReboundPct,LongMidRangePctBlocked,3SecondViolations,team_id,year,season,team_vs
1626171-1626192-1628960-1628975-203114,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, Jevon Carter, Khris Middleton","Portis, Connaughton, Allen, Carter, Middleton",1626171-1626192-1628960-1628975-203114,MIL,309.0,1,5.0,3.0,11.0,10.0,21,1.0,1.0,2.0,4.0,6.0,1.0,3.0,4.0,6.0,2.0,16.0,13.0,2.0,6.0,6.0,6.0,4.0,1.0,2.0,3.0,2.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,16.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.7777777777777778,0.8,0.6666666666666666,0.3333333333333333,1.0,0.5,0.5,1.0,97.86407766990291,0.6666666666666666,13.727272727272727,15.8,13.727272727272727,14.6,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.7777777777777778,0.6666666666666666,0.5375944444444445,0.1,0.25,5.866666666666667,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,False
1626171-1626192-1628960-201572-201950,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, Brook Lopez, Jrue Holiday","Portis, Connaughton, Allen, Lopez, Holiday",1626171-1626192-1628960-201572-201950,MIL,231.0,2,4.0,1.0,8.0,8.0,16,,2.0,2.0,1.0,3.0,2.0,5.0,1.0,4.0,1.0,8.0,7.0,2.0,3.0,,3.0,1.0,1.0,1.0,2.0,1.0,,5.0,2.0,2.0,4.0,6.0,,,,2.0,,1.0,,1.0,,,,,,,,8.0,0.5,0.5,1.0,0.25,0.25,0.4,0.3888888888888889,0.3888888888888889,0.4444444444444444,0.6666666666666666,1.0,0.8,1.0,1.0,99.74025974025975,,16.0,12.875,13.625,12.875,0.2222222222222222,,,,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.5227333333333334,,,8.78,25.875,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.6666666666666666,0.3333333333333333,0.5,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,0.5,0.1111111111111111,0.1111111111111111,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,False
1626171-1626192-1628960-201950-203507,1610612749,"Bobby Portis, Pat Connaughton, Grayson Allen, Jrue Holiday, Giannis Antetokounmpo","Portis, Connaughton, Allen, Holiday, Antetokounmpo",1626171-1626192-1628960-201950-203507,MIL,20.0,1,,1.0,2.0,1.0,3,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,1.0,,,,,,,,0.25,,,,,,,216.0,,8.0,4.0,2.0,4.0,,,,,1.0,,,,,,,0.3838,0.5,0.5,10.1,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.3838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,False
1626171-1626192-1628975-201950-204060,1610612749,"Bobby Portis, Pat Connaughton, Jevon Carter, Jrue Holiday, Joe Ingles","Portis, Connaughton, Carter, Holiday, Ingles",1626171-1626192-1628975-201950-204060,MIL,171.0,1,3.0,1.0,6.0,5.0,11,2.0,2.0,,1.0,5.0,2.0,2.0,1.0,5.0,,7.0,6.0,2.0,3.0,,5.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,,1.0,3.0,,,1.0,1.0,,1.0,,,,,,,,,,5.0,0.5,1.0,1.0,0.2,0.2,1.0,0.5,0.5,0.7142857142857143,,1.0,1.0,,1.0,92.63157894736842,,14.833333333333334,16.4,14.166666666666666,16.4,0.2857142857142857,1.0,1.0,0.5,,0.7142857142857143,0.2,0.2,1.0,1.0,0.2,0.5908571428571429,,,0.65,26.060000000000002,2.0,1.0,,,,1.0,2.0,,2.0,2.0,,,,0.5,0.5,0.5,,,,,,,,,,0.5,1.0,1.0,,6.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,7.0,2.0,1.0,1.0,1.0,7.0,6.0,0.2,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.2857142857142857,1.0,0.7142857142857143,0.2,0.5908571428571429,0.2857142857142857,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,False
1626171-1626192-201572-201950-203114,1610612749,"Bobby Portis, Pat Connaughton, Brook Lopez, Jrue Holiday, Khris Middleton","Portis, Connaughton, Lopez, Holiday, Middleton",1626171-1626192-201572-201950-203114,MIL,94.0,1,2.0,6.0,3.0,3.0,6,,,1.0,2.0,2.0,,1.0,2.0,2.0,,6.0,,,3.0,3.0,2.0,2.0,,1.0,1.0,1.0,,3.0,1.0,1.0,2.0,2.0,,,,,,1.0,1.0,,,,,,,,,6.0,,,0.5,1.0,1.0,,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,,1.0,91.91489361702128,,13.0,18.333333333333332,13.0,18.333333333333332,,,,,0.3333333333333333,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,1.0,0.4843166666666667,,,7.1,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,False
1626171-1626192-201572-201950-204060,1610612749,"Bobby Portis, Pat Connaughton, Brook Lopez, Jrue Holiday, Joe Ingles","Portis, Connaughton, Lopez, Holiday, Ingles",1626171-1626192-201572-201950-204060,MIL,118.0,1,2.0,5.0,3.0,4.0,7,3.0,3.0,,1.0,1.0,3.0,3.0,1.0,2.0,,9.0,4.0,4.0,,3.0,1.0,1.0,2.0,,2.0,,2.0,4.0,1.0,1.0,2.0,3.0,,,,,,1.0,,1.0,1.0,,,,,,,7.0,0.6666666666666666,1.0,,0.5,0.5,1.0,0.9,0.9,0.4,1.0,1.0,1.0,1.0,1.0,85.42372881355932,,18.0,16.0,17.666666666666668,16.0,0.6,1.0,1.0,0.6666666666666666,,0.2,1.0,1.0,,1.0,1.0,0.59554,0.2,0.3333333333333333,1.7333333333333334,25.3,1.0,1.0,,,1.0,1.0,2.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,0.2,1.0,,,,,1.0,,,,,,1.0,,2.0,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,0.2222222222222222,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,False
1626171-1626192-201950-203109-204060,1610612749,"Bobby Portis, Pat Connaughton, Jrue Holiday, Jae Crowder, Joe Ingles","Portis, Connaughton, Holiday, Crowder, Ingles",1626171-1626192-201950-203109-204060,MIL,165.0,1,3.0,-7.0,5.0,6.0,11,,,,,3.0,,1.0,,3.0,,,7.0,,,,3.0,,,,,,,,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,0.75,1.0,1.0,1.0,,,96.0,,16.2,14.0,16.2,14.0,,,,,,0.75,,,,0.75,,0.5127375,,,18.4,26.933333333333334,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,False
1626171-1626192-201950-203114-203507,1610612749,"Bobby Portis, Pat Connaughton, Jrue Holiday, Khris Middleton, Giannis Antetokounmpo","Portis, Connaughton, Holiday, Middleton, Antetokounmpo",1626171-1626192-201950-203114-203507,MIL,313.0,2,5.0,4.0,13.0,12.0,25,3.0,5.0,2.0,2.0,3.0,5.0,7.0,2.0,4.0,2.0,18.0,14.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,,5.0,2.0,,3.0,5.0,,2.0,3.0,2.0,,1.0,,2.0,,,,,,,,16.0,0.2,0.25,0.5,0.5,0.5,0.7142857142857143,0.7272727272727273,0.75,0.36363636363636365,,0.6666666666666666,0.6666666666666666,,0.5,115.01597444089457,,13.23076923076923,11.75,13.23076923076923,11.5,0.45454545454545453,0.6,0.6,,0.18181818181818182,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,0.8181818181818182,0.6666666666666666,0.5342909090909091,,,3.7285714285714286,25.75,2.0,1.0,2.0,,1.0,1.0,8.0,1.0,,2.0,1.0,,,,0.5,,,,1.0,0.25,1.0,1.0,0.5,,0.09090909090909091,1.0,,,0.6185,13.0,1.0,3.0,5.0,,2.0,3.0,1.0,,2.0,5.0,7.0,2.0,4.0,18.0,2.0,1.0,1.0,3.0,18.0,13.0,0.5,1.0,0.7142857142857143,1.0,0.7272727272727273,1.0,0.75,0.3333333333333333,1.0,,0.45454545454545453,0.6,0.2727272727272727,0.6666666666666666,0.5342909090909091,0.1111111111111111,1.0,1.0,3.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,False
1626171-1626192-201950-203114-204060,1610612749,"Bobby Portis, Pat Connaughton, Jrue Holiday, Khris Middleton, Joe Ingles","Portis, Connaughton, Holiday, Middleton, Ingles",1626171-1626192-201950-203114-204060,MIL,43.0,1,1.0,-3.0,1.0,2.0,3,1.0,1.0,,,,1.0,1.0,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,100.46511627906976,,13.0,15.0,13.0,15.0,1.0,1.0,1.0,,,,,,,1.0,,0.4593,,,3.8,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,False
1626171-1628960-1628975-201572-203109,1610612749,"Bobby Portis, Grayson Allen, Jevon Carter, Brook Lopez, Jae Crowder","Portis, Allen, Carter, Lopez, Crowder",1626171-1628960-1628975-201572-203109,MIL,22.0,1,,,1.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,130.9090909090909,,2.0,20.0,2.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2023,2022-23,False
