EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeAssists,LostBallTurnovers,Travels,SecondChanceTurnovers,3SecondViolations,LongMidRangePctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,FTDefRebounds,StepOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,BlockedShortMidRange,AtRimPctBlocked,DefFTReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SelfOReb,OffShortMidRangeReboundPct,SelfORebPct,BlockedLongMidRange,SecondChanceAtRimPctAssisted,DefensiveGoaltends,OffCorner3ReboundPct,HeaveAttempts,3pt And 1 Free Throw Trips,Technical Free Throw Trips,OffLongMidRangeReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Transition Take Fouls Drawn,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Corner3PctBlocked,HeaveMakes,Transition Take Fouls,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,team_id,year,season,team_vs
1626167-1627741-1629052-1629614-1630169,1610612754,"Myles Turner, Buddy Hield, Oshae Brissett, Andrew Nembhard, Tyrese Haliburton","Turner, Hield, Brissett, Nembhard, Haliburton",1626167-1627741-1629052-1629614-1630169,IND,1855.0,11,31.0,3.0,56.0,54.0,26.0,21.0,5.0,110.0,9.0,11.0,1.0,1.0,4.0,6.0,6.0,11.0,2.0,4.0,1.0,4.0,1.0,1.0,6.0,16.0,1.0,2.0,3.0,7.0,17.0,26.0,7.0,20.0,14.0,69.0,66.0,1.0,1.0,2.0,3.0,2.0,10.0,7.0,13.0,3.0,7.0,6.0,29.0,22.0,12.0,18.0,3.0,2.0,16.0,6.0,1.0,11.0,6.0,17.0,5.0,1.0,7.0,4.0,40.0,3.0,1.0,1.0,10.0,8.0,18.0,5.0,23.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,6.0,3.0,8.0,13.0,16.0,2.0,1.0,1.0,20.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,29.0,26.0,2.0,1.0,0.6470588235294118,0.6875,0.8571428571428571,0.35,0.6666666666666666,0.42857142857142855,0.35,0.6538461538461539,1.0,0.5384615384615384,0.5978260869565217,1.0,0.575,0.6272727272727273,1.0,0.6041666666666666,0.43478260869565216,0.038461538461538464,0.09090909090909091,0.16666666666666666,0.3333333333333333,0.5333333333333333,0.1111111111111111,0.7142857142857143,0.25,0.6206896551724138,0.19047619047619047,0.5,0.3333333333333333,0.4,0.5714285714285714,0.6666666666666666,0.7,0.75,85.39083557951483,1.0,16.125,17.62962962962963,15.589285714285714,16.833333333333332,0.2391304347826087,0.8181818181818182,0.8181818181818182,0.7777777777777778,0.2391304347826087,0.5454545454545454,0.6,0.6666666666666666,0.08695652173913043,0.5,0.5,0.08695652173913043,0.25,0.25,1.0,0.34782608695652173,0.375,0.375,0.8333333333333334,0.25,1.0,0.25,1.0,1.0,0.5,0.5,1.0,0.3,0.6666666666666666,0.35,0.42857142857142855,0.6739130434782609,0.375,0.5096326086956522,0.483375,0.5136825,0.1509433962264151,0.24242424242424243,0.14492753623188406,0.42028985507246375,6.6038461538461535,26.45,0.4642857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2023,2022-23,False
1626167-1627741-1629052-1629614-1630174,1610612754,"Myles Turner, Buddy Hield, Oshae Brissett, Andrew Nembhard, Aaron Nesmith","Turner, Hield, Brissett, Nembhard, Nesmith",1626167-1627741-1629052-1629614-1630174,IND,814.0,3,14.0,,28.0,26.0,3.0,,3.0,54.0,5.0,7.0,,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,11.0,,2.0,,,8.0,10.0,4.0,14.0,2.0,30.0,30.0,,,,2.0,,,2.0,2.0,,,,4.0,12.0,4.0,12.0,,,11.0,2.0,,6.0,4.0,10.0,2.0,2.0,5.0,,24.0,4.0,,,5.0,5.0,10.0,4.0,14.0,2.0,1.0,1.0,4.0,,3.0,4.0,1.0,8.0,1.0,1.0,2.0,6.0,,,,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,30.0,4.0,3.0,,,0.75,0.75,1.0,0.2857142857142857,,,0.2857142857142857,0.8,,1.0,0.5833333333333334,,1.0,0.625,,1.0,0.5833333333333334,,,0.5,,1.0,,0.8333333333333334,0.4,0.9090909090909091,0.3333333333333333,,0.4444444444444444,1.0,1.0,1.0,0.8333333333333334,,95.52825552825553,1.0,15.75,14.346153846153847,15.035714285714286,14.307692307692308,0.2916666666666667,0.7142857142857143,0.7142857142857143,1.0,0.08333333333333333,1.0,1.0,,0.041666666666666664,1.0,1.0,0.125,0.6666666666666666,0.6666666666666666,1.0,0.4583333333333333,0.18181818181818182,0.18181818181818182,1.0,,,,,,1.0,,,0.5,1.0,,,0.875,0.18181818181818182,0.5504479166666667,0.5403,0.62515,0.08333333333333333,0.2,,0.13333333333333333,4.67,25.821428571428573,0.10714285714285714,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2023,2022-23,False
1626167-1627741-1629052-1629614-1631097,1610612754,"Myles Turner, Buddy Hield, Oshae Brissett, Andrew Nembhard, Bennedict Mathurin","Turner, Hield, Brissett, Nembhard, Mathurin",1626167-1627741-1629052-1629614-1631097,IND,2013.0,4,34.0,-4.0,71.0,69.0,20.0,15.0,6.0,140.0,15.0,22.0,4.0,4.0,5.0,8.0,7.0,10.0,,4.0,2.0,5.0,,,6.0,14.0,,1.0,,3.0,22.0,36.0,8.0,19.0,4.0,72.0,76.0,4.0,4.0,,1.0,,8.0,6.0,11.0,1.0,6.0,,15.0,30.0,14.0,21.0,3.0,8.0,14.0,6.0,2.0,15.0,7.0,22.0,6.0,1.0,9.0,6.0,51.0,1.0,5.0,,17.0,10.0,28.0,6.0,34.0,3.0,2.0,1.0,12.0,1.0,11.0,7.0,1.0,19.0,7.0,8.0,16.0,8.0,,,,8.0,1.0,3.0,1.0,,3.0,2.0,3.0,2.0,64.0,15.0,20.0,1.0,,0.6818181818181818,0.8333333333333334,0.875,0.42105263157894735,,0.16666666666666666,0.42105263157894735,0.6111111111111112,1.0,0.5454545454545454,0.6181818181818182,0.8,0.4411764705882353,0.6206896551724138,0.8,0.4411764705882353,0.34545454545454546,0.05555555555555555,,0.631578947368421,,0.6666666666666666,0.35714285714285715,0.8947368421052632,0.1,0.7941176470588235,0.25,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.6,1.0,0.9230769230769231,0.8333333333333334,100.14903129657229,0.6666666666666666,13.450704225352112,15.333333333333334,13.352112676056338,14.753623188405797,0.4,0.6818181818181818,0.75,0.6,0.18181818181818182,0.7,0.7,0.8571428571428571,0.07272727272727272,,,0.09090909090909091,0.4,0.4,0.5,0.2545454545454545,0.42857142857142855,0.42857142857142855,1.0,0.8,1.0,,,,0.2,,,0.47058823529411764,0.625,0.17647058823529413,,0.7454545454545455,0.42857142857142855,0.5388836363636363,0.58341,0.5363882352941177,0.06896551724137931,0.07894736842105263,0.1111111111111111,0.20833333333333334,5.538888888888889,25.873684210526317,0.28169014084507044,,1.0,1.0,1.0,,,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.09090909090909091,0.5,0.17647058823529413,0.3333333333333333,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2023,2022-23,False
1626167-1627741-1629052-1629614-204456,1610612754,"Myles Turner, Buddy Hield, Oshae Brissett, Andrew Nembhard, T.J. McConnell","Turner, Hield, Brissett, Nembhard, McConnell",1626167-1627741-1629052-1629614-204456,IND,220.0,2,4.0,3.0,10.0,10.0,,1.0,1.0,20.0,2.0,2.0,,,,,,,,,,,,,3.0,6.0,,1.0,,,2.0,2.0,3.0,6.0,,13.0,10.0,,,,1.0,,,,,,,,,4.0,,3.0,6.0,,6.0,3.0,,2.0,1.0,3.0,1.0,,2.0,,7.0,1.0,,,3.0,1.0,4.0,1.0,5.0,1.0,,1.0,1.0,,,2.0,,3.0,,1.0,2.0,,,,,,,,,,,,,,13.0,,,,,1.0,1.0,0.3333333333333333,0.5,,,0.5,1.0,,,0.8125,,,0.8125,,,0.75,,,0.3333333333333333,,1.0,,1.0,0.3333333333333333,1.0,0.3333333333333333,,0.3333333333333333,,1.0,,1.0,1.0,130.9090909090909,,8.8,13.2,8.3,13.2,0.25,1.0,1.0,1.0,,,,,,,,,,,,0.75,0.5,0.5,0.3333333333333333,,,,,,1.0,,,,,,,1.0,0.5,0.59149375,,,,,,,1.6,26.616666666666664,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2023,2022-23,False
1626167-1627741-1629052-1630169-1630174,1610612754,"Myles Turner, Buddy Hield, Oshae Brissett, Tyrese Haliburton, Aaron Nesmith","Turner, Hield, Brissett, Haliburton, Nesmith",1626167-1627741-1629052-1630169-1630174,IND,306.0,5,5.0,11.0,12.0,11.0,,,,23.0,3.0,4.0,,,,,,,,,,1.0,,,4.0,5.0,,,,,3.0,4.0,4.0,6.0,,18.0,7.0,,,,,,,,,,,,,4.0,2.0,9.0,3.0,,5.0,4.0,,2.0,3.0,5.0,3.0,,2.0,,13.0,,,,3.0,4.0,7.0,,7.0,1.0,1.0,,2.0,,1.0,,,2.0,,,2.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,18.0,,,,,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,,,0.6666666666666666,0.75,,,0.9,,,0.9,,,0.6,,,1.0,,0.8,,1.0,,0.875,,,,0.6666666666666666,1.0,1.0,1.0,,108.23529411764707,1.0,9.666666666666666,17.272727272727273,9.666666666666666,17.272727272727273,0.4,0.75,0.75,0.6666666666666666,,,,,,,,0.1,,,,0.5,0.8,0.8,0.75,,,,,,,,,,,,,1.0,0.8,0.5703400000000001,,,,,,,2.8,25.583333333333332,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2023,2022-23,False
1626167-1627741-1629052-1630169-1631097,1610612754,"Myles Turner, Buddy Hield, Oshae Brissett, Tyrese Haliburton, Bennedict Mathurin","Turner, Hield, Brissett, Haliburton, Mathurin",1626167-1627741-1629052-1630169-1631097,IND,872.0,10,15.0,1.0,28.0,31.0,13.0,15.0,5.0,59.0,2.0,6.0,,1.0,,,,3.0,,1.0,,1.0,,1.0,7.0,17.0,1.0,2.0,4.0,6.0,2.0,10.0,7.0,18.0,6.0,31.0,30.0,,1.0,1.0,3.0,2.0,5.0,,3.0,4.0,6.0,1.0,13.0,4.0,,18.0,3.0,,17.0,7.0,1.0,2.0,6.0,8.0,6.0,,2.0,,22.0,5.0,3.0,,4.0,3.0,9.0,8.0,17.0,3.0,2.0,1.0,2.0,,1.0,1.0,,3.0,2.0,3.0,6.0,10.0,2.0,,,11.0,1.0,6.0,,,,,,,26.0,13.0,13.0,1.0,,1.0,1.0,0.8571428571428571,0.3888888888888889,0.3333333333333333,0.6666666666666666,0.3888888888888889,0.2,,,0.44642857142857145,0.375,0.6666666666666666,0.4696969696969697,0.4166666666666667,0.5909090909090909,0.6428571428571429,0.1,,0.6666666666666666,,0.6,0.375,0.5714285714285714,0.45454545454545453,0.5833333333333334,0.42105263157894735,0.5,0.5,0.5,0.6666666666666666,,0.6,0.5,97.43119266055047,,17.071428571428573,12.709677419354838,16.107142857142858,11.838709677419354,0.21428571428571427,0.3333333333333333,0.4,1.0,0.10714285714285714,,,,0.03571428571428571,,,0.03571428571428571,,,,0.6071428571428571,0.4117647058823529,0.4117647058823529,0.8571428571428571,0.25,,0.25,,,0.5,0.5,1.0,,,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.4117647058823529,0.5234535714285714,0.5703,0.48817222222222223,0.18181818181818182,0.4,0.16129032258064516,0.41935483870967744,6.56,25.961111111111112,0.4642857142857143,,1.0,,1.0,,,,,2.0,,,1.0,1.0,,0.16666666666666666,1.0,,,,1.0,0.3333333333333333,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,1610612754,2023,2022-23,False
1626167-1627741-1629052-1630169-204456,1610612754,"Myles Turner, Buddy Hield, Oshae Brissett, Tyrese Haliburton, T.J. McConnell","Turner, Hield, Brissett, Haliburton, McConnell",1626167-1627741-1629052-1630169-204456,IND,295.0,3,5.0,5.0,8.0,10.0,1.0,6.0,1.0,18.0,1.0,1.0,1.0,1.0,,,2.0,2.0,,,1.0,1.0,,,3.0,5.0,,,,1.0,3.0,3.0,4.0,6.0,,18.0,13.0,1.0,1.0,,,,2.0,,,,1.0,,,6.0,,6.0,6.0,,5.0,3.0,,3.0,2.0,5.0,1.0,1.0,1.0,2.0,12.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,1.0,,16.0,,1.0,1.0,,1.0,1.0,0.5,0.6666666666666666,,,0.6666666666666666,1.0,1.0,,1.0,1.0,,1.0,1.0,,0.6666666666666666,,,,,,,,0.5,,0.5,,0.5,,,,,,87.86440677966101,,18.25,14.9,17.375,14.3,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,1.0,1.0,1.0,,,,0.1111111111111111,1.0,1.0,1.0,0.5555555555555556,0.6,0.6,0.3333333333333333,1.0,1.0,,,,,,,,,1.0,,0.7777777777777778,0.6,0.5227777777777778,,0.38925,,,0.1111111111111111,,4.433333333333334,25.733333333333334,0.125,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1610612754,2023,2022-23,False
1626167-1627741-1629052-1630174-204456,1610612754,"Myles Turner, Buddy Hield, Oshae Brissett, Aaron Nesmith, T.J. McConnell","Turner, Hield, Brissett, Nesmith, McConnell",1626167-1627741-1629052-1630174-204456,IND,55.0,1,1.0,1.0,2.0,1.0,,,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,,2.0,4.0,3.0,,,,,2.0,2.0,,,,,,,2.0,,,,,,,,1.0,,1.0,,,1.0,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,2.0,,,,,1.0,1.0,,,,,,0.5,,,0.5,,,0.6666666666666666,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,78.54545454545455,,18.5,18.0,18.5,18.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.74935,,,0.3333333333333333,0.3333333333333333,0.5,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2023,2022-23,False
1626167-1627741-1629052-1630243-1631097,1610612754,"Myles Turner, Buddy Hield, Oshae Brissett, Trevelin Queen, Bennedict Mathurin","Turner, Hield, Brissett, Queen, Mathurin",1626167-1627741-1629052-1630243-1631097,IND,111.0,1,2.0,1.0,4.0,3.0,,,1.0,7.0,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,1.0,2.0,,1.0,2.0,4.0,3.0,,,,,2.0,2.0,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,3.0,1.0,,,,2.0,,1.0,,,,,,,2.0,,,,,,,,,,,,0.5,,,0.3333333333333333,,,0.5,1.0,,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,90.8108108108108,,11.25,22.0,11.25,22.0,0.6666666666666666,0.5,0.5,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,1.0,,0.51015,,,0.25,0.3333333333333333,0.5,,3.15,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2023,2022-23,False
1626167-1627741-1629052-1630537-1631097,1610612754,"Myles Turner, Buddy Hield, Oshae Brissett, Chris Duarte, Bennedict Mathurin","Turner, Hield, Brissett, Duarte, Mathurin",1626167-1627741-1629052-1630537-1631097,IND,403.0,1,7.0,9.0,15.0,14.0,9.0,,2.0,29.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,2.0,,,1.0,2.0,,1.0,3.0,3.0,,,2.0,2.0,3.0,7.0,4.0,5.0,3.0,21.0,12.0,1.0,1.0,,1.0,,2.0,2.0,6.0,2.0,3.0,,10.0,4.0,2.0,12.0,,,3.0,3.0,,2.0,4.0,6.0,3.0,1.0,2.0,,16.0,,1.0,,1.0,4.0,5.0,1.0,6.0,2.0,2.0,,,1.0,,2.0,,2.0,1.0,1.0,5.0,3.0,,,,5.0,1.0,3.0,,,,,,,19.0,10.0,9.0,,,0.6666666666666666,0.6666666666666666,1.0,0.8,,0.6666666666666666,0.8,0.42857142857142855,1.0,0.3333333333333333,0.75,0.5,0.5555555555555556,0.75,0.5,0.5555555555555556,0.4166666666666667,,,,,0.6666666666666666,0.25,1.0,,0.7142857142857143,0.2,0.3333333333333333,,0.6666666666666666,0.6666666666666666,,1.0,,103.62282878411911,,10.8,17.214285714285715,9.733333333333333,17.142857142857142,0.4166666666666667,0.4,0.4,1.0,0.16666666666666666,0.5,0.5,,,,,0.16666666666666666,0.5,0.5,1.0,0.25,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,0.4444444444444444,0.25,0.2222222222222222,1.0,0.8333333333333334,1.0,0.5308916666666667,0.4894,0.5334666666666666,0.21428571428571427,0.3333333333333333,0.09523809523809523,0.47619047619047616,4.0,25.78,0.6,,,,,,,,1.0,,,,1.0,1.0,,,,0.1111111111111111,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1610612754,2023,2022-23,False
