EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,ShortMidRangeFGM,FG2M,SecondChanceFG2A,PtsUnassisted2s,DefTwoPtRebounds,FTDefRebounds,ShootingFouls,Fouls,Fg2Pct,DefFTReboundPct,DefTwoPtReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGA,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Offensive Fouls Drawn,Transition Take Fouls Drawn,Blocked2s,BlockedShortMidRange,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PtsPutbacks,ShortMidRangeAssists,BadPassSteals,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedAtRim,SecondChanceFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,SecondChancePointsPct,PtsUnassisted3s,LostBallTurnovers,NonShootingPenaltyNonTakeFouls,HeaveAttempts,Loose Ball Fouls,Technical Free Throw Trips,Defensive 3 Seconds Violations,Charge Fouls Drawn,3SecondViolations,StepOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Transition Take Fouls,BlockedLongMidRange,DefensiveGoaltends,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,BlockedCorner3,SecondChanceCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,Corner3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1626158-1626168-1628368-1628370-1628989,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Malik Monk, Kevin Huerter","Holmes, Lyles, Fox, Monk, Huerter",1626158-1626168-1628368-1628370-1628989,SAC,161.0,1,3.0,-3.0,5.0,6.0,4.0,6.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,8.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,0.5,0.5,0.5,0.375,0.375,0.4166666666666667,0.5,0.5,0.5,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,98.38509316770187,1.0,15.0,14.333333333333334,14.6,14.333333333333334,0.5,0.25,0.25,1.0,1.0,1.0,1.0,0.25,0.25,1.0,0.5,1.0,0.44605,0.447,0.44605,0.2,0.3333333333333333,1.0,8.75,24.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,False
1626158-1626168-1628368-1628370-1629056,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Malik Monk, Terence Davis","Holmes, Lyles, Fox, Monk, Davis",1626158-1626168-1628368-1628370-1629056,SAC,150.0,2,2.0,2.0,5.0,5.0,,5.0,1.0,10.0,4.0,,,,,1.0,,1.0,6.0,,1.0,,8.0,6.0,,,,1.0,,,,1.0,,,,,,1.0,1.0,3.0,1.0,4.0,,,,,,,,,,,8.0,,,,,,,,0.5714285714285714,,0.5714285714285714,,0.14285714285714285,0.5,1.0,1.0,0.5,0.5,,1.0,,96.0,,16.8,13.2,15.4,13.2,0.5714285714285714,,0.14285714285714285,,,,,,1.0,,0.42857142857142855,,0.39420714285714287,0.4411,0.15195,,,,6.366666666666667,31.8,,2.0,2.0,2.0,4.0,1.0,8.0,1.0,1.0,2.0,2.0,0.6666666666666666,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,False
1626158-1626168-1628368-1628370-1629644,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Malik Monk, KZ Okpala","Holmes, Lyles, Fox, Monk, Okpala",1626158-1626168-1628368-1628370-1629644,SAC,1094.0,7,18.0,-3.0,37.0,38.0,4.0,4.0,4.0,75.0,5.0,5.0,1.0,1.0,2.0,11.0,,1.0,15.0,3.0,16.0,8.0,29.0,32.0,2.0,2.0,1.0,2.0,2.0,5.0,9.0,11.0,2.0,3.0,6.0,2.0,15.0,3.0,7.0,15.0,4.0,19.0,1.0,10.0,,9.0,4.0,1.0,,,4.0,3.0,29.0,5.0,4.0,,1.0,0.1875,0.5,0.1875,0.3387096774193548,0.375,0.4027777777777778,0.5,0.5161290322580645,0.3333333333333333,0.7777777777777778,0.75,0.19047619047619047,0.3333333333333333,0.6666666666666666,1.0,0.05555555555555555,98.72029250457038,0.75,14.027027027027026,15.131578947368421,13.162162162162161,14.763157894736842,0.16129032258064516,0.16129032258064516,0.3548387096774194,0.18181818181818182,0.18181818181818182,1.0,0.5,0.25,0.25,,0.7741935483870968,0.18181818181818182,0.5310225806451613,0.5697,0.4852375,0.11428571428571428,0.21052631578947367,0.1724137931034483,6.58,24.525,0.10810810810810811,3.0,8.0,2.0,6.0,,6.0,8.0,,4.0,10.0,0.4,,0.7272727272727273,1.0,0.25806451612903225,0.375,0.6,0.4,0.4,1.0,1.0,2.0,1.0,1.0,1.0,6.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,1.0,4.0,4.0,1.0,8.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,0.5,0.5,0.2,0.375,0.5,0.08333333333333333,0.4,0.125,0.875,0.6666666666666666,0.06451612903225806,0.5,0.5,1.0,0.2,0.2,1.0,0.5,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,False
1626158-1626168-1628368-1628370-1630558,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Malik Monk, Davion Mitchell","Holmes, Lyles, Fox, Monk, Mitchell",1626158-1626168-1628368-1628370-1630558,SAC,1117.0,5,19.0,-5.0,42.0,40.0,11.0,16.0,6.0,82.0,11.0,3.0,,,3.0,9.0,1.0,5.0,27.0,4.0,12.0,5.0,43.0,48.0,3.0,4.0,1.0,5.0,,7.0,12.0,9.0,3.0,4.0,14.0,3.0,32.0,5.0,4.0,10.0,6.0,16.0,,6.0,,5.0,3.0,,,,3.0,3.0,35.0,7.0,11.0,,1.0,0.3333333333333333,0.2,0.3333333333333333,0.48717948717948717,0.3888888888888889,0.524390243902439,0.3888888888888889,0.3076923076923077,0.35714285714285715,0.4444444444444444,0.625,0.2727272727272727,0.16666666666666666,0.6,0.25,,105.7117278424351,1.0,11.428571428571429,15.925,10.69047619047619,15.4,0.28205128205128205,0.07692307692307693,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,,,0.5555555555555556,0.2,0.6153846153846154,0.3333333333333333,0.5389294871794872,0.5593,0.5565611111111112,0.07317073170731707,0.10344827586206896,0.16279069767441862,6.0888888888888895,25.05,0.2619047619047619,8.0,12.0,5.0,13.0,2.0,6.0,6.0,,7.0,12.0,0.48148148148148145,,0.8571428571428571,,0.3076923076923077,0.6666666666666666,0.8,0.45454545454545453,0.5,3.0,,4.0,1.0,,3.0,20.0,3.0,10.0,1.0,6.0,,1.0,3.0,2.0,2.0,,2.0,4.0,1.0,6.0,1.0,1.0,,2.0,,3.0,1.0,0.7692307692307693,0.8333333333333334,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.125,0.25,,1.0,0.75,0.10256410256410256,,,,0.3333333333333333,0.3333333333333333,1.0,0.6,0.3333333333333333,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,8.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,0.3333333333333333,1.0,0.5,0.7,0.8,0.09090909090909091,0.75,0.5,0.75,0.8,0.2,1.0,0.3333333333333333,1.0,0.6666666666666666,0.18604651162790697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,False
1626158-1626168-1628368-1628370-1631099,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Malik Monk, Keegan Murray","Holmes, Lyles, Fox, Monk, Murray",1626158-1626168-1628368-1628370-1631099,SAC,881.0,9,15.0,-3.0,34.0,32.0,7.0,5.0,2.0,66.0,2.0,1.0,,,4.0,8.0,2.0,4.0,11.0,5.0,9.0,4.0,35.0,38.0,,1.0,2.0,4.0,,8.0,6.0,8.0,4.0,2.0,5.0,1.0,12.0,1.0,8.0,12.0,2.0,14.0,,7.0,,4.0,2.0,,,,2.0,1.0,35.0,8.0,7.0,,0.4,0.5555555555555556,0.5,0.5555555555555556,0.775,0.8,0.7954545454545454,0.8,0.45,0.3333333333333333,0.8888888888888888,0.7333333333333333,0.2857142857142857,,1.0,0.6666666666666666,,107.87741203178206,0.5,11.588235294117647,15.21875,11.382352941176471,14.6875,0.1,0.05,0.4,0.5,0.5,0.25,,,0.8,0.5,0.75,0.5,0.5480475,,0.54879,0.09090909090909091,0.15384615384615385,0.22857142857142856,6.736363636363635,24.688888888888886,0.20588235294117646,6.0,6.0,2.0,8.0,,10.0,3.0,1.0,1.0,5.0,0.7272727272727273,1.0,0.5,,0.3,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,,,6.0,,3.0,1.0,3.0,,1.0,2.0,2.0,8.0,2.0,7.0,5.0,1.0,13.0,2.0,2.0,1.0,1.0,,2.0,1.0,0.375,0.375,,,0.6153846153846154,0.25,,0.25,0.5,0.5,0.15,,,,1.0,1.0,1.0,,0.2,,,,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,,,0.3333333333333333,,0.5,,,,,,1.0,,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,False
1626158-1626168-1628368-1628370-203084,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Malik Monk, Harrison Barnes","Holmes, Lyles, Fox, Monk, Barnes",1626158-1626168-1628368-1628370-203084,SAC,1400.0,6,23.0,2.0,50.0,49.0,12.0,14.0,3.0,99.0,4.0,2.0,,,6.0,14.0,2.0,4.0,18.0,7.0,16.0,13.0,60.0,58.0,1.0,8.0,2.0,4.0,3.0,21.0,18.0,13.0,6.0,6.0,11.0,5.0,28.0,2.0,5.0,18.0,3.0,21.0,1.0,13.0,1.0,13.0,7.0,1.0,1.0,1.0,3.0,1.0,52.0,21.0,12.0,1.0,0.8571428571428571,0.4375,0.5,0.4666666666666667,0.6911764705882353,0.75,0.7692307692307693,0.8076923076923077,0.47058823529411764,0.4,0.625,0.6153846153846154,0.23076923076923078,0.5,0.625,,0.08333333333333333,101.82857142857144,0.3333333333333333,12.7,15.612244897959183,12.58,14.816326530612244,0.11764705882352941,0.058823529411764705,0.4117647058823529,0.42857142857142855,0.42857142857142855,0.8333333333333334,,,0.3333333333333333,0.5,0.7941176470588235,0.46153846153846156,0.5589999999999999,0.50465,0.5264636363636364,0.18421052631578946,0.3181818181818182,0.35,5.733333333333333,27.56875,0.24,9.0,11.0,2.0,13.0,2.0,16.0,11.0,2.0,6.0,11.0,0.7222222222222222,1.0,0.6111111111111112,0.6666666666666666,0.3235294117647059,0.8181818181818182,0.8181818181818182,0.5,0.6666666666666666,5.0,2.0,3.0,1.0,,1.0,10.0,1.0,5.0,1.0,4.0,,1.0,4.0,,7.0,4.0,5.0,7.0,1.0,14.0,,1.0,,2.0,,2.0,2.0,0.38461538461538464,0.45454545454545453,0.05555555555555555,,0.5,0.125,0.5,,0.6666666666666666,0.4444444444444444,0.08823529411764706,0.6666666666666666,0.6666666666666666,,0.5,0.5,1.0,0.3333333333333333,0.4166666666666667,,2.0,2.0,4.0,1.0,2.0,1.0,1.0,8.0,6.0,4.0,1.0,4.0,1.0,3.0,,1.0,1.0,0.75,1.1666666666666667,1.3333333333333333,0.25,,1.0,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,1.0,0.8,0.13333333333333333,3.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,False
1626158-1626168-1628368-1628989-1630558,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Kevin Huerter, Davion Mitchell","Holmes, Lyles, Fox, Huerter, Mitchell",1626158-1626168-1628368-1628989-1630558,SAC,19.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,False
1626158-1626168-1628368-1628989-1631099,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Kevin Huerter, Keegan Murray","Holmes, Lyles, Fox, Huerter, Murray",1626158-1626168-1628368-1628989-1631099,SAC,71.0,1,1.0,1.0,2.0,3.0,,,,5.0,,,,,1.0,2.0,,,,1.0,2.0,,3.0,2.0,,,,,,,,2.0,1.0,,,,,,2.0,2.0,,2.0,,,,,,,,,,,3.0,,,,,0.5,,0.5,0.75,,0.75,,1.0,,1.0,1.0,,,1.0,1.0,,101.40845070422534,,8.0,18.333333333333332,8.0,18.333333333333332,,,1.0,0.5,0.5,,,,,,1.0,0.5,0.5472,,,,,,,25.65,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,False
1626158-1626168-1628368-1628989-203084,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Kevin Huerter, Harrison Barnes","Holmes, Lyles, Fox, Huerter, Barnes",1626158-1626168-1628368-1628989-203084,SAC,175.0,4,3.0,3.0,7.0,6.0,3.0,1.0,,13.0,2.0,,,,,1.0,,,4.0,,1.0,3.0,11.0,8.0,,1.0,,,3.0,5.0,,1.0,,,2.0,,4.0,,,1.0,,1.0,,2.0,,4.0,,2.0,,,,,11.0,3.0,2.0,1.0,,,,,0.8,1.0,0.7857142857142857,0.8333333333333334,0.2,,,1.0,,,,,,106.97142857142858,,11.571428571428571,15.666666666666666,11.571428571428571,13.833333333333334,0.4,,0.2,,,,,,,,0.6,,0.54016,,0.618,,,0.45454545454545453,5.9,25.4,0.42857142857142855,2.0,2.0,2.0,4.0,,4.0,1.0,,1.0,1.0,1.0,,1.0,,0.4,1.0,1.0,1.0,1.0,1.0,,,,,,4.0,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,0.5,0.5,,,,,,,1.0,0.5,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,False
1626158-1626168-1628368-1629002-203084,1610612758,"Richaun Holmes, Trey Lyles, De'Aaron Fox, Chimezie Metu, Harrison Barnes","Holmes, Lyles, Fox, Metu, Barnes",1626158-1626168-1628368-1629002-203084,SAC,27.0,2,,-1.0,,2.0,,2.0,,2.0,,,,,,,,,,,,2.0,2.0,3.0,,,,,2.0,2.0,,,,,,,,,1.0,1.0,,1.0,,1.0,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,106.66666666666666,,,11.5,,11.5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2023,2022-23,False
