EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFtPoints,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,Fg3aBlocked,Corner3Assists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,ThreePtShootingFoulsDrawn,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceFtPoints,FTOffRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,OffFTReboundPct,Loose Ball Fouls Drawn,PenaltyCorner3FGM,Offensive Fouls,ShortMidRangePctBlocked,PenaltyCorner3Accuracy,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,3pt And 1 Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangeAssists,LongMidRangePctAssisted,Offensive Fouls Drawn,SecondChanceTurnovers,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,Defensive 3 Seconds Violations,OffLongMidRangeReboundPct,LongMidRangePctBlocked,Charge Fouls Drawn,StepOutOfBoundsTurnovers,Clear Path Fouls,BlockedCorner3,DefensiveGoaltends,Corner3PctBlocked,Transition Take Fouls,Transition Take Fouls Drawn,3SecondViolations,OffensiveGoaltends,team_id,year,season,team_vs
1626204-1629027-1629631-1629726-1630249,1610612737,"Larry Nance Jr., Trae Young, De'Andre Hunter, Garrison Mathews, Vít Krejčí","Nance Jr., Young, Hunter, Mathews, Krejčí",1626204-1629027-1629631-1629726-1630249,ATL,562.0,2,9.0,7.0,19.0,22.0,11.0,13.0,41.0,6.0,6.0,4.0,4.0,4.0,6.0,1.0,1.0,2.0,3.0,1.0,2.0,10.0,13.0,2.0,4.0,3.0,29.0,22.0,7.0,9.0,1.0,2.0,17.0,12.0,8.0,6.0,1.0,2.0,2.0,6.0,2.0,8.0,2.0,4.0,2.0,18.0,4.0,1.0,3.0,8.0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,8.0,5.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,29.0,17.0,11.0,4.0,0.6,0.6,1.0,0.5,0.5,0.6666666666666666,0.7692307692307693,0.7777777777777778,0.7647058823529411,0.7727272727272727,0.7631578947368421,0.7727272727272727,0.23529411764705882,1.0,0.25,0.8,0.5555555555555556,0.5,0.5,1.0,105.05338078291814,11.578947368421053,15.545454545454545,11.578947368421053,14.318181818181818,0.35294117647058826,1.0,1.0,0.6666666666666666,0.35294117647058826,0.6666666666666666,0.6666666666666666,0.5,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.6666666666666666,0.6666666666666666,1.0,0.36363636363636365,1.0,0.18181818181818182,0.5,0.5882352941176471,1.0,0.518775,0.5043300000000001,0.1111111111111111,0.14285714285714285,0.5862068965517241,6.776923076923077,29.825,0.5789473684210527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2025,2024-25,True
1626204-1629027-1629631-1629726-1630552,1610612737,"Larry Nance Jr., Trae Young, De'Andre Hunter, Garrison Mathews, Jalen Johnson","Nance Jr., Young, Hunter, Mathews, Johnson",1626204-1629027-1629631-1629726-1630552,ATL,1829.0,4,30.0,-29.0,66.0,70.0,27.0,35.0,136.0,8.0,17.0,4.0,7.0,5.0,10.0,1.0,9.0,8.0,26.0,2.0,9.0,13.0,28.0,10.0,35.0,8.0,64.0,93.0,7.0,12.0,2.0,11.0,26.0,12.0,14.0,18.0,1.0,25.0,8.0,6.0,6.0,12.0,4.0,4.0,2.0,30.0,12.0,7.0,3.0,22.0,31.0,4.0,4.0,,3.0,1.0,10.0,13.0,21.0,6.0,9.0,,1.0,2.0,1.0,,1.0,1.0,55.0,26.0,27.0,3.0,0.46153846153846156,0.5454545454545454,0.6,0.2857142857142857,0.18181818181818182,0.29411764705882354,0.4642857142857143,0.5833333333333334,0.4444444444444444,0.43478260869565216,0.47761194029850745,0.5,0.5555555555555556,1.0,1.0,0.8571428571428571,0.9047619047619048,1.0,0.9,0.75,107.07490431930016,15.030303030303031,11.957142857142857,14.454545454545455,11.82857142857143,0.2698412698412698,0.47058823529411764,0.5333333333333333,0.5,0.15873015873015872,0.5,0.5,0.4,0.015873015873015872,0.14285714285714285,0.4126984126984127,0.3076923076923077,0.32,0.5,0.30434782608695654,0.5714285714285714,0.391304347826087,0.2222222222222222,0.8253968253968254,0.32,0.5716370967741935,0.5647804347826088,0.03076923076923077,0.034482758620689655,0.40625,4.121428571428572,25.742857142857144,0.4090909090909091,7.0,3.0,7.0,2.0,1.0,1.0,2.0,1.0,3.0,7.0,1.0,2.0,9.0,6.0,12.0,4.0,2.0,1.0,2.0,4.0,5.0,9.0,3.0,7.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,0.5,0.42857142857142855,0.5,0.5,0.02857142857142857,0.07142857142857142,0.11764705882352941,0.038461538461538464,0.7,0.3333333333333333,0.17391304347826086,0.23684210526315788,0.4444444444444444,0.2,0.1875,0.14285714285714285,1.0,1.0,0.08333333333333333,1.0,0.2222222222222222,0.2222222222222222,1.0,0.7777777777777778,0.42857142857142855,0.3333333333333333,0.1111111111111111,1.0,1.0,0.1111111111111111,0.08695652173913043,0.55402,0.027777777777777776,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2025,2024-25,True
1626204-1629027-1629631-1629726-1630811,1610612737,"Larry Nance Jr., Trae Young, De'Andre Hunter, Garrison Mathews, Keaton Wallace","Nance Jr., Young, Hunter, Mathews, Wallace",1626204-1629027-1629631-1629726-1630811,ATL,439.0,1,7.0,2.0,14.0,16.0,9.0,8.0,30.0,6.0,8.0,6.0,8.0,,1.0,1.0,,,,,,6.0,10.0,,,6.0,18.0,16.0,6.0,9.0,,,16.0,6.0,6.0,,,,,3.0,,3.0,,3.0,,6.0,4.0,,1.0,5.0,7.0,2.0,2.0,,3.0,,3.0,2.0,5.0,4.0,7.0,1.0,4.0,,2.0,1.0,1.0,2.0,16.0,16.0,9.0,1.0,0.5,0.5,,,,,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6923076923076923,0.7272727272727273,,1.0,,0.8,0.5714285714285714,,0.6666666666666666,1.0,98.40546697038725,14.571428571428571,14.6875,14.285714285714286,13.8125,0.8,0.75,0.75,0.5,0.1,,,,0.1,,,,,,0.8888888888888888,0.75,,,0.8,,0.64766,0.6761444444444444,0.3076923076923077,0.3076923076923077,0.8888888888888888,3.7,,0.6428571428571429,2.0,,1.0,,,,,,,1.0,,,2.0,4.0,,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,0.5,,,,,,0.25,,0.25,,1.0,,,,,,,,,,1.0,,,,,,,,0.5993,,0.1111111111111111,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2025,2024-25,True
1626204-1629027-1629631-1629726-1642258,1610612737,"Larry Nance Jr., Trae Young, De'Andre Hunter, Garrison Mathews, Zaccharie Risacher","Nance Jr., Young, Hunter, Mathews, Risacher",1626204-1629027-1629631-1629726-1642258,ATL,142.0,1,2.0,-9.0,5.0,5.0,,,10.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,2.0,,3.0,12.0,,,,,,,,3.0,,1.0,1.0,,1.0,1.0,1.0,,,3.0,,1.0,,1.0,1.0,,,,1.0,,3.0,1.0,4.0,1.0,,,,,,,,,3.0,,,,,,1.0,0.5,,0.5,,,0.75,,0.75,,1.0,,1.0,,1.0,,,,101.40845070422534,15.2,13.2,15.2,13.2,,,,,,,,,,0.5,0.5,1.0,1.0,1.0,,,,,1.0,1.0,0.539775,,,,,,26.15,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2025,2024-25,True
1626204-1629027-1629631-1630168-1630700,1610612737,"Larry Nance Jr., Trae Young, De'Andre Hunter, Onyeka Okongwu, Dyson Daniels","Nance Jr., Young, Hunter, Okongwu, Daniels",1626204-1629027-1629631-1630168-1630700,ATL,143.0,1,2.0,-8.0,5.0,5.0,,4.0,10.0,,,,,,,1.0,1.0,,1.0,,,,1.0,,2.0,,,8.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,2.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,1.0,0.5,,1.0,,100.69930069930071,17.4,11.2,16.2,10.4,,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,0.6666666666666666,,0.5111833333333333,,,,,16.5,24.95,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,2.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,0.53925,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2025,2024-25,True
1626204-1629027-1629631-1630249-1630700,1610612737,"Larry Nance Jr., Trae Young, De'Andre Hunter, Vít Krejčí, Dyson Daniels","Nance Jr., Young, Hunter, Krejčí, Daniels",1626204-1629027-1629631-1630249-1630700,ATL,63.0,3,1.0,2.0,3.0,1.0,1.0,,4.0,,,,,,,,,,3.0,,1.0,,,,3.0,2.0,2.0,,,,,1.0,,,,,,3.0,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,1.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,0.25,,1.0,,,1.0,1.0,,1.0,,91.42857142857143,17.666666666666668,10.0,17.666666666666668,10.0,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,0.4724,0.39825,0.25,1.0,,,27.46666666666667,0.3333333333333333,1.0,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2025,2024-25,True
1626204-1629027-1629631-1630249-1630811,1610612737,"Larry Nance Jr., Trae Young, De'Andre Hunter, Vít Krejčí, Keaton Wallace","Nance Jr., Young, Hunter, Krejčí, Wallace",1626204-1629027-1629631-1630249-1630811,ATL,139.0,1,2.0,4.0,4.0,4.0,,4.0,8.0,1.0,1.0,,,,,1.0,3.0,,,,,1.0,2.0,2.0,3.0,,8.0,4.0,,,,,,,2.0,3.0,,,,,1.0,1.0,,,,3.0,1.0,1.0,,2.0,3.0,,,,,,,,2.0,,,,,,,,,,6.0,,,,,,0.5,0.6666666666666666,,0.6666666666666666,0.5,,0.8,,0.8,,0.6,,1.0,1.0,1.0,,1.0,,82.87769784172662,15.5,19.25,15.5,19.25,0.2,1.0,1.0,,,,,,0.2,0.6,,,,,,,,,0.8,,0.58852,,,,,7.3,23.366666666666664,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,,,2.0,,3.0,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,0.5,,,,1.0,,1.0,,,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2025,2024-25,True
1626204-1629027-1629631-1630249-1642258,1610612737,"Larry Nance Jr., Trae Young, De'Andre Hunter, Vít Krejčí, Zaccharie Risacher","Nance Jr., Young, Hunter, Krejčí, Risacher",1626204-1629027-1629631-1630249-1642258,ATL,36.0,1,1.0,1.0,1.0,1.0,1.0,,2.0,,2.0,,2.0,,,,,,,,,,2.0,,,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,2.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,0.16666666666666666,0.16666666666666666,,,,,,,,,80.0,27.0,9.0,24.0,9.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,0.58805,0.58805,0.3333333333333333,0.3333333333333333,1.0,1.85,,1.0,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.5,,0.5,0.5,,,,,,,,,,,1.0,,,,,,,,0.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2025,2024-25,True
1626204-1629027-1629631-1630249-203992,1610612737,"Larry Nance Jr., Trae Young, De'Andre Hunter, Vít Krejčí, Bogdan Bogdanović","Nance Jr., Young, Hunter, Krejčí, Bogdanović",1626204-1629027-1629631-1630249-203992,ATL,111.0,1,2.0,-6.0,5.0,5.0,5.0,,10.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,2.0,,1.0,,2.0,8.0,1.0,2.0,,1.0,2.0,2.0,,,,,,1.0,,1.0,,,1.0,2.0,1.0,1.0,,2.0,2.0,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,2.0,2.0,5.0,,1.0,1.0,,,,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,1.0,1.0,1.0,,,1.0,129.7297297297297,10.2,12.0,10.2,12.0,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,1.0,,0.3333333333333333,,,,,0.3333333333333333,,,,0.6666666666666666,,0.59395,0.59395,,,1.0,3.25,24.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2025,2024-25,True
1626204-1629027-1629631-1630552-1630700,1610612737,"Larry Nance Jr., Trae Young, De'Andre Hunter, Jalen Johnson, Dyson Daniels","Nance Jr., Young, Hunter, Johnson, Daniels",1626204-1629027-1629631-1630552-1630700,ATL,759.0,5,13.0,8.0,27.0,27.0,14.0,16.0,54.0,6.0,8.0,2.0,3.0,1.0,2.0,3.0,1.0,4.0,7.0,2.0,4.0,7.0,13.0,5.0,8.0,1.0,30.0,22.0,2.0,6.0,3.0,5.0,14.0,12.0,2.0,12.0,,7.0,4.0,6.0,4.0,10.0,3.0,6.0,,24.0,6.0,7.0,1.0,14.0,15.0,3.0,2.0,1.0,2.0,,5.0,1.0,5.0,6.0,2.0,,,1.0,2.0,1.0,1.0,2.0,30.0,13.0,13.0,1.0,0.8571428571428571,0.8571428571428571,0.8,0.625,0.6,0.625,0.5384615384615384,0.3333333333333333,0.6904761904761905,0.5909090909090909,0.6818181818181818,0.5833333333333334,0.38095238095238093,1.0,0.7777777777777778,0.75,0.7647058823529411,1.0,0.8333333333333334,0.5,102.45059288537549,14.592592592592593,13.518518518518519,14.518518518518519,13.185185185185185,0.38095238095238093,0.75,0.75,1.0,0.09523809523809523,0.5,1.0,,0.14285714285714285,0.047619047619047616,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.75,0.2727272727272727,0.6666666666666666,0.36363636363636365,0.5,0.7619047619047619,0.5714285714285714,0.5795190476190475,0.5683181818181818,,,0.4666666666666667,5.115384615384615,26.025,0.5185185185185185,1.0,,,1.0,,,1.0,,,1.0,,,,1.0,3.0,,1.0,,1.0,1.0,,1.0,,3.0,1.0,2.0,2.0,,,,2.0,,,,,,,0.07692307692307693,,,0.6,,0.3333333333333333,0.1111111111111111,,,0.3333333333333333,,0.6666666666666666,0.8,,1.0,1.0,1.0,1.0,,,,,,,,0.09090909090909091,,,,,,1.0,,,,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2025,2024-25,True
