EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsAssisted3s,ThreePtAssists,Arc3Assists,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,BlocksRecoveredPct,Arc3PctAssisted,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,Fg2aBlocked,AtRimAssists,Steals,BadPassSteals,Offensive Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,LongMidRangeFGM,BadPassTurnovers,PenaltyTurnovers,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,Fg3aBlocked,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,BlockedAtRim,DefensiveGoaltends,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,SecondChanceAtRimPctAssisted,PenaltyAtRimFGM,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimAccuracy,LostBallOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,OffCorner3ReboundPct,Defensive 3 Seconds Violations,LostBallSteals,FTOffRebounds,OffensiveGoaltends,OffFTReboundPct,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedCorner3,Transition Take Fouls Drawn,LongMidRangePctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Charge Fouls Drawn,Corner3PctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,Transition Take Fouls,HeaveMakes,team_id,year,season,team_vs
1626172-1627741-1627780-1629001-1641764,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, De'Anthony Melton, Brandin Podziemski","Looney, Hield, Payton II, Melton, Podziemski",1626172-1627741-1627780-1629001-1641764,GSW,509.0,3,8.0,-3.0,18.0,16.0,4.0,11.0,1.0,34.0,2.0,1.0,4.0,5.0,2.0,2.0,1.0,4.0,1.0,1.0,4.0,9.0,1.0,6.0,5.0,16.0,19.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,1.0,7.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,6.0,1.0,1.0,3.0,15.0,6.0,4.0,1.0,0.5,0.5,0.16666666666666666,1.0,0.16666666666666666,0.4444444444444444,0.5,0.36666666666666664,0.8333333333333334,0.4411764705882353,0.5,1.0,0.4,0.5,1.0,0.6,0.2,0.6,0.6,0.1,0.5,0.3333333333333333,1.0,1.0,0.6,0.1,96.18860510805501,17.27777777777778,12.375,17.27777777777778,11.875,0.13333333333333333,0.3333333333333333,0.8,0.8,0.5,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.25,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5333333333333333,0.25,0.48823666666666665,0.4446666666666667,0.17647058823529413,0.2727272727272727,0.0625,0.375,9.433333333333334,25.366666666666664,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1630228-1630311,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Jonathan Kuminga, Pat Spencer","Looney, Hield, Payton II, Kuminga, Spencer",1626172-1627741-1627780-1630228-1630311,GSW,76.0,1,1.0,2.0,3.0,2.0,,,,5.0,,,,,,,1.0,1.0,,,,,1.0,1.0,2.0,5.0,3.0,,,,,,,,,,,,1.0,1.0,,1.0,,3.0,,,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,2.0,,,1.0,5.0,,,,,,1.0,,1.0,,,1.5,,1.25,,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,94.73684210526316,12.333333333333334,19.5,12.333333333333334,19.5,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,0.4782,,0.5,1.0,,,,25.9,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1630228-1630322,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Jonathan Kuminga, Lindy Waters III","Looney, Hield, Payton II, Kuminga, Waters III",1626172-1627741-1627780-1630228-1630322,GSW,199.0,1,3.0,4.0,7.0,6.0,,,1.0,13.0,2.0,,,3.0,,,1.0,2.0,,,2.0,5.0,1.0,2.0,1.0,8.0,4.0,,2.0,,,,,,,2.0,2.0,3.0,2.0,1.0,1.0,1.0,,2.0,1.0,2.0,,,2.0,1.0,3.0,,,,,,,,,,2.0,2.0,,,1.0,6.0,,,,0.5,1.0,0.5,,0.5,0.4,,0.5,,0.5,1.0,,0.2857142857142857,,,,0.3333333333333333,1.0,1.0,0.25,,,,,1.0,,94.07035175879396,13.714285714285714,17.166666666666668,13.714285714285714,17.166666666666668,0.2857142857142857,0.42857142857142855,,,,,,0.2857142857142857,0.5,0.5,,,,0.5714285714285714,0.5,0.5007428571428572,,0.125,0.16666666666666666,0.25,,4.04,27.2,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,0.6183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1630228-1641764,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Jonathan Kuminga, Brandin Podziemski","Looney, Hield, Payton II, Kuminga, Podziemski",1626172-1627741-1627780-1630228-1641764,GSW,590.0,3,10.0,-2.0,20.0,21.0,5.0,2.0,1.0,41.0,2.0,,4.0,7.0,2.0,,2.0,6.0,1.0,2.0,6.0,11.0,2.0,6.0,,18.0,20.0,,2.0,,2.0,1.0,2.0,,3.0,2.0,10.0,,6.0,2.0,1.0,3.0,,8.0,,5.0,5.0,,10.0,,10.0,,2.0,1.0,1.0,1.0,3.0,1.0,2.0,,1.0,,,,,16.0,3.0,5.0,,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.5454545454545454,,0.5294117647058824,0.375,0.5294117647058824,1.0,0.375,0.35294117647058826,0.6666666666666666,,0.8333333333333334,,0.8333333333333334,0.8333333333333334,,,,0.5,1.0,0.8,,100.06779661016948,14.2,14.571428571428571,13.65,14.333333333333334,0.11764705882352941,0.4117647058823529,0.5714285714285714,0.5714285714285714,,0.11764705882352941,,0.35294117647058826,0.3333333333333333,0.3333333333333333,,0.5,0.5,0.47058823529411764,0.3333333333333333,0.504464705882353,0.497125,,,0.1111111111111111,0.16666666666666666,7.627272727272728,27.55,0.25,6.0,2.0,2.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,0.5,0.5,1.0,,,0.4126,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1630228-201939,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Jonathan Kuminga, Stephen Curry","Looney, Hield, Payton II, Kuminga, Curry",1626172-1627741-1627780-1630228-201939,GSW,1782.0,11,30.0,-12.0,62.0,66.0,27.0,7.0,8.0,128.0,7.0,,10.0,14.0,3.0,6.0,6.0,24.0,2.0,9.0,16.0,24.0,7.0,30.0,17.0,70.0,82.0,2.0,8.0,4.0,7.0,2.0,13.0,9.0,23.0,20.0,12.0,3.0,23.0,6.0,10.0,16.0,5.0,38.0,6.0,12.0,11.0,4.0,27.0,13.0,40.0,2.0,9.0,1.0,5.0,5.0,14.0,8.0,13.0,,14.0,19.0,1.0,,10.0,62.0,23.0,27.0,,0.625,0.625,0.23333333333333334,0.15384615384615385,0.2413793103448276,0.6666666666666666,0.5714285714285714,0.49074074074074076,0.35,0.5555555555555556,0.3333333333333333,0.46,0.5555555555555556,0.6428571428571429,1.0,0.6470588235294118,0.75,0.7058823529411765,0.6764705882352942,0.43333333333333335,1.0,0.6666666666666666,0.6666666666666666,0.5,0.6923076923076923,0.07407407407407407,103.43434343434343,14.274193548387096,13.590909090909092,12.951612903225806,12.969696969696969,0.12962962962962962,0.25925925925925924,0.7142857142857143,0.8333333333333334,0.5,0.05555555555555555,0.1111111111111111,0.4444444444444444,0.25,0.2608695652173913,,0.45,0.2222222222222222,0.6851851851851852,0.2608695652173913,0.5127377358490566,0.5086447368421052,0.15873015873015872,0.30303030303030304,0.11428571428571428,0.32857142857142857,7.958333333333333,26.576666666666664,0.43548387096774194,18.0,6.0,5.0,2.0,1.0,2.0,1.0,0.8571428571428571,0.5,0.8333333333333334,5.0,,2.0,,4.0,,2.0,4.0,2.0,2.0,,,0.2727272727272727,0.08333333333333333,0.14285714285714285,0.75,0.7142857142857143,0.7142857142857143,0.8,0.18181818181818182,,0.5367625,1.0,4.0,8.0,0.75,0.3333333333333333,0.3333333333333333,1.0,4.0,4.0,2.0,3.0,2.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.03333333333333333,0.041666666666666664,0.3181818181818182,0.5,0.4117647058823529,1.0,0.16666666666666666,0.16666666666666666,1.0,0.36363636363636365,0.2727272727272727,0.6666666666666666,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1630228-203471,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Jonathan Kuminga, Dennis Schröder","Looney, Hield, Payton II, Kuminga, Schröder",1626172-1627741-1627780-1630228-203471,GSW,125.0,1,2.0,3.0,4.0,5.0,,,2.0,9.0,2.0,,,,,,1.0,3.0,,,1.0,2.0,1.0,3.0,,5.0,2.0,,5.0,,,,,,,2.0,,,3.0,1.0,1.0,2.0,,5.0,,1.0,1.0,,2.0,2.0,4.0,,1.0,,,,1.0,1.0,1.0,,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.5,,0.5,,0.5,1.25,,0.6,1.0,,1.0,,1.0,1.0,0.6666666666666666,,,1.0,,1.0,,103.67999999999999,15.5,12.6,13.5,12.6,0.4,,,,,,,0.6,0.3333333333333333,0.3333333333333333,,,,1.0,0.3333333333333333,0.54139,,0.2,0.5,1.0,,3.0,25.03333333333333,,3.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.25,,,,0.5,0.5,1.0,0.5,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,1.0,,,1.0,,1.0,,,,,,0.5,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1630541-1641764,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Moses Moody, Brandin Podziemski","Looney, Hield, Payton II, Moody, Podziemski",1626172-1627741-1627780-1630541-1641764,GSW,173.0,1,3.0,2.0,6.0,7.0,,7.0,,13.0,,,,,,,2.0,2.0,,,,,2.0,2.0,,6.0,4.0,,,,,,,,,,,,2.0,2.0,,2.0,,6.0,,2.0,1.0,,3.0,,3.0,,3.0,,1.0,3.0,4.0,1.0,2.0,,1.0,,,,,6.0,,,,,,1.0,,1.0,,,1.5,,1.5,,,1.0,0.75,,1.0,,0.6666666666666666,0.75,,,,1.0,,0.5,,108.20809248554913,11.166666666666666,15.142857142857142,11.166666666666666,12.714285714285714,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,0.524175,,,,,,,26.65,,6.0,2.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1630541-201939,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Moses Moody, Stephen Curry","Looney, Hield, Payton II, Moody, Curry",1626172-1627741-1627780-1630541-201939,GSW,164.0,2,3.0,-2.0,6.0,5.0,4.0,,1.0,11.0,2.0,1.0,,,1.0,1.0,,1.0,,1.0,2.0,3.0,1.0,2.0,,7.0,9.0,,3.0,1.0,2.0,,1.0,,2.0,4.0,,,1.0,,2.0,3.0,,7.0,,,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,2.0,,,,,,,4.0,2.0,4.0,1.0,1.0,1.0,0.5,,0.5,0.6666666666666666,0.5,0.7,0.3333333333333333,0.7,1.5,0.3333333333333333,0.4,1.0,,0.5,,,0.5,,,0.5,,,,,96.58536585365853,14.833333333333334,15.0,13.333333333333334,14.6,0.4,,,,,0.2,0.2,0.2,,,0.3333333333333333,0.3333333333333333,,0.8,,0.6373300000000001,0.6165333333333333,,,0.42857142857142855,0.2857142857142857,5.366666666666667,24.95,0.6666666666666666,3.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,2.0,,,,,1.5,,,,1.0,1.0,1.0,,,0.52965,,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1641764-201939,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Brandin Podziemski, Stephen Curry","Looney, Hield, Payton II, Podziemski, Curry",1626172-1627741-1627780-1641764-201939,GSW,535.0,3,9.0,-18.0,19.0,21.0,7.0,15.0,1.0,40.0,2.0,,4.0,5.0,1.0,3.0,,3.0,,3.0,5.0,8.0,1.0,6.0,,13.0,31.0,,2.0,1.0,1.0,,4.0,,2.0,6.0,4.0,,3.0,,3.0,4.0,3.0,9.0,1.0,3.0,2.0,,5.0,2.0,7.0,,5.0,,2.0,3.0,7.0,2.0,4.0,,2.0,2.0,,,,11.0,2.0,7.0,1.0,0.6,0.75,0.16666666666666666,,0.16666666666666666,0.625,1.0,0.4642857142857143,0.2,0.43333333333333335,0.5,0.16666666666666666,0.42857142857142855,0.7142857142857143,,0.6666666666666666,0.3333333333333333,0.6,0.625,0.25,1.0,1.0,0.5,,1.0,,107.66355140186917,14.0,12.80952380952381,13.947368421052632,12.238095238095237,0.14285714285714285,0.35714285714285715,0.8,0.8,0.75,0.07142857142857142,0.21428571428571427,0.21428571428571427,,,,0.6,,0.5714285714285714,,0.5532464285714286,0.56109,,,0.15384615384615385,0.15384615384615385,5.95,23.96666666666667,0.3684210526315789,3.0,1.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,2.0,,1.0,1.0,0.125,,,0.5,1.0,,1.0,1.0,0.7389,,2.0,3.0,0.5,,,1.0,,1.0,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,0.2,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,1.0,,,,,0.2,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
1626172-1627741-1627780-1641764-203110,1610612744,"Kevon Looney, Buddy Hield, Gary Payton II, Brandin Podziemski, Draymond Green","Looney, Hield, Payton II, Podziemski, Green",1626172-1627741-1627780-1641764-203110,GSW,167.0,1,3.0,-1.0,5.0,5.0,5.0,,1.0,10.0,2.0,2.0,,1.0,1.0,1.0,,,,,2.0,4.0,,1.0,2.0,6.0,7.0,1.0,3.0,2.0,4.0,,1.0,2.0,6.0,2.0,2.0,,,,1.0,1.0,,2.0,1.0,1.0,1.0,,2.0,2.0,4.0,,1.0,,,,1.0,,1.0,,2.0,3.0,1.0,,2.0,3.0,6.0,5.0,,0.5,0.5,,,,0.5,0.5,0.4,0.4,0.5,0.75,0.5,0.2,1.0,,0.5,0.5,0.5,0.5,0.6666666666666666,1.0,,0.5,,0.5,,86.22754491017965,16.2,17.2,15.6,14.0,0.4,0.2,,,,0.2,0.2,,,,0.4,,,0.6,,0.5130600000000001,0.5130600000000001,0.3333333333333333,0.4,0.5,1.0,7.375,22.3,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,2.0,,1.0,,,,,0.5,0.5,0.25,,,0.5,1.0,,0.5,,0.4081,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,0.2,,1.0,,,,0.5,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,1610612744,2025,2024-25,True
