EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceCorner3FGA,SecondChanceFG3A,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,LongMidRangePctBlocked,LiveBallTurnoverPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceCorner3Frequency,PenaltyOffPoss,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG3M,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,NonHeaveArc3FGM,Arc3Assists,LongMidRangeAssists,DefThreePtRebounds,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctBlocked,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,PtsUnassisted3s,PtsPutbacks,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,DefAtRimReboundPct,BlocksRecoveredPct,SelfOReb,OffLongMidRangeReboundPct,SelfORebPct,BlockedShortMidRange,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,SecondChanceTurnovers,PenaltyFg3Pct,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,HeaveAttempts,FTOffRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,OffFTReboundPct,DefCorner3ReboundPct,PenaltyAtRimFGM,PenaltyAtRimAccuracy,SecondChanceCorner3FGM,NonShootingPenaltyNonTakeFouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls Drawn,Fg3aBlocked,Blocked3s,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3FGA,NonShootingFoulsDrawn,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Frequency,SecondChanceFtPoints,PenaltyCorner3FGM,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedArc3,Charge Fouls,Corner3PctBlocked,Travels,Transition Take Fouls Drawn,Defensive 3 Seconds Violations,DefensiveGoaltends,3pt And 1 Free Throw Trips,Clear Path Fouls,OffensiveGoaltends,Transition Take Fouls,team_id,year,season,team_vs
1627751-1628449-1628971-1629628-1630558,1610612761,"Jakob Poeltl, Chris Boucher, Bruce Brown, RJ Barrett, Davion Mitchell","Poeltl, Boucher, Brown, Barrett, Mitchell",1627751-1628449-1628971-1629628-1630558,TOR,422.0,6,7.0,-4.0,12.0,14.0,2.0,1.0,26.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,5.0,8.0,1.0,4.0,13.0,17.0,1.0,1.0,2.0,6.0,4.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,11.0,0.6,0.6,1.0,0.25,0.25,0.625,1.0,0.5416666666666666,1.0,0.5416666666666666,1.0,0.3333333333333333,0.125,0.3333333333333333,1.0,0.5,0.3333333333333333,0.5,0.16666666666666666,1.0,0.5,88.72037914691943,18.666666666666668,14.142857142857142,18.25,14.142857142857142,0.25,0.6666666666666666,1.0,1.0,0.25,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.5,0.5,0.08333333333333333,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.5833333333333334,0.4963166666666667,0.784,0.15384615384615385,9.2,25.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,False
1627751-1628449-1628971-1629628-1641711,1610612761,"Jakob Poeltl, Chris Boucher, Bruce Brown, RJ Barrett, Gradey Dick","Poeltl, Boucher, Brown, Barrett, Dick",1627751-1628449-1628971-1629628-1641711,TOR,260.0,1,4.0,,9.0,10.0,,1.0,19.0,2.0,2.0,,,2.0,4.0,,1.0,,1.0,1.0,4.0,7.0,,2.0,8.0,8.0,,,,4.0,4.0,,1.0,1.0,2.0,,2.0,,2.0,,4.0,1.0,4.0,,4.0,1.0,5.0,2.0,1.0,,1.0,1.0,,,,8.0,0.5,0.5,,,,0.5714285714285714,,0.4444444444444444,,0.4444444444444444,,0.2222222222222222,0.14285714285714285,,,1.0,0.3333333333333333,0.8,0.2,,1.0,105.23076923076924,14.333333333333334,13.1,13.777777777777779,12.8,0.2222222222222222,1.0,1.0,1.0,0.4444444444444444,0.5,0.5,,0.1111111111111111,,,0.1111111111111111,,,,0.1111111111111111,,,,0.4444444444444444,0.5537444444444444,0.59235,,6.528571428571429,24.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,False
1627751-1628449-1628971-1629628-1642347,1610612761,"Jakob Poeltl, Chris Boucher, Bruce Brown, RJ Barrett, Jamal Shead","Poeltl, Boucher, Brown, Barrett, Shead",1627751-1628449-1628971-1629628-1642347,TOR,351.0,4,6.0,6.0,10.0,9.0,,1.0,19.0,1.0,1.0,,,3.0,6.0,1.0,1.0,,1.0,1.0,5.0,8.0,1.0,2.0,16.0,10.0,,,3.0,6.0,4.0,3.0,1.0,1.0,3.0,1.0,4.0,,,2.0,9.0,2.0,1.0,,2.0,2.0,4.0,1.0,1.0,,,2.0,,2.0,,13.0,0.6,0.6,1.0,0.5,0.5,0.625,,0.65,1.5,0.6666666666666666,1.5,0.2,0.125,,,1.0,0.6666666666666666,0.3333333333333333,0.5,,1.0,77.94871794871796,15.9,21.333333333333332,15.8,19.22222222222222,0.1,1.0,1.0,,0.6,0.5,0.6,0.6666666666666666,0.1,1.0,1.0,0.1,,,,0.1,,,,0.3,0.510355,0.56595,0.1875,7.1375,24.75,,1.0,,,,1.0,,,0.6666666666666666,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4558,0.16666666666666666,0.2,0.125,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,False
1627751-1628449-1628971-1630534-1642347,1610612761,"Jakob Poeltl, Chris Boucher, Bruce Brown, Ochai Agbaji, Jamal Shead","Poeltl, Boucher, Brown, Agbaji, Shead",1627751-1628449-1628971-1630534-1642347,TOR,136.0,1,2.0,-4.0,3.0,2.0,,1.0,5.0,,,,,,,1.0,1.0,,2.0,2.0,1.0,1.0,,4.0,2.0,6.0,,,,2.0,,,2.0,,1.0,,1.0,,,,2.0,,,,,2.0,2.0,,,,,1.0,,,,2.0,1.0,1.0,,,,1.0,,0.2,,0.2,,0.8,,,,,,,0.5,,,52.94117647058824,30.0,23.0,24.0,22.0,,,,,,,,,0.2,1.0,1.0,0.4,,,,0.4,,,,0.8,0.51691,,,16.5,25.075,1.0,2.0,,,,,,,,,0.5,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,0.5,,,,,,,,,2.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,False
1627751-1628449-1628971-1630558-1630567,1610612761,"Jakob Poeltl, Chris Boucher, Bruce Brown, Davion Mitchell, Scottie Barnes","Poeltl, Boucher, Brown, Mitchell, Barnes",1627751-1628449-1628971-1630558-1630567,TOR,439.0,3,7.0,8.0,14.0,14.0,1.0,3.0,28.0,4.0,5.0,3.0,3.0,2.0,2.0,,1.0,,2.0,5.0,6.0,8.0,1.0,7.0,19.0,11.0,3.0,3.0,6.0,4.0,8.0,,5.0,,2.0,,2.0,,1.0,1.0,4.0,1.0,5.0,,7.0,4.0,11.0,1.0,1.0,2.0,2.0,1.0,,3.0,,13.0,0.3333333333333333,0.6666666666666666,,0.14285714285714285,0.14285714285714285,0.75,1.0,0.5,0.75,0.5588235294117647,0.75,0.4666666666666667,,,,1.0,0.5,0.875,0.5714285714285714,1.0,,91.84510250569477,14.928571428571429,16.428571428571427,14.571428571428571,16.071428571428573,0.3333333333333333,0.8,0.8,0.25,0.13333333333333333,1.0,1.0,0.5,0.06666666666666667,,,0.13333333333333333,,,,0.3333333333333333,0.75,1.0,,0.8,0.5392533333333334,0.5888,0.3157894736842105,5.1,25.7,,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,4.0,,,,,1.0,,,2.0,5.0,3.0,,,,,,,,0.6666666666666666,0.6666666666666666,,0.2,0.2,,0.25,,,0.2,,0.17647058823529413,0.3,,,3.0,0.6,0.3333333333333333,1.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,False
1627751-1628449-1628971-1630567-1642347,1610612761,"Jakob Poeltl, Chris Boucher, Bruce Brown, Scottie Barnes, Jamal Shead","Poeltl, Boucher, Brown, Barnes, Shead",1627751-1628449-1628971-1630567-1642347,TOR,221.0,2,4.0,,8.0,6.0,3.0,2.0,14.0,2.0,3.0,1.0,2.0,1.0,2.0,,2.0,,1.0,2.0,3.0,7.0,,3.0,7.0,7.0,1.0,2.0,2.0,4.0,2.0,,2.0,,2.0,,2.0,,1.0,1.0,4.0,2.0,1.0,,3.0,3.0,6.0,,,,,,,2.0,,5.0,0.6666666666666666,1.0,,,,0.42857142857142855,0.5,0.3,0.3333333333333333,0.3181818181818182,0.3333333333333333,0.3,,,,0.5,0.5,0.75,0.42857142857142855,1.0,1.0,91.22171945701358,16.625,14.666666666666666,15.625,13.166666666666666,0.3,0.6666666666666666,0.6666666666666666,0.5,0.2,0.5,0.5,1.0,0.2,,,0.1,,,,0.2,0.6666666666666666,0.5,,0.6,0.548285,0.59715,0.2857142857142857,7.557142857142857,24.5,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,0.3333333333333333,,,,,0.09090909090909091,0.125,,,1.0,0.3333333333333333,,1.0,,2.0,,,,,,,,,1.0,0.5,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,False
1627751-1628449-1629628-1630193-1630534,1610612761,"Jakob Pöltl, Chris Boucher, RJ Barrett, Immanuel Quickley, Ochai Agbaji","Pöltl, Boucher, Barrett, Quickley, Agbaji",1627751-1628449-1629628-1630193-1630534,TOR,92.0,1,2.0,-2.0,3.0,3.0,,,6.0,,,,,,1.0,,,,,1.0,,1.0,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,0.5,,,,1.0,,1.0,,,1.0,93.91304347826086,10.666666666666666,20.0,10.666666666666666,20.0,,,,,0.5,,,,,,,,,,,0.5,,,,0.5,0.5211,,,8.9,24.3,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,False
1627751-1628449-1629628-1630193-1630567,1610612761,"Jakob Poeltl, Chris Boucher, RJ Barrett, Immanuel Quickley, Scottie Barnes","Poeltl, Boucher, Barrett, Quickley, Barnes",1627751-1628449-1629628-1630193-1630567,TOR,443.0,2,7.0,-1.0,13.0,13.0,5.0,2.0,26.0,2.0,5.0,1.0,1.0,3.0,5.0,,1.0,,1.0,2.0,5.0,11.0,2.0,3.0,17.0,18.0,1.0,2.0,2.0,6.0,4.0,6.0,2.0,,3.0,2.0,5.0,,1.0,2.0,12.0,3.0,3.0,1.0,5.0,3.0,8.0,1.0,1.0,,1.0,4.0,,2.0,,15.0,0.6,0.75,1.0,0.6666666666666666,0.6666666666666666,0.45454545454545453,0.5,0.5714285714285714,0.5,0.5666666666666667,0.5,0.21428571428571427,,,1.0,0.75,0.5,0.5,0.42857142857142855,0.3333333333333333,1.0,84.51467268623024,16.0,18.076923076923077,15.076923076923077,15.76923076923077,0.35714285714285715,0.4,0.4,0.5,0.35714285714285715,0.6,0.6,0.6666666666666666,0.07142857142857142,,,0.07142857142857142,,,,0.14285714285714285,0.5,1.0,,0.5714285714285714,0.524375,0.5366,0.11764705882352941,5.9363636363636365,25.166666666666668,,,,1.0,1.0,2.0,,1.0,0.5,,,5.0,2.0,,,1.0,,1.0,2.0,9.0,2.0,2.0,,1.0,2.0,1.0,9.0,5.0,,0.5,1.0,0.9,,0.25,0.25,,1.0,1.0,1.0,,,,1.0,0.5205125,0.06666666666666667,0.08333333333333333,0.5294117647058824,0.38461538461538464,,,,,,2.0,,1.0,,1.0,1.0,,0.5,1.0,,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.25,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,False
1627751-1628449-1629628-1630193-1641711,1610612761,"Jakob Poeltl, Chris Boucher, RJ Barrett, Immanuel Quickley, Gradey Dick","Poeltl, Boucher, Barrett, Quickley, Dick",1627751-1628449-1629628-1630193-1641711,TOR,15.0,1,,-2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,False
1627751-1628449-1629628-1630193-1642347,1610612761,"Jakob Pöltl, Chris Boucher, RJ Barrett, Immanuel Quickley, Jamal Shead","Pöltl, Boucher, Barrett, Quickley, Shead",1627751-1628449-1629628-1630193-1642347,TOR,130.0,1,2.0,4.0,4.0,4.0,,1.0,8.0,3.0,5.0,1.0,2.0,,1.0,,,,,,3.0,6.0,,,6.0,2.0,1.0,2.0,2.0,2.0,4.0,,,,1.0,,1.0,,1.0,,2.0,2.0,1.0,,2.0,2.0,4.0,,,,,,,1.0,1.0,4.0,0.3333333333333333,0.5,,,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,88.61538461538463,17.25,15.25,16.5,15.25,0.8333333333333334,0.6,0.6,0.3333333333333333,0.16666666666666666,,,,,,,,,,,,1.0,0.5,,0.8333333333333334,0.5640666666666666,0.6315,0.3333333333333333,2.716666666666667,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,False
