EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,PtsUnassisted2s,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,NonShootingPenaltyNonTakeFoulsDrawn,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,NonHeaveArc3FGA,LongMidRangeAssists,OffThreePtRebounds,Loose Ball Fouls Drawn,SecondChanceTsPct,FG3APct,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChancePointsPct,Avg3ptShotDistance,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceArc3FGA,SecondChanceFG3A,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,SelfOReb,DeadBallTurnovers,Travels,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,OffAtRimReboundPct,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Offensive Fouls,ThreePtShootingFoulsDrawn,DefShortMidRangeReboundPct,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,ShortMidRangeAssists,ShortMidRangePctAssisted,SecondChanceCorner3FGA,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,LongMidRangePctBlocked,SecondChanceCorner3Frequency,Fg3aBlocked,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,BlockedShortMidRange,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,HeaveAttempts,SecondChanceAtRimPctAssisted,Offensive Fouls Drawn,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceFG3M,Charge Fouls,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,BlockedLongMidRange,DefensiveGoaltends,Blocked3s,BlockedCorner3,BlockedArc3,Transition Take Fouls,3SecondViolations,Charge Fouls Drawn,3pt And 1 Free Throw Trips,Transition Take Fouls Drawn,Corner3PctBlocked,OffensiveGoaltends,team_id,year,season,team_vs
1628467-1629023-1629029-1629655-1629656,1610612742,"Maxi Kleber, P.J. Washington, Luka Dončić, Daniel Gafford, Quentin Grimes","Kleber, Washington, Dončić, Gafford, Grimes",1628467-1629023-1629029-1629655-1629656,DAL,113.0,1,2.0,4.0,5.0,5.0,5.0,1.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,9.0,5.0,2.0,2.0,5.0,9.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,1.0,9.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.125,1.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,127.43362831858407,11.0,11.6,11.0,11.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76605,0.76605,0.6666666666666666,0.6666666666666666,1.0,1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2025,2024-25,False
1628467-1629023-1629029-1629655-202681,1610612742,"Maxi Kleber, P.J. Washington, Luka Dončić, Daniel Gafford, Kyrie Irving","Kleber, Washington, Dončić, Gafford, Irving",1628467-1629023-1629029-1629655-202681,DAL,87.0,1,1.0,2.0,1.0,2.0,1.0,,3.0,,,,,1.0,2.0,,2.0,,1.0,2.0,,2.0,,,,,,1.0,,,1.0,2.0,,,,,,1.0,1.0,2.0,,,1.0,2.0,2.0,1.0,,,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,,,,0.5,0.3333333333333333,,,0.5,49.6551724137931,36.0,25.5,35.0,15.5,,,,,,,,0.44195,0.44195,,,1.0,10.25,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2025,2024-25,False
1628467-1629023-1629029-1629656-203915,1610612742,"Maxi Kleber, P.J. Washington, Luka Dončić, Quentin Grimes, Spencer Dinwiddie","Kleber, Washington, Dončić, Grimes, Dinwiddie",1628467-1629023-1629029-1629656-203915,DAL,327.0,2,5.0,-6.0,9.0,9.0,9.0,,18.0,3.0,3.0,3.0,3.0,5.0,5.0,2.0,12.0,18.0,5.0,5.0,2.0,12.0,4.0,2.0,2.0,1.0,4.0,,,,,1.0,,,,,1.0,1.0,1.0,2.0,,,1.0,10.0,12.0,9.0,0.4,0.4,1.0,1.0,0.5555555555555556,0.5555555555555556,0.6,0.6,,,,,,,,,79.26605504587155,21.77777777777778,14.555555555555555,21.77777777777778,14.555555555555555,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.7777777777777778,0.547738888888889,0.547738888888889,,,1.0,7.4799999999999995,1.0,,,6.0,,1.0,1.0,1.0,1.0,,0.25,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.25,0.5,0.2222222222222222,1.0,1.0,0.5,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.16666666666666666,25.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2025,2024-25,False
1628467-1629023-1629029-1641726-203915,1610612742,"Maxi Kleber, P.J. Washington, Luka Dončić, Dereck Lively II, Spencer Dinwiddie","Kleber, Washington, Dončić, Lively II, Dinwiddie",1628467-1629023-1629029-1641726-203915,DAL,10.0,1,,-1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,9.0,,9.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2025,2024-25,False
1628467-1629023-1629029-202681-202691,1610612742,"Maxi Kleber, P.J. Washington, Luka Dončić, Kyrie Irving, Klay Thompson","Kleber, Washington, Dončić, Irving, Thompson",1628467-1629023-1629029-202681-202691,DAL,155.0,2,3.0,,7.0,6.0,7.0,4.0,13.0,,,,,1.0,3.0,2.0,7.0,7.0,1.0,3.0,2.0,7.0,,,1.0,,3.0,3.0,,,3.0,3.0,,,,,,,2.0,2.0,,1.0,,7.0,7.0,7.0,,,0.3333333333333333,0.3333333333333333,0.625,0.625,0.7,0.7,,,,1.0,1.0,,,1.0,120.77419354838709,10.428571428571429,13.666666666666666,10.428571428571429,13.666666666666666,,,,,,,0.25,0.46995,0.46995,0.2,0.25,1.0,12.700000000000001,1.0,1.0,2.0,2.0,,,,,,,,,0.5,0.5,0.5,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,,,,0.25,,,0.25,,,,,0.25,,0.25,,25.2,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2025,2024-25,False
1628467-1629023-1629029-203915-203939,1610612742,"Maxi Kleber, P.J. Washington, Luka Dončić, Spencer Dinwiddie, Dwight Powell","Kleber, Washington, Dončić, Dinwiddie, Powell",1628467-1629023-1629029-203915-203939,DAL,27.0,1,,-1.0,1.0,1.0,,,2.0,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,,106.66666666666666,16.0,11.0,16.0,11.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2025,2024-25,False
1628467-1629023-1629655-1629656-1630314,1610612742,"Maxi Kleber, P.J. Washington, Daniel Gafford, Quentin Grimes, Brandon Williams","Kleber, Washington, Gafford, Grimes, Williams",1628467-1629023-1629655-1629656-1630314,DAL,120.0,1,2.0,-3.0,5.0,4.0,,,9.0,1.0,1.0,,,1.0,3.0,,2.0,5.0,,,,,2.0,1.0,1.0,1.0,2.0,2.0,,,2.0,3.0,1.0,1.0,1.0,,,1.0,1.0,,,,,2.0,,,1.0,1.0,0.3333333333333333,,0.2,,0.2,,1.0,,,1.0,1.0,,,1.0,108.0,15.0,11.25,14.4,11.25,0.2,1.0,1.0,1.0,,,0.6,0.51025,,,,,9.200000000000001,,,1.0,,,1.0,,,,,0.25,,0.2,,,1.0,,1.0,1.0,,1.0,,2.0,,,,1.0,,1.0,,,0.4,0.5,,0.2,,,,0.2,0.2,,,,24.3,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2025,2024-25,False
1628467-1629023-1629655-1629656-1641789,1610612742,"Maxi Kleber, P.J. Washington, Daniel Gafford, Quentin Grimes, Jazian Gortman","Kleber, Washington, Gafford, Grimes, Gortman",1628467-1629023-1629655-1629656-1641789,DAL,19.0,1,,-3.0,,1.0,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2025,2024-25,False
1628467-1629023-1629655-1629656-202681,1610612742,"Maxi Kleber, P.J. Washington, Daniel Gafford, Quentin Grimes, Kyrie Irving","Kleber, Washington, Gafford, Grimes, Irving",1628467-1629023-1629655-1629656-202681,DAL,179.0,1,3.0,-6.0,6.0,6.0,,,12.0,2.0,2.0,,,3.0,4.0,1.0,7.0,13.0,,,,,2.0,1.0,1.0,1.0,2.0,1.0,,,1.0,3.0,,,1.0,,2.0,3.0,1.0,2.0,,1.0,,3.0,,,0.3333333333333333,1.0,0.75,,0.5,,0.5,,,,,0.5,0.5,,,1.0,96.53631284916202,16.333333333333332,13.5,15.833333333333334,10.666666666666666,0.3333333333333333,1.0,1.0,0.5,,,0.6666666666666666,0.5524749999999999,,0.14285714285714285,0.2,,5.55,,1.0,1.0,4.0,1.0,2.0,,,,1.0,0.6666666666666666,,0.16666666666666666,1.0,1.0,2.0,,1.0,1.0,,1.0,,2.0,,4.0,,1.0,,1.0,,1.0,0.3333333333333333,0.5,1.0,0.16666666666666666,,,,0.16666666666666666,0.16666666666666666,,,0.5714285714285714,23.8,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.6492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2025,2024-25,False
1628467-1629023-1629655-1629656-203915,1610612742,"Maxi Kleber, P.J. Washington, Daniel Gafford, Quentin Grimes, Spencer Dinwiddie","Kleber, Washington, Gafford, Grimes, Dinwiddie",1628467-1629023-1629655-1629656-203915,DAL,432.0,3,7.0,3.0,18.0,14.0,12.0,4.0,32.0,2.0,3.0,1.0,2.0,2.0,7.0,5.0,15.0,12.0,1.0,5.0,1.0,6.0,2.0,1.0,3.0,1.0,8.0,2.0,2.0,,4.0,5.0,2.0,1.0,4.0,2.0,,2.0,6.0,6.0,1.0,2.0,1.0,15.0,5.0,11.0,0.5,0.5,0.2857142857142857,0.2,0.4166666666666667,0.2777777777777778,0.5,0.3,0.5,,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,106.66666666666666,13.666666666666666,13.285714285714286,13.5,12.642857142857142,0.25,0.6666666666666666,0.6666666666666666,0.5,0.2222222222222222,0.5,0.6666666666666666,0.5534416666666667,0.5370611111111111,0.15384615384615385,0.25,0.4,5.185714285714285,0.6666666666666666,,4.0,2.0,1.0,1.0,3.0,1.0,,0.2,0.125,0.25,0.3333333333333333,,,1.0,,,1.0,1.0,4.0,3.0,5.0,,,4.0,4.0,,,,,0.4166666666666667,,,,,,,0.08333333333333333,0.3333333333333333,0.1111111111111111,0.3333333333333333,,25.0,1.0,,2.0,1.0,6.0,1.0,2.0,1.0,1.0,0.4,0.25,0.4,,0.25,0.25,1.0,,0.25,,,,,,1.0,,1.0,,,2.0,,1.0,,,,,1.0,,0.5148,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2025,2024-25,False
