EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,FG2M,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,LongMidRangeAssists,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeAssists,DefThreePtRebounds,Steals,BadPassSteals,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceOffPoss,SecondChanceAtRimFGA,SecondChanceFG2A,OffTwoPtRebounds,FTDefRebounds,OffRebounds,ShootingFouls,BlockedShortMidRange,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,PenaltyDefPoss,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGM,Arc3Assists,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,Fg2aBlocked,OffThreePtRebounds,StepOutOfBoundsTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,LongMidRangePctBlocked,SelfOReb,BadPassTurnovers,SecondChanceTurnovers,PenaltyTurnovers,AtRimPctBlocked,OffAtRimReboundPct,SelfORebPct,LostBallSteals,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,SecondChanceFtPoints,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Charge Fouls,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Travels,Offensive Fouls Drawn,Technical Free Throw Trips,DefensiveGoaltends,Charge Fouls Drawn,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,3SecondViolations,BlockedCorner3,HeaveAttempts,FTOffRebounds,OffFTReboundPct,Corner3PctBlocked,Transition Take Fouls Drawn,OffensiveGoaltends,team_id,year,season,team_vs
1626156-1627732-1629651-1629661-1630553,1610612751,"D'Angelo Russell, Ben Simmons, Nic Claxton, Cameron Johnson, Keon Johnson","Russell, Simmons, Claxton, Johnson, Johnson",1626156-1627732-1629651-1629661-1630553,BKN,140.0,1,2.0,-2.0,4.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,0.5,0.5,0.375,0.375,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,82.28571428571428,18.0,17.0,18.0,16.5,0.25,0.25,0.25,1.0,1.0,1.0,0.25,0.5,0.5069125,13.3,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2025,2024-25,False
1626156-1627732-1629651-1630533-1641730,1610612751,"D'Angelo Russell, Ben Simmons, Nic Claxton, Ziaire Williams, Noah Clowney","Russell, Simmons, Claxton, Williams, Clowney",1626156-1627732-1629651-1630533-1641730,BKN,217.0,1,4.0,,7.0,7.0,14.0,,1.0,,,,2.0,,,7.0,7.0,,,,2.0,,4.0,3.0,3.0,3.0,1.0,7.0,,,,1.0,0.875,,0.42857142857142855,0.3333333333333333,0.6,,92.90322580645162,12.571428571428571,18.428571428571427,12.571428571428571,13.714285714285714,,0.5,,,,,,0.5,0.5157,9.4,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5722,0.5,0.5,0.5714285714285714,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2025,2024-25,False
1626156-1627732-1629651-1630592-1631213,1610612751,"D'Angelo Russell, Ben Simmons, Nic Claxton, Jalen Wilson, Tyrese Martin","Russell, Simmons, Claxton, Wilson, Martin",1626156-1627732-1629651-1630592-1631213,BKN,199.0,1,3.0,,6.0,5.0,11.0,2.0,,,,2.0,4.0,,2.0,4.0,4.0,,2.0,,2.0,,4.0,,2.0,2.0,1.0,4.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,1.0,,,79.59798994974874,17.833333333333332,18.4,17.833333333333332,18.4,0.3333333333333333,,,,,,0.3333333333333333,0.6666666666666666,0.549825,4.325,27.9,,,2.0,,,,2.0,,,,,,4.0,2.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,0.5,,,,,,0.3333333333333333,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2025,2024-25,False
1626156-1627732-1629661-1630549-1630553,1610612751,"D'Angelo Russell, Ben Simmons, Cameron Johnson, Day'Ron Sharpe, Keon Johnson","Russell, Simmons, Johnson, Sharpe, Johnson",1626156-1627732-1629661-1630549-1630553,BKN,68.0,1,1.0,6.0,3.0,2.0,5.0,,,,,,2.0,,,8.0,2.0,,,,2.0,,4.0,,1.0,1.0,,8.0,,,,1.0,1.3333333333333333,,,1.0,,,105.88235294117648,11.333333333333334,17.0,11.333333333333334,17.0,,,,,,,,1.0,0.8516,0.5,,,2.0,2.0,,,,2.0,4.0,,,,,4.0,2.0,2.0,,,,,,,,2.0,4.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,0.6666666666666666,0.5,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2025,2024-25,False
1626156-1627732-1630533-1630549-1630592,1610612751,"D'Angelo Russell, Ben Simmons, Ziaire Williams, Day'Ron Sharpe, Jalen Wilson","Russell, Simmons, Williams, Sharpe, Wilson",1626156-1627732-1630533-1630549-1630592,BKN,106.0,1,2.0,-1.0,2.0,3.0,5.0,1.0,,,,,3.0,,,2.0,3.0,,,,1.0,,2.0,,2.0,3.0,1.0,2.0,,,,0.3333333333333333,0.3333333333333333,,,0.5,,,67.9245283018868,20.0,22.0,19.0,16.0,0.3333333333333333,,,,,,,0.6666666666666666,0.5522,4.266666666666667,,,1.0,2.0,,,,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,0.3333333333333333,,,,,,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2025,2024-25,False
1626156-1627732-1630533-1630553-1630592,1610612751,"D'Angelo Russell, Ben Simmons, Ziaire Williams, Keon Johnson, Jalen Wilson","Russell, Simmons, Williams, Johnson, Wilson",1626156-1627732-1630533-1630553-1630592,BKN,120.0,1,2.0,8.0,4.0,5.0,9.0,1.0,,,,1.0,1.0,1.0,1.0,8.0,,3.0,1.0,1.0,1.0,,3.0,2.0,5.0,5.0,,8.0,1.0,1.0,1.0,1.25,1.0,0.5,1.0,1.0,,,108.0,11.0,15.2,11.0,15.2,0.5,,,,,,0.5,0.5,0.467,13.7,26.1,3.0,,,,,,1.0,3.0,1.0,1.0,1.0,6.0,,,,,,,,,,,2.0,4.0,1.0,,,1.0,1.0,6.0,3.0,,,1.0,1.0,1.25,1.0,,1.0,,,,,,,,,,0.467,0.3333333333333333,0.5,0.75,0.75,1.0,,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2025,2024-25,False
1626156-1627732-1630549-1630592-1641787,1610612751,"D'Angelo Russell, Ben Simmons, Day'Ron Sharpe, Jalen Wilson, Tosan Evbuomwan","Russell, Simmons, Sharpe, Wilson, Evbuomwan",1626156-1627732-1630549-1630592-1641787,BKN,135.0,1,2.0,-1.0,4.0,4.0,8.0,1.0,,,1.0,2.0,3.0,,3.0,2.0,3.0,,2.0,,1.0,,2.0,1.0,1.0,4.0,3.0,2.0,,,,0.16666666666666666,0.16666666666666666,0.5,1.0,0.5,1.0,,85.33333333333333,20.0,13.75,13.25,13.5,0.16666666666666666,,0.16666666666666666,,,,0.3333333333333333,0.8333333333333334,0.499425,4.066666666666666,25.53333333333333,2.0,1.0,2.0,,1.0,,1.0,,,2.0,,,2.0,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,2.0,1.0,1.0,0.3333333333333333,,,,,,0.3333333333333333,0.5,0.5,1.0,,,,0.2,,0.49688999999999994,,,,0.5,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,,3.0,,,,0.5,0.6,1.0,0.3333333333333333,0.42195,1.0,,,2.0,,3.0,,,,1.0,,,,,,,,,,,0.4,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2025,2024-25,False
1626156-1627732-1630553-1630570-1641787,1610612751,"D'Angelo Russell, Ben Simmons, Keon Johnson, Trendon Watford, Tosan Evbuomwan","Russell, Simmons, Johnson, Watford, Evbuomwan",1626156-1627732-1630553-1630570-1641787,BKN,21.0,1,,-1.0,1.0,1.0,2.0,,,,1.0,,1.0,,1.0,2.0,3.0,,,,,,,,,1.0,,,,,,0.5,0.5,0.5,,,,,137.14285714285714,18.0,3.0,18.0,3.0,,,0.5,,,,,1.0,0.6635,,23.8,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,1.0,1.0,0.5,0.5,,,0.5,1.0,1.0,,,,,0.5,1.0,0.6635,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2025,2024-25,False
1626156-1627732-1630592-1641730-1641787,1610612751,"D'Angelo Russell, Ben Simmons, Jalen Wilson, Noah Clowney, Tosan Evbuomwan","Russell, Simmons, Wilson, Clowney, Evbuomwan",1626156-1627732-1630592-1641730-1641787,BKN,14.0,1,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,102.85714285714286,12.0,,12.0,,,1.0,,,,,,,0.4128,15.2,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.4128,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2025,2024-25,False
1626156-1629651-1629661-1630533-1630553,1610612751,"D'Angelo Russell, Nic Claxton, Cameron Johnson, Ziaire Williams, Keon Johnson","Russell, Claxton, Johnson, Williams, Johnson",1626156-1629651-1629661-1630533-1630553,BKN,661.0,1,11.0,-11.0,22.0,21.0,43.0,5.0,1.0,1.0,3.0,7.0,10.0,1.0,10.0,13.0,24.0,3.0,7.0,1.0,5.0,1.0,11.0,3.0,8.0,13.0,4.0,11.0,1.0,0.1,0.1,0.275,0.29545454545454547,0.5,1.0,1.0,1.0,,93.67624810892586,16.59090909090909,14.095238095238095,15.590909090909092,14.095238095238095,0.25,0.05,0.15,0.3333333333333333,0.3333333333333333,1.0,0.35,0.7,0.5233675,5.3,26.26,10.0,2.0,4.0,1.0,2.0,,4.0,2.0,2.0,4.0,2.0,6.0,8.0,4.0,2.0,,4.0,1.0,,3.0,5.0,,7.0,4.0,2.0,,,,,6.0,10.0,1.0,1.0,0.4,0.5,0.2222222222222222,0.2727272727272727,0.8,,0.2,0.5,0.6666666666666666,1.0,,,,0.2222222222222222,0.5,0.5352888888888888,0.09090909090909091,0.16666666666666666,0.46153846153846156,0.45454545454545453,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.4,0.4,1.0,,,,3.0,1.0,2.0,2.0,,5.0,1.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.5653,,,,3.0,,5.0,,,,2.0,,,,,,1.0,,,,,0.3333333333333333,,,2.0,2.0,2.0,1.0,3.0,,,,0.1,,0.3333333333333333,0.42857142857142855,,0.5,0.2222222222222222,,1.0,2.0,,0.5,0.25,0.25,,0.15384615384615385,,1.0,1.0,1.0,1.0,0.25,0.5,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2025,2024-25,False
