EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,PtsAssisted3s,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Assisted3sPct,DefArc3ReboundPct,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3PctAssisted,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg3aBlocked,Corner3Assists,LongMidRangeAssists,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,Travels,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,Transition Take Fouls Drawn,Blocked3s,BlockedArc3,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,HeaveAttempts,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,Technical Free Throw Trips,Corner3PctBlocked,SelfORebPct,SecondChanceAtRimPctAssisted,DefensiveGoaltends,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,OffLongMidRangeReboundPct,BlockedCorner3,3pt And 1 Free Throw Trips,3SecondViolations,LongMidRangePctBlocked,Clear Path Fouls,Transition Take Fouls,team_id,year,season,team_vs
1628978-1629638-1629675-1630162-1630183,1610612750,"Donte DiVincenzo, Nickeil Alexander-Walker, Naz Reid, Anthony Edwards, Jaden McDaniels","DiVincenzo, Alexander-Walker, Reid, Edwards, McDaniels",1628978-1629638-1629675-1630162-1630183,MIN,348.0,3,6.0,4.0,13.0,13.0,13.0,3.0,3.0,26,3.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,7.0,2.0,7.0,4.0,6.0,2.0,9.0,2.0,16.0,12.0,1.0,1.0,2.0,4.0,3.0,5.0,2.0,9.0,2.0,14.0,4.0,4.0,6.0,2.0,7.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,14.0,13.0,1.0,0.5,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6666666666666666,1.0,0.6,0.4666666666666667,1.0,0.42857142857142855,0.5,1.0,0.4666666666666667,0.6,0.16666666666666666,0.2,1.0,0.75,0.5,0.5,0.6666666666666666,0.375,0.4,1.0,0.5,1.0,1.0,1.0,107.58620689655173,1.0,13.0,13.76923076923077,12.76923076923077,12.846153846153847,0.3333333333333333,0.6,0.75,0.6666666666666666,0.06666666666666667,1.0,1.0,0.13333333333333333,0.4666666666666667,0.2857142857142857,0.2857142857142857,1.0,1.0,0.2857142857142857,0.5,0.14285714285714285,0.5,0.2857142857142857,0.9333333333333333,0.2857142857142857,0.5734466666666667,0.5718571428571428,0.06666666666666667,0.16666666666666666,0.25,0.875,1.9666666666666668,25.544444444444444,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2025,2024-25,False
1628978-1629638-1629675-1630162-1631169,1610612750,"Donte DiVincenzo, Nickeil Alexander-Walker, Naz Reid, Anthony Edwards, Josh Minott","DiVincenzo, Alexander-Walker, Reid, Edwards, Minott",1628978-1629638-1629675-1630162-1631169,MIN,429.0,4,7.0,-1.0,16.0,13.0,,3.0,,29,1.0,3.0,,,,,1.0,2.0,3.0,,3.0,4.0,,,3.0,6.0,3.0,7.0,,15.0,16.0,,,,,,,,,,,2.0,4.0,,,4.0,3.0,,1.0,4.0,,11.0,,1.0,3.0,4.0,,4.0,2.0,1.0,1.0,,2.0,,,2.0,2.0,,,,,,,,,,,15.0,,,,0.3333333333333333,0.3333333333333333,0.42857142857142855,,0.42857142857142855,0.5,,,0.5769230769230769,,,0.5769230769230769,,,0.5384615384615384,,,0.5,1.0,0.5,,0.8,,,,1.0,1.0,1.0,,97.34265734265733,,12.8125,17.23076923076923,12.8125,16.384615384615383,0.23076923076923078,0.3333333333333333,0.3333333333333333,,0.15384615384615385,0.5,0.5,0.23076923076923078,0.3076923076923077,0.75,0.75,,,,,,,,0.7692307692307693,0.75,0.5457038461538462,,,,,,7.0,25.3,,1.0,1.0,9.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.07692307692307693,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2025,2024-25,False
1628978-1629638-1629675-1630162-203497,1610612750,"Donte DiVincenzo, Nickeil Alexander-Walker, Naz Reid, Anthony Edwards, Rudy Gobert","DiVincenzo, Alexander-Walker, Reid, Edwards, Gobert",1628978-1629638-1629675-1630162-203497,MIN,5043.0,31,84.0,27.0,176.0,175.0,48.0,52.0,16.0,351,26.0,30.0,5.0,5.0,6.0,6.0,6.0,27.0,22.0,4.0,24.0,60.0,8.0,18.0,33.0,61.0,34.0,82.0,21.0,189.0,162.0,5.0,6.0,,19.0,7.0,12.0,10.0,22.0,11.0,55.0,42.0,24.0,33.0,10.0,60.0,24.0,5.0,21.0,44.0,17.0,111.0,7.0,34.0,35.0,74.0,13.0,87.0,15.0,9.0,25.0,14.0,33.0,3.0,10.0,15.0,28.0,32.0,4.0,27.0,2.0,10.0,5.0,8.0,1.0,10.0,7.0,170.0,55.0,48.0,4.0,0.6363636363636364,0.75,0.4146341463414634,0.45454545454545453,0.4146341463414634,0.5409836065573771,0.8333333333333334,0.5833333333333334,0.5874125874125874,0.7916666666666666,0.6470588235294118,0.6057692307692307,0.7916666666666666,0.6875,0.5734265734265734,0.08196721311475409,0.03333333333333333,0.7575757575757576,0.8333333333333334,0.8947368421052632,0.14893617021276595,0.8625,0.16,0.14285714285714285,0.16666666666666666,0.8,0.8076923076923077,1.0,1.0,100.22605591909578,0.7,14.306818181818182,14.428571428571429,13.829545454545455,14.005714285714285,0.2097902097902098,0.8666666666666667,0.896551724137931,0.6538461538461539,0.1888111888111888,0.2222222222222222,0.2608695652173913,0.15384615384615385,0.4195804195804196,0.4,0.4067796610169492,0.4166666666666667,1.0,0.17647058823529413,1.0,0.11764705882352941,0.5294117647058824,0.4444444444444444,0.7832167832167832,0.4,0.5344748251748253,0.5061926470588236,0.06622516556291391,0.14492753623188406,0.10052910052910052,0.291005291005291,6.188524590163935,25.362195121951217,0.2727272727272727,1.0,4.0,69.0,23.0,15.0,3.0,6.0,5.0,8.0,11.0,0.6764705882352942,0.8461538461538461,0.5,0.027972027972027972,0.25,0.25,0.625,10.0,1.0,2.0,2.0,2.0,4.0,3.0,6.0,1.0,8.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,7.0,2.0,0.5,0.012195121951219513,0.14814814814814814,0.016666666666666666,1.0,0.3333333333333333,0.17857142857142858,0.5,0.14285714285714285,1.0,0.45454545454545453,0.45454545454545453,0.8,0.16666666666666666,0.5,1.0,0.3333333333333333,0.5,0.5,0.5,0.5930083333333334,,,,,,,,,,,,,,,,,,,,,,1610612750,2025,2024-25,False
1628978-1629638-1629675-1630162-203944,1610612750,"Donte DiVincenzo, Nickeil Alexander-Walker, Naz Reid, Anthony Edwards, Julius Randle","DiVincenzo, Alexander-Walker, Reid, Edwards, Randle",1628978-1629638-1629675-1630162-203944,MIN,7758.0,38,129.0,48.0,258.0,262.0,100.0,95.0,25.0,520,47.0,68.0,12.0,15.0,22.0,29.0,23.0,40.0,34.0,12.0,33.0,76.0,8.0,21.0,77.0,125.0,47.0,110.0,46.0,341.0,293.0,15.0,19.0,4.0,37.0,30.0,49.0,13.0,33.0,26.0,125.0,72.0,82.0,30.0,20.0,74.0,33.0,10.0,36.0,73.0,22.0,183.0,15.0,46.0,42.0,91.0,27.0,118.0,20.0,12.0,16.0,7.0,27.0,1.0,13.0,28.0,44.0,48.0,4.0,59.0,7.0,26.0,6.0,14.0,8.0,14.0,8.0,304.0,125.0,100.0,6.0,0.4675324675324675,0.5373134328358209,0.42727272727272725,0.3939393939393939,0.4351851851851852,0.616,0.7894736842105263,0.6122448979591837,0.6276595744680851,0.6875,0.6036585365853658,0.6538461538461539,0.7115384615384616,0.6458333333333334,0.46808510638297873,0.08,0.07352941176470588,0.5925925925925926,0.6666666666666666,0.7076923076923077,0.25,0.6875,0.25,0.175,0.4,0.6363636363636364,0.7307692307692307,0.5,0.8888888888888888,96.51972157772622,0.5714285714285714,13.829457364341085,15.992366412213741,13.395348837209303,15.282442748091603,0.28936170212765955,0.6911764705882353,0.746031746031746,0.46808510638297873,0.1702127659574468,0.575,0.6571428571428571,0.14468085106382977,0.32340425531914896,0.4342105263157895,0.4342105263157895,0.625,0.8,0.35365853658536583,0.7586206896551724,0.14634146341463414,0.25609756097560976,0.38095238095238093,0.7574468085106383,0.44594594594594594,0.5547190987124464,0.5680030487804878,0.10236220472440945,0.18055555555555555,0.10850439882697947,0.36656891495601174,5.7791999999999994,25.520000000000003,0.3875968992248062,7.0,17.0,111.0,37.0,24.0,12.0,8.0,4.0,11.0,9.0,0.7872340425531915,0.6382978723404256,0.5217391304347826,0.07234042553191489,0.4117647058823529,0.4117647058823529,0.7272727272727273,14.0,1.0,4.0,5.0,,1.0,1.0,5.0,1.0,13.0,2.0,12.0,,3.0,1.0,2.0,2.0,2.0,1.0,,,,6.0,2.0,0.2,0.00909090909090909,0.125,,1.0,,0.25,0.38095238095238093,0.23529411764705882,0.2857142857142857,0.4117647058823529,0.42424242424242425,0.9285714285714286,0.16666666666666666,0.25,1.0,0.041666666666666664,,,0.4166666666666667,0.5874107142857143,2.0,8.0,2.0,1.0,1.0,2.0,0.029411764705882353,0.08247422680412371,0.08333333333333333,,,,,,,,,,,,,1610612750,2025,2024-25,False
1628978-1629638-1629675-1630183-201144,1610612750,"Donte DiVincenzo, Nickeil Alexander-Walker, Naz Reid, Jaden McDaniels, Mike Conley","DiVincenzo, Alexander-Walker, Reid, McDaniels, Conley",1628978-1629638-1629675-1630183-201144,MIN,139.0,1,2.0,1.0,4.0,5.0,,,1.0,9,2.0,2.0,,,,,,,2.0,,,1.0,,,2.0,2.0,1.0,3.0,,7.0,6.0,,,,3.0,,,,,,,2.0,2.0,,,1.0,,,1.0,2.0,1.0,5.0,1.0,,2.0,2.0,1.0,3.0,,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,4.0,,,,0.5,0.5,0.3333333333333333,,0.3333333333333333,1.0,,,0.7,1.5,,0.7,1.5,,0.6,,,1.0,0.6666666666666666,,0.5,0.6666666666666666,0.5,,1.0,,0.6666666666666666,,,93.23741007194243,,15.5,15.4,14.25,14.0,0.4,1.0,1.0,0.5,,,,0.4,0.2,,,,,,,,,,1.0,,0.60169,,0.2,0.5,0.42857142857142855,,2.15,24.733333333333334,,,,3.0,1.0,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2025,2024-25,False
1628978-1629638-1629675-1630183-203497,1610612750,"Donte DiVincenzo, Nickeil Alexander-Walker, Naz Reid, Jaden McDaniels, Rudy Gobert","DiVincenzo, Alexander-Walker, Reid, McDaniels, Gobert",1628978-1629638-1629675-1630183-203497,MIN,811.0,5,14.0,-10.0,30.0,29.0,16.0,4.0,5.0,59,4.0,9.0,1.0,3.0,2.0,4.0,3.0,5.0,3.0,2.0,3.0,10.0,2.0,7.0,9.0,16.0,3.0,13.0,1.0,28.0,38.0,1.0,4.0,,2.0,4.0,8.0,2.0,9.0,,14.0,6.0,12.0,,2.0,9.0,3.0,2.0,3.0,6.0,1.0,15.0,2.0,3.0,8.0,11.0,6.0,17.0,1.0,1.0,6.0,5.0,8.0,1.0,3.0,,2.0,2.0,,1.0,1.0,1.0,,1.0,,2.0,2.0,26.0,14.0,16.0,,0.3333333333333333,0.375,0.23076923076923078,0.2222222222222222,0.25,0.5625,0.25,0.5,0.46551724137931033,0.2,0.4117647058823529,0.4827586206896552,0.2,0.4117647058823529,0.4482758620689655,0.125,0.2222222222222222,0.75,0.7272727272727273,0.75,0.2222222222222222,0.7333333333333333,0.4,0.16666666666666666,0.3333333333333333,0.6,0.75,1.0,,104.75955610357583,1.0,13.2,14.310344827586206,12.366666666666667,13.724137931034482,0.3103448275862069,0.4444444444444444,0.5714285714285714,0.25,0.1724137931034483,0.6,0.6,0.10344827586206896,0.3448275862068966,0.3,0.3,0.6,0.3333333333333333,0.23529411764705882,0.5,0.11764705882352941,0.4117647058823529,0.2857142857142857,0.7586206896551724,0.3333333333333333,0.540625,0.539609375,0.034482758620689655,0.0625,0.07142857142857142,0.5,5.74375,26.77692307692308,0.5333333333333333,2.0,2.0,9.0,3.0,3.0,,,,2.0,1.0,1.0,0.75,,0.06896551724137931,1.0,1.0,1.0,,,1.0,,,,,1.0,,,2.0,4.0,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,0.6666666666666666,0.75,0.5,1.0,,,,0.2,,,,,,,0.51645,1.0,1.0,,1.0,,,,0.07692307692307693,,1.0,,,,,,,,,,,,1610612750,2025,2024-25,False
1628978-1629638-1629675-1630183-203944,1610612750,"Donte DiVincenzo, Nickeil Alexander-Walker, Naz Reid, Jaden McDaniels, Julius Randle","DiVincenzo, Alexander-Walker, Reid, McDaniels, Randle",1628978-1629638-1629675-1630183-203944,MIN,1229.0,14,20.0,10.0,39.0,38.0,5.0,4.0,7.0,77,8.0,11.0,2.0,3.0,,1.0,2.0,9.0,3.0,1.0,4.0,12.0,1.0,2.0,10.0,21.0,5.0,15.0,9.0,44.0,34.0,2.0,4.0,2.0,12.0,,2.0,2.0,3.0,2.0,8.0,10.0,10.0,3.0,4.0,12.0,4.0,1.0,5.0,9.0,5.0,22.0,3.0,6.0,7.0,15.0,7.0,22.0,4.0,4.0,3.0,1.0,7.0,,,6.0,10.0,8.0,,12.0,1.0,6.0,,3.0,2.0,3.0,2.0,32.0,8.0,5.0,,0.5,0.625,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.47619047619047616,0.5,,0.4861111111111111,0.8333333333333334,0.6,0.5365853658536586,0.8571428571428571,0.6666666666666666,0.4166666666666667,0.047619047619047616,,0.42857142857142855,0.7777777777777778,1.0,0.3333333333333333,0.8666666666666667,0.3684210526315789,0.42857142857142855,,0.6666666666666666,1.0,,1.0,90.21969080553295,0.6666666666666666,16.333333333333332,15.578947368421053,16.076923076923077,15.473684210526315,0.3055555555555556,0.7272727272727273,0.7272727272727273,0.625,0.25,0.2222222222222222,0.25,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.2,,0.2,0.4,0.5,0.7222222222222222,0.3333333333333333,0.5373249999999999,0.4648,0.14634146341463414,0.23076923076923078,0.2727272727272727,0.18181818181818182,5.214285714285714,25.166666666666668,0.1282051282051282,,1.0,12.0,4.0,3.0,,,1.0,4.0,2.0,0.8,1.0,,0.027777777777777776,,,0.75,1.0,,,1.0,2.0,2.0,2.0,2.0,,1.0,,4.0,,2.0,,,,,,,,,1.0,,1.0,,0.1111111111111111,,1.0,,0.4,0.3333333333333333,0.42857142857142855,,0.3333333333333333,0.3333333333333333,1.0,,,,0.3333333333333333,1.0,1.0,1.0,0.449975,,3.0,,,,1.0,,0.16666666666666666,,,,,,,,,,,,,,1610612750,2025,2024-25,False
1628978-1629638-1629675-1631169-201144,1610612750,"Donte DiVincenzo, Nickeil Alexander-Walker, Naz Reid, Josh Minott, Mike Conley","DiVincenzo, Alexander-Walker, Reid, Minott, Conley",1628978-1629638-1629675-1631169-201144,MIN,39.0,1,1.0,-1.0,2.0,2.0,,2.0,,4,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,3.0,4.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,3.0,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,1.0,,3.0,,,,,,1.0,,1.0,,,,1.5,,,1.5,,,1.0,,,1.0,,,,,,,,,,,,147.69230769230768,,9.0,10.5,9.0,9.5,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,0.5154,,,,,,,24.3,,,,3.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2025,2024-25,False
1628978-1629638-1629675-1631169-203497,1610612750,"Donte DiVincenzo, Nickeil Alexander-Walker, Naz Reid, Josh Minott, Rudy Gobert","DiVincenzo, Alexander-Walker, Reid, Minott, Gobert",1628978-1629638-1629675-1631169-203497,MIN,1005.0,6,17.0,7.0,39.0,36.0,9.0,9.0,5.0,75,10.0,16.0,2.0,4.0,2.0,4.0,3.0,6.0,4.0,2.0,2.0,12.0,,4.0,13.0,22.0,3.0,16.0,9.0,44.0,37.0,2.0,4.0,2.0,6.0,2.0,4.0,1.0,6.0,3.0,10.0,18.0,8.0,,4.0,12.0,2.0,,9.0,12.0,7.0,27.0,2.0,6.0,4.0,11.0,6.0,17.0,4.0,3.0,,,2.0,,,7.0,9.0,10.0,1.0,11.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,38.0,10.0,9.0,1.0,0.6923076923076923,0.8181818181818182,0.1875,0.16666666666666666,0.1875,0.5909090909090909,0.5,0.5,0.4605263157894737,0.4,0.35,0.5116279069767442,0.5,0.4166666666666667,0.42105263157894735,,,,0.5714285714285714,0.8571428571428571,0.15384615384615385,0.7142857142857143,0.2727272727272727,0.2,,0.75,0.3333333333333333,,1.0,107.46268656716418,0.3333333333333333,13.923076923076923,12.833333333333334,13.35897435897436,12.444444444444445,0.42105263157894735,0.625,0.625,0.7,0.15789473684210525,0.5,0.5,0.10526315789473684,0.3157894736842105,0.16666666666666666,0.16666666666666666,0.8,0.5,0.4,0.5,0.2,0.4,,0.8421052631578947,0.16666666666666666,0.561696052631579,0.57819,0.11904761904761904,0.19230769230769232,0.13636363636363635,0.22727272727272727,3.209090909090909,26.0625,0.23076923076923078,,,9.0,3.0,2.0,2.0,1.0,1.0,2.0,,1.0,0.8333333333333334,0.6666666666666666,,,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,,4.0,,1.0,,,,,2.0,,,,2.0,,,,,,1.0,,0.4444444444444444,0.6666666666666666,,,0.25,0.25,1.0,,,,0.2,,,0.5,0.5789,,1.0,1.0,,,,,0.045454545454545456,,,1.0,,,,,,,,,,,1610612750,2025,2024-25,False
1628978-1629638-1629675-1631169-203944,1610612750,"Donte DiVincenzo, Nickeil Alexander-Walker, Naz Reid, Josh Minott, Julius Randle","DiVincenzo, Alexander-Walker, Reid, Minott, Randle",1628978-1629638-1629675-1631169-203944,MIN,3677.0,14,61.0,24.0,126.0,132.0,25.0,26.0,11.0,258,21.0,26.0,3.0,5.0,6.0,6.0,6.0,13.0,15.0,2.0,25.0,53.0,4.0,9.0,28.0,41.0,31.0,68.0,18.0,167.0,143.0,3.0,5.0,,15.0,8.0,9.0,5.0,11.0,4.0,35.0,34.0,22.0,6.0,4.0,53.0,25.0,4.0,17.0,46.0,15.0,121.0,7.0,33.0,16.0,52.0,11.0,63.0,12.0,8.0,12.0,8.0,21.0,2.0,5.0,20.0,30.0,18.0,1.0,20.0,2.0,9.0,2.0,5.0,3.0,5.0,2.0,152.0,35.0,25.0,1.0,0.6071428571428571,0.6538461538461539,0.45588235294117646,0.45454545454545453,0.45588235294117646,0.6829268292682927,0.6,0.8888888888888888,0.6834862385321101,0.8333333333333334,0.775,0.7033898305084746,0.8333333333333334,0.7954545454545454,0.6238532110091743,0.0975609756097561,0.07692307692307693,0.5714285714285714,0.5714285714285714,0.825,0.2,0.7205882352941176,0.22916666666666666,0.19230769230769232,0.2222222222222222,0.8,0.36363636363636365,,0.9,101.03889039978243,0.4,13.492063492063492,14.977272727272727,13.023809523809524,14.348484848484848,0.23853211009174313,0.8076923076923077,0.875,0.7142857142857143,0.11926605504587157,0.46153846153846156,0.5454545454545454,0.13761467889908258,0.48623853211009177,0.4716981132075472,0.4807692307692308,0.5555555555555556,0.6,0.3,1.0,0.1,0.45,0.4444444444444444,0.8623853211009175,0.4716981132075472,0.566361009174312,0.5712325,0.07758620689655173,0.1875,0.08982035928143713,0.20958083832335328,4.024390243902439,25.53970588235294,0.1984126984126984,1.0,2.0,87.0,29.0,23.0,2.0,4.0,3.0,9.0,4.0,0.9354838709677419,0.8,0.3333333333333333,0.01834862385321101,0.5,0.5,0.92,6.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,6.0,,4.0,,3.0,1.0,2.0,1.0,,1.0,1.0,,,2.0,2.0,0.75,0.014705882352941176,0.15384615384615385,0.018867924528301886,1.0,,0.3076923076923077,0.6,0.14285714285714285,,0.4,0.4,1.0,0.1111111111111111,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.5,0.5635833333333333,,3.0,,1.0,1.0,1.0,,0.06976744186046512,0.3333333333333333,,,,,,,,,,,,,1610612750,2025,2024-25,False
