EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsPutbacks,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,SecondChanceFg3Pct,LiveBallTurnoverPct,OffAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangeAssists,DefLongMidRangeReboundPct,LongMidRangePctAssisted,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,Fg3aBlocked,FTOffRebounds,Travels,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Charge Fouls Drawn,Transition Take Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Technical Free Throw Trips,Blocked3s,BlockedArc3,HeaveAttempts,OffensiveGoaltends,Arc3PctBlocked,Charge Fouls,Clear Path Fouls,BlockedCorner3,team_id,year,season,team_vs
1626181-1627739-1627826-1627884-1629599,1610612746,"Norman Powell, Kris Dunn, Ivica Zubac, Derrick Jones Jr., Amir Coffey","Powell, Dunn, Zubac, Jones Jr., Coffey",1626181-1627739-1627826-1627884-1629599,LAC,1127.0,4,19.0,23.0,37.0,39.0,3.0,3.0,76.0,6.0,6.0,1.0,1.0,11.0,16.0,1.0,1.0,4.0,5.0,2.0,9.0,18.0,23.0,6.0,14.0,6.0,60.0,37.0,2.0,3.0,4.0,24.0,12.0,15.0,3.0,9.0,2.0,12.0,5.0,17.0,1.0,4.0,5.0,7.0,39.0,2.0,1.0,9.0,7.0,1.0,17.0,3.0,20.0,6.0,1.0,5.0,1.0,2.0,1.0,2.0,3.0,5.0,1.0,6.0,1.0,6.0,2.0,3.0,56.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.42857142857142855,0.42857142857142855,0.782608695652174,0.6666666666666666,0.7297297297297297,0.6666666666666666,0.7894736842105263,0.6666666666666666,0.3783783783783784,1.0,0.7777777777777778,0.2,1.0,0.25,0.8888888888888888,0.23076923076923078,0.2,0.2857142857142857,1.0,0.75,1.0,1.0,97.10736468500443,13.216216216216216,16.358974358974358,12.35135135135135,15.974358974358974,0.16216216216216217,1.0,1.0,0.8333333333333334,0.43243243243243246,0.6875,0.6875,0.6363636363636364,0.02702702702702703,1.0,1.0,0.13513513513513514,0.8,0.8,1.0,0.24324324324324326,0.2222222222222222,0.2222222222222222,0.5,0.3333333333333333,1.0,1.0,0.5405405405405406,0.2222222222222222,0.5190864864864865,0.52355,0.07894736842105263,0.125,0.06666666666666667,7.3,24.985714285714288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,True
1626181-1627739-1627826-1627884-1629645,1610612746,"Norman Powell, Kris Dunn, Ivica Zubac, Derrick Jones Jr., Kevin Porter Jr.","Powell, Dunn, Zubac, Jones Jr., Porter Jr.",1626181-1627739-1627826-1627884-1629645,LAC,626.0,4,10.0,4.0,22.0,22.0,,3.0,44.0,5.0,6.0,2.0,2.0,3.0,6.0,,,,,3.0,7.0,8.0,12.0,3.0,7.0,2.0,27.0,23.0,2.0,2.0,7.0,4.0,12.0,9.0,,7.0,3.0,2.0,3.0,5.0,3.0,,1.0,1.0,13.0,1.0,2.0,5.0,6.0,,11.0,3.0,14.0,,,,,2.0,,5.0,2.0,4.0,1.0,3.0,,3.0,1.0,2.0,20.0,0.25,0.3333333333333333,1.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,1.0,0.6578947368421053,1.1666666666666667,0.675,1.1666666666666667,0.3684210526315789,,0.75,0.5,1.0,0.25,0.8461538461538461,0.375,0.3333333333333333,0.25,0.5,0.8333333333333334,1.0,,101.21405750798722,14.454545454545455,14.0,14.318181818181818,13.909090909090908,0.3157894736842105,0.8333333333333334,0.8333333333333334,0.2,0.3157894736842105,0.5,0.5,0.3333333333333333,,,,,,,,0.3684210526315789,0.42857142857142855,0.42857142857142855,1.0,0.6666666666666666,1.0,,0.6842105263157895,0.42857142857142855,0.5439421052631579,0.62895,0.1,0.15384615384615385,0.25925925925925924,6.241666666666667,26.3,1.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,4.0,3.0,1.0,1.0,0.6,1.0,0.125,0.75,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,True
1626181-1627739-1627826-1627884-1641757,1610612746,"Norman Powell, Kris Dunn, Ivica Zubac, Derrick Jones Jr., Jordan Miller","Powell, Dunn, Zubac, Jones Jr., Miller",1626181-1627739-1627826-1627884-1641757,LAC,227.0,1,4.0,3.0,8.0,9.0,,,17.0,3.0,3.0,,,,1.0,1.0,1.0,,,1.0,1.0,4.0,5.0,1.0,1.0,,11.0,8.0,,,,6.0,2.0,,3.0,1.0,1.0,3.0,,3.0,,,2.0,,6.0,,,1.0,5.0,,6.0,,6.0,,,,,,,2.0,1.0,1.0,,,,,,,11.0,0.75,0.75,,1.0,1.0,0.8,,0.9166666666666666,,0.9166666666666666,,0.16666666666666666,,1.0,,0.5,,0.8571428571428571,,,,1.0,1.0,,1.0,107.84140969162996,10.75,15.666666666666666,10.75,15.666666666666666,0.5,1.0,1.0,0.6666666666666666,0.16666666666666666,,,,0.16666666666666666,1.0,1.0,,,,,0.16666666666666666,1.0,1.0,,,,,0.6666666666666666,1.0,0.5728333333333333,,,,,8.34,26.6,,,,,,,2.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,True
1626181-1627739-1627826-1627884-201587,1610612746,"Norman Powell, Kris Dunn, Ivica Zubac, Derrick Jones Jr., Nicolas Batum","Powell, Dunn, Zubac, Jones Jr., Batum",1626181-1627739-1627826-1627884-201587,LAC,21.0,1,,2.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,137.14285714285714,7.0,14.0,7.0,14.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,0.5366,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,True
1626181-1627739-1627826-1627884-201935,1610612746,"Norman Powell, Kris Dunn, Ivica Zubac, Derrick Jones Jr., James Harden","Powell, Dunn, Zubac, Jones Jr., Harden",1626181-1627739-1627826-1627884-201935,LAC,15159.0,23,253.0,-47.0,514.0,515.0,71.0,58.0,1029.0,68.0,104.0,13.0,19.0,51.0,120.0,13.0,44.0,16.0,37.0,55.0,150.0,132.0,268.0,71.0,187.0,62.0,539.0,586.0,18.0,36.0,57.0,162.0,102.0,186.0,27.0,150.0,55.0,81.0,62.0,143.0,46.0,16.0,45.0,29.0,348.0,29.0,39.0,88.0,85.0,10.0,183.0,69.0,252.0,47.0,28.0,19.0,11.0,32.0,10.0,96.0,49.0,92.0,10.0,72.0,5.0,75.0,9.0,38.0,482.0,0.6136363636363636,0.6694214876033058,0.8732394366197183,0.37967914438502676,0.37967914438502676,0.4925373134328358,0.5,0.5241758241758242,0.4636363636363636,0.5522540983606558,0.4830508474576271,0.41098901098901097,1.0,0.7264957264957265,0.291044776119403,0.7521367521367521,0.25217391304347825,0.7393162393162394,0.27309236947791166,0.2537313432835821,0.23404255319148937,0.5660377358490566,0.8596491228070176,0.7391304347826086,0.8,97.74787255095983,14.80739299610895,14.65631067961165,14.149805447470817,14.217475728155339,0.22857142857142856,0.6538461538461539,0.7010309278350515,0.6617647058823529,0.26373626373626374,0.425,0.4636363636363636,0.5686274509803921,0.0967032967032967,0.29545454545454547,0.30952380952380953,0.08131868131868132,0.43243243243243246,0.48484848484848486,1.0,0.32967032967032966,0.36666666666666664,0.36666666666666664,0.8363636363636363,0.34545454545454546,0.6842105263157895,0.07692307692307693,0.6395604395604395,0.36666666666666664,0.5388289010989011,0.529038888888889,0.08041237113402062,0.12794612794612795,0.10575139146567718,7.079850746268657,25.450802139037428,5.0,17.0,5.0,19.0,22.0,11.0,64.0,45.0,19.0,1.0,4.0,21.0,14.0,7.0,21.0,15.0,,0.2631578947368421,0.6666666666666666,0.3888888888888889,0.048672566371681415,0.7142857142857143,0.3090909090909091,0.29411764705882354,1.0,7.0,0.8571428571428571,0.5384615384615384,58.0,7.0,12.0,2.0,5.0,7.0,21.0,6.0,12.0,27.0,7.0,26.0,7.0,52.0,19.0,4.0,1.0,3.0,8.0,9.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,52.0,58.0,7.0,2.0,0.2692307692307692,0.4444444444444444,0.42452830188679247,0.45614035087719296,0.0213903743315508,0.0708955223880597,0.0673076923076923,0.08333333333333333,0.045454545454545456,0.10810810810810811,0.14285714285714285,0.25806451612903225,0.3333333333333333,0.03636363636363636,0.22641509433962265,0.5833333333333334,0.09433962264150944,0.39622641509433965,0.3333333333333333,0.5455962264150943,0.005319148936170213,0.09647495361781076,0.11284046692607004,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,True
1626181-1627739-1627826-1629599-1629611,1610612746,"Norman Powell, Kris Dunn, Ivica Zubac, Amir Coffey, Terance Mann","Powell, Dunn, Zubac, Coffey, Mann",1626181-1627739-1627826-1629599-1629611,LAC,416.0,4,7.0,2.0,17.0,15.0,,,32.0,1.0,1.0,,,2.0,2.0,,1.0,1.0,2.0,3.0,5.0,3.0,4.0,4.0,7.0,3.0,21.0,19.0,,,,4.0,2.0,12.0,,5.0,3.0,2.0,4.0,6.0,3.0,1.0,1.0,1.0,16.0,,,1.0,1.0,1.0,3.0,,3.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,,3.0,,3.0,,1.0,21.0,0.6666666666666666,0.6666666666666666,1.0,0.5714285714285714,0.5714285714285714,0.75,,0.8181818181818182,,0.875,,0.6363636363636364,1.0,0.5,,1.0,,0.6666666666666666,,,,,1.0,1.0,,110.76923076923076,12.117647058823529,14.0,12.117647058823529,13.933333333333334,0.09090909090909091,1.0,1.0,1.0,0.18181818181818182,1.0,1.0,0.5,0.09090909090909091,,,0.18181818181818182,0.5,0.5,1.0,0.45454545454545453,0.6,0.6,1.0,,,,0.7272727272727273,0.6,0.5579318181818181,,0.16666666666666666,0.2,,8.05,24.842857142857138,,,,,,,2.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,0.5,,,1.0,,,,,,,3.0,,,,,1.0,1.0,,1.0,2.0,1.0,1.0,,5.0,,,,,,,,,,1.0,,,,5.0,3.0,,,1.0,0.5,0.8333333333333334,0.8333333333333334,,,,,,,,,,,,,,0.3333333333333333,1.0,0.47323333333333334,0.14285714285714285,0.23809523809523808,0.17647058823529413,1.0,,,,,,,,,,,,,,,,1610612746,2025,2024-25,True
1626181-1627739-1627826-1629599-1629645,1610612746,"Norman Powell, Kris Dunn, Ivica Zubac, Amir Coffey, Kevin Porter Jr.","Powell, Dunn, Zubac, Coffey, Porter Jr.",1626181-1627739-1627826-1629599-1629645,LAC,1082.0,6,18.0,2.0,39.0,37.0,6.0,4.0,76.0,4.0,5.0,1.0,2.0,3.0,7.0,1.0,1.0,2.0,2.0,2.0,12.0,8.0,13.0,4.0,14.0,12.0,40.0,38.0,1.0,2.0,8.0,14.0,2.0,9.0,3.0,12.0,2.0,7.0,3.0,10.0,1.0,2.0,3.0,3.0,23.0,2.0,1.0,3.0,10.0,2.0,15.0,3.0,18.0,5.0,3.0,2.0,,3.0,,9.0,3.0,5.0,,12.0,1.0,14.0,,7.0,32.0,0.875,0.875,0.75,0.2857142857142857,0.2857142857142857,0.6153846153846154,0.5,0.5185185185185185,1.0,0.5882352941176471,1.0,0.5185185185185185,1.0,1.0,0.2,1.0,0.2222222222222222,1.0,0.21428571428571427,0.25,0.2222222222222222,1.0,1.0,1.0,1.0,101.14602587800368,13.871794871794872,14.621621621621621,13.512820512820513,14.621621621621621,0.18518518518518517,0.8,0.8,0.75,0.25925925925925924,0.42857142857142855,0.6,1.0,0.037037037037037035,1.0,1.0,0.07407407407407407,1.0,1.0,1.0,0.4444444444444444,0.16666666666666666,0.16666666666666666,0.5,0.5,0.5,,0.7037037037037037,0.16666666666666666,0.5501222222222223,0.609275,0.20588235294117646,0.35,0.2,6.653846153846154,26.264285714285712,1.0,1.0,2.0,2.0,,,6.0,4.0,2.0,,1.0,3.0,1.0,2.0,3.0,3.0,,1.0,0.6666666666666666,,,1.0,0.25,1.0,,1.0,1.0,1.0,5.0,,1.0,1.0,,,1.0,,,1.0,,1.0,2.0,2.0,2.0,,,2.0,,3.0,,,,,,,,2.0,5.0,,,,,,0.3333333333333333,,0.15384615384615385,,0.2857142857142857,,,,,,0.25,0.5,,,0.5,,0.64245,,0.05,0.1282051282051282,,1.0,1.0,1.0,,,,,,,,,,,,,1610612746,2025,2024-25,True
1626181-1627739-1627826-1629599-201587,1610612746,"Norman Powell, Kris Dunn, Ivica Zubac, Amir Coffey, Nicolas Batum","Powell, Dunn, Zubac, Coffey, Batum",1626181-1627739-1627826-1629599-201587,LAC,1002.0,9,17.0,-18.0,33.0,35.0,,6.0,68.0,5.0,9.0,1.0,3.0,1.0,9.0,2.0,3.0,,1.0,2.0,7.0,8.0,21.0,2.0,8.0,6.0,28.0,46.0,2.0,6.0,4.0,6.0,10.0,6.0,,7.0,2.0,3.0,2.0,5.0,2.0,,3.0,,12.0,1.0,6.0,4.0,4.0,1.0,9.0,7.0,16.0,3.0,1.0,2.0,1.0,2.0,,7.0,6.0,10.0,,11.0,1.0,8.0,,4.0,24.0,0.375,0.42857142857142855,1.0,0.25,0.25,0.38095238095238093,0.3333333333333333,0.3793103448275862,0.3333333333333333,0.42424242424242425,0.3333333333333333,0.27586206896551724,0.5,0.5714285714285714,0.46153846153846156,0.8,0.16666666666666666,0.6666666666666666,0.3684210526315789,0.5,0.2,0.5,0.5,1.0,0.6666666666666666,97.7245508982036,16.333333333333332,13.228571428571428,15.727272727272727,12.714285714285714,0.3103448275862069,0.5555555555555556,0.7142857142857143,0.6,0.3103448275862069,0.1111111111111111,0.14285714285714285,,0.10344827586206896,0.6666666666666666,0.6666666666666666,0.034482758620689655,,,,0.2413793103448276,0.2857142857142857,0.2857142857142857,1.0,0.5,0.3333333333333333,1.0,0.5862068965517241,0.2857142857142857,0.5188758620689655,0.55338,0.12121212121212122,0.16,0.14285714285714285,6.647619047619047,26.0625,,,,,2.0,2.0,5.0,4.0,1.0,,,2.0,,1.0,2.0,1.0,,,0.7142857142857143,0.5,0.13333333333333333,0.5,,,,,0.6666666666666666,,,,,,,,,,,,,,,,4.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,0.19047619047619047,0.2222222222222222,0.2222222222222222,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1610612746,2025,2024-25,True
1626181-1627739-1627826-1629599-201935,1610612746,"Norman Powell, Kris Dunn, Ivica Zubac, Amir Coffey, James Harden","Powell, Dunn, Zubac, Coffey, Harden",1626181-1627739-1627826-1629599-201935,LAC,2537.0,16,42.0,-49.0,82.0,85.0,14.0,10.0,167.0,15.0,22.0,3.0,5.0,3.0,11.0,3.0,8.0,1.0,9.0,4.0,21.0,21.0,41.0,5.0,30.0,13.0,70.0,119.0,3.0,6.0,6.0,20.0,22.0,15.0,,21.0,4.0,10.0,5.0,15.0,4.0,1.0,9.0,,35.0,6.0,6.0,13.0,11.0,1.0,25.0,12.0,37.0,12.0,5.0,7.0,3.0,8.0,1.0,16.0,10.0,15.0,2.0,17.0,,18.0,1.0,7.0,64.0,0.47619047619047616,0.5263157894736842,1.0,0.16666666666666666,0.16666666666666666,0.5121951219512195,0.5,0.4014084507042254,0.3,0.44871794871794873,0.3,0.4225352112676056,1.0,0.6875,0.3,0.65,0.24,0.6666666666666666,0.26666666666666666,0.125,0.17647058823529413,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.7142857142857143,94.78912100906582,15.804878048780488,14.6,15.25609756097561,13.741176470588234,0.30985915492957744,0.6818181818181818,0.7894736842105263,0.6,0.15492957746478872,0.2727272727272727,0.3333333333333333,,0.11267605633802817,0.375,0.375,0.1267605633802817,0.1111111111111111,0.1111111111111111,1.0,0.29577464788732394,0.19047619047619047,0.19047619047619047,1.0,0.5,0.6,0.3333333333333333,0.7323943661971831,0.19047619047619047,0.5488718309859154,0.6151833333333333,0.10256410256410256,0.14893617021276595,0.08571428571428572,6.419512195121951,25.756666666666668,,2.0,,4.0,4.0,5.0,8.0,6.0,2.0,,,4.0,3.0,1.0,4.0,1.0,2.0,,0.5,0.42857142857142855,0.125,0.25,0.2,,,1.0,1.0,0.3333333333333333,4.0,,,2.0,1.0,,1.0,,,,,2.0,,,5.0,,,2.0,1.0,2.0,,,,1.0,,,,,4.0,,,,,,,,0.12195121951219512,0.13636363636363635,0.18181818181818182,,,,0.4,0.375,0.2,,,0.5,0.5,,0.585375,0.03225806451612903,,0.04878048780487805,,,,,,,,,,,,,,,,,1610612746,2025,2024-25,True
1626181-1627739-1627826-1629611-201587,1610612746,"Norman Powell, Kris Dunn, Ivica Zubac, Terance Mann, Nicolas Batum","Powell, Dunn, Zubac, Mann, Batum",1626181-1627739-1627826-1629611-201587,LAC,80.0,1,1.0,-1.0,3.0,3.0,,1.0,6.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,2.0,,,1.0,2.0,1.0,2.0,,5.0,6.0,1.0,1.0,2.0,,2.0,3.0,,,,,1.0,1.0,,1.0,,,3.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,3.0,,,1.0,0.5,0.5,0.5,1.0,0.625,1.0,0.625,1.0,0.5,,,,,1.0,,0.5,,,,,,,108.0,14.0,12.666666666666666,14.0,12.666666666666666,0.25,1.0,1.0,,0.25,,,,,,,0.5,0.5,0.5,1.0,,,,,1.0,1.0,,0.75,,0.5889125,,,,0.4,5.1,23.8,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,2.0,,,,1.0,2.0,1.0,2.0,,5.0,,,,,,,,,,,,,,5.0,3.0,,,0.5,0.5,0.625,0.625,,,,,,,,,1.0,,0.25,1.0,0.5,,,0.5889125,,1.0,1.0,,,,,,1.0,0.5,,,,,,,,,,1610612746,2025,2024-25,True
