EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,HeaveAttempts,Steals,BadPassSteals,FG3APct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,Minutes,PlusMinus,OffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LostBallSteals,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Blocked3s,BlockedArc3,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,OffAtRimReboundPct,LostBallTurnovers,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,OffThreePtRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,Charge Fouls,2pt And 1 Free Throw Trips,SecondChanceFtPoints,Fg3aBlocked,Travels,SecondChanceTurnovers,FG3APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Offensive Fouls Drawn,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,FTOffRebounds,OffFTReboundPct,Loose Ball Fouls,DefensiveGoaltends,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,Transition Take Fouls Drawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,OffensiveGoaltends,3SecondViolations,BlockedLongMidRange,Defensive 3 Seconds Violations,Transition Take Fouls,BlockedCorner3,team_id,year,season,team_vs
1627742-1627749-1628464-1629750-1630529,1610612740,"Brandon Ingram, Dejounte Murray, Daniel Theis, Javonte Green, Herbert Jones","Ingram, Murray, Theis, Green, Jones",1627742-1627749-1628464-1629750-1630529,NOP,11.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130.9090909090909,10.0,10.0,1.0,1.0,1.0,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2025,2024-25,False
1627742-1627749-1628464-1629750-203468,1610612740,"Brandon Ingram, Dejounte Murray, Daniel Theis, Javonte Green, CJ McCollum","Ingram, Murray, Theis, Green, McCollum",1627742-1627749-1628464-1629750-203468,NOP,213.0,1,8.0,,17.0,,,1.0,,,2.0,1.0,0.1111111111111111,114.92957746478874,13.625,13.625,,,0.7777777777777778,23.2,4.0,10.0,9.0,6.0,6.0,2.0,1.0,1.0,6.0,8.0,1.0,15.0,5.0,10.0,2.0,3.0,5.0,1.0,6.0,1.0,5.0,13.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.75,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.555555555555555,11.555555555555555,0.6666666666666666,1.0,1.0,0.8333333333333334,0.2222222222222222,0.1111111111111111,1.0,1.0,1.0,0.6130611111111111,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2025,2024-25,False
1627742-1627749-1628464-1630529-203468,1610612740,"Brandon Ingram, Dejounte Murray, Daniel Theis, Herbert Jones, CJ McCollum","Ingram, Murray, Theis, Jones, McCollum",1627742-1627749-1628464-1630529-203468,NOP,745.0,1,26.0,2.0,52.0,7.0,2.0,8.0,2.0,,4.0,2.0,0.2962962962962963,100.51006711409397,12.692307692307692,12.115384615384615,0.25925925925925924,0.4,0.5555555555555556,25.25,12.0,4.0,26.0,5.0,7.0,7.0,,1.0,9.0,19.0,1.0,25.0,21.0,12.0,6.0,3.0,6.0,1.0,7.0,,4.0,15.0,2.0,,9.0,14.0,2.0,3.0,4.0,1.0,,1.0,1.0,19.0,0.6666666666666666,0.75,1.0,0.125,0.125,0.47368421052631576,0.3888888888888889,0.43103448275862066,,1.0,0.9,,1.0,1.0,1.0,15.961538461538462,15.384615384615385,0.25925925925925924,0.7142857142857143,0.7142857142857143,0.8,0.25925925925925924,0.037037037037037035,,,,0.5390518518518518,8.421052631578947,5.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,4.0,3.0,5.0,6.0,1.0,3.0,1.0,2.0,7.0,2.0,7.0,1.0,2.0,1.0,1.0,1.0,5.0,7.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,7.0,5.0,0.5,0.6,0.3333333333333333,0.6,0.5,0.6,0.5833333333333334,0.10526315789473684,0.2857142857142857,0.5,0.875,0.29411764705882354,0.5,0.75,0.875,0.13333333333333333,0.42857142857142855,0.6,0.3333333333333333,0.18518518518518517,0.2,0.2,1.0,0.14285714285714285,0.14285714285714285,1.0,0.6,0.6666666666666666,0.5,0.2,1.0,0.5,0.14285714285714285,0.57058,0.50305,0.06896551724137931,0.09523809523809523,0.24,0.28,0.19230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2025,2024-25,False
1627742-1627749-1629750-1630529-1630530,1610612740,"Brandon Ingram, Dejounte Murray, Javonte Green, Herbert Jones, Trey Murphy III","Ingram, Murray, Green, Jones, Murphy III",1627742-1627749-1629750-1630529-1630530,NOP,13.0,2,1.0,1.0,1.0,,,,,,,,,110.76923076923076,13.0,12.0,,,,,,-3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2025,2024-25,False
1627742-1627749-1629750-1630530-1642274,1610612740,"Brandon Ingram, Dejounte Murray, Javonte Green, Trey Murphy III, Yves Missi","Ingram, Murray, Green, Murphy III, Missi",1627742-1627749-1629750-1630530-1642274,NOP,71.0,1,3.0,,5.0,,,,,,,,,101.40845070422534,10.333333333333334,10.333333333333334,,,1.0,,1.0,-5.0,2.0,,1.0,,,,,1.0,,2.0,7.0,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,0.5,,,,,,,,20.0,20.0,1.0,,,,,,,,,0.7138,1.6,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2025,2024-25,False
1627742-1627749-1629750-1642274-203468,1610612740,"Brandon Ingram, Dejounte Murray, Javonte Green, Yves Missi, CJ McCollum","Ingram, Murray, Green, Missi, McCollum",1627742-1627749-1629750-1642274-203468,NOP,124.0,2,5.0,,9.0,,,,,,,,,104.51612903225805,10.2,8.8,,,,,2.0,-6.0,4.0,,,1.0,,,1.0,2.0,,3.0,9.0,2.0,,,1.0,,1.0,,,2.0,,,1.0,1.0,,,1.0,,,,,3.0,1.0,1.0,,,,0.5,0.5,0.5,,,0.3333333333333333,,,,,18.25,18.25,,,,,0.5,,,,,0.43725,14.15,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,1.0,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2025,2024-25,False
1627742-1627749-1630526-1630529-1630530,1610612740,"Brandon Ingram, Dejounte Murray, Jeremiah Robinson-Earl, Herbert Jones, Trey Murphy III","Ingram, Murray, Robinson-Earl, Jones, Murphy III",1627742-1627749-1630526-1630529-1630530,NOP,83.0,1,3.0,,7.0,3.0,,3.0,,,1.0,1.0,0.6,121.44578313253012,9.333333333333334,9.333333333333334,0.6,,1.0,25.3,1.0,-1.0,4.0,1.0,2.0,,,,1.0,2.0,,2.0,3.0,,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,0.5,0.2,0.2,,,,,,,,13.75,13.75,0.4,0.5,0.5,,,,,,,0.58849,1.15,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,2.0,,,,,,2.0,3.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,0.25,,,,,,,,,,,,,,,1.0,1.0,,,,,,0.597,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2025,2024-25,False
1627742-1627749-1630526-1630529-203468,1610612740,"Brandon Ingram, Dejounte Murray, Jeremiah Robinson-Earl, Herbert Jones, CJ McCollum","Ingram, Murray, Robinson-Earl, Jones, McCollum",1627742-1627749-1630526-1630529-203468,NOP,52.0,1,2.0,,4.0,,,,,,,,,110.76923076923076,7.0,7.0,,,1.0,,1.0,-5.0,2.0,,1.0,,,,,1.0,,,5.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,19.0,19.0,1.0,,,,,,,,,0.4491,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2025,2024-25,False
1627742-1627749-1630527-1630529-1630530,1610612740,"Brandon Ingram, Dejounte Murray, Brandon Boston Jr., Herbert Jones, Trey Murphy III","Ingram, Murray, Boston Jr., Jones, Murphy III",1627742-1627749-1630527-1630529-1630530,NOP,470.0,2,16.0,11.0,33.0,6.0,6.0,9.0,7.0,,1.0,,0.6,101.1063829787234,15.4375,14.5625,0.4,0.5454545454545454,0.6666666666666666,25.455555555555556,8.0,7.0,17.0,1.0,1.0,2.0,1.0,3.0,3.0,6.0,5.0,24.0,17.0,,6.0,15.0,,5.0,5.0,1.0,,15.0,3.0,,7.0,8.0,1.0,,1.0,1.0,,1.0,1.0,21.0,,,1.0,0.5555555555555556,0.5555555555555556,0.5,0.7,0.7058823529411765,,1.0,0.875,,1.0,,1.0,13.117647058823529,13.058823529411764,0.06666666666666667,1.0,1.0,,0.13333333333333333,0.2,0.3333333333333333,0.3333333333333333,1.0,0.52429,13.033333333333333,12.0,1.0,,,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,,,3.0,3.0,4.0,5.0,1.0,22.0,,6.0,4.0,1.0,4.0,,,,4.0,1.0,,,,1.0,1.0,,2.0,,,4.0,1.0,1.0,22.0,12.0,0.7142857142857143,,0.75,1.5,0.9545454545454546,1.5,0.9166666666666666,0.16666666666666666,0.5,,0.8,0.14285714285714285,,,0.75,,0.5,1.0,,0.2,0.3333333333333333,0.3333333333333333,,0.6666666666666666,0.6666666666666666,1.0,,,,0.09090909090909091,1.0,0.6666666666666666,0.6666666666666666,,0.5356136363636363,0.0625,0.14285714285714285,0.125,0.9166666666666666,0.7058823529411765,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,0.09090909090909091,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2025,2024-25,False
1627742-1627749-1630529-1630530-1642274,1610612740,"Brandon Ingram, Dejounte Murray, Herbert Jones, Trey Murphy III, Yves Missi","Ingram, Murray, Jones, Murphy III, Missi",1627742-1627749-1630529-1630530-1642274,NOP,114.0,1,6.0,,10.0,1.0,,1.0,,,2.0,,0.3333333333333333,126.31578947368422,12.5,12.5,0.3333333333333333,,1.0,25.1,2.0,-7.0,4.0,1.0,2.0,,,,1.0,2.0,,2.0,9.0,2.0,,,1.0,,1.0,,1.0,2.0,,,1.0,1.0,2.0,1.0,2.0,,,,,2.0,1.0,1.0,,,,0.5,0.3333333333333333,0.3333333333333333,,,1.0,,,,,9.75,9.75,0.6666666666666666,0.5,0.5,1.0,,,,,,0.6524,2.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2025,2024-25,False
