EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,FtPoints,SecondChanceFG2A,AtRimAssists,OffThreePtRebounds,Steals,BadPassSteals,LostBallTurnovers,FTA,TwoPtShootingFoulsDrawn,BlockedLongMidRange,RecoveredBlocks,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyDefPoss,SecondChanceArc3FGA,SecondChanceFG3A,ShootingFouls,BlockedShortMidRange,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChancePoints,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChancePointsPct,SecondChanceAtRimFGA,Fg2aBlocked,FTDefRebounds,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,SecondChanceAtRimFrequency,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFg3Pct,OffAtRimReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,ShortMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFtPoints,PtsUnassisted3s,SelfOReb,SecondChanceTurnovers,PenaltyTurnovers,Technical Free Throw Trips,NonShootingFoulsDrawn,DefAtRimReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,SecondChanceFtPoints,LostBallSteals,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,OffCorner3ReboundPct,BadPassOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFoulsDrawn,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,Charge Fouls,Fg3aBlocked,FTOffRebounds,Blocked3s,BlockedArc3,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,NonShootingPenaltyNonTakeFouls,LongMidRangePctBlocked,HeaveAttempts,LongMidRangeAssists,LongMidRangePctAssisted,3SecondViolations,Arc3PctBlocked,Charge Fouls Drawn,OffensiveGoaltends,BlockedCorner3,3pt And 1 Free Throw Trips,DefensiveGoaltends,Transition Take Fouls,Transition Take Fouls Drawn,team_id,year,season,team_vs
1627751-1628449-1628971-1629628-1630558,1610612761,"Jakob Poeltl, Chris Boucher, Bruce Brown, RJ Barrett, Davion Mitchell","Poeltl, Boucher, Brown, Barrett, Mitchell",1627751-1628449-1628971-1629628-1630558,TOR,422.0,6,7.0,4.0,14.0,12.0,2.0,26.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,2.0,4.0,6.0,3.0,3.0,17.0,13.0,1.0,2.0,2.0,2.0,6.0,9.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,1.0,3.0,2.0,5.0,1.0,6.0,1.0,1.0,4.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,17.0,2.0,2.0,0.25,0.25,1.0,1.0,1.0,0.6666666666666666,0.5,0.9444444444444444,0.5,0.9444444444444444,0.5,0.3333333333333333,0.2,0.6666666666666666,0.5,1.0,0.8333333333333334,0.5,0.5,1.0,1.0,1.0,88.72037914691943,14.142857142857142,18.666666666666668,14.142857142857142,18.25,0.1111111111111111,1.0,1.0,0.5555555555555556,0.6,0.6,0.3333333333333333,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,1.0,1.0,1.0,0.4444444444444444,1.0,0.48410555555555557,0.45125,0.11764705882352941,7.766666666666667,24.599999999999998,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,True
1627751-1628449-1628971-1629628-1641711,1610612761,"Jakob Poeltl, Chris Boucher, Bruce Brown, RJ Barrett, Gradey Dick","Poeltl, Boucher, Brown, Barrett, Dick",1627751-1628449-1628971-1629628-1641711,TOR,260.0,1,4.0,,10.0,9.0,,19.0,1.0,1.0,1.0,4.0,,,,1.0,3.0,7.0,,1.0,8.0,8.0,,,,2.0,4.0,,1.0,,1.0,,1.0,,,,2.0,,2.0,2.0,4.0,1.0,5.0,2.0,1.0,,,,2.0,,,1.0,,1.0,,1.0,8.0,,,0.3333333333333333,0.3333333333333333,,,,0.42857142857142855,,0.375,,0.4444444444444444,,0.125,1.0,0.6666666666666666,,1.0,0.8,0.2,,0.5,1.0,1.0,105.23076923076924,13.1,14.333333333333334,12.8,13.777777777777779,0.125,1.0,1.0,0.5,0.25,0.25,,,,,,0.125,,,,0.25,,0.492575,,,9.228571428571428,24.9,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,0.1111111111111111,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,True
1627751-1628449-1628971-1629628-1642347,1610612761,"Jakob Poeltl, Chris Boucher, Bruce Brown, RJ Barrett, Jamal Shead","Poeltl, Boucher, Brown, Barrett, Shead",1627751-1628449-1628971-1629628-1642347,TOR,351.0,4,6.0,-6.0,9.0,10.0,,19.0,,,3.0,4.0,,1.0,,5.0,4.0,5.0,,6.0,10.0,16.0,,,,4.0,4.0,,5.0,,2.0,,2.0,,,2.0,4.0,,1.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,,,2.0,2.0,,2.0,,1.0,,1.0,10.0,,,0.5,0.5,,,,0.8,,0.36363636363636365,,0.4166666666666667,,0.5454545454545454,0.5,0.3333333333333333,,1.0,0.5,0.6666666666666666,,0.3333333333333333,,,77.94871794871796,21.333333333333332,15.9,19.22222222222222,15.8,,,,0.36363636363636365,0.75,0.75,0.6666666666666666,0.09090909090909091,,,,0.45454545454545453,,,,0.5454545454545454,,0.4975227272727272,,,8.540000000000001,26.366666666666664,,,1.0,1.0,2.0,,,4.0,,,,2.0,1.0,,,0.8,0.8,1.0,,,0.09090909090909091,1.0,1.0,0.08333333333333333,0.16666666666666666,1.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,True
1627751-1628449-1628971-1630534-1642347,1610612761,"Jakob Poeltl, Chris Boucher, Bruce Brown, Ochai Agbaji, Jamal Shead","Poeltl, Boucher, Brown, Agbaji, Shead",1627751-1628449-1628971-1630534-1642347,TOR,136.0,1,2.0,4.0,2.0,3.0,,5.0,,,,,,,2.0,3.0,,,2.0,3.0,6.0,2.0,,,,,,6.0,3.0,2.0,,2.0,2.0,2.0,,,6.0,,2.0,,2.0,1.0,3.0,,,,,,,,,1.0,,,,,3.0,,,,,1.0,0.6666666666666666,0.6666666666666666,,,1.0,,1.0,,1.0,,,,0.5,0.5,1.0,,,,0.5,52.94117647058824,23.0,30.0,22.0,24.0,,,,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.57475,,,,25.266666666666666,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,0.5,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,3.0,1.0,1.5,1.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,True
1627751-1628449-1628971-1630558-1630567,1610612761,"Jakob Poeltl, Chris Boucher, Bruce Brown, Davion Mitchell, Scottie Barnes","Poeltl, Boucher, Brown, Mitchell, Barnes",1627751-1628449-1628971-1630558-1630567,TOR,439.0,3,7.0,-8.0,14.0,14.0,1.0,28.0,1.0,3.0,1.0,1.0,,,1.0,4.0,3.0,8.0,1.0,4.0,11.0,19.0,1.0,1.0,2.0,,6.0,3.0,4.0,1.0,,1.0,1.0,1.0,,,3.0,,2.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,,1.0,2.0,3.0,,1.0,,,,,11.0,2.0,1.0,,,1.0,0.25,0.25,0.375,1.0,0.375,1.0,0.4230769230769231,1.0,0.3333333333333333,0.5,0.5,,0.4,0.42857142857142855,0.125,,,1.0,0.6666666666666666,91.84510250569477,16.428571428571427,14.928571428571429,16.071428571428573,14.571428571428571,0.25,0.3333333333333333,0.5,0.08333333333333333,1.0,1.0,,,,,,0.3333333333333333,0.25,0.25,1.0,0.5833333333333334,0.25,0.49315833333333337,0.4273,0.18181818181818182,9.875,26.325,0.07142857142857142,1.0,1.0,4.0,2.0,1.0,,1.0,,,,2.0,1.0,,,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,0.25,0.25,0.07692307692307693,0.1111111111111111,,,,3.0,,,,,,,,,,,,1.0,1.0,1.0,0.125,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,True
1627751-1628449-1628971-1630567-1642347,1610612761,"Jakob Poeltl, Chris Boucher, Bruce Brown, Scottie Barnes, Jamal Shead","Poeltl, Boucher, Brown, Barnes, Shead",1627751-1628449-1628971-1630567-1642347,TOR,221.0,2,4.0,,6.0,8.0,3.0,14.0,1.0,2.0,,1.0,,,1.0,3.0,2.0,4.0,1.0,3.0,7.0,7.0,1.0,2.0,5.0,,4.0,3.0,3.0,1.0,,1.0,1.0,1.0,,,3.0,1.0,2.0,2.0,4.0,1.0,5.0,,,,,,,2.0,,,,,,,7.0,5.0,3.0,,,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.625,0.5,0.625,0.42857142857142855,,0.5,0.5,0.6666666666666666,0.5714285714285714,0.25,,1.0,0.5,1.0,91.22171945701358,14.666666666666666,16.625,13.166666666666666,15.625,0.2857142857142857,0.5,0.5,0.14285714285714285,,,,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.7142857142857143,0.3333333333333333,0.5875071428571428,0.6859,0.7142857142857143,7.8,25.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.14285714285714285,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,1.0,2.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,True
1627751-1628449-1629628-1630193-1630534,1610612761,"Jakob Pöltl, Chris Boucher, RJ Barrett, Immanuel Quickley, Ochai Agbaji","Pöltl, Boucher, Barrett, Quickley, Agbaji",1627751-1628449-1629628-1630193-1630534,TOR,92.0,1,2.0,2.0,3.0,3.0,,6.0,1.0,1.0,,1.0,,,,,1.0,2.0,,,2.0,,,,,,2.0,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,2.0,,,,,,,,0.5,,0.5,,0.5,,,,1.0,,1.0,1.0,,,1.0,,1.0,93.91304347826086,20.0,10.666666666666666,20.0,10.666666666666666,0.5,1.0,1.0,0.5,,,,,,,,,,,,0.5,,0.48715,,,4.6,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,True
1627751-1628449-1629628-1630193-1630567,1610612761,"Jakob Poeltl, Chris Boucher, RJ Barrett, Immanuel Quickley, Scottie Barnes","Poeltl, Boucher, Barrett, Quickley, Barnes",1627751-1628449-1629628-1630193-1630567,TOR,443.0,2,7.0,1.0,13.0,13.0,5.0,26.0,,2.0,,2.0,1.0,1.0,3.0,7.0,,4.0,4.0,8.0,18.0,17.0,,,11.0,,,9.0,7.0,3.0,,3.0,3.0,2.0,1.0,,9.0,1.0,1.0,3.0,4.0,4.0,8.0,1.0,1.0,1.0,,1.0,2.0,2.0,,4.0,,,,,15.0,9.0,4.0,,,0.75,0.5,0.5,,,0.5,1.125,0.5666666666666667,1.1,0.6666666666666666,0.5,0.5,0.25,1.0,0.5714285714285714,0.5,,0.5,,,84.51467268623024,18.076923076923077,16.0,15.76923076923077,15.076923076923077,0.16666666666666666,,,0.16666666666666666,,,,0.08333333333333333,1.0,1.0,1.0,0.5833333333333334,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.8333333333333334,0.42857142857142855,0.4977125,0.534525,0.6111111111111112,5.85,25.7,0.38461538461538464,3.0,,,6.0,2.0,,3.0,1.0,1.0,,7.0,2.0,,,0.75,0.75,1.0,,,,,,0.14285714285714285,0.3333333333333333,5.0,,1.0,1.0,,,,1.0,3.0,1.0,0.5,0.5,,,0.16666666666666666,2.0,1.0,,0.25,,,0.6666666666666666,,,2.0,3.0,3.0,4.0,0.75,0.5,,,0.75,0.6666666666666666,,0.5,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.14285714285714285,0.3333333333333333,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,True
1627751-1628449-1629628-1630193-1641711,1610612761,"Jakob Poeltl, Chris Boucher, RJ Barrett, Immanuel Quickley, Gradey Dick","Poeltl, Boucher, Barrett, Quickley, Dick",1627751-1628449-1629628-1630193-1641711,TOR,15.0,1,,2.0,1.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,96.0,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,True
1627751-1628449-1629628-1630193-1642347,1610612761,"Jakob Pöltl, Chris Boucher, RJ Barrett, Immanuel Quickley, Jamal Shead","Pöltl, Boucher, Barrett, Quickley, Shead",1627751-1628449-1629628-1630193-1642347,TOR,130.0,1,2.0,-4.0,4.0,4.0,,8.0,,,1.0,2.0,,,,1.0,1.0,2.0,,1.0,2.0,6.0,,,,,2.0,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,2.0,,,,,,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,0.3333333333333333,,,1.0,,,88.61538461538463,15.25,17.25,15.25,16.5,,,,0.6666666666666666,0.5,0.5,,,,,,0.3333333333333333,,,,0.3333333333333333,,0.49041666666666667,,,9.75,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2025,2024-25,True
