EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFtPoints,PtsUnassisted3s,HeaveAttempts,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,SecondChanceCorner3FGM,PenaltyCorner3FGM,Fg3aBlocked,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Charge Fouls,Transition Take Fouls,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,LongMidRangePctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,FTOffRebounds,DefensiveGoaltends,OffFTReboundPct,Defensive 3 Seconds Violations,Transition Take Fouls Drawn,OffensiveGoaltends,team_id,year,season,team_vs
1626167-1627783-1629614-1630167-1630169,1610612754,"Myles Turner, Pascal Siakam, Andrew Nembhard, Obi Toppin, Tyrese Haliburton","Turner, Siakam, Nembhard, Toppin, Haliburton",1626167-1627783-1629614-1630167-1630169,IND,220.0,1,4.0,3.0,6.0,6.0,4.0,2.0,12.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,6.0,1.0,2.0,1.0,10.0,7.0,2.0,2.0,1.0,5.0,2.0,4.0,1.0,1.0,7.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,4.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5625,1.0,0.7,0.625,1.25,0.7,0.25,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,78.54545454545455,14.333333333333334,22.333333333333332,13.333333333333334,22.333333333333332,0.375,1.0,1.0,0.6666666666666666,0.25,0.125,0.25,0.5,0.5,1.0,1.0,1.0,0.5,0.4,1.0,0.2,1.0,0.625,0.5,0.52636875,0.6523,0.52154,0.125,0.16666666666666666,0.5,0.7,6.0,27.1,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2025,2024-25,True
1626167-1627783-1629614-1630167-1630543,1610612754,"Myles Turner, Pascal Siakam, Andrew Nembhard, Obi Toppin, Isaiah Jackson","Turner, Siakam, Nembhard, Toppin, Jackson",1626167-1627783-1629614-1630167-1630543,IND,1.0,1,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2025,2024-25,True
1626167-1627783-1629614-1630169-1630174,1610612754,"Myles Turner, Pascal Siakam, Andrew Nembhard, Tyrese Haliburton, Aaron Nesmith","Turner, Siakam, Nembhard, Haliburton, Nesmith",1626167-1627783-1629614-1630169-1630174,IND,4971.0,11,83.0,3.0,164.0,169.0,28.0,29.0,333.0,21.0,37.0,5.0,6.0,4.0,6.0,39.0,8.0,20.0,57.0,2.0,9.0,44.0,84.0,21.0,71.0,40.0,191.0,188.0,9.0,13.0,3.0,24.0,6.0,9.0,2.0,12.0,33.0,30.0,58.0,48.0,8.0,56.0,20.0,15.0,16.0,31.0,15.0,8.0,78.0,13.0,18.0,30.0,29.0,63.0,31.0,94.0,32.0,39.0,49.0,3.0,17.0,167.0,33.0,28.0,0.3409090909090909,0.375,0.7619047619047619,0.29577464788732394,0.16666666666666666,0.3,0.5238095238095238,0.6923076923076923,0.6666666666666666,0.4870967741935484,0.4772727272727273,0.42857142857142855,0.5371428571428571,0.4791666666666667,0.5517241379310345,0.45806451612903226,0.7837837837837838,0.46153846153846156,0.9090909090909091,0.2653061224489796,0.8428571428571429,0.3522727272727273,0.47368421052631576,0.25,0.6842105263157895,0.9,0.9230769230769231,96.46348823174412,16.463414634146343,13.437869822485206,15.5,13.189349112426035,0.23870967741935484,0.5675675675675675,0.6363636363636364,0.38095238095238093,0.25161290322580643,0.05161290322580645,0.36774193548387096,0.3508771929824561,0.3508771929824561,0.75,0.2727272727272727,0.8333333333333334,0.2,0.2857142857142857,0.6666666666666666,0.42857142857142855,0.2222222222222222,0.6967741935483871,0.35714285714285715,0.535135064935065,0.5142441176470588,0.551025,0.10059171597633136,0.17346938775510204,0.1256544502617801,0.17277486910994763,6.319047619047619,26.429577464788732,0.17073170731707318,34.0,19.0,4.0,1.0,14.0,5.0,3.0,1.0,4.0,1.0,9.0,15.0,15.0,1.0,8.0,1.0,7.0,4.0,2.0,12.0,6.0,6.0,17.0,10.0,5.0,7.0,1.0,1.0,22.0,6.0,5.0,17.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,5.0,6.0,2.0,4.0,6.0,4.0,3.0,5.0,0.1111111111111111,0.09523809523809523,0.10810810810810811,0.10256410256410256,0.7727272727272727,1.0,0.5625,0.3076923076923077,0.875,0.8571428571428571,0.024691358024691357,0.6666666666666666,0.48717948717948717,0.5428571428571428,0.3684210526315789,0.5,0.5,0.09032258064516129,0.07142857142857142,0.07142857142857142,1.0,0.22727272727272727,0.18181818181818182,0.25,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2025,2024-25,True
1626167-1627783-1629614-1630169-1631097,1610612754,"Myles Turner, Pascal Siakam, Andrew Nembhard, Tyrese Haliburton, Bennedict Mathurin","Turner, Siakam, Nembhard, Haliburton, Mathurin",1626167-1627783-1629614-1630169-1631097,IND,22997.0,39,383.0,-88.0,788.0,784.0,128.0,78.0,1572.0,117.0,187.0,18.0,32.0,21.0,33.0,183.0,52.0,62.0,194.0,14.0,34.0,216.0,422.0,98.0,282.0,103.0,829.0,917.0,28.0,55.0,13.0,105.0,31.0,64.0,18.0,48.0,139.0,270.0,162.0,246.0,32.0,194.0,62.0,135.0,82.0,217.0,46.0,76.0,516.0,35.0,53.0,132.0,128.0,275.0,88.0,363.0,150.0,119.0,133.0,13.0,60.0,724.0,134.0,125.0,0.625,0.675,0.8367346938775511,0.3475177304964539,0.375,0.3475177304964539,0.5118483412322274,0.509090909090909,0.484375,0.515625,0.5897435897435898,0.5178571428571429,0.5427069645203679,0.6176470588235294,0.5564516129032258,0.4005681818181818,0.7619047619047619,0.25728155339805825,0.8301886792452831,0.19021739130434784,0.7951070336391437,0.22564102564102564,0.22115384615384615,0.1893939393939394,0.7555555555555555,0.8809523809523809,0.813953488372093,98.43370874461885,15.210659898477157,14.044642857142858,14.715736040609137,13.608418367346939,0.265625,0.6256684491978609,0.7005988023952096,0.6495726495726496,0.2599431818181818,0.07386363636363637,0.2755681818181818,0.31958762886597936,0.3229166666666667,0.7419354838709677,0.41025641025641024,0.5625,0.2222222222222222,0.29464285714285715,0.6363636363636364,0.30357142857142855,0.4117647058823529,0.6661931818181818,0.31958762886597936,0.5292279829545454,0.5189224489795919,0.5165044642857143,0.08244680851063829,0.1279317697228145,0.12665862484921592,0.16767189384800965,6.547156398104265,25.523049645390035,0.16243654822335024,133.0,79.0,20.0,36.0,88.0,10.0,14.0,9.0,13.0,12.0,23.0,23.0,48.0,,39.0,36.0,48.0,15.0,13.0,54.0,37.0,17.0,57.0,39.0,56.0,18.0,4.0,9.0,113.0,5.0,16.0,80.0,7.0,8.0,2.0,3.0,15.0,3.0,3.0,8.0,28.0,9.0,17.0,32.0,17.0,8.0,5.0,0.5217391304347826,0.0924170616113744,0.10695187165775401,0.10382513661202186,0.504424778761062,1.0,0.37142857142857144,0.19230769230769232,0.6388888888888888,0.9,0.03735632183908046,0.53125,0.43169398907103823,0.4817073170731707,0.6075949367088608,0.38461538461538464,0.38461538461538464,0.125,0.4090909090909091,0.41379310344827586,1.0,0.1282051282051282,0.16666666666666666,0.6923076923076923,0.7777777777777778,0.125,3.0,4.0,3.0,11.0,18.0,7.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,0.010638297872340425,0.011363636363636364,0.010309278350515464,0.125,0.55,0.3,1.0,0.2857142857142857,0.007067137809187279,,,,,,,,1610612754,2025,2024-25,True
1626167-1627783-1629614-1630169-1641716,1610612754,"Myles Turner, Pascal Siakam, Andrew Nembhard, Tyrese Haliburton, Jarace Walker","Turner, Siakam, Nembhard, Haliburton, Walker",1626167-1627783-1629614-1630169-1641716,IND,1347.0,6,22.0,-18.0,46.0,47.0,8.0,6.0,93.0,11.0,15.0,3.0,3.0,2.0,4.0,11.0,3.0,3.0,10.0,,1.0,14.0,29.0,3.0,11.0,5.0,42.0,60.0,3.0,6.0,,6.0,3.0,5.0,,1.0,7.0,14.0,14.0,9.0,2.0,10.0,3.0,7.0,3.0,10.0,3.0,6.0,23.0,4.0,2.0,6.0,11.0,20.0,6.0,26.0,11.0,9.0,9.0,1.0,4.0,36.0,7.0,8.0,0.5,0.5384615384615384,1.0,0.2727272727272727,,0.2727272727272727,0.4827586206896552,0.5,0.6,0.4625,0.5,0.5,0.4772727272727273,0.5,0.5,0.275,0.9166666666666666,0.13333333333333333,0.75,0.5,0.85,0.2608695652173913,0.1111111111111111,0.5714285714285714,1.0,1.0,0.7142857142857143,99.42093541202672,15.521739130434783,13.46808510638298,14.73913043478261,12.914893617021276,0.375,0.7333333333333333,0.9166666666666666,0.5454545454545454,0.275,0.075,0.25,0.3,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666,,0.65,0.3,0.516125,0.53405,0.5733416666666666,0.09302325581395349,0.125,0.14285714285714285,0.16666666666666666,6.062068965517242,26.08181818181818,0.17391304347826086,18.0,2.0,1.0,,1.0,,,,,,,1.0,,,5.0,,,3.0,,,,,8.0,4.0,1.0,4.0,,1.0,9.0,,2.0,4.0,2.0,,,2.0,,,,1.0,2.0,2.0,,2.0,1.0,5.0,1.0,,0.1724137931034483,0.2,0.09090909090909091,0.8888888888888888,1.0,0.25,,0.5,1.0,,0.5,0.18181818181818182,0.2,,0.3333333333333333,0.5,0.025,,,,,,,,,,,1.0,1.0,,,,,,,,,,0.09090909090909091,,0.1,,1.0,,,,,0.3333333333333333,,,,,,,1610612754,2025,2024-25,True
1626167-1627783-1629614-1630169-1641767,1610612754,"Myles Turner, Pascal Siakam, Andrew Nembhard, Tyrese Haliburton, Ben Sheppard","Turner, Siakam, Nembhard, Haliburton, Sheppard",1626167-1627783-1629614-1630169-1641767,IND,1152.0,10,19.0,-15.0,40.0,39.0,30.0,4.0,79.0,5.0,7.0,2.0,2.0,4.0,6.0,9.0,2.0,3.0,12.0,3.0,10.0,9.0,18.0,4.0,16.0,4.0,34.0,49.0,2.0,2.0,,7.0,7.0,13.0,4.0,14.0,28.0,12.0,6.0,12.0,4.0,11.0,3.0,6.0,4.0,10.0,3.0,2.0,24.0,1.0,3.0,3.0,8.0,11.0,4.0,15.0,5.0,5.0,5.0,1.0,2.0,27.0,28.0,30.0,0.6666666666666666,0.8571428571428571,1.0,0.25,0.2857142857142857,0.26666666666666666,0.5,1.0,0.5384615384615384,0.4411764705882353,0.875,0.48148148148148145,0.4722222222222222,0.875,0.5,0.47058823529411764,0.6666666666666666,0.3333333333333333,0.75,0.09090909090909091,0.6875,0.2,0.2,,0.75,0.75,1.0,98.75,14.9,14.256410256410257,14.475,13.666666666666666,0.20588235294117646,0.7142857142857143,0.7142857142857143,0.4,0.2647058823529412,0.058823529411764705,0.35294117647058826,0.25,0.2727272727272727,1.0,0.5,1.0,,0.2222222222222222,0.6666666666666666,0.37037037037037035,0.3,0.6764705882352942,0.2727272727272727,0.49464545454545455,0.5947333333333333,0.49888076923076924,0.05714285714285714,0.10526315789473684,0.20588235294117646,0.8235294117647058,6.227777777777778,28.23125,0.75,23.0,4.0,,1.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,1.0,4.0,,1.0,1.0,1.0,,3.0,2.0,5.0,1.0,,,8.0,,6.0,1.0,,1.0,1.0,,,,,1.0,3.0,2.0,1.0,3.0,,2.0,1.0,0.5,0.1111111111111111,,0.2222222222222222,0.375,,1.0,0.3333333333333333,0.5,0.6666666666666666,0.058823529411764705,,0.4444444444444444,0.5714285714285714,1.0,,,0.11764705882352941,0.25,0.25,1.0,0.25,0.25,1.0,1.0,0.14814814814814814,,1.0,1.0,,1.0,2.0,,,,,,,,0.0625,,0.08333333333333333,,,,,0.25,,,,,,,,,1610612754,2025,2024-25,True
1626167-1627783-1629614-1630174-1631097,1610612754,"Myles Turner, Pascal Siakam, Andrew Nembhard, Aaron Nesmith, Bennedict Mathurin","Turner, Siakam, Nembhard, Nesmith, Mathurin",1626167-1627783-1629614-1630174-1631097,IND,75.0,1,1.0,-1.0,2.0,3.0,2.0,,5.0,,,,,,,,,1.0,3.0,1.0,3.0,,,1.0,3.0,,3.0,4.0,,,,,,,1.0,3.0,3.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,0.5,,0.5,0.5,,0.5,1.0,,,,,,,,,,,,96.0,22.0,10.333333333333334,22.0,10.333333333333334,,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,1.0,0.3333333333333333,1.0,0.3333333333333333,0.42425,,0.42425,,,,1.0,,28.366666666666664,1.0,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2025,2024-25,True
1626167-1627783-1629614-1630174-1641767,1610612754,"Myles Turner, Pascal Siakam, Andrew Nembhard, Aaron Nesmith, Ben Sheppard","Turner, Siakam, Nembhard, Nesmith, Sheppard",1626167-1627783-1629614-1630174-1641767,IND,33.0,4,1.0,5.0,6.0,1.0,6.0,1.0,7.0,,,,,,,,,,3.0,,3.0,,,1.0,4.0,3.0,6.0,1.0,,,,3.0,,,1.0,4.0,6.0,,,3.0,,3.0,,,1.0,1.0,,,3.0,1.0,,,,1.0,1.0,2.0,1.0,2.0,4.0,,,3.0,3.0,4.0,,,1.0,0.25,0.25,0.25,,,,0.375,1.5,0.375,0.5,1.5,0.5,1.0,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,305.45454545454544,5.0,3.0,4.833333333333333,3.0,,,,,,,0.75,,,,,,,,,0.75,,1.0,,0.369225,,0.369225,,,0.5,1.0,,27.65,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,0.25,1.0,1.0,1.0,1.0,,,,0.25,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1610612754,2025,2024-25,True
1626167-1627783-1629614-1631097-1641716,1610612754,"Myles Turner, Pascal Siakam, Andrew Nembhard, Bennedict Mathurin, Jarace Walker","Turner, Siakam, Nembhard, Mathurin, Walker",1626167-1627783-1629614-1631097-1641716,IND,494.0,3,8.0,-6.0,15.0,17.0,2.0,2.0,32.0,,,,,,,6.0,,1.0,8.0,,1.0,4.0,6.0,1.0,8.0,4.0,15.0,21.0,1.0,1.0,,2.0,,1.0,,1.0,,4.0,4.0,3.0,,8.0,1.0,2.0,1.0,3.0,1.0,,7.0,1.0,,2.0,3.0,5.0,1.0,6.0,4.0,2.0,4.0,,2.0,13.0,,2.0,0.5,0.5,1.0,0.125,,0.125,0.6666666666666666,1.0,,0.39285714285714285,0.5,,0.46875,0.5,,0.5714285714285714,0.5,,1.0,0.14285714285714285,0.625,0.1111111111111111,,0.14285714285714285,0.75,,1.0,93.27935222672066,13.6,17.058823529411764,12.8,16.235294117647058,,,,,0.42857142857142855,,0.5714285714285714,0.125,0.125,1.0,,,,,,0.5,,0.5714285714285714,0.125,0.5036857142857143,0.4533,0.48715,0.125,0.25,0.13333333333333333,,6.433333333333334,26.725,0.13333333333333333,4.0,4.0,,,,,,,1.0,,1.0,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2025,2024-25,True
1626167-1627783-1629614-1631097-1641767,1610612754,"Myles Turner, Pascal Siakam, Andrew Nembhard, Bennedict Mathurin, Ben Sheppard","Turner, Siakam, Nembhard, Mathurin, Sheppard",1626167-1627783-1629614-1631097-1641767,IND,1415.0,4,24.0,1.0,53.0,51.0,5.0,5.0,104.0,4.0,5.0,1.0,1.0,,1.0,14.0,1.0,6.0,15.0,,1.0,10.0,20.0,9.0,21.0,17.0,64.0,63.0,2.0,3.0,4.0,8.0,,1.0,,1.0,5.0,10.0,10.0,21.0,2.0,15.0,6.0,5.0,7.0,12.0,4.0,2.0,31.0,4.0,1.0,8.0,9.0,18.0,5.0,23.0,7.0,14.0,21.0,1.0,10.0,56.0,5.0,5.0,0.5,0.5555555555555556,0.7777777777777778,0.42857142857142855,,0.42857142857142855,0.5,0.6666666666666666,,0.573170731707317,0.6666666666666666,,0.62,0.8,0.375,0.5121951219512195,0.9,0.1,0.8888888888888888,0.3333333333333333,0.8947368421052632,0.22727272727272727,0.125,0.3333333333333333,0.8333333333333334,1.0,0.875,105.83745583038869,13.264150943396226,13.96078431372549,13.0,13.803921568627452,0.12195121951219512,0.8,0.8,0.5,0.34146341463414637,0.024390243902439025,0.36585365853658536,0.4,0.4,0.6666666666666666,0.3333333333333333,1.0,,0.5,,0.5,,0.6341463414634146,0.4,0.5142475609756098,0.4006,0.443825,0.2,0.3448275862068966,0.125,0.078125,8.0,25.80952380952381,0.09433962264150944,,6.0,,3.0,6.0,,,,,,,5.0,6.0,,1.0,3.0,3.0,1.0,1.0,5.0,4.0,1.0,6.0,4.0,2.0,2.0,,,8.0,,1.0,4.0,,1.0,,,,2.0,,,2.0,,2.0,2.0,1.0,,,,0.05,,0.07142857142857142,0.75,1.0,,0.3333333333333333,,1.0,0.047619047619047616,0.5,0.42857142857142855,0.46153846153846156,0.5,,,0.14634146341463414,0.5,0.5,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612754,2025,2024-25,True
