EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,PenaltyFtPoints,LostBallSteals,LostBallTurnovers,PenaltyAtRimFrequency,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,PtsAssisted2s,PtsPutbacks,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,SelfOReb,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFGM,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsAssisted3s,ThreePtAssists,Arc3Assists,AtRimAssists,2pt And 1 Free Throw Trips,Assisted3sPct,AtRimPctAssisted,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceTurnovers,Charge Fouls,OffLongMidRangeReboundPct,Corner3FGM,Corner3Assists,Charge Fouls Drawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,BlockedAtRim,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,PenaltyCorner3FGM,PenaltyCorner3FGA,FTDefRebounds,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonShootingPenaltyNonTakeFouls,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,LongMidRangePctAssisted,FTOffRebounds,OffFTReboundPct,Loose Ball Fouls,Blocked3s,BlockedArc3,Offensive Fouls,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Technical Free Throw Trips,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Corner3PctBlocked,BlockedCorner3,Transition Take Fouls,3pt And 1 Free Throw Trips,3SecondViolations,Clear Path Fouls,Transition Take Fouls Drawn,team_id,year,season,team_vs
1628379-1628991-1629630-1629634-1630217,1610612763,"Luke Kennard, Jaren Jackson Jr., Ja Morant, Brandon Clarke, Desmond Bane","Kennard, Jackson Jr., Morant, Clarke, Bane",1628379-1628991-1629630-1629634-1630217,MEM,234.0,4,4.0,-1.0,7.0,7.0,6.0,3.0,2.0,14.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0,5.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,0.5,1.0,0.2,0.25,0.3333333333333333,0.5,0.25,0.6,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.8,0.5,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,86.15384615384616,1.0,19.857142857142858,13.571428571428571,17.571428571428573,12.857142857142858,0.2,0.2,1.0,1.0,0.6,1.0,0.75,0.8,0.4648,0.3594,0.4141,0.16666666666666666,0.3333333333333333,0.5,0.5,8.55,27.166666666666668,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2025,2024-25,True
1628379-1628991-1629630-1629634-1630583,1610612763,"Luke Kennard, Jaren Jackson Jr., Ja Morant, Brandon Clarke, Santi Aldama","Kennard, Jackson Jr., Morant, Clarke, Aldama",1628379-1628991-1629630-1629634-1630583,MEM,132.0,1,2.0,-4.0,5.0,5.0,5.0,5.0,,10.0,2.0,,,1.0,,1.0,,2.0,1.0,2.0,2.0,6.0,,,,,2.0,1.0,2.0,,1.0,2.0,,,,2.0,2.0,,2.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,2.0,2.0,5.0,,,,,0.25,,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,,,,0.6666666666666666,,,,1.0,,,,109.09090909090908,,11.2,15.2,11.2,15.2,0.6666666666666666,,,,0.3333333333333333,,0.3333333333333333,1.0,0.6804,,0.6804,0.25,0.3333333333333333,,1.0,2.0,25.5,1.0,2.0,2.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2025,2024-25,True
1628379-1628991-1629630-1629634-1630590,1610612763,"Luke Kennard, Jaren Jackson Jr., Ja Morant, Brandon Clarke, Scotty Pippen Jr.","Kennard, Jackson Jr., Morant, Clarke, Pippen Jr.",1628379-1628991-1629630-1629634-1630590,MEM,289.0,2,5.0,-6.0,8.0,8.0,1.0,2.0,2.0,16.0,3.0,,,2.0,1.0,,2.0,6.0,3.0,1.0,5.0,11.0,1.0,,2.0,,,,1.0,2.0,2.0,2.0,1.0,3.0,,2.0,2.0,4.0,6.0,,,,,2.0,,2.0,,,1.0,4.0,2.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,0.3333333333333333,,0.2222222222222222,,0.25,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.75,,0.3333333333333333,0.25,0.5714285714285714,1.0,,0.2,,,,79.72318339100346,,19.0,17.125,17.875,13.0,0.3333333333333333,,,,0.2222222222222222,0.3333333333333333,,0.6666666666666666,0.54135,0.5826666666666667,,0.1,0.14285714285714285,0.4,0.2,4.1000000000000005,24.766666666666666,0.125,,1.0,,,,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.2,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.1111111111111111,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2025,2024-25,True
1628379-1628991-1629630-1629634-1631222,1610612763,"Luke Kennard, Jaren Jackson Jr., Ja Morant, Brandon Clarke, Jake LaRavia","Kennard, Jackson Jr., Morant, Clarke, LaRavia",1628379-1628991-1629630-1629634-1631222,MEM,64.0,1,1.0,-2.0,3.0,3.0,3.0,3.0,1.0,6.0,3.0,,,1.0,,1.0,1.0,3.0,1.0,,5.0,7.0,,,2.0,1.0,3.0,1.0,5.0,2.0,1.0,,,2.0,,,,2.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,3.0,5.0,3.0,0.3333333333333333,0.3333333333333333,0.625,0.625,0.625,0.5,0.625,0.25,,,,,1.0,,,,1.0,1.0,,,,,,135.0,,16.0,5.333333333333333,15.333333333333334,5.333333333333333,0.75,,,,0.25,,0.25,1.0,0.500975,0.59815,0.500975,,,0.4,1.0,1.2333333333333334,29.3,1.0,3.0,,,,0.75,1.0,1.0,2.0,,,,1.0,2.0,,2.0,,,,,1.0,,,,,0.5,0.5,,,,,0.5,0.3333333333333333,0.3333333333333333,,,,,,1.0,0.5,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2025,2024-25,True
1628379-1628991-1629630-1629634-1642377,1610612763,"Luke Kennard, Jaren Jackson Jr., Ja Morant, Brandon Clarke, Jaylen Wells","Kennard, Jackson Jr., Morant, Clarke, Wells",1628379-1628991-1629630-1629634-1642377,MEM,168.0,3,3.0,3.0,7.0,5.0,,,1.0,12.0,3.0,,,2.0,,,4.0,4.0,2.0,1.0,12.0,9.0,,1.0,3.0,,,,,2.0,2.0,,1.0,,2.0,,2.0,1.0,3.0,,,,,2.0,,2.0,,2.0,2.0,1.0,1.0,1.0,,,,,9.0,,,1.0,,0.9166666666666666,,1.0,1.5,,0.3333333333333333,,,,,,0.6666666666666666,1.0,0.6666666666666666,1.0,,1.0,,,0.6666666666666666,,102.85714285714286,,11.571428571428571,17.4,11.142857142857142,16.6,0.5,,,,0.3333333333333333,,,0.8333333333333334,0.595475,,,0.16666666666666666,0.25,0.25,,4.7,25.9,,,,,,,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,6.0,,3.0,4.0,,9.0,,1.0,,0.75,0.75,1.0,1.0,,,,,,1.0,1.0,0.16666666666666666,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,0.5,,0.5,0.5,0.5,,,0.5,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2025,2024-25,True
1628379-1628991-1629630-1629634-203935,1610612763,"Luke Kennard, Jaren Jackson Jr., Ja Morant, Brandon Clarke, Marcus Smart","Kennard, Jackson Jr., Morant, Clarke, Smart",1628379-1628991-1629630-1629634-203935,MEM,269.0,1,4.0,10.0,10.0,10.0,,,1.0,20.0,4.0,1.0,2.0,2.0,,,6.0,7.0,2.0,,18.0,8.0,,,,,,,,4.0,2.0,,,1.0,1.0,3.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,,2.0,,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,18.0,,,0.8571428571428571,,1.0,,0.9,,,0.2222222222222222,,,0.5,1.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,107.06319702602231,1.0,13.9,13.0,13.5,13.0,0.4444444444444444,0.2222222222222222,0.5,0.5,0.2222222222222222,,,0.6666666666666666,0.5966111111111112,,,0.2,0.25,,,8.385714285714286,26.5,,,,1.0,,,4.0,,,1.0,1.0,,,,8.0,,4.0,5.0,,11.0,,,,0.6666666666666666,0.6666666666666666,,,,,,,,1.0,1.0,0.1111111111111111,1.0,1.0,,,,,,2.0,,2.0,,3.0,2.0,1.0,,1.0,1.0,1.0,,,1.0,3.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2025,2024-25,True
1628379-1628991-1629630-1629723-1641744,1610612763,"Luke Kennard, Jaren Jackson Jr., Ja Morant, John Konchar, Zach Edey","Kennard, Jackson Jr., Morant, Konchar, Edey",1628379-1628991-1629630-1629723-1641744,MEM,224.0,1,4.0,-2.0,9.0,8.0,,,,17.0,2.0,,,2.0,,,2.0,2.0,6.0,,10.0,12.0,,,,,,,,2.0,2.0,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,10.0,,,1.0,,0.625,,0.625,,,0.75,,,,,,1.0,,0.5,,,,,,,1.0,109.28571428571428,,15.222222222222221,10.875,15.222222222222221,10.875,0.25,,,,0.25,,,1.0,0.60178125,,,,,,,1.5,23.599999999999998,,,,,,,2.0,,,,,4.0,,,2.0,,1.0,3.0,,8.0,,,,0.5,0.5,,,,,,,,1.0,1.0,,,,,0.5,,,,,,2.0,,,,0.3333333333333333,,0.3333333333333333,,,,,,6.0,2.0,,1.0,,1.0,0.5,,,,,,2.0,2.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2025,2024-25,True
1628379-1628991-1629630-1630217-1630583,1610612763,"Luke Kennard, Jaren Jackson Jr., Ja Morant, Desmond Bane, Santi Aldama","Kennard, Jackson Jr., Morant, Bane, Aldama",1628379-1628991-1629630-1630217-1630583,MEM,273.4,9,5.0,-9.0,9.0,11.0,4.0,3.0,1.0,20.0,3.0,,,7.0,2.0,5.0,,4.0,8.0,1.0,10.0,19.0,2.0,1.0,7.0,,2.0,5.0,7.0,,7.0,2.0,,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,3.0,2.0,2.0,,1.0,,1.0,1.0,3.0,7.0,4.0,,,0.375,0.42857142857142855,0.4166666666666667,1.1666666666666667,0.5,0.6666666666666666,0.5,0.3333333333333333,1.0,1.0,0.5,0.5,,0.6666666666666666,0.25,0.6666666666666666,,,,0.5,,105.34016093635698,1.0,18.155555555555555,10.0,17.6,9.181818181818182,0.25,,,,0.5833333333333334,0.6666666666666666,0.7142857142857143,0.9166666666666666,0.5157166666666667,0.5429333333333334,0.5062214285714286,,,0.7,0.7,2.3,25.7375,0.4444444444444444,2.0,1.0,,,0.2857142857142857,,,1.0,,1.0,1.0,,1.0,,,,3.0,,9.0,,,,,,,1.0,1.0,,,1.0,,,,0.08333333333333333,,,,0.08333333333333333,0.3333333333333333,,,3.0,2.0,3.0,2.0,,3.0,0.375,0.4,0.375,0.42857142857142855,0.42857142857142855,,0.4,0.42857142857142855,9.0,3.0,3.0,,,1.0,,1.0,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2025,2024-25,True
1628379-1628991-1629630-1630217-1630590,1610612763,"Luke Kennard, Jaren Jackson Jr., Ja Morant, Desmond Bane, Scotty Pippen Jr.","Kennard, Jackson Jr., Morant, Bane, Pippen Jr.",1628379-1628991-1629630-1630217-1630590,MEM,32.0,1,1.0,-2.0,2.0,2.0,2.0,2.0,,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,2.0,1.0,,,2.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,180.0,,3.5,12.5,3.5,12.5,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2025,2024-25,True
1628379-1628991-1629630-1630217-1641713,1610612763,"Luke Kennard, Jaren Jackson Jr., Ja Morant, Desmond Bane, GG Jackson","Kennard, Jackson Jr., Morant, Bane, Jackson",1628379-1628991-1629630-1630217-1641713,MEM,23.0,1,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,62.60869565217391,,,22.0,,22.0,,,,,1.0,,1.0,1.0,,,,,,,,,44.7,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2025,2024-25,True
