EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyDefPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGA,FG3A,PtsPutbacks,NonHeaveArc3FGA,AtRimAssists,DefTwoPtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Loose Ball Fouls,FoulsDrawn,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,Avg3ptShotDistance,PenaltyOffPoss,FtPoints,PenaltyFtPoints,PenaltyPoints,FTDefRebounds,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,DefFTReboundPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,ThreePtAssists,Corner3Assists,LostBallSteals,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,NonHeaveArc3FGM,Arc3Assists,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg3Pct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,ShortMidRangeAssists,ShortMidRangePctAssisted,Fg2aBlocked,FTOffRebounds,FG2APctBlocked,AtRimPctBlocked,OffFTReboundPct,PenaltyArc3FGA,PenaltyArc3Frequency,LostBallTurnovers,BlockingFouls,BlockingFoulsDrawn,BlockedShortMidRange,OffThreePtRebounds,Loose Ball Fouls Drawn,DefensiveGoaltends,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,Technical Free Throw Trips,PenaltyTurnovers,SecondChanceCorner3FGA,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceCorner3Frequency,PtsUnassisted3s,SelfOReb,DeadBallTurnovers,Offensive Fouls,SelfORebPct,SecondChanceFtPoints,Offensive Fouls Drawn,SecondChanceTurnovers,OffCorner3ReboundPct,PenaltyArc3FGM,LongMidRangePctBlocked,PenaltyArc3Accuracy,HeaveAttempts,Travels,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,Clear Path Fouls,3SecondViolations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,BlockedLongMidRange,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,OffensiveGoaltends,Arc3PctBlocked,BlockedCorner3,HeaveMakes,team_id,year,season,team_vs
200779-202324-202330-202407-203546,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Elijah Millsap, Ian Clark","Novak, Favors, Hayward, Millsap, Clark",200779-202324-202330-202407-203546,UTA,125.0,1,2.0,-1.0,3.0,4.0,1.0,7.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0,80.64,16.666666666666668,18.75,15.666666666666666,18.75,0.25,1.0,1.0,0.75,0.3333333333333333,0.3333333333333333,1.0,0.397425,0.421,0.5,16.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,True
200779-202324-202330-202692-203504,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Alec Burks, Trey Burke","Novak, Favors, Hayward, Burks, Burke",200779-202324-202330-202692-203504,UTA,276.0,3,5.0,3.0,9.0,11.0,1.0,20.0,2.0,2.0,1.0,1.0,6.0,8.0,12.0,9.0,1.0,1.0,2.0,6.0,6.0,3.0,3.0,1.0,6.0,1.0,2.0,5.0,1.0,6.0,1.0,3.0,10.0,0.5,0.6,0.75,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,0.3333333333333333,,1.0,104.34782608695653,13.333333333333334,14.181818181818182,13.333333333333334,14.181818181818182,0.2222222222222222,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.6123833333333333,0.636,0.16666666666666666,6.3,3.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,0.5,1.0,1.0,0.5555555555555556,0.6,0.6,0.6666666666666666,0.1111111111111111,1.0,1.0,0.6666666666666666,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,True
200779-202324-202330-202692-204060,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Alec Burks, Joe Ingles","Novak, Favors, Hayward, Burks, Ingles",200779-202324-202330-202692-204060,UTA,3.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,True
200779-202324-202330-203497-203504,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Rudy Gobert, Trey Burke","Novak, Favors, Hayward, Gobert, Burke",200779-202324-202330-203497-203504,UTA,2.0,1,,2.0,1.0,1.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,2.0,,,,,,,1.0,,,,,,,,1440.0,,2.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,True
200779-202324-202330-203504-203918,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Trey Burke, Rodney Hood","Novak, Favors, Hayward, Burke, Hood",200779-202324-202330-203504-203918,UTA,111.0,3,2.0,10.0,6.0,4.0,1.0,10.0,,,,,2.0,3.0,11.0,1.0,1.0,1.0,2.0,,4.0,,1.0,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,9.0,,,0.6666666666666666,1.0,0.875,1.0,0.7857142857142857,1.0,1.0,0.5,0.5,1.0,,1.0,129.7297297297297,10.833333333333334,11.5,10.833333333333334,10.25,,,,,,,,0.7002125,0.7089,0.18181818181818182,0.8333333333333334,4.0,2.0,3.0,1.0,1.0,,1.0,2.0,,,,2.0,1.0,,,,,4.0,0.25,,,1.0,,,0.75,0.6666666666666666,0.6666666666666666,,,1.0,1.0,1.0,23.8,6.0,4.0,4.0,11.0,,6.0,2.0,11.0,6.0,2.0,0.7857142857142857,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.875,0.25,1.0,1.0,1.0,0.75,0.6666666666666666,0.25,1.0,0.7002125,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,True
200779-202324-202330-203504-203957,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Trey Burke, Dante Exum","Novak, Favors, Hayward, Burke, Exum",200779-202324-202330-203504-203957,UTA,124.0,4,2.0,8.0,3.0,5.0,1.0,8.0,,,,1.0,1.0,2.0,8.0,,,,3.0,,2.0,,1.0,,3.0,1.0,2.0,4.0,1.0,5.0,,,5.0,,,0.5,,0.8333333333333334,1.5,0.8,1.5,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,,92.9032258064516,15.0,15.8,13.0,14.0,,,,0.3333333333333333,,,,0.5272666666666667,0.5871,0.375,10.85,4.0,1.0,1.0,,,1.0,1.0,,1.0,,2.0,1.0,1.0,,,,,3.0,0.3333333333333333,,0.6666666666666666,,1.0,,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,0.6666666666666666,25.2,2.0,3.0,3.0,3.0,,5.0,2.0,1.0,1.0,1.0,0.75,,0.375,0.6666666666666666,,,,,,,1.0,,,,,3.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,True
200779-202324-202330-203504-204060,1610612762,"Steve Novak, Derrick Favors, Gordon Hayward, Trey Burke, Joe Ingles","Novak, Favors, Hayward, Burke, Ingles",200779-202324-202330-203504-204060,UTA,114.0,3,2.0,6.0,5.0,5.0,,10.0,2.0,2.0,1.0,2.0,4.0,5.0,8.0,2.0,,,,6.0,2.0,3.0,3.0,1.0,6.0,,1.0,3.0,,3.0,,,8.0,0.75,0.75,0.8,,0.8,,0.8,,,1.0,1.0,,,1.0,126.31578947368422,10.8,12.0,10.8,12.0,0.4,1.0,1.0,0.4,0.5,0.5,1.0,0.47042,,,12.76,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,0.2,1.0,1.0,1.0,,,,0.2,,1.0,,,2.0,1.0,,,2.0,1.0,,1.0,1.0,0.25,0.2,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,0.6796,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,True
200779-202324-202344-203504-203957,1610612762,"Steve Novak, Derrick Favors, Trevor Booker, Trey Burke, Dante Exum","Novak, Favors, Booker, Burke, Exum",200779-202324-202344-203504-203957,UTA,80.0,1,1.0,-7.0,3.0,3.0,,6.0,,2.0,,,,2.0,,7.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,108.0,14.333333333333334,12.333333333333334,14.333333333333334,12.333333333333334,1.0,,,,,,,0.3716,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,True
200779-202324-202407-202683-203504,1610612762,"Steve Novak, Derrick Favors, Elijah Millsap, Enes Kanter, Trey Burke","Novak, Favors, Millsap, Kanter, Burke",200779-202324-202407-202683-203504,UTA,19.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,75.78947368421053,,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,True
200779-202324-202407-203497-203504,1610612762,"Steve Novak, Derrick Favors, Elijah Millsap, Rudy Gobert, Trey Burke","Novak, Favors, Millsap, Gobert, Burke",200779-202324-202407-203497-203504,UTA,41.0,1,1.0,-2.0,1.0,2.0,,3.0,,,,1.0,,1.0,,2.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,1.0,105.36585365853658,18.0,11.5,18.0,11.5,,,,1.0,,,,0.4052,,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2015,2014-15,True
